parent,phase,query,label,top4_changed_fraction,action_rms,instantaneous_screen,gripper_sign_changes,first_local_routed_relative,first_local_block_relative,back_routed_relative,back_total_relative,back_block_relative,projection_input_relative,velocity_relative
plus-task03-init026,last_accepted,45,opposite,0.6425,0.0039892184507077265,False,0,0.5804954501135932,0.0069504204052005065,0.5693769525754653,0.10707867219626012,0.011834314220313844,0.010990733148476014,0.011859368486254393
plus-task03-init026,last_accepted,45,random,0.7,0.0031837685470500207,False,0,0.677446895338125,0.008111243882007903,0.6005323738936095,0.11357099414841723,0.012894370598945252,0.012096377955627869,0.012398624667012477
plus-task03-init039,before_alarm,17,combo,0.705,0.0029246970028735646,True,0,0.6971089306463044,0.006851044436646282,0.5744311397795833,0.10057753577585428,0.01083888878744334,0.010593876919385235,0.013072516670626949
plus-task03-init039,before_alarm,17,opposite,0.675,0.0023340911711879917,False,0,0.8657564768971473,0.008508478386155507,0.6609440196790868,0.11888830245968723,0.012365950810714269,0.01122441925776263,0.01450957446337449
plus-task03-init039,before_alarm,17,random,0.7075,0.003316750961802983,False,0,0.6060218732026106,0.00595585963813432,0.6106976486617581,0.10616677082892788,0.011306920697841692,0.0115342829934631,0.015487281013722338
plus-task03-init039,first_accepted,23,combo,0.4025,0.003164137484124794,True,0,0.46882130917550535,0.005001032784738766,0.38651628631737805,0.07817853934583421,0.012529982939192656,0.012784214742805956,0.018953987327002413
plus-task03-init039,first_accepted,23,opposite,0.4325,0.0052897619108465644,False,0,0.48493577725634146,0.0051729301818562185,0.4387005058885876,0.09924618698262169,0.026061393755978837,0.0321429921458477,0.06877809430111395
plus-task03-init039,first_accepted,23,random,0.45,0.0029242599686786007,False,0,0.48266160881450226,0.0051486716972012235,0.4083834025956107,0.08363698401368513,0.012323269409953621,0.012505784654556172,0.01845786266543412
plus-task03-init039,last_accepted,32,combo,0.7875,0.0034915014551051204,True,0,0.7823580270921747,0.008435973587111944,0.6434203786526003,0.11087289022991079,0.012507411891924634,0.011956604603883026,0.013527332119969038
plus-task03-init039,last_accepted,32,opposite,0.685,0.0032541166544686633,False,0,0.6140138749449547,0.006620759743504011,0.5909228306740119,0.10127631418573674,0.012225550024977588,0.011691078250333168,0.013842351973572992
plus-task03-init039,last_accepted,32,random,0.74,0.0037490339389865722,False,0,0.739683979249402,0.007975829548811143,0.6234502203280922,0.10647821077136203,0.012240374974562845,0.011914708015902872,0.01373184939639156
