benchmark,method,arm,parents,native_successes,alarms,true_positives,false_positives,precision,recall,false_positive_rate,eligible_states,failed_states,successful_states,terminal_alarms,rescue_successes,failed_parent_branches,harm_failures,successful_parent_branches,rescue_rate,harm_rate,alarm_state_success_rate,policy_success_rate,policy_delta_vs_random,base_task_clusters,policy_delta_cluster_ci_low,policy_delta_cluster_ci_high,mean_deployment_queries
pro,knn_euclidean_OR_cosine,edge_noise,5,1,5,4,1,0.8,1.0,1.0,5,4,1,0,0,16,0,4,0.0,0.0,0.2,0.2,0.0,5,,,49.2
pro,knn_euclidean_OR_cosine,swap1,5,1,5,4,1,0.8,1.0,1.0,5,4,1,0,0,16,0,4,0.0,0.0,0.2,0.2,0.0,5,,,46.2
plus,v7_frozen,random,7,4,2,2,0,1.0,0.6666666666666666,0.0,2,2,0,0,0,8,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.0
plus,v7_frozen,short_chunk,7,4,2,2,0,1.0,0.6666666666666666,0.0,2,2,0,0,0,8,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.285714285714285
plus,v7_frozen,edge_noise,7,4,2,2,0,1.0,0.6666666666666666,0.0,2,2,0,0,0,8,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.857142857142854
plus,v7_frozen,swap1,7,4,2,2,0,1.0,0.6666666666666666,0.0,2,2,0,0,0,8,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.0
plus,v8_frozen,random,7,4,2,2,0,1.0,0.6666666666666666,0.0,2,2,0,0,0,8,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.0
plus,v8_frozen,short_chunk,7,4,2,2,0,1.0,0.6666666666666666,0.0,2,2,0,0,0,8,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.285714285714285
plus,v8_frozen,edge_noise,7,4,2,2,0,1.0,0.6666666666666666,0.0,2,2,0,0,0,8,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.857142857142854
plus,v8_frozen,swap1,7,4,2,2,0,1.0,0.6666666666666666,0.0,2,2,0,0,0,8,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.0
plus,knn20,random,7,4,3,3,0,1.0,1.0,0.0,3,3,0,0,0,12,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.0
plus,knn20,short_chunk,7,4,3,3,0,1.0,1.0,0.0,3,3,0,0,0,12,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.42857142857143
plus,knn20,edge_noise,7,4,3,3,0,1.0,1.0,0.0,3,3,0,0,0,12,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,39.285714285714285
plus,knn20,swap1,7,4,3,3,0,1.0,1.0,0.0,3,3,0,0,0,12,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.0
plus,knn_euclidean_OR_cosine,random,7,4,3,3,0,1.0,1.0,0.0,3,3,0,0,0,12,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.0
plus,knn_euclidean_OR_cosine,short_chunk,7,4,3,3,0,1.0,1.0,0.0,3,3,0,0,0,12,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.42857142857143
plus,knn_euclidean_OR_cosine,edge_noise,7,4,3,3,0,1.0,1.0,0.0,3,3,0,0,0,12,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,39.285714285714285
plus,knn_euclidean_OR_cosine,swap1,7,4,3,3,0,1.0,1.0,0.0,3,3,0,0,0,12,0,0,0.0,,0.0,0.5714285714285714,0.0,5,,,38.0
