quantity,frame,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
shape_pr,shape_spectrum,L2,low,0.96,per_task,4,1,0.008213552361396304,6.986655488017886e-05,0.8,0,1,0.0,0.0,0.7186689368770766,1.1131690253322228
shape_pr,shape_spectrum,L2,low,0.96,global,0,7,0.0,0.000489065884161252,0.0,0,7,0.0,0.0,0.00925,0.0
shape_pr,shape_spectrum,L2,low,0.975,per_task,3,0,0.006160164271047228,0.0,1.0,0,0,0.0,0.0,0.9967637540453075,1.0032467532467533
shape_pr,shape_spectrum,L2,low,0.975,global,0,6,0.0,0.00041919932928107315,0.0,0,6,0.0,0.0,0.00925,0.0
shape_pr,shape_spectrum,L2,low,0.98,per_task,2,0,0.004106776180698152,0.0,1.0,0,0,0.0,0.0,0.9951456310679612,1.0048780487804878
shape_pr,shape_spectrum,L2,low,0.98,global,0,5,0.0,0.0003493327744008943,0.0,0,5,0.0,0.0,0.00925,0.0
shape_pr,shape_spectrum,L2,low,0.99,per_task,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L2,low,0.99,global,0,1,0.0,6.986655488017886e-05,0.0,0,1,0.0,0.0,0.00925,0.0
shape_pr,shape_spectrum,L2,low,0.995,per_task,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L2,low,0.995,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L2,high,0.5,per_task,231,565,0.47433264887063653,0.03947460350730105,0.29020100502512564,61,519,0.10517241379310345,0.26406926406926406,0.2353998774146861,1.232800153561255
shape_pr,shape_spectrum,L2,high,0.5,global,300,1696,0.6160164271047228,0.11849367707678335,0.15030060120240482,131,1585,0.07634032634032634,0.43666666666666665,0.12898091551007784,1.165293335126476
shape_pr,shape_spectrum,L2,high,0.6,per_task,211,335,0.433264887063655,0.023405295884859918,0.38644688644688646,55,295,0.15714285714285714,0.26066350710900477,0.30655401362617885,1.2606159739214224
shape_pr,shape_spectrum,L2,high,0.6,global,265,1168,0.5441478439425051,0.08160413610004891,0.18492672714584787,95,1079,0.08091993185689948,0.3584905660377358,0.1510677712616951,1.2241309023186608
shape_pr,shape_spectrum,L2,high,0.7,per_task,187,186,0.3839835728952772,0.012995179207713268,0.5013404825737265,50,154,0.24509803921568626,0.26737967914438504,0.39092216192241797,1.2824560268169756
shape_pr,shape_spectrum,L2,high,0.7,global,208,773,0.4271047227926078,0.054006846922378254,0.21202854230377166,56,711,0.07301173402868318,0.2692307692307692,0.1771108151869636,1.1971518626908688
shape_pr,shape_spectrum,L2,high,0.75,per_task,163,130,0.3347022587268994,0.009082652134423252,0.5563139931740614,44,104,0.2972972972972973,0.26993865030674846,0.43881849895328773,1.2677541956436096
