calibration,alpha,method,baseline,scope,gained_tp,lost_tp,added_fp,removed_fp,shared_tp,earlier,same,later,median_query_delta
episode,0.005,dynamics_only,v82_reference,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,3,16,3,1,11,3,0,8,2.0
episode,0.005,dynamics_only,v82_reference,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,0,7,1,0,1,0,0,1,29.0
episode,0.005,dynamics_only,v82_reference,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,1,1,5,1,1,0,0,1,17.0
episode,0.005,dynamics_only,v82_reference,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,2,9,0,2,5,0,0,5,18.0
episode,0.005,dynamics_only,v82_reference,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,13,11,11,5,22,15,0,7,-5.5
episode,0.005,dynamics_only,v82_reference,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,0,0,2,13,6,3,0,3,-1.0
episode,0.005,dynamics_only,v82_reference,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0,2,2,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,0,5,0,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,0,0,8,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,0,0,2,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,1,0,1,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,0,1,0,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_object/pick_up_the_milk_and_place_it_in_the_basket,1,3,0,1,2,0,1,1,0.5
episode,0.005,dynamics_only,v82_reference,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,0,1,0,2,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,0,3,0,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,0,2,0,0,1,0,0,1,3.0
episode,0.005,dynamics_only,v82_reference,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,0,0,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,2,0,0,1,0,1,0,0.0
episode,0.005,dynamics_only,v82_reference,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,2,9,0,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,0,0,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,4,2,0,0,3,2,1,0,-2.0
episode,0.005,dynamics_only,v82_reference,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,4,0,0,1,1,0,0,-2.0
episode,0.005,dynamics_only,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,2,11,0,1,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,5,0,0,4,2,0,2,0.5
episode,0.005,dynamics_only,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,3,31,0,0,2,0,0,2,2.0
episode,0.005,dynamics_only,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,1,9,0,0,4,1,1,2,0.5
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,all,5,0,28,0,475,24,451,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_goal,0,0,0,0,87,0,87,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_long,2,0,25,0,239,19,220,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_object,0,0,3,0,30,2,28,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_spatial,3,0,0,0,119,3,116,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,0,0,0,0,0,
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,0,0,0,39,0,39,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_goal/push_the_plate_to_the_front_of_the_stove,0,0,0,0,1,0,1,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_goal/put_the_bowl_on_the_plate,0,0,0,0,11,0,11,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_goal/put_the_bowl_on_the_stove,0,0,0,0,9,0,9,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_goal/put_the_bowl_on_top_of_the_cabinet,0,0,0,0,16,0,16,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_goal/put_the_cream_cheese_in_the_bowl,0,0,0,0,9,0,9,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_goal/put_the_wine_bottle_on_the_rack,0,0,0,0,1,0,1,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,0,0,0,0,1,0,1,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_goal/turn_on_the_stove,0,0,0,0,0,0,0,0,
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,0,0,0,0,4,1,3,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,0,0,7,0,1,0,1,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,0,1,0,1,0,1,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,0,1,0,123,2,121,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,1,0,2,0,29,4,25,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,0,0,1,0,8,0,8,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,1,0,1,0,3,0,3,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0,0,0,0,17,0,17,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,0,0,10,0,47,9,38,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,0,0,2,0,6,3,3,0,-1.5
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0,0,2,0,2,0,2,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,0,0,0,0,9,0,9,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,0,0,0,0,0,0,0,
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,0,0,0,0,0,0,0,
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0,0,1,0,5,1,4,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,0,0,0,0,1,0,1,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_object/pick_up_the_milk_and_place_it_in_the_basket,0,0,0,0,6,1,5,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,0,0,0,0,1,0,1,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,0,0,0,0,3,0,3,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,0,0,0,0,3,0,3,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,0,0,0,0,0,0,0,
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,0,0,0,3,0,3,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,1,0,0,0,10,0,10,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,0,0,0,1,0,1,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0,0,0,0,18,2,16,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,0,0,0,0,7,0,7,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,0,0,0,0,13,1,12,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1,0,0,0,10,0,10,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,0,0,0,38,0,38,0,0.0
episode,0.005,v82_frozen_plus_dynamics,v82_frozen,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,0,0,0,0,19,0,19,0,0.0
episode,0.01,v82_integrated,v82_reference,all,36,49,49,101,386,40,72,274,1.0
episode,0.01,v82_integrated,v82_reference,libero_goal,1,16,0,10,77,3,24,50,1.0
episode,0.01,v82_integrated,v82_reference,libero_long,19,11,46,28,202,25,30,147,1.0
episode,0.01,v82_integrated,v82_reference,libero_object,2,4,3,62,19,2,2,15,1.0
episode,0.01,v82_integrated,v82_reference,libero_spatial,14,18,0,1,88,10,16,62,1.0
episode,0.01,v82_integrated,v82_reference,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,0,0,0,0,0,
episode,0.01,v82_integrated,v82_reference,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,8,0,0,36,0,10,26,1.0
episode,0.01,v82_integrated,v82_reference,libero_goal/push_the_plate_to_the_front_of_the_stove,0,0,0,6,1,0,0,1,1.0
episode,0.01,v82_integrated,v82_reference,libero_goal/put_the_bowl_on_the_plate,1,8,0,0,4,0,0,4,2.5
episode,0.01,v82_integrated,v82_reference,libero_goal/put_the_bowl_on_the_stove,0,0,0,0,9,0,2,7,1.0
episode,0.01,v82_integrated,v82_reference,libero_goal/put_the_bowl_on_top_of_the_cabinet,0,0,0,0,16,0,9,7,0.0
episode,0.01,v82_integrated,v82_reference,libero_goal/put_the_cream_cheese_in_the_bowl,0,0,0,4,9,3,2,4,0.0
episode,0.01,v82_integrated,v82_reference,libero_goal/put_the_wine_bottle_on_the_rack,0,0,0,0,1,0,1,0,0.0
episode,0.01,v82_integrated,v82_reference,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,0,0,0,0,1,0,0,1,1.0
episode,0.01,v82_integrated,v82_reference,libero_goal/turn_on_the_stove,0,0,0,0,0,0,0,0,
episode,0.01,v82_integrated,v82_reference,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,0,0,0,1,4,0,0,4,1.5
episode,0.01,v82_integrated,v82_reference,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,0,0,8,0,1,0,1,0,0.0
episode,0.01,v82_integrated,v82_reference,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,0,7,2,1,0,0,1,2.0
episode,0.01,v82_integrated,v82_reference,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,3,7,1,6,101,0,17,84,1.0
episode,0.01,v82_integrated,v82_reference,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,2,0,6,0,28,3,1,24,1.0
episode,0.01,v82_integrated,v82_reference,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,1,0,1,0,8,0,4,4,0.5
episode,0.01,v82_integrated,v82_reference,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,2,0,5,1,2,0,0,2,1.0
episode,0.01,v82_integrated,v82_reference,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,3,4,0,0,13,0,3,10,1.0
episode,0.01,v82_integrated,v82_reference,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,8,0,15,3,38,19,4,15,-0.5
episode,0.01,v82_integrated,v82_reference,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,0,0,3,15,6,3,0,3,-1.0
episode,0.01,v82_integrated,v82_reference,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0,0,2,2,2,0,0,2,1.0
episode,0.01,v82_integrated,v82_reference,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,0,3,0,0,4,0,1,3,1.0
episode,0.01,v82_integrated,v82_reference,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,0,0,25,0,0,0,0,
episode,0.01,v82_integrated,v82_reference,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,0,0,23,0,0,0,0,
episode,0.01,v82_integrated,v82_reference,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,1,0,1,0,0,0,0,0,
episode,0.01,v82_integrated,v82_reference,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,0,0,0,2,1,0,1,0,0.0
episode,0.01,v82_integrated,v82_reference,libero_object/pick_up_the_milk_and_place_it_in_the_basket,0,0,0,8,6,1,0,5,2.5
episode,0.01,v82_integrated,v82_reference,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,1,0,0,2,1,0,0,1,1.0
episode,0.01,v82_integrated,v82_reference,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,0,1,0,0,2,0,0,2,1.0
episode,0.01,v82_integrated,v82_reference,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,0,0,0,0,3,1,0,2,1.0
episode,0.01,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,0,0,0,0,0,0,0,
episode,0.01,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,0,0,0,3,1,0,2,1.0
episode,0.01,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,1,1,0,0,10,0,0,10,1.0
episode,0.01,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,0,0,0,1,0,0,1,1.0
episode,0.01,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,2,0,0,5,4,0,1,-1.0
episode,0.01,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,0,4,0,0,4,2,1,1,-0.5
episode,0.01,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,1,0,0,0,12,1,3,8,1.0
episode,0.01,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,1,0,0,9,2,2,5,1.0
episode,0.01,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,3,3,0,1,33,0,5,28,1.0
episode,0.01,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,0,7,0,0,11,0,5,6,1.0
episode,0.01,dynamics_only,v82_reference,all,40,292,79,127,143,56,15,72,1.0
episode,0.01,dynamics_only,v82_reference,libero_goal,1,73,0,12,20,5,4,11,1.0
episode,0.01,dynamics_only,v82_reference,libero_long,19,135,74,47,78,33,5,40,1.0
