dataset,outcome,axis,mixed_snapshots,mean_within_snapshot_auc_high,bootstrap_95_low,bootstrap_95_high,wilcoxon_p_vs_half
rolling_star_k16,success,single|channel|front_state_to_back_action_conditional|roughness_difference,15,0.5384533984533985,0.4122195004070005,0.664755291005291,0.6091628911933872
rolling_star_k16,loop,fork|action_relation|front|d0,18,0.49099451859868526,0.38679057439474107,0.5966941237774571,0.9652545914043686
rolling_star_k16,loop,fork|action_relation|front|d9,18,0.4733270202020203,0.3839113355780022,0.5547852408008659,0.7583123742610346
rolling_star_k16,loop,fork|action_relation|front|log_ratio,18,0.44974622214205545,0.35240845959595957,0.5457827656525573,0.3200384755260307
rolling_star_k16,loop,fork|action_relation|front|path,18,0.4640133978675645,0.3578098507395382,0.5729219777136442,0.44229888916015625
rolling_star_k16,loop,fork|action_relation|front|terminal_z,18,0.4733270202020203,0.383741482283149,0.5542884700176367,0.7583123742610346
rolling_star_k16,loop,fork|action_relation|back|d0,18,0.5002455106621774,0.3957695757174924,0.6070836590107422,0.943368296969677
rolling_star_k16,loop,fork|action_relation|back|d9,18,0.4647546897546897,0.3656690416065416,0.5611865680615681,0.5227810104666994
rolling_star_k16,loop,fork|action_relation|back|log_ratio,18,0.4630240901074234,0.36644079685746345,0.5649699625220458,0.30097338937477436
rolling_star_k16,loop,fork|action_relation|back|path,18,0.466502575356742,0.33967125370771206,0.5907426008597882,0.6630094836925954
rolling_star_k16,loop,fork|action_relation|back|terminal_z,18,0.4647546897546897,0.36947738796697127,0.5621559593955426,0.5227810104666994
rolling_star_k16,loop,fork|action_shape|front|d0,18,0.482346280262947,0.38790494227994227,0.5842365119448452,0.7018814086914062
rolling_star_k16,loop,fork|action_shape|front|d9,18,0.4874787057078724,0.4021694186407728,0.5649135075957992,0.9176178742687193
rolling_star_k16,loop,fork|action_shape|front|log_ratio,18,0.4717532467532467,0.3829958814333814,0.5677836900753563,0.468292236328125
rolling_star_k16,loop,fork|action_shape|front|path,18,0.46836995951579286,0.3746201098284431,0.5660535225769601,0.3558913203480393
rolling_star_k16,loop,fork|action_shape|front|terminal_z,18,0.4874787057078724,0.4000522649611191,0.5663588451479077,0.9176178742687193
