budget_dev_fp_lead4,pool,arm,selected_for,n_folds,tp_drop,tp_grasp,tp_all,fp,n_drop,n_grasp,n_risk
57,headline,threshold,drop,39,67,15,141,193,241,143,564
57,headline,threshold,grasp,39,88,17,158,66,241,143,564
57,headline,change_point,all,39,22,17,80,59,241,143,564
57,headline,change_point,drop,39,118,20,183,45,241,143,564
57,headline,change_point,grasp,39,56,17,119,36,241,143,564
57,headline,persistence,all,39,97,24,174,72,241,143,564
57,headline,persistence,drop,39,92,29,162,107,241,143,564
57,headline,persistence,grasp,39,37,9,69,5,241,143,564
57,flagged,threshold,all,39,61,27,139,59,241,143,564
57,flagged,threshold,drop,39,67,15,141,193,241,143,564
57,flagged,threshold,grasp,39,51,21,116,50,241,143,564
57,flagged,change_point,all,39,22,17,80,59,241,143,564
57,flagged,change_point,drop,39,118,20,183,45,241,143,564
57,flagged,change_point,grasp,39,56,16,116,36,241,143,564
57,flagged,persistence,all,39,29,22,106,7,241,143,564
57,flagged,persistence,drop,39,92,29,162,107,241,143,564
57,flagged,persistence,grasp,39,38,25,123,4,241,143,564
57,null_noise,threshold,all,39,1,2,4,57,241,143,564
57,null_noise,threshold,drop,39,2,4,8,47,241,143,564
57,null_noise,threshold,grasp,39,2,1,6,57,241,143,564
57,null_noise,change_point,all,39,3,3,7,55,241,143,564
57,null_noise,change_point,drop,39,6,4,11,60,241,143,564
57,null_noise,change_point,grasp,39,2,4,10,39,241,143,564
57,null_noise,persistence,all,39,18,32,87,34,241,143,564
57,null_noise,persistence,drop,39,20,48,106,60,241,143,564
57,null_noise,persistence,grasp,39,15,32,86,33,241,143,564
57,null_elapsed,threshold,all,0,0,0,0,0,241,143,564
57,null_elapsed,threshold,drop,0,0,0,0,0,241,143,564
57,null_elapsed,threshold,grasp,0,0,0,0,0,241,143,564
57,null_elapsed,change_point,all,0,0,0,0,0,241,143,564
57,null_elapsed,change_point,drop,0,0,0,0,0,241,143,564
57,null_elapsed,change_point,grasp,0,0,0,0,0,241,143,564
57,null_elapsed,persistence,all,39,50,112,274,14,241,143,564
57,null_elapsed,persistence,drop,39,50,112,274,14,241,143,564
57,null_elapsed,persistence,grasp,39,50,112,274,14,241,143,564
57,headline,any,all,39,22,17,80,59,241,143,564
57,headline,any,drop,39,118,20,183,45,241,143,564
