cohort,pool,arm,mode,fp_budget,tp,n_mode,fp,baseline_tp,channel,sign,stat,n_ops_searched,excess_over_baseline,null_ceiling,floor,excess_over_floor
development_main,headline,change_point,all,80,226,487,34,222,token_differentiation_d0|L2,-1,change_point,14144,4,224,224,2
development_main,headline,change_point,all,120,265,487,93,222,state_mobility_d0|L15,-1,change_point,14144,43,244,244,21
development_main,headline,change_point,all,200,295,487,194,222,state_mobility_d0|L15,-1,change_point,14144,73,261,261,34
development_main,headline,change_point,all,400,325,487,345,361,state_mobility_d0|L15,-1,change_point,14144,-36,361,361,-36
development_main,headline,persistence,drop,0,67,218,0,0,selected_mass|L2,-1,persist_frac|g975,42432,67,7,7,60
development_main,headline,persistence,drop,10,90,218,6,0,flow_path|L2,1,persist_run|g900,42432,90,32,32,58
development_main,headline,persistence,drop,20,96,218,18,41,flow_path|L14,1,persist_run|g900,42432,55,41,41,55
development_main,headline,persistence,drop,38,105,218,36,41,flow_path|L13,1,persist_run|g900,42432,64,43,43,62
development_main,headline,persistence,drop,57,105,218,36,41,flow_path|L13,1,persist_run|g900,42432,64,47,47,58
development_main,headline,persistence,drop,80,111,218,78,41,flow_path|L15,1,persist_cycles|g975,42432,70,47,47,64
development_main,headline,persistence,drop,120,114,218,81,41,flow_path|L15,1,persist_run|g900,42432,73,60,60,54
development_main,headline,persistence,drop,200,129,218,146,41,query_top1_churn|L15,-1,persist_run|g900,42432,88,72,72,57
development_main,headline,persistence,drop,400,145,218,246,134,query_hard_churn|L15,-1,persist_run|g975,42432,11,134,134,11
development_main,headline,persistence,grasp,0,47,116,0,0,mobility_d0|L13,-1,persist_cycles|g900,42432,47,11,11,36
development_main,headline,persistence,grasp,10,51,116,4,0,mobility_d0|L12,-1,persist_cycles|g900,42432,51,73,73,-22
development_main,headline,persistence,grasp,20,54,116,15,89,mobility_d0|L13,-1,persist_cycles|g900,42432,-35,89,89,-35
development_main,headline,persistence,grasp,38,58,116,37,89,token_entropy_d0|L2,1,persist_cycles|g975,42432,-31,89,89,-31
development_main,headline,persistence,grasp,57,61,116,49,89,token_differentiation_d0|L2,-1,persist_cycles|g900,42432,-28,89,89,-28
development_main,headline,persistence,grasp,80,70,116,62,89,flow_endpoint|L3,1,persist_cycles|g900,42432,-19,89,89,-19
development_main,headline,persistence,grasp,120,75,116,119,89,token_entropy_d0|L2,1,persist_cycles|g975,42432,-14,89,89,-14
development_main,headline,persistence,grasp,200,80,116,163,89,token_entropy_d0|L2,1,persist_cycles|g900,42432,-9,89,89,-9
development_main,headline,persistence,grasp,400,100,116,378,94,flow_endpoint|L3,1,persist_cycles|g900,42432,6,94,94,6
development_main,headline,persistence,all,0,101,487,0,0,token_entropy_d0|L2,-1,persist_run|g975,42432,101,43,43,58
development_main,headline,persistence,all,10,163,487,10,0,mobility_d0|L3,1,persist_cycles|g975,42432,163,181,181,-18
development_main,headline,persistence,all,20,163,487,10,222,mobility_d0|L3,1,persist_cycles|g975,42432,-59,222,222,-59
development_main,headline,persistence,all,38,177,487,36,222,flow_path|L13,1,persist_run|g900,42432,-45,224,224,-47
development_main,headline,persistence,all,57,178,487,42,222,flow_path|L15,1,persist_run|g975,42432,-44,224,224,-46
development_main,headline,persistence,all,80,192,487,78,222,flow_path|L15,1,persist_cycles|g975,42432,-30,224,224,-32
development_main,headline,persistence,all,120,206,487,81,222,flow_path|L15,1,persist_run|g900,42432,-16,244,244,-38
development_main,headline,persistence,all,200,229,487,170,222,flow_path|L15,1,persist_run|g975,42432,7,261,261,-32
development_main,headline,persistence,all,400,295,487,378,361,flow_endpoint|L3,1,persist_cycles|g900,42432,-66,361,361,-66
development_main,headline,any,drop,0,72,218,0,0,hb_entropy_action|L2,-1,threshold,63648,72,7,7,65
development_main,headline,any,drop,10,94,218,9,0,token_entropy_d0|L3,-1,change_point,63648,94,32,32,62
development_main,headline,any,drop,20,103,218,20,41,state_mobility_d0|L14,-1,change_point,63648,62,41,41,62
development_main,headline,any,drop,38,105,218,36,41,flow_path|L13,1,persist_run|g900,63648,64,43,43,62
development_main,headline,any,drop,57,143,218,48,41,state_mobility_d0|L15,-1,change_point,63648,102,47,47,96
development_main,headline,any,drop,80,143,218,48,41,state_mobility_d0|L15,-1,change_point,63648,102,47,47,96
development_main,headline,any,drop,120,167,218,93,41,state_mobility_d0|L15,-1,change_point,63648,126,60,60,107
development_main,headline,any,drop,200,169,218,194,41,state_mobility_d0|L15,-1,change_point,63648,128,72,72,97
development_main,headline,any,drop,400,180,218,345,134,state_mobility_d0|L15,-1,change_point,63648,46,134,134,46
development_main,headline,any,grasp,0,47,116,0,0,mobility_d0|L13,-1,persist_cycles|g900,63648,47,11,11,36
development_main,headline,any,grasp,10,51,116,4,0,mobility_d0|L12,-1,persist_cycles|g900,63648,51,73,73,-22
development_main,headline,any,grasp,20,54,116,15,89,mobility_d0|L13,-1,persist_cycles|g900,63648,-35,89,89,-35
development_main,headline,any,grasp,38,60,116,34,89,token_differentiation_d0|L2,-1,change_point,63648,-29,89,89,-29
development_main,headline,any,grasp,57,61,116,49,89,token_differentiation_d0|L2,-1,persist_cycles|g900,63648,-28,89,89,-28
development_main,headline,any,grasp,80,70,116,62,89,flow_endpoint|L3,1,persist_cycles|g900,63648,-19,89,89,-19
development_main,headline,any,grasp,120,75,116,119,89,token_entropy_d0|L2,1,persist_cycles|g975,63648,-14,89,89,-14
development_main,headline,any,grasp,200,80,116,163,89,token_entropy_d0|L2,1,persist_cycles|g900,63648,-9,89,89,-9
development_main,headline,any,grasp,400,100,116,378,94,flow_endpoint|L3,1,persist_cycles|g900,63648,6,94,94,6
development_main,headline,any,all,0,108,487,0,0,hb_entropy_action|L2,-1,threshold,63648,108,43,43,65
development_main,headline,any,all,10,163,487,10,0,mobility_d0|L3,1,persist_cycles|g975,63648,163,181,181,-18
development_main,headline,any,all,20,180,487,14,222,token_differentiation_d0|L2,-1,change_point,63648,-42,222,222,-42
development_main,headline,any,all,38,226,487,34,222,token_differentiation_d0|L2,-1,change_point,63648,4,224,224,2
development_main,headline,any,all,57,226,487,34,222,token_differentiation_d0|L2,-1,change_point,63648,4,224,224,2
development_main,headline,any,all,80,226,487,34,222,token_differentiation_d0|L2,-1,change_point,63648,4,224,224,2
development_main,headline,any,all,120,265,487,93,222,state_mobility_d0|L15,-1,change_point,63648,43,244,244,21
development_main,headline,any,all,200,295,487,194,222,state_mobility_d0|L15,-1,change_point,63648,73,261,261,34
development_main,headline,any,all,400,325,487,345,361,state_mobility_d0|L15,-1,change_point,63648,-36,361,361,-36
development_main,flagged,threshold,drop,0,72,218,0,0,hb_entropy_action|L2,-1,threshold,7344,72,7,7,65
development_main,flagged,threshold,drop,10,87,218,6,0,selected_mass|L2,1,threshold,7344,87,32,32,55
development_main,flagged,threshold,drop,20,89,218,13,41,hb_entropy_action|L2,-1,threshold,7344,48,41,41,48
development_main,flagged,threshold,drop,38,95,218,22,41,selected_mass|L2,1,threshold,7344,54,43,43,52
development_main,flagged,threshold,drop,57,99,218,45,41,selected_mass|L2,1,threshold,7344,58,47,47,52
development_main,flagged,threshold,drop,80,102,218,70,41,selected_mass|L2,1,threshold,7344,61,47,47,55
development_main,flagged,threshold,drop,120,102,218,70,41,selected_mass|L2,1,threshold,7344,61,60,60,42
development_main,flagged,threshold,drop,200,123,218,160,41,set_dwell|L12,1,threshold,7344,82,72,72,51
development_main,flagged,threshold,drop,400,137,218,291,134,query_hard_churn|L15,-1,threshold,7344,3,134,134,3
development_main,flagged,threshold,grasp,0,21,116,0,0,hb_entropy_action|L2,-1,threshold,7344,21,11,11,10
development_main,flagged,threshold,grasp,10,38,116,2,0,set_dwell|L15,-1,threshold,7344,38,73,73,-35
development_main,flagged,threshold,grasp,20,38,116,2,89,set_dwell|L15,-1,threshold,7344,-51,89,89,-51
development_main,flagged,threshold,grasp,38,43,116,25,89,set_dwell|L15,1,threshold,7344,-46,89,89,-46
development_main,flagged,threshold,grasp,57,58,116,51,89,set_dwell|L12,1,threshold,7344,-31,89,89,-31
development_main,flagged,threshold,grasp,80,58,116,51,89,set_dwell|L12,1,threshold,7344,-31,89,89,-31
development_main,flagged,threshold,grasp,120,58,116,51,89,set_dwell|L12,1,threshold,7344,-31,89,89,-31
development_main,flagged,threshold,grasp,200,80,116,160,89,set_dwell|L12,1,threshold,7344,-9,89,89,-9
development_main,flagged,threshold,grasp,400,80,116,160,94,set_dwell|L12,1,threshold,7344,-14,94,94,-14
development_main,flagged,threshold,all,0,108,487,0,0,hb_entropy_action|L2,-1,threshold,7344,108,43,43,65
development_main,flagged,threshold,all,10,139,487,6,0,selected_mass|L2,1,threshold,7344,139,181,181,-42
development_main,flagged,threshold,all,20,167,487,15,222,token_differentiation_d0|L2,-1,threshold,7344,-55,222,222,-55
development_main,flagged,threshold,all,38,167,487,15,222,token_differentiation_d0|L2,-1,threshold,7344,-55,224,224,-57
development_main,flagged,threshold,all,57,196,487,54,222,set_dwell|L15,1,threshold,7344,-26,224,224,-28
development_main,flagged,threshold,all,80,196,487,54,222,set_dwell|L15,1,threshold,7344,-26,224,224,-28
development_main,flagged,threshold,all,120,211,487,110,222,token_differentiation_d0|L2,-1,threshold,7344,-11,244,244,-33
development_main,flagged,threshold,all,200,290,487,160,222,set_dwell|L12,1,threshold,7344,68,261,261,29
development_main,flagged,threshold,all,400,290,487,160,361,set_dwell|L12,1,threshold,7344,-71,361,361,-71
development_main,flagged,change_point,drop,0,55,218,0,0,token_entropy_d0|L2,-1,change_point,14688,55,7,7,48
development_main,flagged,change_point,drop,10,94,218,9,0,token_entropy_d0|L3,-1,change_point,14688,94,32,32,62
development_main,flagged,change_point,drop,20,103,218,20,41,state_mobility_d0|L14,-1,change_point,14688,62,41,41,62
development_main,flagged,change_point,drop,38,103,218,20,41,state_mobility_d0|L14,-1,change_point,14688,62,43,43,60
development_main,flagged,change_point,drop,57,143,218,48,41,state_mobility_d0|L15,-1,change_point,14688,102,47,47,96
development_main,flagged,change_point,drop,80,143,218,48,41,state_mobility_d0|L15,-1,change_point,14688,102,47,47,96
development_main,flagged,change_point,drop,120,167,218,93,41,state_mobility_d0|L15,-1,change_point,14688,126,60,60,107
development_main,flagged,change_point,drop,200,169,218,194,41,state_mobility_d0|L15,-1,change_point,14688,128,72,72,97
development_main,flagged,change_point,drop,400,180,218,345,134,state_mobility_d0|L15,-1,change_point,14688,46,134,134,46
development_main,flagged,change_point,grasp,0,28,116,0,0,token_differentiation_d0|L2,-1,change_point,14688,28,11,11,17
development_main,flagged,change_point,grasp,10,37,116,3,0,token_differentiation_d0|L2,-1,change_point,14688,37,73,73,-36
development_main,flagged,change_point,grasp,20,47,116,14,89,token_differentiation_d0|L2,-1,change_point,14688,-42,89,89,-42
development_main,flagged,change_point,grasp,38,60,116,34,89,token_differentiation_d0|L2,-1,change_point,14688,-29,89,89,-29
development_main,flagged,change_point,grasp,57,60,116,34,89,token_differentiation_d0|L2,-1,change_point,14688,-29,89,89,-29
development_main,flagged,change_point,grasp,80,60,116,34,89,token_differentiation_d0|L2,-1,change_point,14688,-29,89,89,-29
development_main,flagged,change_point,grasp,120,72,116,90,89,set_dwell|L12,1,change_point,14688,-17,89,89,-17
development_main,flagged,change_point,grasp,200,82,116,181,89,set_dwell|L12,1,change_point,14688,-7,89,89,-7
development_main,flagged,change_point,grasp,400,96,116,328,94,set_dwell|L12,1,change_point,14688,2,94,94,2
development_main,flagged,change_point,all,0,99,487,0,0,token_differentiation_d0|L2,-1,change_point,14688,99,43,43,56
development_main,flagged,change_point,all,10,144,487,9,0,token_entropy_d0|L3,-1,change_point,14688,144,181,181,-37
development_main,flagged,change_point,all,20,180,487,14,222,token_differentiation_d0|L2,-1,change_point,14688,-42,222,222,-42
development_main,flagged,change_point,all,38,226,487,34,222,token_differentiation_d0|L2,-1,change_point,14688,4,224,224,2
development_main,flagged,change_point,all,57,226,487,34,222,token_differentiation_d0|L2,-1,change_point,14688,4,224,224,2
development_main,flagged,change_point,all,80,226,487,34,222,token_differentiation_d0|L2,-1,change_point,14688,4,224,224,2
development_main,flagged,change_point,all,120,265,487,93,222,state_mobility_d0|L15,-1,change_point,14688,43,244,244,21
development_main,flagged,change_point,all,200,309,487,181,222,set_dwell|L12,1,change_point,14688,87,261,261,48
development_main,flagged,change_point,all,400,376,487,328,361,set_dwell|L12,1,change_point,14688,15,361,361,15
development_main,flagged,persistence,drop,0,67,218,0,0,selected_mass|L2,-1,persist_frac|g975,44064,67,7,7,60
development_main,flagged,persistence,drop,10,90,218,6,0,flow_path|L2,1,persist_run|g900,44064,90,32,32,58
development_main,flagged,persistence,drop,20,96,218,18,41,flow_path|L14,1,persist_run|g900,44064,55,41,41,55
development_main,flagged,persistence,drop,38,105,218,36,41,flow_path|L13,1,persist_run|g900,44064,64,43,43,62
development_main,flagged,persistence,drop,57,105,218,36,41,flow_path|L13,1,persist_run|g900,44064,64,47,47,58
development_main,flagged,persistence,drop,80,111,218,78,41,flow_path|L15,1,persist_cycles|g975,44064,70,47,47,64
development_main,flagged,persistence,drop,120,121,218,109,41,set_dwell|L12,1,persist_run|g975,44064,80,60,60,61
development_main,flagged,persistence,drop,200,129,218,146,41,query_top1_churn|L15,-1,persist_run|g900,44064,88,72,72,57
development_main,flagged,persistence,drop,400,145,218,246,134,query_hard_churn|L15,-1,persist_run|g975,44064,11,134,134,11
development_main,flagged,persistence,grasp,0,47,116,0,0,mobility_d0|L13,-1,persist_cycles|g900,44064,47,11,11,36
development_main,flagged,persistence,grasp,10,89,116,8,0,set_dwell|L12,1,persist_run|g900,44064,89,73,73,16
development_main,flagged,persistence,grasp,20,89,116,18,89,set_dwell|L2,1,persist_run|g900,44064,0,89,89,0
development_main,flagged,persistence,grasp,38,89,116,18,89,set_dwell|L2,1,persist_run|g900,44064,0,89,89,0
development_main,flagged,persistence,grasp,57,89,116,18,89,set_dwell|L2,1,persist_run|g900,44064,0,89,89,0
development_main,flagged,persistence,grasp,80,89,116,18,89,set_dwell|L2,1,persist_run|g900,44064,0,89,89,0
development_main,flagged,persistence,grasp,120,89,116,18,89,set_dwell|L2,1,persist_run|g900,44064,0,89,89,0
development_main,flagged,persistence,grasp,200,89,116,18,89,set_dwell|L2,1,persist_run|g900,44064,0,89,89,0
development_main,flagged,persistence,grasp,400,100,116,378,94,flow_endpoint|L3,1,persist_cycles|g900,44064,6,94,94,6
development_main,flagged,persistence,all,0,101,487,0,0,token_entropy_d0|L2,-1,persist_run|g975,44064,101,43,43,58
development_main,flagged,persistence,all,10,222,487,8,0,set_dwell|L12,1,persist_run|g900,44064,222,181,181,41
development_main,flagged,persistence,all,20,222,487,18,222,set_dwell|L2,1,persist_run|g900,44064,0,222,222,0
development_main,flagged,persistence,all,38,222,487,18,222,set_dwell|L2,1,persist_run|g900,44064,0,224,224,-2
development_main,flagged,persistence,all,57,222,487,18,222,set_dwell|L2,1,persist_run|g900,44064,0,224,224,-2
development_main,flagged,persistence,all,80,222,487,18,222,set_dwell|L2,1,persist_run|g900,44064,0,224,224,-2
development_main,flagged,persistence,all,120,299,487,109,222,set_dwell|L12,1,persist_run|g975,44064,77,244,244,55
development_main,flagged,persistence,all,200,309,487,162,222,set_dwell|L12,1,persist_cycles|g975,44064,87,261,261,48
development_main,flagged,persistence,all,400,361,487,379,361,set_dwell|L2,1,persist_run|g900,44064,0,361,361,0
development_main,flagged,any,drop,0,72,218,0,0,hb_entropy_action|L2,-1,threshold,66096,72,7,7,65
development_main,flagged,any,drop,10,94,218,9,0,token_entropy_d0|L3,-1,change_point,66096,94,32,32,62
development_main,flagged,any,drop,20,103,218,20,41,state_mobility_d0|L14,-1,change_point,66096,62,41,41,62
development_main,flagged,any,drop,38,105,218,36,41,flow_path|L13,1,persist_run|g900,66096,64,43,43,62
development_main,flagged,any,drop,57,143,218,48,41,state_mobility_d0|L15,-1,change_point,66096,102,47,47,96
development_main,flagged,any,drop,80,143,218,48,41,state_mobility_d0|L15,-1,change_point,66096,102,47,47,96
development_main,flagged,any,drop,120,167,218,93,41,state_mobility_d0|L15,-1,change_point,66096,126,60,60,107
development_main,flagged,any,drop,200,169,218,194,41,state_mobility_d0|L15,-1,change_point,66096,128,72,72,97
development_main,flagged,any,drop,400,180,218,345,134,state_mobility_d0|L15,-1,change_point,66096,46,134,134,46
development_main,flagged,any,grasp,0,47,116,0,0,mobility_d0|L13,-1,persist_cycles|g900,66096,47,11,11,36
development_main,flagged,any,grasp,10,89,116,8,0,set_dwell|L12,1,persist_run|g900,66096,89,73,73,16
development_main,flagged,any,grasp,20,89,116,18,89,set_dwell|L2,1,persist_run|g900,66096,0,89,89,0
development_main,flagged,any,grasp,38,89,116,18,89,set_dwell|L2,1,persist_run|g900,66096,0,89,89,0
development_main,flagged,any,grasp,57,89,116,18,89,set_dwell|L2,1,persist_run|g900,66096,0,89,89,0
development_main,flagged,any,grasp,80,89,116,18,89,set_dwell|L2,1,persist_run|g900,66096,0,89,89,0
development_main,flagged,any,grasp,120,89,116,18,89,set_dwell|L2,1,persist_run|g900,66096,0,89,89,0
development_main,flagged,any,grasp,200,89,116,18,89,set_dwell|L2,1,persist_run|g900,66096,0,89,89,0
development_main,flagged,any,grasp,400,100,116,378,94,flow_endpoint|L3,1,persist_cycles|g900,66096,6,94,94,6
development_main,flagged,any,all,0,108,487,0,0,hb_entropy_action|L2,-1,threshold,66096,108,43,43,65
development_main,flagged,any,all,10,222,487,8,0,set_dwell|L12,1,persist_run|g900,66096,222,181,181,41
development_main,flagged,any,all,20,222,487,18,222,set_dwell|L2,1,persist_run|g900,66096,0,222,222,0
development_main,flagged,any,all,38,226,487,34,222,token_differentiation_d0|L2,-1,change_point,66096,4,224,224,2
development_main,flagged,any,all,57,226,487,34,222,token_differentiation_d0|L2,-1,change_point,66096,4,224,224,2
development_main,flagged,any,all,80,226,487,34,222,token_differentiation_d0|L2,-1,change_point,66096,4,224,224,2
development_main,flagged,any,all,120,299,487,109,222,set_dwell|L12,1,persist_run|g975,66096,77,244,244,55
development_main,flagged,any,all,200,309,487,181,222,set_dwell|L12,1,change_point,66096,87,261,261,48
development_main,flagged,any,all,400,376,487,328,361,set_dwell|L12,1,change_point,66096,15,361,361,15
development_main,null_noise,threshold,drop,0,0,218,0,0,,0,,272,0,7,7,-7
development_main,null_noise,threshold,drop,10,2,218,8,0,ctrl_white_noise|L14,1,threshold,272,2,32,32,-30
development_main,null_noise,threshold,drop,20,2,218,13,41,ctrl_white_noise|L13,1,threshold,272,-39,41,41,-39
development_main,null_noise,threshold,drop,38,2,218,29,41,ctrl_white_noise|L3,-1,threshold,272,-39,43,43,-41
development_main,null_noise,threshold,drop,57,4,218,53,41,ctrl_white_noise|L4,-1,threshold,272,-37,47,47,-43
development_main,null_noise,threshold,drop,80,5,218,75,41,ctrl_white_noise|L4,-1,threshold,272,-36,47,47,-42
development_main,null_noise,threshold,drop,120,7,218,106,41,ctrl_white_noise|L3,-1,threshold,272,-34,60,60,-53
development_main,null_noise,threshold,drop,200,8,218,154,41,ctrl_white_noise|L4,-1,threshold,272,-33,72,72,-64
development_main,null_noise,threshold,drop,400,15,218,305,134,ctrl_white_noise|L2,-1,threshold,272,-119,134,134,-119
development_main,null_noise,threshold,grasp,0,0,116,0,0,,0,,272,0,11,11,-11
development_main,null_noise,threshold,grasp,10,2,116,4,0,ctrl_white_noise|L12,-1,threshold,272,2,73,73,-71
development_main,null_noise,threshold,grasp,20,2,116,11,89,ctrl_white_noise|L2,1,threshold,272,-87,89,89,-87
development_main,null_noise,threshold,grasp,38,3,116,29,89,ctrl_white_noise|L5,-1,threshold,272,-86,89,89,-86
development_main,null_noise,threshold,grasp,57,4,116,52,89,ctrl_white_noise|L5,-1,threshold,272,-85,89,89,-85
development_main,null_noise,threshold,grasp,80,6,116,69,89,ctrl_white_noise|L5,-1,threshold,272,-83,89,89,-83
development_main,null_noise,threshold,grasp,120,7,116,102,89,ctrl_white_noise|L5,-1,threshold,272,-82,89,89,-82
development_main,null_noise,threshold,grasp,200,9,116,148,89,ctrl_white_noise|L5,-1,threshold,272,-80,89,89,-80
development_main,null_noise,threshold,grasp,400,16,116,305,94,ctrl_white_noise|L2,-1,threshold,272,-78,94,94,-78
development_main,null_noise,threshold,all,0,0,487,0,0,,0,,272,0,43,43,-43
development_main,null_noise,threshold,all,10,4,487,9,0,ctrl_white_noise|L12,-1,threshold,272,4,181,181,-177
development_main,null_noise,threshold,all,20,4,487,20,222,ctrl_white_noise|L3,-1,threshold,272,-218,222,222,-218
development_main,null_noise,threshold,all,38,7,487,38,222,ctrl_white_noise|L5,-1,threshold,272,-215,224,224,-217
development_main,null_noise,threshold,all,57,9,487,49,222,ctrl_white_noise|L12,-1,threshold,272,-213,224,224,-215
development_main,null_noise,threshold,all,80,14,487,69,222,ctrl_white_noise|L5,-1,threshold,272,-208,224,224,-210
development_main,null_noise,threshold,all,120,19,487,102,222,ctrl_white_noise|L5,-1,threshold,272,-203,244,244,-225
development_main,null_noise,threshold,all,200,25,487,148,222,ctrl_white_noise|L5,-1,threshold,272,-197,261,261,-236
development_main,null_noise,threshold,all,400,41,487,305,361,ctrl_white_noise|L2,-1,threshold,272,-320,361,361,-320
development_main,null_noise,change_point,drop,0,0,218,0,0,,0,,544,0,7,7,-7
development_main,null_noise,change_point,drop,10,3,218,8,0,ctrl_white_noise|L14,1,change_point,544,3,32,32,-29
development_main,null_noise,change_point,drop,20,3,218,8,41,ctrl_white_noise|L14,1,change_point,544,-38,41,41,-38
development_main,null_noise,change_point,drop,38,5,218,37,41,ctrl_white_noise|L5,-1,change_point,544,-36,43,43,-38
development_main,null_noise,change_point,drop,57,9,218,52,41,ctrl_white_noise|L5,-1,change_point,544,-32,47,47,-38
development_main,null_noise,change_point,drop,80,10,218,79,41,ctrl_white_noise|L5,-1,change_point,544,-31,47,47,-37
development_main,null_noise,change_point,drop,120,10,218,79,41,ctrl_white_noise|L5,-1,change_point,544,-31,60,60,-50
development_main,null_noise,change_point,drop,200,16,218,179,41,ctrl_white_noise|L5,-1,change_point,544,-25,72,72,-56
