detector,cohort,budget_dev_fp_lead4,arm,config,n_drop,n_grasp,n_risk,alarms,median_lead_at_lead4,tp_lead0,fp_lead0,tp_drop_lead0,tp_grasp_lead0,tp_other_lead0,tp_lead2,fp_lead2,tp_drop_lead2,tp_grasp_lead2,tp_other_lead2,tp_lead4,fp_lead4,tp_drop_lead4,tp_grasp_lead4,tp_other_lead4,tp_lead8,fp_lead8,tp_drop_lead8,tp_grasp_lead8,tp_other_lead8,tp_lead12,fp_lead12,tp_drop_lead12,tp_grasp_lead12,tp_other_lead12,base_protocol_tp_all,excess_protocol_tp_all,base_protocol_tp_drop,excess_protocol_tp_drop,base_protocol_tp_grasp,excess_protocol_tp_grasp
union_of_two_mode_heads,external_8b,28,change_point,token_entropy_d0|L3|sign-1|change_point|k430 OR token_differentiation_d0|L2|sign-1|change_point|k215,241,143,564,643,10.0,329,314,148,94,87,324,102,148,91,85,317,25,144,90,83,300,7,133,88,79,59,0,13,28,18,0,317,0,144,0,90
union_of_two_undifferentiated_heads,external_8b,28,change_point,token_differentiation_d0|L2|sign-1|change_point|k215 OR token_entropy_d0|L2|sign-1|change_point|k608,241,143,564,783,10.0,350,433,157,95,98,344,147,156,92,96,330,60,146,90,94,304,34,127,89,88,111,7,28,37,46,274,56,50,96,112,-22
single_undifferentiated,development_main,28,persistence,mobility_d0|L3|sign+1|persist_cycles|g975|k152,218,116,487,498,8.0,182,316,96,38,48,173,137,94,35,44,163,10,89,35,39,85,1,48,17,20,24,1,11,3,10,0,163,0,89,0,35
drop_head_only,development_main,28,persistence,flow_path|L2|sign+1|persist_run|g975|k152,218,116,487,179,10.5,146,33,93,23,30,144,21,92,23,29,144,12,92,23,29,118,3,88,11,19,32,2,25,2,5,0,144,0,92,0,23
grasp_head_only,development_main,28,persistence,token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,218,116,487,158,10.0,118,40,16,61,41,112,31,13,60,39,99,12,10,54,35,71,4,6,39,26,48,1,4,26,18,0,99,0,10,0,54
union_of_two_mode_heads,development_main,28,persistence,flow_path|L2|sign+1|persist_run|g975|k152 OR token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,218,116,487,337,10.0,264,73,109,84,71,256,52,105,83,68,243,24,102,77,64,189,7,94,50,45,80,3,29,28,23,222,21,41,61,89,-12
union_of_two_undifferentiated_heads,development_main,28,persistence,mobility_d0|L3|sign+1|persist_cycles|g975|k152 OR flow_path|L2|sign+1|persist_run|g975|k152,218,116,487,540,11.0,199,341,104,39,56,192,154,103,38,51,183,20,99,38,46,145,3,96,21,28,52,2,34,5,13,222,-39,41,58,89,-51
single_undifferentiated,external_8b,28,persistence,mobility_d0|L3|sign+1|persist_cycles|g975|k152,241,143,564,235,6.0,169,66,69,41,59,165,33,68,41,56,143,25,57,36,50,48,11,10,15,23,43,4,8,14,21,0,143,0,57,0,36
drop_head_only,external_8b,28,persistence,flow_path|L2|sign+1|persist_run|g975|k152,241,143,564,155,7.0,146,9,95,26,25,145,7,94,26,25,144,4,94,26,24,61,3,49,7,5,5,0,3,0,2,0,144,0,94,0,26
grasp_head_only,external_8b,28,persistence,token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,241,143,564,132,10.0,111,21,7,66,38,103,18,2,66,35,76,14,1,51,24,50,4,1,33,16,25,0,0,16,9,0,76,0,1,0,51
union_of_two_mode_heads,external_8b,28,persistence,flow_path|L2|sign+1|persist_run|g975|k152 OR token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,241,143,564,287,8.0,257,30,102,92,63,248,25,96,92,60,220,18,95,77,48,111,7,50,40,21,30,0,3,16,11,0,220,0,95,0,77
union_of_two_undifferentiated_heads,external_8b,28,persistence,mobility_d0|L3|sign+1|persist_cycles|g975|k152 OR flow_path|L2|sign+1|persist_run|g975|k152,241,143,564,299,8.0,226,73,109,47,70,221,38,107,47,67,212,27,105,47,60,107,14,58,22,27,46,4,10,14,22,0,212,0,105,0,47
single_undifferentiated,development_main,28,any,token_differentiation_d0|L2|sign-1|change_point|k215,218,116,487,215,9.0,182,33,83,48,51,182,24,83,48,51,180,14,83,47,50,142,2,66,37,39,42,2,7,19,16,0,180,0,83,0,47
drop_head_only,development_main,28,any,token_entropy_d0|L3|sign-1|change_point|k430,218,116,487,430,10.0,146,284,95,23,28,144,96,94,22,28,144,9,94,22,28,142,3,94,22,26,14,0,9,0,5,0,144,0,94,0,22
grasp_head_only,development_main,28,any,token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,218,116,487,158,10.0,118,40,16,61,41,112,31,13,60,39,99,12,10,54,35,71,4,6,39,26,48,1,4,26,18,0,99,0,10,0,54
union_of_two_mode_heads,development_main,28,any,token_entropy_d0|L3|sign-1|change_point|k430 OR token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,218,116,487,587,10.0,263,324,111,84,68,255,127,107,82,66,242,21,104,76,62,212,7,100,61,51,62,1,13,26,23,222,20,41,63,89,-13
union_of_two_undifferentiated_heads,development_main,28,any,token_differentiation_d0|L2|sign-1|change_point|k215 OR mobility_d0|L3|sign+1|persist_cycles|g975|k152,218,116,487,693,9.0,344,349,172,80,92,337,161,170,77,90,330,24,168,76,86,224,3,112,53,59,65,3,18,21,26,222,108,41,127,89,-13
single_undifferentiated,external_8b,28,any,token_differentiation_d0|L2|sign-1|change_point|k215,241,143,564,215,9.0,170,45,51,64,55,165,33,51,61,53,160,15,49,60,51,152,2,44,59,49,53,0,10,27,16,0,160,0,49,0,60
drop_head_only,external_8b,28,any,token_entropy_d0|L3|sign-1|change_point|k430,241,143,564,430,10.0,161,269,97,30,34,161,69,97,30,34,158,10,95,30,33,149,5,89,29,31,6,0,3,1,2,0,158,0,95,0,30
grasp_head_only,external_8b,28,any,token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,241,143,564,132,10.0,111,21,7,66,38,103,18,2,66,35,76,14,1,51,24,50,4,1,33,16,25,0,0,16,9,0,76,0,1,0,51
union_of_two_mode_heads,external_8b,28,any,token_entropy_d0|L3|sign-1|change_point|k430 OR token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,241,143,564,560,10.0,270,290,104,96,70,262,87,99,96,67,232,24,96,81,55,199,9,90,62,47,31,0,3,17,11,0,232,0,96,0,81
union_of_two_undifferentiated_heads,external_8b,28,any,token_differentiation_d0|L2|sign-1|change_point|k215 OR mobility_d0|L3|sign+1|persist_cycles|g975|k152,241,143,564,408,8.0,302,106,116,92,94,294,63,115,89,90,267,37,102,83,82,169,12,50,63,56,95,4,18,41,36,274,-7,50,52,112,-29
single_undifferentiated,development_main,38,threshold,token_differentiation_d0|L2|sign-1|threshold|k215,218,116,487,215,9.0,167,48,87,38,42,167,24,87,38,42,167,15,87,38,42,144,5,79,31,34,35,4,5,14,16,0,167,0,87,0,38
drop_head_only,development_main,38,threshold,hb_entropy_action|L2|sign-1|threshold|k860,218,116,487,862,11.0,137,725,90,24,23,137,172,90,24,23,136,13,89,24,23,129,6,82,24,23,59,3,30,17,12,0,136,0,89,0,24
