cohort,suite,chunk,phase,in_window_65,max_abs_effect,n_cells,median_n_tasks,n_alive,n_alive_risk,survival_prior,control_max_abs_effect,fwer_p95
external_8b,libero_object,13,0.5,True,0.35563,208,6.0,1735,44,0.0253602,0.142409,0.1928326131784169
external_8b,libero_spatial,4,0.227273,True,0.101633,208,9.0,4000,140,0.035,0.0492248,0.13338079113436965
external_8b,libero_spatial,5,0.272727,True,0.0946837,208,9.0,4000,140,0.035,0.0533827,0.13338079113436965
external_8b,libero_spatial,6,0.318182,True,0.192608,208,9.0,4000,140,0.035,0.0492248,0.13338079113436965
external_8b,libero_spatial,7,0.363636,True,0.275229,208,9.0,3986,140,0.0351229,0.0492248,0.13338079113436965
external_8b,libero_spatial,8,0.409091,True,0.308517,208,9.0,3677,140,0.0380745,0.067959,0.13338079113436965
external_8b,libero_spatial,9,0.454545,True,0.319779,208,8.0,2975,140,0.0470588,0.0501208,0.13338079113436965
external_8b,libero_spatial,10,0.5,True,0.389419,208,8.0,2070,140,0.0676329,0.0453268,0.13338079113436965
external_8b,libero_spatial,11,0.545455,True,0.360655,208,7.0,1500,140,0.0933333,0.02856,0.13338079113436965
external_8b,libero_spatial,12,0.590909,True,0.411074,208,4.0,764,140,0.183246,0.0738033,0.13338079113436965
