cohort,arm,suite,fp_allocated,chunk,phase,alpha,tp,fp,n_risk,recall,head
external_8b,routing_stacked_mv:dev_fitted_transfer,libero_object,8,17,0.6428571428571429,0.3,34,8,44,0.7727272727272727,routing_stacked_mv:dev_fitted_transfer
external_8b,routing_stacked_mv:dev_fitted_transfer,libero_spatial,16,11,0.5454545454545454,0.05,65,16,140,0.4642857142857143,routing_stacked_mv:dev_fitted_transfer
external_8b,null_stacked_mv:dev_fitted_transfer,libero_goal,2,18,0.6333333333333333,0.01,8,2,106,0.07547169811320754,null_stacked_mv:dev_fitted_transfer
external_8b,null_stacked_mv:dev_fitted_transfer,libero_long,28,31,0.6153846153846154,0.1,35,28,274,0.12773722627737227,null_stacked_mv:dev_fitted_transfer
external_8b,null_stacked_mv:dev_fitted_transfer,libero_object,19,17,0.6428571428571429,0.3,23,19,44,0.5227272727272727,null_stacked_mv:dev_fitted_transfer
external_8b,null_stacked_mv:dev_fitted_transfer,libero_spatial,24,13,0.6363636363636364,0.15,30,24,140,0.21428571428571427,null_stacked_mv:dev_fitted_transfer
external_8b,routing_best_of_all,libero_goal,7,18,0.6333333333333333,0.2,61,7,106,0.5754716981132075,routing_best_of_all
external_8b,routing_best_of_all,libero_long,21,32,0.6346153846153846,0.3,152,21,274,0.5547445255474452,routing_best_of_all
external_8b,routing_best_of_all,libero_object,7,17,0.6428571428571429,0.3,35,7,44,0.7954545454545454,routing_best_of_all
external_8b,routing_best_of_all,libero_spatial,40,11,0.5454545454545454,0.075,76,40,140,0.5428571428571428,routing_best_of_all
