directory,canonical_name,audit_family,is_reproduction_or_sensitivity,file_count,bytes,report_count,summary_count,reports,summaries
control-route-speed,control-route-speed,routing_dynamics_and_state_readout,False,2,24788,1,1,analysis/control-route-speed/report.md,analysis/control-route-speed/summary.json
cross-task-layer-denoise-transfer-20260828,cross-task-layer-denoise-transfer-20260828,routing_dynamics_and_state_readout,False,11,16589130,1,1,analysis/cross-task-layer-denoise-transfer-20260828/report.md,analysis/cross-task-layer-denoise-transfer-20260828/summary.json
cumulative-moe-prefix,cumulative-moe-prefix,routing_dynamics_and_state_readout,False,3,31586,1,1,analysis/cumulative-moe-prefix/flow-lead-real/report.md,analysis/cumulative-moe-prefix/flow-lead-real/summary.json
denoise-stop-sweep,denoise-stop-sweep,denoise_stopping,False,5,31935783,1,1,analysis/denoise-stop-sweep/report.md,analysis/denoise-stop-sweep/summary.json
denoise-stop-sweep-long-internal,denoise-stop-sweep-long-internal,denoise_stopping,False,5,31756871,1,1,analysis/denoise-stop-sweep-long-internal/report.md,analysis/denoise-stop-sweep-long-internal/summary.json
early-action-head,early-action-head,candidate_selection_and_budget,False,2,929882,1,1,analysis/early-action-head/REPORT.md,analysis/early-action-head/summary.json
expert-activation-future,expert-activation-future,expert_mechanism_and_output,False,4,85538068,1,1,analysis/expert-activation-future/long-t08/report.md,analysis/expert-activation-future/long-t08/summary.json
expert-activation-hidden-matched,expert-activation-hidden-matched,expert_mechanism_and_output,False,16,283967,6,5,analysis/expert-activation-hidden-matched/REPORT.md;analysis/expert-activation-hidden-matched/goal-middle/REPORT.md;analysis/expert-activation-hidden-matched/goal-top/REPORT.md;analysis/expert-activation-hidden-matched/long-t08/REPORT.md;analysis/expert-activation-hidden-matched/spatial-ramekin/REPORT.md;analysis/expert-activation-hidden-matched/spatial-stove/REPORT.md,analysis/expert-activation-hidden-matched/goal-middle/summary.json;analysis/expert-activation-hidden-matched/goal-top/summary.json;analysis/expert-activation-hidden-matched/long-t08/summary.json;analysis/expert-activation-hidden-matched/spatial-ramekin/summary.json;analysis/expert-activation-hidden-matched/spatial-stove/summary.json
expert-activation-stop-audit,expert-activation-stop-audit,expert_mechanism_and_output,False,9,11074470,1,1,analysis/expert-activation-stop-audit/long-t08/report.md,analysis/expert-activation-stop-audit/long-t08/summary.json
expert-activation-v2,expert-activation-v2,expert_mechanism_and_output,False,6,931096991,1,1,analysis/expert-activation-v2/long-t08/report.md,analysis/expert-activation-v2/long-t08/summary.json
expert-contribution,expert-contribution,expert_mechanism_and_output,False,2,8566,0,1,,analysis/expert-contribution/summary.json
expert-swap,expert-swap,intervention_and_pruning,False,2,1014,0,1,,analysis/expert-swap/summary.json
failure-behavior-taxonomy,failure-behavior-taxonomy,physical_failure_labels,False,10,2722684,1,1,analysis/failure-behavior-taxonomy/report.md,analysis/failure-behavior-taxonomy/summary.json
failure-event-audit,failure-event-audit,physical_failure_labels,False,5,471669,1,1,analysis/failure-event-audit/report.md,analysis/failure-event-audit/summary.json
failure-moe-signatures,failure-moe-signatures,failure_routing_and_recovery,False,12,3413485,1,1,analysis/failure-moe-signatures/report.md,analysis/failure-moe-signatures/summary.json
failure-moe-signatures-fixed,failure-moe-signatures-fixed,failure_routing_and_recovery,False,10,94017003,1,1,analysis/failure-moe-signatures-fixed/report.md,analysis/failure-moe-signatures-fixed/summary.json
failure-moe-signatures-repro,failure-moe-signatures,failure_routing_and_recovery,True,12,3413485,1,1,analysis/failure-moe-signatures-repro/report.md,analysis/failure-moe-signatures-repro/summary.json
failure-rollout-periodicity,failure-rollout-periodicity,failure_routing_and_recovery,False,3,2624357,1,1,analysis/failure-rollout-periodicity/report.md,analysis/failure-rollout-periodicity/summary.json
failure-routing-clusters,failure-routing-clusters,failure_routing_and_recovery,False,9,867692,1,1,analysis/failure-routing-clusters/report.md,analysis/failure-routing-clusters/summary.json
failure-routing-clusters-repro,failure-routing-clusters,failure_routing_and_recovery,True,9,867650,1,1,analysis/failure-routing-clusters-repro/report.md,analysis/failure-routing-clusters-repro/summary.json
failure-type-method-review,failure-type-method-review,meta_audit,False,1,8630,1,0,analysis/failure-type-method-review/report.md,
failure-type-synthesis,failure-type-synthesis,meta_audit,False,1,5457,1,0,analysis/failure-type-synthesis/report.md,
fixed-expert-flow-displacement,fixed-expert-flow-displacement,expert_mechanism_and_output,False,2,146223,1,1,analysis/fixed-expert-flow-displacement/REPORT.md,analysis/fixed-expert-flow-displacement/summary.json
flow-lead,flow-lead,capture_and_fidelity,False,1,5306,0,0,,
flow-lead-cpu,flow-lead-cpu,capture_and_fidelity,False,1,2311,0,0,,
fork-fidelity,fork-fidelity,capture_and_fidelity,False,3,23404,0,0,,
fork-pilot,fork-pilot,capture_and_fidelity,False,1,2304,0,0,,
fork-pilot-n32,fork-pilot-n32,capture_and_fidelity,False,1,2848,0,0,,
full-geometry-routing-ladder,full-geometry-routing-ladder,rolling_or_early_outcome,False,5,1394933,1,1,analysis/full-geometry-routing-ladder/report.md,analysis/full-geometry-routing-ladder/summary.json
graph-phase,graph-phase,router_structure_and_numeric,False,1,1465,0,1,,analysis/graph-phase/summary.json
graph-separability,graph-separability,router_structure_and_numeric,False,2,9066,0,1,,analysis/graph-separability/summary.json
initial-state-early-moe-signal-20260828,initial-state-early-moe-signal-20260828,rolling_or_early_outcome,False,9,7118172,1,1,analysis/initial-state-early-moe-signal-20260828/report.md,analysis/initial-state-early-moe-signal-20260828/summary.json
initial-state-early-moe-signal-pca32-20260828,initial-state-early-moe-signal-20260828,rolling_or_early_outcome,True,9,7169110,1,1,analysis/initial-state-early-moe-signal-pca32-20260828/report.md,analysis/initial-state-early-moe-signal-pca32-20260828/summary.json
internal-mlp-activation-v3,internal-mlp-activation-v3,intervention_and_pruning,False,5,812372,0,0,,
intraquery-continuous-markov-transfer,intraquery-continuous-markov-transfer,routing_dynamics_and_state_readout,False,2,482463,1,1,analysis/intraquery-continuous-markov-transfer/REPORT.md,analysis/intraquery-continuous-markov-transfer/summary.json
intraquery-markov,intraquery-markov,routing_dynamics_and_state_readout,False,6,2468444,1,1,analysis/intraquery-markov/REPORT.md,analysis/intraquery-markov/summary.json
intraquery-markov-transfer,intraquery-markov-transfer,routing_dynamics_and_state_readout,False,3,479169,1,1,analysis/intraquery-markov-transfer/REPORT.md,analysis/intraquery-markov-transfer/summary.json
k32-route-trajectories,k32-route-trajectories,capture_and_fidelity,False,6,1250907,1,1,analysis/k32-route-trajectories/report.md,analysis/k32-route-trajectories/summary.json
libero30-right-v1,libero30-right-v1,capture_and_fidelity,False,2,96883,0,1,,analysis/libero30-right-v1/summary.json
libero30-right-v1-eq192,libero30-right-v1-eq192,capture_and_fidelity,False,2,96877,0,1,,analysis/libero30-right-v1-eq192/summary.json
markov-routing-all,markov-routing-all,routing_dynamics_and_state_readout,False,7,408732,1,1,analysis/markov-routing-all/REPORT.md,analysis/markov-routing-all/summary.json
markov-routing-t08,markov-routing-t08,routing_dynamics_and_state_readout,False,3,91930,1,1,analysis/markov-routing-t08/REPORT.md,analysis/markov-routing-t08/summary.json
moe-action-decision-formation,moe-action-decision-formation,router_structure_and_numeric,False,1,21930,1,0,analysis/moe-action-decision-formation/REPORT.md,
moe-connectivity-graph,moe-connectivity-graph,router_structure_and_numeric,False,5,1490395,1,1,analysis/moe-connectivity-graph/REPORT.md,analysis/moe-connectivity-graph/summary.json
moe-consensus-audit,moe-consensus-audit,candidate_selection_and_budget,False,2,289848,1,1,analysis/moe-consensus-audit/legacy-k32/REPORT.md,analysis/moe-consensus-audit/legacy-k32/summary.json
moe-current-data-audit,moe-current-data-audit,meta_audit,False,54,6878131,15,14,analysis/moe-current-data-audit/REPORT.md;analysis/moe-current-data-audit/action-commitment/REPORT.md;analysis/moe-current-data-audit/control-route-speed/report.md;analysis/moe-current-data-audit/cross-task/REPORT.md;analysis/moe-current-data-audit/cumulative-moe-prefix/report.md;analysis/moe-current-data-audit/early-action-head/REPORT.md;analysis/moe-current-data-audit/fixed-expert-flow-displacement/REPORT.md;analysis/moe-current-data-audit/markov-routing-all/REPORT.md;analysis/moe-current-data-audit/moe-value-signal/report.md;analysis/moe-current-data-audit/opportunity/REPORT.md;analysis/moe-current-data-audit/raw-size-hidden-matched/REPORT.md;analysis/moe-current-data-audit/route-noise-selector/report.md;analysis/moe-current-data-audit/route-outcome/REPORT.md;analysis/moe-current-data-audit/unsupervised-moe-dynamics/report.md;analysis/moe-current-data-audit/weighted-noise-evolution/report.md,analysis/moe-current-data-audit/action-commitment/summary.json;analysis/moe-current-data-audit/control-route-speed/summary.json;analysis/moe-current-data-audit/cumulative-moe-prefix/summary.json;analysis/moe-current-data-audit/early-action-head/summary.json;analysis/moe-current-data-audit/fixed-expert-flow-displacement/summary.json;analysis/moe-current-data-audit/markov-routing-all/summary.json;analysis/moe-current-data-audit/mechanism/summary.json;analysis/moe-current-data-audit/moe-value-signal/summary.json;analysis/moe-current-data-audit/opportunity/summary.json;analysis/moe-current-data-audit/raw-size-hidden-matched/summary.json;analysis/moe-current-data-audit/route-noise-selector/summary.json;analysis/moe-current-data-audit/route-outcome/summary.json;analysis/moe-current-data-audit/unsupervised-moe-dynamics/summary.json;analysis/moe-current-data-audit/weighted-noise-evolution/summary.json
moe-rollout-trend,moe-rollout-trend,rolling_or_early_outcome,False,45,688019412,1,1,analysis/moe-rollout-trend/report.md,analysis/moe-rollout-trend/summary.json
moe-state-impact,moe-state-impact,routing_dynamics_and_state_readout,False,12,313798737,1,1,analysis/moe-state-impact/report.md,analysis/moe-state-impact/summary.json
moe-svd,moe-svd,expert_mechanism_and_output,False,3,57613,1,1,analysis/moe-svd/report.md,analysis/moe-svd/summary.json
moe-value-signal,moe-value-signal,candidate_selection_and_budget,False,3,113798,1,1,analysis/moe-value-signal/report.md,analysis/moe-value-signal/summary.json
near-tie,near-tie,router_structure_and_numeric,False,2,1852,0,1,,analysis/near-tie/summary.json
objstate-t0s24,objstate-t0s24,capture_and_fidelity,False,4,31082,0,0,,
objstate-t1s19,objstate-t1s19,capture_and_fidelity,False,1,3795,0,0,,
objstate-t3s0,objstate-t3s0,capture_and_fidelity,False,1,7357,0,0,,
offline-vector-screen,offline-vector-screen,expert_mechanism_and_output,False,3,58172879,1,1,analysis/offline-vector-screen/REPORT.md,analysis/offline-vector-screen/summary.json
oracle-gate,oracle-gate,candidate_selection_and_budget,False,3,16191,1,1,analysis/oracle-gate/report.md,analysis/oracle-gate/summary.json
post-error-adaptation-20260828,post-error-adaptation-20260828,failure_routing_and_recovery,False,17,1788488,0,1,,analysis/post-error-adaptation-20260828/summary.json
post-error-recovery-hub,post-error-recovery-hub,failure_routing_and_recovery,False,28,1616842,1,1,analysis/post-error-recovery-hub/report.md,analysis/post-error-recovery-hub/summary.json
preaction64x8-s24-mig2g-pilot,preaction64x8-s24-mig2g-pilot,capture_and_fidelity,False,2,1827,1,0,analysis/preaction64x8-s24-mig2g-pilot/REPORT.md,
prefix-commitment-k6,prefix-commitment-k6,rolling_or_early_outcome,False,4,248311,1,0,analysis/prefix-commitment-k6/REPORT.md,
prefix-commitment-s24-mig2g-pilot,prefix-commitment-s24-mig2g-pilot,capture_and_fidelity,False,2,2313,1,0,analysis/prefix-commitment-s24-mig2g-pilot/REPORT.md,
prefix-commitment-s24-pilot,prefix-commitment-s24-pilot,capture_and_fidelity,False,2,2307,1,0,analysis/prefix-commitment-s24-pilot/REPORT.md,
prune-curve,prune-curve,intervention_and_pruning,False,4,2124468,0,0,,
raw-expert-amplitude,raw-expert-amplitude,expert_mechanism_and_output,False,4,1635657,1,1,analysis/raw-expert-amplitude/REPORT.md,analysis/raw-expert-amplitude/summary.json
raw-internal-activation-correction,raw-internal-activation-correction,intervention_and_pruning,False,8,1556029,1,1,analysis/raw-internal-activation-correction/observational-hb5-d0/REPORT.md,analysis/raw-internal-activation-correction/observational-hb5-d0/summary.json
raw-pruning-v5,raw-pruning-v5,intervention_and_pruning,False,1,3788,0,0,,
raw-size-hidden-matched,raw-size-hidden-matched,expert_mechanism_and_output,False,3,985376,1,1,analysis/raw-size-hidden-matched/REPORT.md,analysis/raw-size-hidden-matched/summary.json
replanning-reset-trap,replanning-reset-trap,failure_routing_and_recovery,False,7,22611157,1,1,analysis/replanning-reset-trap/report.md,analysis/replanning-reset-trap/summary.json
residual-failure-dynamics,residual-failure-dynamics,failure_routing_and_recovery,False,5,1236692,1,1,analysis/residual-failure-dynamics/report.md,analysis/residual-failure-dynamics/summary.json
residual-failure-dynamics-repro,residual-failure-dynamics,failure_routing_and_recovery,True,5,1236692,1,1,analysis/residual-failure-dynamics-repro/report.md,analysis/residual-failure-dynamics-repro/summary.json
residual-failure-moe-atlas-20260828,residual-failure-moe-atlas-20260828,failure_routing_and_recovery,False,28,7568846,1,1,analysis/residual-failure-moe-atlas-20260828/report.md,analysis/residual-failure-moe-atlas-20260828/summary.json
residual-failure-physical-audit,residual-failure-physical-audit,physical_failure_labels,False,6,898410,1,1,analysis/residual-failure-physical-audit/report.md,analysis/residual-failure-physical-audit/summary.json
residual-failure-physical-audit-repro,residual-failure-physical-audit,physical_failure_labels,True,6,898410,1,1,analysis/residual-failure-physical-audit-repro/report.md,analysis/residual-failure-physical-audit-repro/summary.json
residual-failure-subtypes,residual-failure-subtypes,physical_failure_labels,False,5,5460627,1,1,analysis/residual-failure-subtypes/report.md,analysis/residual-failure-subtypes/summary.json
residual-failure-subtypes-repro,residual-failure-subtypes,physical_failure_labels,True,6,5495415,1,1,analysis/residual-failure-subtypes-repro/report.md,analysis/residual-failure-subtypes-repro/summary.json
residual-failure-subtypes-repro-seed11,residual-failure-subtypes,physical_failure_labels,True,5,5460609,1,1,analysis/residual-failure-subtypes-repro-seed11/report.md,analysis/residual-failure-subtypes-repro-seed11/summary.json
residual-failure-subtypes-repro-seed20250101,residual-failure-subtypes,physical_failure_labels,True,5,5460187,1,1,analysis/residual-failure-subtypes-repro-seed20250101/report.md,analysis/residual-failure-subtypes-repro-seed20250101/summary.json
residual-failure-subtypes-repro-seed987654321,residual-failure-subtypes,physical_failure_labels,True,5,5460509,1,1,analysis/residual-failure-subtypes-repro-seed987654321/report.md,analysis/residual-failure-subtypes-repro-seed987654321/summary.json
route-change-events,route-change-events,failure_routing_and_recovery,False,4,1112535,1,1,analysis/route-change-events/report.md,analysis/route-change-events/summary.json
route-change-events-repro,route-change-events,failure_routing_and_recovery,True,4,1112538,1,1,analysis/route-change-events-repro/report.md,analysis/route-change-events-repro/summary.json
route-change-events-repro-seed12345,route-change-events,failure_routing_and_recovery,True,4,1112570,1,1,analysis/route-change-events-repro-seed12345/report.md,analysis/route-change-events-repro-seed12345/summary.json
route-change-events-repro-seed20260830,route-change-events,failure_routing_and_recovery,True,4,1112539,1,1,analysis/route-change-events-repro-seed20260830/report.md,analysis/route-change-events-repro-seed20260830/summary.json
route-change-events-repro-seed999,route-change-events,failure_routing_and_recovery,True,4,1112554,1,1,analysis/route-change-events-repro-seed999/report.md,analysis/route-change-events-repro-seed999/summary.json
route-noise-selector,route-noise-selector,candidate_selection_and_budget,False,3,331631,1,1,analysis/route-noise-selector/report.md,analysis/route-noise-selector/summary.json
route-prune-vote,route-prune-vote,intervention_and_pruning,False,1,493623,0,0,,
router-audit,router-audit,router_structure_and_numeric,False,2,11805,0,1,,analysis/router-audit/summary.json
router-quantization-identifiability,router-quantization-identifiability,router_structure_and_numeric,False,8,760004,1,1,analysis/router-quantization-identifiability/report.md,analysis/router-quantization-identifiability/summary.json
routing-cloud-k11-s24,routing-cloud-k11-s24,capture_and_fidelity,False,2,16806,0,0,,
routing-go-no-go-20260828,routing-go-no-go-20260828,meta_audit,False,2,17576,1,1,analysis/routing-go-no-go-20260828/report.md,analysis/routing-go-no-go-20260828/summary.json
routing-graph,routing-graph,router_structure_and_numeric,False,4,359939,0,0,,
routing-graph-decorr,routing-graph-decorr,router_structure_and_numeric,False,2,135050,0,0,,
routing-organization-synthesis,routing-organization-synthesis,meta_audit,False,1,8689,1,0,analysis/routing-organization-synthesis/report.md,
routing-state-grammar,routing-state-grammar,failure_routing_and_recovery,False,7,859155,1,1,analysis/routing-state-grammar/report.md,analysis/routing-state-grammar/summary.json
routing-state-grammar-repro,routing-state-grammar,failure_routing_and_recovery,True,6,855281,1,1,analysis/routing-state-grammar-repro/report.md,analysis/routing-state-grammar-repro/summary.json
runtime-scalar-pilot,runtime-scalar-pilot,intervention_and_pruning,False,3,343219,1,1,analysis/runtime-scalar-pilot/REPORT.md,analysis/runtime-scalar-pilot/summary.json
runtime-vector-grid-v3,runtime-vector-grid-v3,intervention_and_pruning,False,1,7009,0,0,,
runtime-vector-v3,runtime-vector-v3,intervention_and_pruning,False,2,6062663,1,1,analysis/runtime-vector-v3/REPORT.md,analysis/runtime-vector-v3/summary.json
self-supervised-noise-methods,self-supervised-noise-methods,candidate_selection_and_budget,False,2,86591,1,1,analysis/self-supervised-noise-methods/report.md,analysis/self-supervised-noise-methods/summary.json
single-chunk-early-signal,single-chunk-early-signal,rolling_or_early_outcome,False,10,36804350,1,1,analysis/single-chunk-early-signal/report.md,analysis/single-chunk-early-signal/summary.json
slice-control-v1,slice-control-v1,capture_and_fidelity,False,1,2073,0,0,,
state-route-layer-denoise-effects-20260828,state-route-layer-denoise-effects-20260828,routing_dynamics_and_state_readout,False,6,3805939,1,1,analysis/state-route-layer-denoise-effects-20260828/report.md,analysis/state-route-layer-denoise-effects-20260828/summary.json
state-routing-concept-matrix,state-routing-concept-matrix,routing_dynamics_and_state_readout,False,9,36371511,1,1,analysis/state-routing-concept-matrix/report.md,analysis/state-routing-concept-matrix/summary.json
t34-closure,t34-closure,rolling_or_early_outcome,False,4,450823,1,1,analysis/t34-closure/report.md,analysis/t34-closure/summary.json
unsupervised-denoise-validation,unsupervised-denoise-validation,denoise_stopping,False,1,16793,1,0,analysis/unsupervised-denoise-validation/report.md,
unsupervised-moe-dynamics,unsupervised-moe-dynamics,routing_dynamics_and_state_readout,False,2,362938,1,1,analysis/unsupervised-moe-dynamics/flow-lead-real/report.md,analysis/unsupervised-moe-dynamics/flow-lead-real/summary.json
unsupervised-replanning-loops,unsupervised-replanning-loops,failure_routing_and_recovery,False,8,30671957,1,1,analysis/unsupervised-replanning-loops/report.md,analysis/unsupervised-replanning-loops/summary.json
unsupervised-replanning-loops-repro,unsupervised-replanning-loops,failure_routing_and_recovery,True,6,30665727,1,1,analysis/unsupervised-replanning-loops-repro/report.md,analysis/unsupervised-replanning-loops-repro/summary.json
unsupervised-stop-signals-v2,unsupervised-stop-signals-v2,denoise_stopping,False,5,496915,1,1,analysis/unsupervised-stop-signals-v2/report.md,analysis/unsupervised-stop-signals-v2/summary.json
unweighted-expert-norm,unweighted-expert-norm,expert_mechanism_and_output,False,4,9945658,1,1,analysis/unweighted-expert-norm/REPORT.md,analysis/unweighted-expert-norm/summary.json
value-location,value-location,denoise_stopping,False,1,1221,0,1,,analysis/value-location/summary.json
weighted-noise-evolution,weighted-noise-evolution,routing_dynamics_and_state_readout,False,2,174451,1,1,analysis/weighted-noise-evolution/flow-lead-real/report.md,analysis/weighted-noise-evolution/flow-lead-real/summary.json
within-task-unsupervised-loops,within-task-unsupervised-loops,failure_routing_and_recovery,False,6,24881065,1,1,analysis/within-task-unsupervised-loops/report.md,analysis/within-task-unsupervised-loops/summary.json
within-task-unsupervised-loops-repro,within-task-unsupervised-loops,failure_routing_and_recovery,True,5,24876930,1,1,analysis/within-task-unsupervised-loops-repro/report.md,analysis/within-task-unsupervised-loops-repro/summary.json
within-task-unsupervised-loops-repro-chained,within-task-unsupervised-loops,failure_routing_and_recovery,True,5,24876954,1,1,analysis/within-task-unsupervised-loops-repro-chained/report.md,analysis/within-task-unsupervised-loops-repro-chained/summary.json
within64-s24,within64-s24,capture_and_fidelity,False,11,120062,0,0,,
