fold,calibration,method,alpha,threshold,rank,units,no_exposure_units,attainable
0,task_init,relative_soft,0.005,8.038081543139775,398,398,23,True
0,task_init,relative_soft,0.01,5.52577591916366,396,398,23,True
0,task_init,relative_soft,0.02,4.742244677135446,392,398,23,True
0,task_init,relative_soft,0.05,3.9950302753052243,380,398,23,True
0,episode,layer_consensus,0.005,4.729974584543631,3083,3097,236,True
0,episode,layer_consensus,0.01,4.126058537711629,3068,3097,236,True
0,episode,layer_consensus,0.02,2.9807697927300207,3037,3097,236,True
0,episode,layer_consensus,0.05,1.8005898687840731,2944,3097,236,True
0,task_init,layer_consensus,0.005,8.038081543139775,398,398,23,True
0,task_init,layer_consensus,0.01,5.52577591916366,396,398,23,True
0,task_init,layer_consensus,0.02,4.659357017329678,392,398,23,True
0,task_init,layer_consensus,0.05,3.243929677496763,380,398,23,True
0,episode,relative_recovery,0.005,4.902587327210624,3083,3097,236,True
0,episode,relative_recovery,0.01,4.374519897010128,3068,3097,236,True
0,episode,relative_recovery,0.02,3.794359579843073,3037,3097,236,True
0,episode,relative_recovery,0.05,2.910157162520419,2944,3097,236,True
0,task_init,relative_recovery,0.005,8.038081543139775,398,398,23,True
0,task_init,relative_recovery,0.01,5.52577591916366,396,398,23,True
0,task_init,relative_recovery,0.02,4.742244677135446,392,398,23,True
0,task_init,relative_recovery,0.05,3.9950302753052243,380,398,23,True
0,episode,ac_window_mean,0.005,5.052769704334445,3083,3097,986,True
0,episode,ac_window_mean,0.01,4.2391033947949435,3068,3097,986,True
0,episode,ac_window_mean,0.02,3.5461727415604427,3037,3097,986,True
0,episode,ac_window_mean,0.05,2.793854186895774,2944,3097,986,True
0,task_init,ac_window_mean,0.005,8.038081543139775,398,398,117,True
0,task_init,ac_window_mean,0.01,6.653129029007164,396,398,117,True
0,task_init,ac_window_mean,0.02,5.255201435693609,392,398,117,True
0,task_init,ac_window_mean,0.05,3.8367181611359507,380,398,117,True
1,episode,ac_reference,0.005,5.221004263445367,3102,3116,196,True
1,episode,ac_reference,0.01,4.738578114201074,3086,3116,196,True
1,episode,ac_reference,0.02,4.135814995109397,3055,3116,196,True
1,episode,ac_reference,0.05,3.355374945650856,2962,3116,196,True
1,task_init,ac_reference,0.005,6.188588289707072,398,398,21,True
1,task_init,ac_reference,0.01,5.914151444005312,396,398,21,True
1,task_init,ac_reference,0.02,5.304385872384418,392,398,21,True
1,task_init,ac_reference,0.05,4.362342644407848,380,398,21,True
1,episode,relative_curvature,0.005,4.738578114201074,3102,3116,196,True
1,episode,relative_curvature,0.01,4.288840182414921,3086,3116,196,True
1,episode,relative_curvature,0.02,3.730349887001233,3055,3116,196,True
1,episode,relative_curvature,0.05,2.898616543155141,2962,3116,196,True
1,task_init,relative_curvature,0.005,5.4954411091471265,398,398,21,True
1,task_init,relative_curvature,0.01,5.038682706651412,396,398,21,True
1,task_init,relative_curvature,0.02,4.898920764276253,392,398,21,True
1,task_init,relative_curvature,0.05,3.8100172897351046,380,398,21,True
1,episode,relative_path_mobility,0.005,4.789221847019829,3102,3116,196,True
1,episode,relative_path_mobility,0.01,4.329006224140256,3086,3116,196,True
1,episode,relative_path_mobility,0.02,3.730349887001233,3055,3116,196,True
1,episode,relative_path_mobility,0.05,2.898616543155141,2962,3116,196,True
1,task_init,relative_path_mobility,0.005,5.800822758698309,398,398,21,True
1,task_init,relative_path_mobility,0.01,5.241206970762886,396,398,21,True
1,task_init,relative_path_mobility,0.02,4.958639998977875,392,398,21,True
1,task_init,relative_path_mobility,0.05,3.8100172897351046,380,398,21,True
1,episode,relative_state,0.005,4.751000634199631,3102,3116,196,True
1,episode,relative_state,0.01,4.329006224140256,3086,3116,196,True
1,episode,relative_state,0.02,3.730349887001233,3055,3116,196,True
1,episode,relative_state,0.05,2.9345485523812043,2962,3116,196,True
1,task_init,relative_state,0.005,5.914151444005312,398,398,21,True
1,task_init,relative_state,0.01,5.241206970762886,396,398,21,True
1,task_init,relative_state,0.02,4.898920764276253,392,398,21,True
1,task_init,relative_state,0.05,3.8100172897351046,380,398,21,True
1,episode,relative_both,0.005,4.633217598543247,3102,3116,196,True
1,episode,relative_both,0.01,3.781169135397446,3086,3116,196,True
1,episode,relative_both,0.02,3.107161295048198,3055,3116,196,True
1,episode,relative_both,0.05,2.1879762051476788,2962,3116,196,True
1,task_init,relative_both,0.005,5.038682706651412,398,398,21,True
1,task_init,relative_both,0.01,4.898920764276253,396,398,21,True
1,task_init,relative_both,0.02,4.4325469030810964,392,398,21,True
1,task_init,relative_both,0.05,3.233129915291021,380,398,21,True
1,episode,relative_soft,0.005,4.738578114201074,3102,3116,196,True
1,episode,relative_soft,0.01,4.288840182414921,3086,3116,196,True
1,episode,relative_soft,0.02,3.730349887001233,3055,3116,196,True
1,episode,relative_soft,0.05,2.898616543155141,2962,3116,196,True
1,task_init,relative_soft,0.005,5.4954411091471265,398,398,21,True
1,task_init,relative_soft,0.01,5.038682706651412,396,398,21,True
1,task_init,relative_soft,0.02,4.898920764276253,392,398,21,True
1,task_init,relative_soft,0.05,3.8100172897351046,380,398,21,True
1,episode,layer_consensus,0.005,4.579150377272971,3102,3116,196,True
1,episode,layer_consensus,0.01,3.6612339561834264,3086,3116,196,True
1,episode,layer_consensus,0.02,2.984558972955866,3055,3116,196,True
1,episode,layer_consensus,0.05,1.8680260217174167,2962,3116,196,True
1,task_init,layer_consensus,0.005,5.4954411091471265,398,398,21,True
1,task_init,layer_consensus,0.01,5.038682706651412,396,398,21,True
1,task_init,layer_consensus,0.02,4.579150377272971,392,398,21,True
1,task_init,layer_consensus,0.05,3.289482851842153,380,398,21,True
1,episode,relative_recovery,0.005,4.738578114201074,3102,3116,196,True
1,episode,relative_recovery,0.01,4.288840182414921,3086,3116,196,True
1,episode,relative_recovery,0.02,3.730349887001233,3055,3116,196,True
1,episode,relative_recovery,0.05,2.898616543155141,2962,3116,196,True
1,task_init,relative_recovery,0.005,5.4954411091471265,398,398,21,True
1,task_init,relative_recovery,0.01,5.038682706651412,396,398,21,True
1,task_init,relative_recovery,0.02,4.898920764276253,392,398,21,True
1,task_init,relative_recovery,0.05,3.8100172897351046,380,398,21,True
1,episode,ac_window_mean,0.005,4.54947460012987,3102,3116,962,True
1,episode,ac_window_mean,0.01,3.8471361729703926,3086,3116,962,True
1,episode,ac_window_mean,0.02,3.373985349073824,3055,3116,962,True
1,episode,ac_window_mean,0.05,2.6485692965841228,2962,3116,962,True
1,task_init,ac_window_mean,0.005,5.2528751216317655,398,398,111,True
1,task_init,ac_window_mean,0.01,4.925921665424846,396,398,111,True
1,task_init,ac_window_mean,0.02,4.469551139205153,392,398,111,True
1,task_init,ac_window_mean,0.05,3.455460156602283,380,398,111,True
2,episode,ac_reference,0.005,6.362596976135641,3063,3077,238,True
2,episode,ac_reference,0.01,5.551666759919312,3048,3077,238,True
2,episode,ac_reference,0.02,4.716345090578824,3017,3077,238,True
2,episode,ac_reference,0.05,3.601796209647902,2925,3077,238,True
2,task_init,ac_reference,0.005,9.135185698375421,398,398,26,True
2,task_init,ac_reference,0.01,8.442038517815478,396,398,26,True
2,task_init,ac_reference,0.02,7.189275549320109,392,398,26,True
2,task_init,ac_reference,0.05,5.092134430540872,380,398,26,True
2,episode,relative_curvature,0.005,5.877089160353941,3063,3077,238,True
2,episode,relative_curvature,0.01,5.074742687829003,3048,3077,238,True
2,episode,relative_curvature,0.02,4.306871961073121,3017,3077,238,True
2,episode,relative_curvature,0.05,3.2189836357679873,2925,3077,238,True
2,task_init,relative_curvature,0.005,7.525747785941322,398,398,26,True
2,task_init,relative_curvature,0.01,7.189275549320109,396,398,26,True
2,task_init,relative_curvature,0.02,5.877089160353941,392,398,26,True
2,task_init,relative_curvature,0.05,4.635376028045157,380,398,26,True
2,episode,relative_path_mobility,0.005,5.877089160353941,3063,3077,238,True
2,episode,relative_path_mobility,0.01,5.074742687829003,3048,3077,238,True
2,episode,relative_path_mobility,0.02,4.306871961073121,3017,3077,238,True
2,episode,relative_path_mobility,0.05,3.2490816669252665,2925,3077,238,True
2,task_init,relative_path_mobility,0.005,7.525747785941322,398,398,26,True
2,task_init,relative_path_mobility,0.01,7.189275549320109,396,398,26,True
2,task_init,relative_path_mobility,0.02,5.877089160353941,392,398,26,True
2,task_init,relative_path_mobility,0.05,4.635376028045157,380,398,26,True
2,episode,relative_state,0.005,5.877089160353941,3063,3077,238,True
2,episode,relative_state,0.01,5.074742687829003,3048,3077,238,True
2,episode,relative_state,0.02,4.323001343003005,3017,3077,238,True
2,episode,relative_state,0.05,3.2829832186009478,2925,3077,238,True
2,task_init,relative_state,0.005,7.525747785941322,398,398,26,True
2,task_init,relative_state,0.01,7.189275549320109,396,398,26,True
2,task_init,relative_state,0.02,5.877089160353941,392,398,26,True
2,task_init,relative_state,0.05,4.635376028045157,380,398,26,True
2,episode,relative_both,0.005,5.040841136153322,3063,3077,238,True
2,episode,relative_both,0.01,4.635376028045157,3048,3077,238,True
2,episode,relative_both,0.02,3.3421720899912786,3017,3077,238,True
2,episode,relative_both,0.05,2.248654055844912,2925,3077,238,True
2,task_init,relative_both,0.005,6.496128368760163,398,398,26,True
2,task_init,relative_both,0.01,6.496128368760163,396,398,26,True
2,task_init,relative_both,0.02,5.203360065651096,392,398,26,True
2,task_init,relative_both,0.05,3.8776903263476408,380,398,26,True
2,episode,relative_soft,0.005,5.877089160353941,3063,3077,238,True
2,episode,relative_soft,0.01,5.074742687829003,3048,3077,238,True
2,episode,relative_soft,0.02,4.306871961073121,3017,3077,238,True
2,episode,relative_soft,0.05,3.2189836357679873,2925,3077,238,True
2,task_init,relative_soft,0.005,7.525747785941322,398,398,26,True
2,task_init,relative_soft,0.01,7.189275549320109,396,398,26,True
2,task_init,relative_soft,0.02,5.877089160353941,392,398,26,True
2,task_init,relative_soft,0.05,4.635376028045157,380,398,26,True
2,episode,layer_consensus,0.005,5.669449795575695,3063,3077,238,True
2,episode,layer_consensus,0.01,4.716345090578824,3048,3077,238,True
2,episode,layer_consensus,0.02,3.5194008314138294,3017,3077,238,True
2,episode,layer_consensus,0.05,2.1046914244002037,2925,3077,238,True
2,task_init,layer_consensus,0.005,7.525747785941322,398,398,26,True
2,task_init,layer_consensus,0.01,7.189275549320109,396,398,26,True
2,task_init,layer_consensus,0.02,5.203360065651096,392,398,26,True
2,task_init,layer_consensus,0.05,3.6756001842312633,380,398,26,True
2,episode,relative_recovery,0.005,5.877089160353941,3063,3077,238,True
2,episode,relative_recovery,0.01,5.074742687829003,3048,3077,238,True
2,episode,relative_recovery,0.02,4.306871961073121,3017,3077,238,True
2,episode,relative_recovery,0.05,3.2189836357679873,2925,3077,238,True
2,task_init,relative_recovery,0.005,7.525747785941322,398,398,26,True
2,task_init,relative_recovery,0.01,7.189275549320109,396,398,26,True
2,task_init,relative_recovery,0.02,5.877089160353941,392,398,26,True
2,task_init,relative_recovery,0.05,4.635376028045157,380,398,26,True
2,episode,ac_window_mean,0.005,5.448251291091227,3063,3077,979,True
2,episode,ac_window_mean,0.01,4.9270129076943885,3048,3077,979,True
2,episode,ac_window_mean,0.02,4.108090985061868,3017,3077,979,True
2,episode,ac_window_mean,0.05,2.853075304484158,2925,3077,979,True
2,task_init,ac_window_mean,0.005,9.135185698375421,398,398,115,True
2,task_init,ac_window_mean,0.01,6.758688044856137,396,398,115,True
2,task_init,ac_window_mean,0.02,6.0560685826872875,392,398,115,True
2,task_init,ac_window_mean,0.05,4.577258779671559,380,398,115,True
3,episode,ac_reference,0.005,7.057897937411856,3082,3096,229,True
3,episode,ac_reference,0.01,6.046297025733376,3067,3096,229,True
3,episode,ac_reference,0.02,4.819851365555382,3036,3096,229,True
3,episode,ac_reference,0.05,3.7620610714075275,2943,3096,229,True
3,task_init,ac_reference,0.005,9.137339479091693,399,400,26,True
3,task_init,ac_reference,0.01,8.444192298531748,397,400,26,True
3,task_init,ac_reference,0.02,7.191429330036379,393,400,26,True
3,task_init,ac_reference,0.05,5.330676989321373,381,400,26,True
3,episode,relative_curvature,0.005,6.940114901755473,3082,3096,229,True
3,episode,relative_curvature,0.01,5.448460024977757,3067,3096,229,True
3,episode,relative_curvature,0.02,4.401141030697197,3036,3096,229,True
3,episode,relative_curvature,0.05,3.1236243230488907,2943,3096,229,True
3,task_init,relative_curvature,0.005,9.137339479091693,399,400,26,True
3,task_init,relative_curvature,0.01,7.751045117971802,397,400,26,True
3,task_init,relative_curvature,0.02,7.057897937411856,393,400,26,True
3,task_init,relative_curvature,0.05,4.947684737065267,381,400,26,True
3,episode,relative_path_mobility,0.005,6.940114901755473,3082,3096,229,True
3,episode,relative_path_mobility,0.01,5.448460024977757,3067,3096,229,True
3,episode,relative_path_mobility,0.02,4.409951660379352,3036,3096,229,True
3,episode,relative_path_mobility,0.05,3.1458749319837107,2943,3096,229,True
3,task_init,relative_path_mobility,0.005,9.137339479091693,399,400,26,True
3,task_init,relative_path_mobility,0.01,7.751045117971802,397,400,26,True
3,task_init,relative_path_mobility,0.02,7.057897937411856,393,400,26,True
3,task_init,relative_path_mobility,0.05,5.042994916869592,381,400,26,True
3,episode,relative_state,0.005,6.940114901755473,3082,3096,229,True
3,episode,relative_state,0.01,5.5819914176022785,3067,3096,229,True
3,episode,relative_state,0.02,4.445991596862549,3036,3096,229,True
3,episode,relative_state,0.05,3.1893044899110463,2943,3096,229,True
3,task_init,relative_state,0.005,9.137339479091693,399,400,26,True
3,task_init,relative_state,0.01,7.751045117971802,397,400,26,True
3,task_init,relative_state,0.02,7.057897937411856,393,400,26,True
3,task_init,relative_state,0.05,5.130006293859221,381,400,26,True
3,episode,relative_both,0.005,5.473777832962046,3082,3096,229,True
3,episode,relative_both,0.01,5.010205094046601,3067,3096,229,True
3,episode,relative_both,0.02,3.59216203461213,3036,3096,229,True
3,episode,relative_both,0.05,2.2315862027802282,2943,3096,229,True
3,task_init,relative_both,0.005,7.057897937411856,399,400,26,True
3,task_init,relative_both,0.01,6.09281704136827,397,400,26,True
3,task_init,relative_both,0.02,5.5819914176022785,393,400,26,True
3,task_init,relative_both,0.05,4.349847736309647,381,400,26,True
3,episode,relative_soft,0.005,6.940114901755473,3082,3096,229,True
3,episode,relative_soft,0.01,5.448460024977757,3067,3096,229,True
3,episode,relative_soft,0.02,4.401141030697197,3036,3096,229,True
3,episode,relative_soft,0.05,3.1236243230488907,2943,3096,229,True
3,task_init,relative_soft,0.005,9.137339479091693,399,400,26,True
3,task_init,relative_soft,0.01,7.751045117971802,397,400,26,True
3,task_init,relative_soft,0.02,7.057897937411856,393,400,26,True
3,task_init,relative_soft,0.05,4.947684737065267,381,400,26,True
3,episode,layer_consensus,0.005,6.498282149476434,3082,3096,229,True
3,episode,layer_consensus,0.01,5.308698082602597,3067,3096,229,True
3,episode,layer_consensus,0.02,3.820822997797774,3036,3096,229,True
3,episode,layer_consensus,0.05,2.037312312462433,2943,3096,229,True
3,task_init,layer_consensus,0.005,8.444192298531748,399,400,26,True
3,task_init,layer_consensus,0.01,7.751045117971802,397,400,26,True
3,task_init,layer_consensus,0.02,6.572390121630156,393,400,26,True
3,task_init,layer_consensus,0.05,4.488755507126818,381,400,26,True
3,episode,relative_recovery,0.005,6.940114901755473,3082,3096,229,True
3,episode,relative_recovery,0.01,5.448460024977757,3067,3096,229,True
3,episode,relative_recovery,0.02,4.401141030697197,3036,3096,229,True
3,episode,relative_recovery,0.05,3.1236243230488907,2943,3096,229,True
3,task_init,relative_recovery,0.005,9.137339479091693,399,400,26,True
3,task_init,relative_recovery,0.01,7.751045117971802,397,400,26,True
3,task_init,relative_recovery,0.02,7.057897937411856,393,400,26,True
3,task_init,relative_recovery,0.05,4.947684737065267,381,400,26,True
3,episode,ac_window_mean,0.005,6.324699428966133,3082,3096,988,True
3,episode,ac_window_mean,0.01,5.197384622678539,3067,3096,988,True
3,episode,ac_window_mean,0.02,4.071005439266191,3036,3096,988,True
3,episode,ac_window_mean,0.05,2.9523955017118757,2943,3096,988,True
3,task_init,ac_window_mean,0.005,7.889731332397008,399,400,119,True
3,task_init,ac_window_mean,0.01,7.5938929531162085,397,400,119,True
3,task_init,ac_window_mean,0.02,6.936520983466432,393,400,119,True
3,task_init,ac_window_mean,0.05,4.936571796422558,381,400,119,True
4,episode,ac_reference,0.005,5.473239822511666,3068,3082,235,True
4,episode,ac_reference,0.01,4.730082221377059,3053,3082,235,True
4,episode,ac_reference,0.02,4.160067726220738,3022,3082,235,True
4,episode,ac_reference,0.05,3.446442014317252,2929,3082,235,True
4,task_init,ac_reference,0.005,7.750507107521422,399,400,26,True
4,task_init,ac_reference,0.01,6.092279030917889,397,400,26,True
4,task_init,ac_reference,0.02,5.473239822511666,393,400,26,True
4,task_init,ac_reference,0.05,4.427271267328979,381,400,26,True
4,episode,relative_curvature,0.005,4.8060681283549815,3068,3082,235,True
4,episode,relative_curvature,0.01,4.099848866227683,3053,3082,235,True
4,episode,relative_curvature,0.02,3.6900640969750027,3022,3082,235,True
4,episode,relative_curvature,0.05,2.8323526662193315,2929,3082,235,True
4,task_init,relative_curvature,0.005,5.640293907174832,399,400,26,True
4,task_init,relative_curvature,0.01,5.473239822511666,397,400,26,True
4,task_init,relative_curvature,0.02,4.5724532771734765,393,400,26,True
4,task_init,relative_curvature,0.05,3.84349664391682,381,400,26,True
4,episode,relative_path_mobility,0.005,4.8060681283549815,3068,3082,235,True
4,episode,relative_path_mobility,0.01,4.160067726220738,3053,3082,235,True
4,episode,relative_path_mobility,0.02,3.7030794650870726,3022,3082,235,True
4,episode,relative_path_mobility,0.05,2.87530978432027,2929,3082,235,True
4,task_init,relative_path_mobility,0.005,5.640293907174832,399,400,26,True
4,task_init,relative_path_mobility,0.01,5.473239822511666,397,400,26,True
4,task_init,relative_path_mobility,0.02,4.5724532771734765,393,400,26,True
4,task_init,relative_path_mobility,0.05,3.9494156628005577,381,400,26,True
4,episode,relative_state,0.005,4.947146726614887,3068,3082,235,True
4,episode,relative_state,0.01,4.324617113268895,3053,3082,235,True
4,episode,relative_state,0.02,3.8040826753759434,3022,3082,235,True
4,episode,relative_state,0.05,2.9526525777038293,2929,3082,235,True
4,task_init,relative_state,0.005,5.640293907174832,399,400,26,True
4,task_init,relative_state,0.01,5.473239822511666,397,400,26,True
4,task_init,relative_state,0.02,4.8060681283549815,393,400,26,True
4,task_init,relative_state,0.05,4.0010030315910505,381,400,26,True
4,episode,relative_both,0.005,4.391869340278062,3068,3082,235,True
4,episode,relative_both,0.01,3.853597739903324,3053,3082,235,True
4,episode,relative_both,0.02,2.9526525777038293,3022,3082,235,True
4,episode,relative_both,0.05,2.067778042063053,2929,3082,235,True
4,task_init,relative_both,0.005,5.553282530185203,399,400,26,True
4,task_init,relative_both,0.01,4.694150212150996,397,400,26,True
4,task_init,relative_both,0.02,4.26926701818573,393,400,26,True
4,task_init,relative_both,0.05,3.0989305487191747,381,400,26,True
4,episode,relative_soft,0.005,4.8060681283549815,3068,3082,235,True
4,episode,relative_soft,0.01,4.099848866227683,3053,3082,235,True
4,episode,relative_soft,0.02,3.6900640969750027,3022,3082,235,True
4,episode,relative_soft,0.05,2.8323526662193315,2929,3082,235,True
4,task_init,relative_soft,0.005,5.640293907174832,399,400,26,True
4,task_init,relative_soft,0.01,5.473239822511666,397,400,26,True
4,task_init,relative_soft,0.02,4.5724532771734765,393,400,26,True
4,task_init,relative_soft,0.05,3.84349664391682,381,400,26,True
4,episode,layer_consensus,0.005,4.049348887768458,3068,3082,235,True
4,episode,layer_consensus,0.01,3.3407437178759407,3053,3082,235,True
4,episode,layer_consensus,0.02,2.5914805511641097,3022,3082,235,True
4,episode,layer_consensus,0.05,1.7189894920747872,2929,3082,235,True
4,task_init,layer_consensus,0.005,5.553282530185203,399,400,26,True
4,task_init,layer_consensus,0.01,4.730082221377059,397,400,26,True
4,task_init,layer_consensus,0.02,4.030855994740731,393,400,26,True
4,task_init,layer_consensus,0.05,2.8246225803852374,381,400,26,True
4,episode,relative_recovery,0.005,4.8060681283549815,3068,3082,235,True
4,episode,relative_recovery,0.01,4.099848866227683,3053,3082,235,True
4,episode,relative_recovery,0.02,3.6900640969750027,3022,3082,235,True
4,episode,relative_recovery,0.05,2.8323526662193315,2929,3082,235,True
4,task_init,relative_recovery,0.005,5.640293907174832,399,400,26,True
4,task_init,relative_recovery,0.01,5.473239822511666,397,400,26,True
4,task_init,relative_recovery,0.02,4.5724532771734765,393,400,26,True
4,task_init,relative_recovery,0.05,3.84349664391682,381,400,26,True
4,episode,ac_window_mean,0.005,5.089879482952059,3068,3082,971,True
4,episode,ac_window_mean,0.01,4.025088449822452,3053,3082,971,True
4,episode,ac_window_mean,0.02,3.3999718433359876,3022,3082,971,True
4,episode,ac_window_mean,0.05,2.649040051108473,2929,3082,971,True
4,task_init,ac_window_mean,0.005,6.332337425120206,399,400,115,True
4,task_init,ac_window_mean,0.01,5.481554987766903,397,400,115,True
4,task_init,ac_window_mean,0.02,5.089879482952059,393,400,115,True
4,task_init,ac_window_mean,0.05,3.6504208597098984,381,400,115,True
