calibration,score_kind,method,suite,task,query,auc,control_auc,old_ac_auc,delta_control,delta_old_ac,failures,successes
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.6571317551410808,0.828162362505978,0.8254423720707795,-0.17103060736489717,-0.16831061692969873,51,328
episode,raw_score,relative_state,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.6305595408895266,0.828162362505978,0.8254423720707795,-0.19760282161645137,-0.19488283118125294,51,328
episode,raw_score,relative_both,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.5676709708273553,0.828162362505978,0.8254423720707795,-0.2604913916786227,-0.25777140124342424,51,328
episode,raw_score,relative_soft,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.47931611669057866,0.828162362505978,0.8254423720707795,-0.3488462458153993,-0.34612625538020086,51,328
episode,raw_score,layer_consensus,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.6530966044954567,0.828162362505978,0.8254423720707795,-0.17506575801052127,-0.17234576757532283,51,328
episode,raw_score,relative_recovery,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.4855631276901004,0.828162362505978,0.8254423720707795,-0.34259923481587756,-0.3398792443806791,51,328
episode,raw_score,ac_window_mean,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.7801889048302247,0.828162362505978,0.8254423720707795,-0.04797345767575323,-0.04525346724055479,51,328
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.8307225063938619,0.8307225063938619,0.8259271099744245,0.0,0.004795396419437381,51,184
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.4741048593350384,0.8307225063938619,0.8259271099744245,-0.35661764705882354,-0.35182225063938616,51,184
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.5642583120204604,0.8307225063938619,0.8259271099744245,-0.2664641943734015,-0.26166879795396414,51,184
episode,raw_score,relative_state,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.5137468030690537,0.8307225063938619,0.8259271099744245,-0.3169757033248082,-0.3121803069053708,51,184
episode,raw_score,relative_both,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.5614876385336743,0.8307225063938619,0.8259271099744245,-0.2692348678601876,-0.2644394714407502,51,184
