calibration,alpha,method,scope,tp,fp,failures,successes,recall,fpr,median_failure_q,tp_by_cap_50,fp_by_cap_50,tp_by_cap_60,fp_by_cap_60,recall_lo,recall_hi,fpr_lo,fpr_hi
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,13,1,13,387,1.0,0.002583979328165375,16.0,0,0,0,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,11,0,12,388,0.9166666666666666,0.0,17.0,2,0,2,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,39,0,41,359,0.9512195121951219,0.0,19.0,0,0,1,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,19,0,21,379,0.9047619047619048,0.0,18.0,0,0,0,0,,,,
episode,0.005,previous_absolute_acc,all,486,135,564,15436,0.8617021276595744,0.008745789064524489,24.0,78,93,161,114,0.8203511482976322,0.9222435897435897,0.005294291935679576,0.012782952806382667
episode,0.005,previous_absolute_acc,libero_goal,87,10,106,3894,0.8207547169811321,0.0025680534155110425,21.0,21,7,37,10,,,,
episode,0.005,previous_absolute_acc,libero_long,241,110,274,3726,0.8795620437956204,0.029522275899087493,32.0,52,82,112,98,,,,
episode,0.005,previous_absolute_acc,libero_object,32,11,44,3956,0.7272727272727273,0.002780586450960566,19.0,1,3,5,5,,,,
episode,0.005,previous_absolute_acc,libero_spatial,126,4,140,3860,0.9,0.0010362694300518134,18.0,4,1,7,1,,,,
episode,0.005,previous_absolute_acc,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,previous_absolute_acc,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,39,1,51,349,0.7647058823529411,0.0028653295128939827,25.0,0,0,3,1,,,,
episode,0.005,previous_absolute_acc,libero_goal/push_the_plate_to_the_front_of_the_stove,1,4,1,399,1.0,0.010025062656641603,16.0,0,2,1,4,,,,
episode,0.005,previous_absolute_acc,libero_goal/put_the_bowl_on_the_plate,11,0,18,382,0.6111111111111112,0.0,16.0,2,0,6,0,,,,
episode,0.005,previous_absolute_acc,libero_goal/put_the_bowl_on_the_stove,9,0,9,391,1.0,0.0,18.0,0,0,7,0,,,,
episode,0.005,previous_absolute_acc,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,16,384,1.0,0.0,14.0,15,0,16,0,,,,
episode,0.005,previous_absolute_acc,libero_goal/put_the_cream_cheese_in_the_bowl,9,5,9,391,1.0,0.01278772378516624,20.0,3,5,3,5,,,,
episode,0.005,previous_absolute_acc,libero_goal/put_the_wine_bottle_on_the_rack,1,0,1,399,1.0,0.0,22.0,0,0,0,0,,,,
episode,0.005,previous_absolute_acc,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,1,399,1.0,0.0,15.0,1,0,1,0,,,,
episode,0.005,previous_absolute_acc,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,previous_absolute_acc,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,4,396,1.0,0.0,35.5,1,0,1,0,,,,
episode,0.005,previous_absolute_acc,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,8,1,399,1.0,0.020050125313283207,29.0,0,8,1,8,,,,
episode,0.005,previous_absolute_acc,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,21,1,399,1.0,0.05263157894736842,41.0,0,20,0,20,,,,
episode,0.005,previous_absolute_acc,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,123,16,151,249,0.8145695364238411,0.0642570281124498,33.0,0,1,22,6,,,,
