task,suite,query,feature,auc
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,27,signed_path_minus_mobility,0.9411764705882353
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,28,acceleration,0.058823529411764705
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,28,path,0.058823529411764705
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,28,signed_acc_minus_path,0.9411764705882353
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,28,positive_acc_minus_path,0.5294117647058824
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,28,signed_path_minus_mobility,0.9411764705882353
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,29,acceleration,0.11764705882352941
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,29,path,0.0784313725490196
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,29,signed_acc_minus_path,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,29,positive_acc_minus_path,0.5098039215686274
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,29,signed_path_minus_mobility,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,acceleration,0.9699248120300752
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,path,0.9874686716791979
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,signed_acc_minus_path,0.02506265664160401
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,positive_acc_minus_path,0.05263157894736842
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,signed_path_minus_mobility,0.03258145363408521
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,acceleration,0.9147869674185464
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,path,0.9197994987468672
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,signed_acc_minus_path,0.11027568922305764
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,positive_acc_minus_path,0.11027568922305764
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,signed_path_minus_mobility,0.6992481203007519
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,acceleration,0.5588972431077694
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,path,0.6115288220551378
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,signed_acc_minus_path,0.37593984962406013
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,positive_acc_minus_path,0.37593984962406013
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,signed_path_minus_mobility,0.9724310776942355
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,acceleration,0.5413533834586466
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,path,0.5538847117794486
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,signed_acc_minus_path,0.47117794486215536
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,positive_acc_minus_path,0.41729323308270677
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,signed_path_minus_mobility,0.9924812030075187
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,acceleration,0.8863636363636364
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,path,0.7443181818181818
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,signed_acc_minus_path,0.5340909090909091
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,positive_acc_minus_path,0.48295454545454547
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,signed_path_minus_mobility,0.9204545454545454
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,acceleration,0.9209039548022598
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,path,0.8531073446327684
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,signed_acc_minus_path,0.3615819209039548
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,positive_acc_minus_path,0.5
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,signed_path_minus_mobility,0.8022598870056498
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,14,acceleration,0.9850746268656716
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,14,path,0.9253731343283582
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,14,signed_acc_minus_path,0.208955223880597
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,14,positive_acc_minus_path,0.5
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,14,signed_path_minus_mobility,0.7014925373134329
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,15,acceleration,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,15,path,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,15,signed_acc_minus_path,0.07142857142857142
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,15,positive_acc_minus_path,0.4642857142857143
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,15,signed_path_minus_mobility,0.6428571428571429
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,16,acceleration,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,16,path,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,16,signed_acc_minus_path,0.10810810810810811
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,16,positive_acc_minus_path,0.4864864864864865
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,16,signed_path_minus_mobility,0.8648648648648649
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,17,acceleration,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,17,path,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,17,signed_acc_minus_path,0.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,17,positive_acc_minus_path,0.5
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,17,signed_path_minus_mobility,0.9705882352941176
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,18,acceleration,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,18,path,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,18,signed_acc_minus_path,0.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,18,positive_acc_minus_path,0.5
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,18,signed_path_minus_mobility,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,19,acceleration,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,19,path,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,19,signed_acc_minus_path,0.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,19,positive_acc_minus_path,0.5
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,19,signed_path_minus_mobility,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,20,acceleration,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,20,path,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,20,signed_acc_minus_path,0.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,20,positive_acc_minus_path,0.5
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,20,signed_path_minus_mobility,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,21,acceleration,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,21,path,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,21,signed_acc_minus_path,0.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,21,positive_acc_minus_path,0.5
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,21,signed_path_minus_mobility,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,22,acceleration,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,22,path,1.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,22,signed_acc_minus_path,0.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,22,positive_acc_minus_path,0.5
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,22,signed_path_minus_mobility,1.0
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,acceleration,0.8888888888888888
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,path,0.9222222222222223
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,signed_acc_minus_path,0.24444444444444444
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,signed_path_minus_mobility,0.7222222222222222
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,acceleration,0.7222222222222222
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,path,0.7222222222222222
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,signed_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,signed_path_minus_mobility,0.5555555555555556
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,acceleration,0.7777777777777778
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,path,0.6666666666666666
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,signed_acc_minus_path,0.7777777777777778
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,signed_path_minus_mobility,0.8333333333333334
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,acceleration,0.7777777777777778
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,path,0.8888888888888888
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,signed_acc_minus_path,0.16666666666666666
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,signed_path_minus_mobility,0.9444444444444444
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,acceleration,0.05555555555555555
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,path,0.6111111111111112
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,signed_acc_minus_path,0.0
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,signed_path_minus_mobility,0.6111111111111112
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,acceleration,0.05555555555555555
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,path,0.3333333333333333
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,signed_acc_minus_path,0.0
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,signed_path_minus_mobility,0.2222222222222222
libero_goal/put_the_bowl_on_the_plate,libero_goal,14,acceleration,0.0
libero_goal/put_the_bowl_on_the_plate,libero_goal,14,path,0.16666666666666666
libero_goal/put_the_bowl_on_the_plate,libero_goal,14,signed_acc_minus_path,0.0
libero_goal/put_the_bowl_on_the_plate,libero_goal,14,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,14,signed_path_minus_mobility,0.0
libero_goal/put_the_bowl_on_the_plate,libero_goal,15,acceleration,0.4444444444444444
libero_goal/put_the_bowl_on_the_plate,libero_goal,15,path,0.4444444444444444
libero_goal/put_the_bowl_on_the_plate,libero_goal,15,signed_acc_minus_path,0.3888888888888889
libero_goal/put_the_bowl_on_the_plate,libero_goal,15,positive_acc_minus_path,0.5277777777777778
libero_goal/put_the_bowl_on_the_plate,libero_goal,15,signed_path_minus_mobility,0.0
libero_goal/put_the_bowl_on_the_plate,libero_goal,16,acceleration,0.3333333333333333
libero_goal/put_the_bowl_on_the_plate,libero_goal,16,path,0.3888888888888889
libero_goal/put_the_bowl_on_the_plate,libero_goal,16,signed_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,16,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,16,signed_path_minus_mobility,0.0
libero_goal/put_the_bowl_on_the_plate,libero_goal,17,acceleration,0.6666666666666666
libero_goal/put_the_bowl_on_the_plate,libero_goal,17,path,0.6666666666666666
libero_goal/put_the_bowl_on_the_plate,libero_goal,17,signed_acc_minus_path,0.4444444444444444
libero_goal/put_the_bowl_on_the_plate,libero_goal,17,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,17,signed_path_minus_mobility,0.1111111111111111
libero_goal/put_the_bowl_on_the_plate,libero_goal,18,acceleration,0.6111111111111112
libero_goal/put_the_bowl_on_the_plate,libero_goal,18,path,0.7777777777777778
libero_goal/put_the_bowl_on_the_plate,libero_goal,18,signed_acc_minus_path,0.4444444444444444
libero_goal/put_the_bowl_on_the_plate,libero_goal,18,positive_acc_minus_path,0.5277777777777778
libero_goal/put_the_bowl_on_the_plate,libero_goal,18,signed_path_minus_mobility,0.1111111111111111
libero_goal/put_the_bowl_on_the_plate,libero_goal,19,acceleration,0.7777777777777778
libero_goal/put_the_bowl_on_the_plate,libero_goal,19,path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,19,signed_acc_minus_path,0.6666666666666666
libero_goal/put_the_bowl_on_the_plate,libero_goal,19,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,19,signed_path_minus_mobility,0.3333333333333333
libero_goal/put_the_bowl_on_the_plate,libero_goal,20,acceleration,0.6111111111111112
libero_goal/put_the_bowl_on_the_plate,libero_goal,20,path,0.4444444444444444
libero_goal/put_the_bowl_on_the_plate,libero_goal,20,signed_acc_minus_path,0.7777777777777778
libero_goal/put_the_bowl_on_the_plate,libero_goal,20,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,20,signed_path_minus_mobility,0.3888888888888889
libero_goal/put_the_bowl_on_the_plate,libero_goal,21,acceleration,0.5555555555555556
libero_goal/put_the_bowl_on_the_plate,libero_goal,21,path,0.4444444444444444
libero_goal/put_the_bowl_on_the_plate,libero_goal,21,signed_acc_minus_path,0.7222222222222222
libero_goal/put_the_bowl_on_the_plate,libero_goal,21,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,21,signed_path_minus_mobility,0.6111111111111112
libero_goal/put_the_bowl_on_the_plate,libero_goal,22,acceleration,0.6666666666666666
libero_goal/put_the_bowl_on_the_plate,libero_goal,22,path,0.6111111111111112
