calibration,method,baseline,metric,delta,lo,hi
episode,relative_soft,old_ac,recall,0.015957446808510637,-0.009029345372460496,0.03409090909090909
episode,relative_soft,old_ac,fpr,0.0009717543405027209,-0.001613976183501245,0.004642361428138492
episode,relative_soft,previous_absolute_acc,recall,-0.0017730496453900709,-0.011710289056744842,0.0048543689320388345
episode,relative_soft,previous_absolute_acc,fpr,-0.000647836227001814,-0.00155080586138301,0.0001291159983944373
episode,layer_consensus,ac_reference,recall,0.0017730496453900709,-0.013600244795075014,0.021739130434782608
episode,layer_consensus,ac_reference,fpr,-0.0007774034724021767,-0.00391769104430352,0.0036498458355935666
episode,layer_consensus,old_ac,recall,0.005319148936170213,-0.009876746598328146,0.02505746621250409
episode,layer_consensus,old_ac,fpr,0.000647836227001814,-0.0030194212463401245,0.006131197250748324
episode,layer_consensus,previous_absolute_acc,recall,-0.012411347517730497,-0.035488918351010604,0.014889263360616268
episode,layer_consensus,previous_absolute_acc,fpr,-0.0009717543405027209,-0.0029505075829565986,0.001368296005118282
episode,relative_recovery,ac_reference,recall,0.012411347517730497,-0.015629408860045147,0.032008847521699114
episode,relative_recovery,ac_reference,fpr,-0.00045348535890126976,-0.0026309563856619115,0.0023765812949187687
episode,relative_recovery,old_ac,recall,0.015957446808510637,-0.009029345372460496,0.03409090909090909
episode,relative_recovery,old_ac,fpr,0.0009717543405027209,-0.001613976183501245,0.004642361428138492
episode,relative_recovery,previous_absolute_acc,recall,-0.0017730496453900709,-0.011710289056744842,0.0048543689320388345
episode,relative_recovery,previous_absolute_acc,fpr,-0.000647836227001814,-0.00155080586138301,0.0001291159983944373
episode,ac_window_mean,ac_reference,recall,0.015957446808510637,-0.004819277108433735,0.031707818635178124
episode,ac_window_mean,ac_reference,fpr,0.0,-0.002222197057433665,0.0029806506504016224
episode,ac_window_mean,old_ac,recall,0.01950354609929078,0.0,0.034091255121249026
episode,ac_window_mean,old_ac,fpr,0.0014252396994039907,-0.0012340967985815115,0.005388688036813108
episode,ac_window_mean,previous_absolute_acc,recall,0.0017730496453900709,-0.004150245663987222,0.006929614909501041
episode,ac_window_mean,previous_absolute_acc,fpr,-0.00019435086810054417,-0.0012828552462291621,0.0007775420671133585
task_init,ac_reference,old_ac,recall,-0.005319148936170213,-0.013752878479959693,0.0
task_init,ac_reference,old_ac,fpr,-0.00045348535890126976,-0.0008415437852008275,-6.517194804515267e-05
task_init,ac_reference,previous_absolute_acc,recall,-0.010638297872340425,-0.0221606648199446,-0.003246753246753247
task_init,ac_reference,previous_absolute_acc,fpr,-0.0002591344908007256,-0.0005875853024296452,6.424371573961382e-05
task_init,relative_curvature,ac_reference,recall,0.005319148936170213,-0.002718137840420449,0.01562885231755422
task_init,relative_curvature,ac_reference,fpr,6.47836227001814e-05,-0.00032691179754630866,0.00045892770231943387
task_init,relative_curvature,old_ac,recall,0.0,-0.005815232217145195,0.005018207901125571
task_init,relative_curvature,old_ac,fpr,-0.00038870173620108835,-0.0007092267198032629,-0.0001288825879623663
task_init,relative_curvature,previous_absolute_acc,recall,-0.005319148936170213,-0.017904344763159104,0.0026045075261780085
task_init,relative_curvature,previous_absolute_acc,fpr,-0.00019435086810054417,-0.00038757186228279824,-6.384472961757006e-05
task_init,relative_path_mobility,ac_reference,recall,0.005319148936170213,-0.002718137840420449,0.01562885231755422
task_init,relative_path_mobility,ac_reference,fpr,6.47836227001814e-05,-0.00032691179754630866,0.00045892770231943387
task_init,relative_path_mobility,old_ac,recall,0.0,-0.005815232217145195,0.005018207901125571
task_init,relative_path_mobility,old_ac,fpr,-0.00038870173620108835,-0.0007092267198032629,-0.0001288825879623663
task_init,relative_path_mobility,previous_absolute_acc,recall,-0.005319148936170213,-0.017904344763159104,0.0026045075261780085
task_init,relative_path_mobility,previous_absolute_acc,fpr,-0.00019435086810054417,-0.00038757186228279824,-6.384472961757006e-05
task_init,relative_state,ac_reference,recall,0.005319148936170213,-0.002718137840420449,0.01562885231755422
task_init,relative_state,ac_reference,fpr,0.0001295672454003628,-0.0003185033060308238,0.000528181844250834
task_init,relative_state,old_ac,recall,0.0,-0.005815232217145195,0.005018207901125571
task_init,relative_state,old_ac,fpr,-0.000323918113500907,-0.0005764934914019266,-0.00012824520515286787
task_init,relative_state,previous_absolute_acc,recall,-0.005319148936170213,-0.017904344763159104,0.0026045075261780085
task_init,relative_state,previous_absolute_acc,fpr,-0.0001295672454003628,-0.0003280420157590523,0.000128551434245229
task_init,relative_both,ac_reference,recall,0.008865248226950355,-0.0013855772564878774,0.023121758770821874
task_init,relative_both,ac_reference,fpr,0.00038870173620108835,-0.00045247261611491195,0.0015637956635637384
task_init,relative_both,old_ac,recall,0.0035460992907801418,-0.0030891314637321024,0.01149535809018567
task_init,relative_both,old_ac,fpr,-6.47836227001814e-05,-0.0008368229265054198,0.000952589930992481
task_init,relative_both,previous_absolute_acc,recall,-0.0017730496453900709,-0.014646974241246096,0.008956975052535149
task_init,relative_both,previous_absolute_acc,fpr,0.0001295672454003628,-0.00047175736038209743,0.0010392969487790988
task_init,relative_soft,ac_reference,recall,0.005319148936170213,-0.002718137840420449,0.01562885231755422
task_init,relative_soft,ac_reference,fpr,6.47836227001814e-05,-0.00032691179754630866,0.00045892770231943387
task_init,relative_soft,old_ac,recall,0.0,-0.005815232217145195,0.005018207901125571
task_init,relative_soft,old_ac,fpr,-0.00038870173620108835,-0.0007092267198032629,-0.0001288825879623663
task_init,relative_soft,previous_absolute_acc,recall,-0.005319148936170213,-0.017904344763159104,0.0026045075261780085
task_init,relative_soft,previous_absolute_acc,fpr,-0.00019435086810054417,-0.00038757186228279824,-6.384472961757006e-05
task_init,layer_consensus,ac_reference,recall,0.0070921985815602835,-0.002370667504139782,0.02056555269922879
task_init,layer_consensus,ac_reference,fpr,6.47836227001814e-05,-0.0007076332780582204,0.0011756888502293787
task_init,layer_consensus,old_ac,recall,0.0017730496453900709,-0.0062513130252100845,0.010000626566416038
task_init,layer_consensus,old_ac,fpr,-0.00038870173620108835,-0.0011821282020235012,0.0005830781452522394
task_init,layer_consensus,previous_absolute_acc,recall,-0.0035460992907801418,-0.016887143447705665,0.0073207135056425
task_init,layer_consensus,previous_absolute_acc,fpr,-0.00019435086810054417,-0.0007776629313511174,0.0006444648590265302
task_init,relative_recovery,ac_reference,recall,0.005319148936170213,-0.002718137840420449,0.01562885231755422
task_init,relative_recovery,ac_reference,fpr,6.47836227001814e-05,-0.00032691179754630866,0.00045892770231943387
task_init,relative_recovery,old_ac,recall,0.0,-0.005815232217145195,0.005018207901125571
task_init,relative_recovery,old_ac,fpr,-0.00038870173620108835,-0.0007092267198032629,-0.0001288825879623663
task_init,relative_recovery,previous_absolute_acc,recall,-0.005319148936170213,-0.017904344763159104,0.0026045075261780085
task_init,relative_recovery,previous_absolute_acc,fpr,-0.00019435086810054417,-0.00038757186228279824,-6.384472961757006e-05
task_init,ac_window_mean,ac_reference,recall,0.0017730496453900709,0.0,0.006788101604278071
task_init,ac_window_mean,ac_reference,fpr,0.0,-0.00019249494394441656,0.00019334008157451054
task_init,ac_window_mean,old_ac,recall,-0.0035460992907801418,-0.009926175573744183,0.0
task_init,ac_window_mean,old_ac,fpr,-0.00045348535890126976,-0.0007335387292674007,-0.0001926163723916533
task_init,ac_window_mean,previous_absolute_acc,recall,-0.008865248226950355,-0.019657576911098037,-0.0018723110981162042
task_init,ac_window_mean,previous_absolute_acc,fpr,-0.0002591344908007256,-0.0004627494922643624,-6.436559723821521e-05
