key,d_tp0,d_fp0,d_tp4,d_fp4
raw|bnd:front_state|high|1|2|0.98|6|6-20,4.0,51.0,4.0,31.0
raw|bnd:front_state|high|1|3|0.98|2|6-20,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|3|0.98|4|6-20,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|3|0.98|6|-,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|3|0.98|6|4-16,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|3|0.98|6|4-24,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|3|0.98|6|6-20,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|1|0.99|2|-,31.0,1248.0,37.0,976.0
raw|bnd:front_state|high|1|2|0.99|2|-,2.0,37.0,2.0,32.0
raw|bnd:front_state|high|1|1|0.99|2|4-16,18.0,1049.0,25.0,789.0
raw|bnd:front_state|high|1|1|0.99|2|4-24,20.0,1146.0,27.0,874.0
raw|bnd:front_state|high|1|1|0.99|4|-,31.0,1148.0,37.0,875.0
raw|bnd:front_state|high|1|1|0.99|4|4-16,18.0,1049.0,25.0,789.0
raw|bnd:front_state|high|1|1|0.99|4|4-24,20.0,1146.0,27.0,874.0
raw|bnd:front_state|high|1|2|0.99|2|4-16,2.0,37.0,2.0,32.0
raw|bnd:front_state|high|1|2|0.99|2|4-24,2.0,37.0,2.0,32.0
raw|bnd:front_state|high|1|2|0.99|4|-,2.0,37.0,2.0,32.0
raw|bnd:front_state|high|1|2|0.99|4|4-16,2.0,37.0,2.0,32.0
raw|bnd:front_state|high|1|2|0.99|4|4-24,2.0,37.0,2.0,32.0
raw|bnd:front_state|high|1|1|0.99|2|8-24,19.0,312.0,24.0,281.0
raw|bnd:front_state|high|1|1|0.99|4|8-24,19.0,312.0,24.0,281.0
raw|bnd:front_state|high|1|1|0.99|6|8-24,19.0,312.0,24.0,281.0
raw|bnd:front_state|high|1|2|0.99|2|8-24,2.0,4.0,2.0,4.0
raw|bnd:front_state|high|1|2|0.99|4|8-24,2.0,4.0,2.0,4.0
raw|bnd:front_state|high|1|2|0.99|6|8-24,2.0,4.0,2.0,4.0
raw|bnd:front_state|high|1|1|0.99|2|6-20,19.0,731.0,26.0,604.0
raw|bnd:front_state|high|1|1|0.99|4|6-20,19.0,731.0,26.0,604.0
raw|bnd:front_state|high|1|1|0.99|6|-,31.0,758.0,37.0,625.0
raw|bnd:front_state|high|1|1|0.99|6|4-16,18.0,659.0,25.0,539.0
raw|bnd:front_state|high|1|1|0.99|6|4-24,20.0,756.0,27.0,624.0
raw|bnd:front_state|high|1|1|0.99|6|6-20,19.0,731.0,26.0,604.0
raw|bnd:front_state|high|1|2|0.99|2|6-20,2.0,22.0,2.0,17.0
raw|bnd:front_state|high|1|2|0.99|4|6-20,2.0,22.0,2.0,17.0
raw|bnd:front_state|high|1|2|0.99|6|-,2.0,22.0,2.0,17.0
raw|bnd:front_state|high|1|2|0.99|6|4-16,2.0,22.0,2.0,17.0
raw|bnd:front_state|high|1|2|0.99|6|4-24,2.0,22.0,2.0,17.0
raw|bnd:front_state|high|1|2|0.99|6|6-20,2.0,22.0,2.0,17.0
raw|bnd:front_state|high|1|1|0.995|2|-,17.0,656.0,19.0,536.0
raw|bnd:front_state|high|1|2|0.995|2|-,1.0,22.0,1.0,22.0
raw|bnd:front_state|high|1|1|0.995|2|4-16,9.0,562.0,12.0,448.0
raw|bnd:front_state|high|1|1|0.995|2|4-24,12.0,602.0,15.0,482.0
raw|bnd:front_state|high|1|1|0.995|4|-,17.0,605.0,19.0,484.0
raw|bnd:front_state|high|1|1|0.995|4|4-16,9.0,562.0,12.0,448.0
raw|bnd:front_state|high|1|1|0.995|4|4-24,12.0,602.0,15.0,482.0
raw|bnd:front_state|high|1|2|0.995|2|4-16,0.0,22.0,0.0,22.0
raw|bnd:front_state|high|1|2|0.995|2|4-24,1.0,22.0,1.0,22.0
raw|bnd:front_state|high|1|2|0.995|4|-,1.0,22.0,1.0,22.0
raw|bnd:front_state|high|1|2|0.995|4|4-16,0.0,22.0,0.0,22.0
raw|bnd:front_state|high|1|2|0.995|4|4-24,1.0,22.0,1.0,22.0
raw|bnd:front_state|high|1|1|0.995|2|8-24,12.0,172.0,15.0,156.0
raw|bnd:front_state|high|1|1|0.995|4|8-24,12.0,172.0,15.0,156.0
raw|bnd:front_state|high|1|1|0.995|6|8-24,12.0,172.0,15.0,156.0
raw|bnd:front_state|high|1|2|0.995|2|8-24,1.0,3.0,1.0,3.0
raw|bnd:front_state|high|1|2|0.995|4|8-24,1.0,3.0,1.0,3.0
raw|bnd:front_state|high|1|2|0.995|6|8-24,1.0,3.0,1.0,3.0
raw|bnd:front_state|high|1|1|0.995|2|6-20,10.0,395.0,13.0,342.0
raw|bnd:front_state|high|1|1|0.995|4|6-20,10.0,395.0,13.0,342.0
raw|bnd:front_state|high|1|1|0.995|6|-,17.0,411.0,19.0,354.0
raw|bnd:front_state|high|1|1|0.995|6|4-16,9.0,368.0,12.0,318.0
raw|bnd:front_state|high|1|1|0.995|6|4-24,12.0,408.0,15.0,352.0
raw|bnd:front_state|high|1|1|0.995|6|6-20,10.0,395.0,13.0,342.0
raw|bnd:front_state|high|1|2|0.995|2|6-20,1.0,10.0,1.0,10.0
raw|bnd:front_state|high|1|2|0.995|4|6-20,1.0,10.0,1.0,10.0
raw|bnd:front_state|high|1|2|0.995|6|-,1.0,10.0,1.0,10.0
raw|bnd:front_state|high|1|2|0.995|6|4-16,0.0,10.0,0.0,10.0
raw|bnd:front_state|high|1|2|0.995|6|4-24,1.0,10.0,1.0,10.0
raw|bnd:front_state|high|1|2|0.995|6|6-20,1.0,10.0,1.0,10.0
raw|bnd:front_state|high|1|1|0.998|2|-,10.0,281.0,10.0,231.0
raw|bnd:front_state|high|1|2|0.998|2|-,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|1|0.998|2|4-16,5.0,259.0,6.0,210.0
raw|bnd:front_state|high|1|1|0.998|2|4-24,8.0,267.0,9.0,217.0
raw|bnd:front_state|high|1|1|0.998|4|-,10.0,267.0,10.0,217.0
raw|bnd:front_state|high|1|1|0.998|4|4-16,5.0,259.0,6.0,210.0
raw|bnd:front_state|high|1|1|0.998|4|4-24,8.0,267.0,9.0,217.0
raw|bnd:front_state|high|1|2|0.998|2|4-16,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|2|0.998|2|4-24,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|2|0.998|4|-,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|2|0.998|4|4-16,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|2|0.998|4|4-24,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|1|0.998|2|8-24,8.0,73.0,9.0,68.0
raw|bnd:front_state|high|1|1|0.998|4|8-24,8.0,73.0,9.0,68.0
raw|bnd:front_state|high|1|1|0.998|6|8-24,8.0,73.0,9.0,68.0
raw|bnd:front_state|high|1|1|0.998|2|6-20,6.0,183.0,7.0,166.0
raw|bnd:front_state|high|1|1|0.998|4|6-20,6.0,183.0,7.0,166.0
raw|bnd:front_state|high|1|1|0.998|6|-,10.0,187.0,10.0,169.0
raw|bnd:front_state|high|1|1|0.998|6|4-16,5.0,179.0,6.0,162.0
raw|bnd:front_state|high|1|1|0.998|6|4-24,8.0,187.0,9.0,169.0
raw|bnd:front_state|high|1|1|0.998|6|6-20,6.0,183.0,7.0,166.0
raw|bnd:front_state|high|1|1|0.999|2|-,5.0,140.0,6.0,119.0
raw|bnd:front_state|high|1|1|0.999|2|4-16,3.0,135.0,4.0,115.0
raw|bnd:front_state|high|1|1|0.999|2|4-24,5.0,137.0,6.0,116.0
raw|bnd:front_state|high|1|1|0.999|4|-,5.0,137.0,6.0,116.0
raw|bnd:front_state|high|1|1|0.999|4|4-16,3.0,135.0,4.0,115.0
raw|bnd:front_state|high|1|1|0.999|4|4-24,5.0,137.0,6.0,116.0
raw|bnd:front_state|high|1|1|0.999|2|8-24,4.0,41.0,5.0,38.0
raw|bnd:front_state|high|1|1|0.999|4|8-24,4.0,41.0,5.0,38.0
raw|bnd:front_state|high|1|1|0.999|6|8-24,4.0,41.0,5.0,38.0
raw|bnd:front_state|high|1|1|0.999|2|6-20,4.0,97.0,5.0,91.0
raw|bnd:front_state|high|1|1|0.999|4|6-20,4.0,97.0,5.0,91.0
raw|bnd:front_state|high|1|1|0.999|6|-,5.0,98.0,6.0,91.0
raw|bnd:front_state|high|1|1|0.999|6|4-16,3.0,96.0,4.0,90.0
raw|bnd:front_state|high|1|1|0.999|6|4-24,5.0,98.0,6.0,91.0
raw|bnd:front_state|high|1|1|0.999|6|6-20,4.0,97.0,5.0,91.0
raw|bnd:front_state|low|1|1|0.98|2|-,42.0,239.0,65.0,214.0
raw|bnd:front_state|low|1|2|0.98|2|-,18.0,64.0,25.0,53.0
raw|bnd:front_state|low|1|3|0.98|2|-,9.0,24.0,10.0,23.0
raw|bnd:front_state|low|1|1|0.98|2|4-16,15.0,132.0,23.0,127.0
raw|bnd:front_state|low|1|1|0.98|2|4-24,27.0,215.0,47.0,202.0
raw|bnd:front_state|low|1|1|0.98|4|-,42.0,239.0,65.0,214.0
raw|bnd:front_state|low|1|1|0.98|4|4-16,15.0,132.0,23.0,127.0
raw|bnd:front_state|low|1|1|0.98|4|4-24,27.0,215.0,47.0,202.0
raw|bnd:front_state|low|1|2|0.98|2|4-16,5.0,20.0,5.0,21.0
raw|bnd:front_state|low|1|2|0.98|2|4-24,10.0,52.0,17.0,48.0
raw|bnd:front_state|low|1|2|0.98|4|-,18.0,64.0,25.0,53.0
raw|bnd:front_state|low|1|2|0.98|4|4-16,5.0,20.0,5.0,21.0
raw|bnd:front_state|low|1|2|0.98|4|4-24,10.0,52.0,17.0,48.0
raw|bnd:front_state|low|1|3|0.98|2|4-16,2.0,3.0,2.0,3.0
raw|bnd:front_state|low|1|3|0.98|2|4-24,6.0,22.0,7.0,21.0
raw|bnd:front_state|low|1|3|0.98|4|-,9.0,24.0,10.0,23.0
raw|bnd:front_state|low|1|3|0.98|4|4-16,2.0,3.0,2.0,3.0
raw|bnd:front_state|low|1|3|0.98|4|4-24,6.0,22.0,7.0,21.0
raw|bnd:front_state|low|1|1|0.98|2|8-24,27.0,208.0,47.0,198.0
raw|bnd:front_state|low|1|1|0.98|4|8-24,27.0,208.0,47.0,198.0
raw|bnd:front_state|low|1|1|0.98|6|8-24,27.0,208.0,47.0,198.0
raw|bnd:front_state|low|1|2|0.98|2|8-24,10.0,52.0,17.0,48.0
raw|bnd:front_state|low|1|2|0.98|4|8-24,10.0,52.0,17.0,48.0
raw|bnd:front_state|low|1|2|0.98|6|8-24,10.0,52.0,17.0,48.0
raw|bnd:front_state|low|1|3|0.98|2|8-24,6.0,22.0,7.0,21.0
raw|bnd:front_state|low|1|3|0.98|4|8-24,6.0,22.0,7.0,21.0
raw|bnd:front_state|low|1|3|0.98|6|8-24,6.0,22.0,7.0,21.0
raw|bnd:front_state|low|1|1|0.98|2|6-20,23.0,195.0,44.0,192.0
raw|bnd:front_state|low|1|1|0.98|4|6-20,23.0,195.0,44.0,192.0
raw|bnd:front_state|low|1|1|0.98|6|-,42.0,239.0,65.0,214.0
raw|bnd:front_state|low|1|1|0.98|6|4-16,15.0,132.0,23.0,127.0
raw|bnd:front_state|low|1|1|0.98|6|4-24,27.0,215.0,47.0,202.0
raw|bnd:front_state|low|1|1|0.98|6|6-20,23.0,195.0,44.0,192.0
raw|bnd:front_state|low|1|2|0.98|2|6-20,7.0,40.0,16.0,41.0
raw|bnd:front_state|low|1|2|0.98|4|6-20,7.0,40.0,16.0,41.0
raw|bnd:front_state|low|1|2|0.98|6|-,18.0,64.0,25.0,53.0
raw|bnd:front_state|low|1|2|0.98|6|4-16,5.0,20.0,5.0,21.0
raw|bnd:front_state|low|1|2|0.98|6|4-24,10.0,52.0,17.0,48.0
raw|bnd:front_state|low|1|2|0.98|6|6-20,7.0,40.0,16.0,41.0
raw|bnd:front_state|low|1|3|0.98|2|6-20,2.0,11.0,6.0,11.0
raw|bnd:front_state|low|1|3|0.98|4|6-20,2.0,11.0,6.0,11.0
raw|bnd:front_state|low|1|3|0.98|6|-,9.0,24.0,10.0,23.0
raw|bnd:front_state|low|1|3|0.98|6|4-16,2.0,3.0,2.0,3.0
raw|bnd:front_state|low|1|3|0.98|6|4-24,6.0,22.0,7.0,21.0
raw|bnd:front_state|low|1|3|0.98|6|6-20,2.0,11.0,6.0,11.0
raw|bnd:front_state|low|1|1|0.99|2|-,12.0,18.0,12.0,16.0
raw|bnd:front_state|low|1|2|0.99|2|-,3.0,4.0,3.0,4.0
raw|bnd:front_state|low|1|3|0.99|2|-,0.0,1.0,1.0,1.0
raw|bnd:front_state|low|1|1|0.99|2|4-16,3.0,2.0,3.0,2.0
raw|bnd:front_state|low|1|1|0.99|2|4-24,6.0,12.0,7.0,12.0
raw|bnd:front_state|low|1|1|0.99|4|-,12.0,18.0,12.0,16.0
raw|bnd:front_state|low|1|1|0.99|4|4-16,3.0,2.0,3.0,2.0
raw|bnd:front_state|low|1|1|0.99|4|4-24,6.0,12.0,7.0,12.0
raw|bnd:front_state|low|1|2|0.99|2|4-24,1.0,4.0,2.0,4.0
raw|bnd:front_state|low|1|2|0.99|4|-,3.0,4.0,3.0,4.0
raw|bnd:front_state|low|1|2|0.99|4|4-24,1.0,4.0,2.0,4.0
raw|bnd:front_state|low|1|3|0.99|2|4-24,0.0,1.0,1.0,1.0
raw|bnd:front_state|low|1|3|0.99|4|-,0.0,1.0,1.0,1.0
raw|bnd:front_state|low|1|3|0.99|4|4-24,0.0,1.0,1.0,1.0
raw|bnd:front_state|low|1|1|0.99|2|8-24,6.0,12.0,7.0,12.0
raw|bnd:front_state|low|1|1|0.99|4|8-24,6.0,12.0,7.0,12.0
raw|bnd:front_state|low|1|1|0.99|6|8-24,6.0,12.0,7.0,12.0
raw|bnd:front_state|low|1|2|0.99|2|8-24,1.0,4.0,2.0,4.0
raw|bnd:front_state|low|1|2|0.99|4|8-24,1.0,4.0,2.0,4.0
raw|bnd:front_state|low|1|2|0.99|6|8-24,1.0,4.0,2.0,4.0
raw|bnd:front_state|low|1|3|0.99|2|8-24,0.0,1.0,1.0,1.0
raw|bnd:front_state|low|1|3|0.99|4|8-24,0.0,1.0,1.0,1.0
raw|bnd:front_state|low|1|3|0.99|6|8-24,0.0,1.0,1.0,1.0
raw|bnd:front_state|low|1|1|0.99|2|6-20,3.0,11.0,7.0,11.0
raw|bnd:front_state|low|1|1|0.99|4|6-20,3.0,11.0,7.0,11.0
raw|bnd:front_state|low|1|1|0.99|6|-,12.0,18.0,12.0,16.0
raw|bnd:front_state|low|1|1|0.99|6|4-16,3.0,2.0,3.0,2.0
raw|bnd:front_state|low|1|1|0.99|6|4-24,6.0,12.0,7.0,12.0
raw|bnd:front_state|low|1|1|0.99|6|6-20,3.0,11.0,7.0,11.0
raw|bnd:front_state|low|1|2|0.99|2|6-20,0.0,3.0,2.0,3.0
raw|bnd:front_state|low|1|2|0.99|4|6-20,0.0,3.0,2.0,3.0
raw|bnd:front_state|low|1|2|0.99|6|-,3.0,4.0,3.0,4.0
raw|bnd:front_state|low|1|2|0.99|6|4-24,1.0,4.0,2.0,4.0
raw|bnd:front_state|low|1|2|0.99|6|6-20,0.0,3.0,2.0,3.0
raw|bnd:front_state|low|1|3|0.99|2|6-20,0.0,1.0,1.0,1.0
raw|bnd:front_state|low|1|3|0.99|4|6-20,0.0,1.0,1.0,1.0
raw|bnd:front_state|low|1|3|0.99|6|-,0.0,1.0,1.0,1.0
raw|bnd:front_state|low|1|3|0.99|6|4-24,0.0,1.0,1.0,1.0
raw|bnd:front_state|low|1|3|0.99|6|6-20,0.0,1.0,1.0,1.0
raw|bnd:front_state|low|1|1|0.995|2|-,3.0,1.0,3.0,1.0
raw|bnd:front_state|low|1|2|0.995|2|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|3|0.995|2|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|1|0.995|2|4-24,2.0,1.0,2.0,1.0
raw|bnd:front_state|low|1|1|0.995|4|-,3.0,1.0,3.0,1.0
raw|bnd:front_state|low|1|1|0.995|4|4-24,2.0,1.0,2.0,1.0
raw|bnd:front_state|low|1|2|0.995|2|4-24,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.995|4|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.995|4|4-24,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|3|0.995|4|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|1|0.995|2|8-24,2.0,1.0,2.0,1.0
raw|bnd:front_state|low|1|1|0.995|4|8-24,2.0,1.0,2.0,1.0
raw|bnd:front_state|low|1|1|0.995|6|8-24,2.0,1.0,2.0,1.0
raw|bnd:front_state|low|1|2|0.995|2|8-24,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.995|4|8-24,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.995|6|8-24,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|1|0.995|2|6-20,0.0,1.0,2.0,1.0
raw|bnd:front_state|low|1|1|0.995|4|6-20,0.0,1.0,2.0,1.0
raw|bnd:front_state|low|1|1|0.995|6|-,3.0,1.0,3.0,1.0
raw|bnd:front_state|low|1|1|0.995|6|4-24,2.0,1.0,2.0,1.0
raw|bnd:front_state|low|1|1|0.995|6|6-20,0.0,1.0,2.0,1.0
raw|bnd:front_state|low|1|2|0.995|2|6-20,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.995|4|6-20,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.995|6|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.995|6|4-24,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.995|6|6-20,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|3|0.995|6|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|1|0.998|2|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.998|2|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|3|0.998|2|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|1|0.998|4|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.998|4|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|3|0.998|4|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|1|0.998|6|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.998|6|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|3|0.998|6|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|1|0.999|2|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.999|2|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|3|0.999|2|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|1|0.999|4|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.999|4|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|3|0.999|4|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|1|0.999|6|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|2|0.999|6|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|low|1|3|0.999|6|-,0.0,0.0,0.0,0.0
raw|bnd:front_state|high|2|1|0.98|2|-,19.0,1546.0,28.0,1050.0
raw|bnd:front_state|high|2|2|0.98|2|-,8.0,320.0,11.0,193.0
raw|bnd:front_state|high|2|3|0.98|2|-,3.0,56.0,5.0,52.0
raw|bnd:front_state|high|2|1|0.98|2|4-16,15.0,1233.0,25.0,741.0
raw|bnd:front_state|high|2|1|0.98|2|4-24,17.0,1308.0,27.0,810.0
raw|bnd:front_state|high|2|1|0.98|4|-,19.0,1312.0,28.0,812.0
raw|bnd:front_state|high|2|1|0.98|4|4-16,15.0,1233.0,25.0,741.0
raw|bnd:front_state|high|2|1|0.98|4|4-24,17.0,1308.0,27.0,810.0
raw|bnd:front_state|high|2|2|0.98|2|4-16,6.0,310.0,8.0,183.0
raw|bnd:front_state|high|2|2|0.98|2|4-24,8.0,312.0,11.0,185.0
raw|bnd:front_state|high|2|2|0.98|4|-,8.0,314.0,11.0,187.0
raw|bnd:front_state|high|2|2|0.98|4|4-16,6.0,310.0,8.0,183.0
raw|bnd:front_state|high|2|2|0.98|4|4-24,8.0,312.0,11.0,185.0
raw|bnd:front_state|high|2|3|0.98|2|4-16,2.0,55.0,3.0,51.0
raw|bnd:front_state|high|2|3|0.98|2|4-24,3.0,55.0,5.0,51.0
raw|bnd:front_state|high|2|3|0.98|4|-,3.0,56.0,5.0,52.0
raw|bnd:front_state|high|2|3|0.98|4|4-16,2.0,55.0,3.0,51.0
raw|bnd:front_state|high|2|3|0.98|4|4-24,3.0,55.0,5.0,51.0
raw|bnd:front_state|high|2|1|0.98|2|8-24,16.0,481.0,21.0,300.0
raw|bnd:front_state|high|2|1|0.98|4|8-24,16.0,481.0,21.0,300.0
raw|bnd:front_state|high|2|1|0.98|6|8-24,16.0,481.0,21.0,300.0
raw|bnd:front_state|high|2|2|0.98|2|8-24,7.0,66.0,10.0,65.0
raw|bnd:front_state|high|2|2|0.98|4|8-24,7.0,66.0,10.0,65.0
raw|bnd:front_state|high|2|2|0.98|6|8-24,7.0,66.0,10.0,65.0
raw|bnd:front_state|high|2|3|0.98|2|8-24,3.0,7.0,5.0,7.0
raw|bnd:front_state|high|2|3|0.98|4|8-24,3.0,7.0,5.0,7.0
raw|bnd:front_state|high|2|3|0.98|6|8-24,3.0,7.0,5.0,7.0
raw|bnd:front_state|high|2|1|0.98|2|6-20,16.0,1062.0,25.0,567.0
raw|bnd:front_state|high|2|1|0.98|4|6-20,16.0,1062.0,25.0,567.0
raw|bnd:front_state|high|2|1|0.98|6|-,19.0,1082.0,27.0,585.0
raw|bnd:front_state|high|2|1|0.98|6|4-16,15.0,1003.0,24.0,514.0
raw|bnd:front_state|high|2|1|0.98|6|4-24,17.0,1078.0,26.0,583.0
raw|bnd:front_state|high|2|1|0.98|6|6-20,16.0,1062.0,25.0,567.0
raw|bnd:front_state|high|2|2|0.98|2|6-20,7.0,175.0,9.0,123.0
raw|bnd:front_state|high|2|2|0.98|4|6-20,7.0,175.0,9.0,123.0
raw|bnd:front_state|high|2|2|0.98|6|-,8.0,179.0,11.0,127.0
raw|bnd:front_state|high|2|2|0.98|6|4-16,6.0,175.0,8.0,123.0
raw|bnd:front_state|high|2|2|0.98|6|4-24,8.0,177.0,11.0,125.0
raw|bnd:front_state|high|2|2|0.98|6|6-20,7.0,175.0,9.0,123.0
raw|bnd:front_state|high|2|3|0.98|2|6-20,3.0,38.0,4.0,36.0
raw|bnd:front_state|high|2|3|0.98|4|6-20,3.0,38.0,4.0,36.0
raw|bnd:front_state|high|2|3|0.98|6|-,3.0,39.0,5.0,37.0
raw|bnd:front_state|high|2|3|0.98|6|4-16,2.0,38.0,3.0,36.0
raw|bnd:front_state|high|2|3|0.98|6|4-24,3.0,38.0,5.0,36.0
raw|bnd:front_state|high|2|3|0.98|6|6-20,3.0,38.0,4.0,36.0
raw|bnd:front_state|high|2|1|0.99|2|-,15.0,596.0,17.0,375.0
raw|bnd:front_state|high|2|2|0.99|2|-,3.0,93.0,5.0,68.0
raw|bnd:front_state|high|2|3|0.99|2|-,1.0,20.0,2.0,20.0
raw|bnd:front_state|high|2|1|0.99|2|4-16,10.0,505.0,13.0,286.0
raw|bnd:front_state|high|2|1|0.99|2|4-24,14.0,531.0,17.0,310.0
raw|bnd:front_state|high|2|1|0.99|4|-,15.0,534.0,17.0,312.0
raw|bnd:front_state|high|2|1|0.99|4|4-16,10.0,505.0,13.0,286.0
raw|bnd:front_state|high|2|1|0.99|4|4-24,14.0,531.0,17.0,310.0
raw|bnd:front_state|high|2|2|0.99|2|4-16,2.0,93.0,3.0,68.0
raw|bnd:front_state|high|2|2|0.99|2|4-24,3.0,93.0,5.0,68.0
raw|bnd:front_state|high|2|2|0.99|4|-,3.0,93.0,5.0,68.0
raw|bnd:front_state|high|2|2|0.99|4|4-16,2.0,93.0,3.0,68.0
raw|bnd:front_state|high|2|2|0.99|4|4-24,3.0,93.0,5.0,68.0
raw|bnd:front_state|high|2|3|0.99|2|4-16,1.0,20.0,1.0,20.0
raw|bnd:front_state|high|2|3|0.99|2|4-24,1.0,20.0,2.0,20.0
