channel,distance,W,q,fa_observed,recall,n_detected_of_216,recall_stagnation,recall_other,recall_loop
st,js,2,0.5,0.0608,0.7546,163,0.938,0.511,0.463
st,js,4,0.05,0.0372,0.4954,107,0.68,0.255,0.195
st,js,4,0.1,0.0473,0.713,154,0.906,0.447,0.415
st,js,4,0.2,0.0541,0.7315,158,0.914,0.468,0.463
st,js,4,0.3,0.0574,0.7361,159,0.914,0.489,0.463
st,js,4,0.4,0.0709,0.75,162,0.914,0.511,0.512
st,js,4,0.5,0.098,0.75,162,0.914,0.511,0.512
st,js,6,0.05,0.0372,0.625,135,0.828,0.34,0.317
st,js,6,0.1,0.0473,0.7037,152,0.891,0.447,0.415
st,js,6,0.2,0.0574,0.7315,158,0.898,0.489,0.488
st,js,6,0.3,0.1216,0.7407,160,0.906,0.489,0.512
st,js,6,0.4,0.1655,0.7546,163,0.906,0.511,0.561
st,js,6,0.5,0.2061,0.7731,167,0.914,0.511,0.634
st,js,8,0.05,0.0372,0.5324,115,0.703,0.298,0.268
st,js,8,0.1,0.0507,0.6667,144,0.859,0.426,0.341
st,js,8,0.2,0.0507,0.6898,149,0.883,0.447,0.366
st,js,8,0.3,0.0709,0.7361,159,0.898,0.511,0.488
st,js,8,0.4,0.1182,0.7361,159,0.898,0.511,0.488
st,js,8,0.5,0.1689,0.7407,160,0.898,0.511,0.512
st,cos,2,0.05,0.0338,0.4815,104,0.727,0.128,0.122
st,cos,2,0.1,0.0473,0.6574,142,0.891,0.277,0.366
st,cos,2,0.2,0.0574,0.7222,156,0.93,0.447,0.39
st,cos,2,0.3,0.0574,0.7315,158,0.93,0.468,0.415
st,cos,2,0.4,0.0574,0.7454,161,0.938,0.489,0.439
st,cos,2,0.5,0.0608,0.7546,163,0.938,0.511,0.463
st,cos,4,0.05,0.0372,0.4769,103,0.656,0.255,0.171
st,cos,4,0.1,0.0405,0.6898,149,0.883,0.426,0.39
st,cos,4,0.2,0.0439,0.7222,156,0.914,0.447,0.439
st,cos,4,0.3,0.0507,0.7315,158,0.914,0.468,0.463
st,cos,4,0.4,0.0608,0.7407,160,0.914,0.511,0.463
st,cos,4,0.5,0.0777,0.7407,160,0.914,0.511,0.463
st,cos,6,0.05,0.0439,0.662,143,0.867,0.383,0.341
st,cos,6,0.1,0.0439,0.6852,148,0.875,0.426,0.39
st,cos,6,0.2,0.0507,0.7037,152,0.891,0.447,0.415
st,cos,6,0.3,0.1115,0.7083,153,0.891,0.447,0.439
st,cos,6,0.4,0.1351,0.7269,157,0.891,0.468,0.512
st,cos,6,0.5,0.1892,0.7407,160,0.891,0.468,0.585
st,cos,8,0.05,0.0372,0.5602,121,0.719,0.34,0.317
st,cos,8,0.1,0.0372,0.6065,131,0.773,0.383,0.341
st,cos,8,0.2,0.0439,0.6481,140,0.812,0.404,0.415
st,cos,8,0.3,0.0574,0.6852,148,0.852,0.447,0.439
st,cos,8,0.4,0.1047,0.7176,155,0.883,0.489,0.463
st,cos,8,0.5,0.1824,0.7361,159,0.883,0.574,0.463
st,l2,2,0.05,0.0338,0.5046,109,0.734,0.17,0.171
st,l2,2,0.1,0.0473,0.6574,142,0.891,0.277,0.366
st,l2,2,0.2,0.0574,0.7269,157,0.93,0.447,0.415
st,l2,2,0.3,0.0608,0.7407,160,0.93,0.511,0.415
st,l2,2,0.4,0.0608,0.7454,161,0.93,0.511,0.439
st,l2,2,0.5,0.0642,0.7593,164,0.938,0.532,0.463
st,l2,4,0.05,0.0405,0.5046,109,0.703,0.255,0.171
st,l2,4,0.1,0.0507,0.7222,156,0.914,0.447,0.439
st,l2,4,0.2,0.0541,0.7315,158,0.914,0.468,0.463
st,l2,4,0.3,0.0642,0.7407,160,0.914,0.511,0.463
st,l2,4,0.4,0.0845,0.75,162,0.914,0.511,0.512
st,l2,4,0.5,0.0946,0.75,162,0.914,0.511,0.512
st,l2,6,0.05,0.0405,0.6528,141,0.852,0.404,0.317
st,l2,6,0.1,0.0473,0.7037,152,0.891,0.447,0.415
st,l2,6,0.2,0.0541,0.7361,159,0.906,0.489,0.488
st,l2,6,0.3,0.0845,0.7361,159,0.906,0.489,0.488
st,l2,6,0.4,0.1182,0.7407,160,0.906,0.489,0.512
st,l2,6,0.5,0.1757,0.7593,164,0.906,0.489,0.61
st,l2,8,0.05,0.0405,0.5602,121,0.75,0.298,0.268
st,l2,8,0.1,0.0473,0.6898,149,0.883,0.426,0.39
st,l2,8,0.2,0.0574,0.713,154,0.891,0.468,0.439
st,l2,8,0.3,0.0709,0.7361,159,0.898,0.511,0.488
st,l2,8,0.4,0.1047,0.7407,160,0.898,0.511,0.512
st,l2,8,0.5,0.1993,0.7593,164,0.898,0.574,0.537
st,top4_jac,2,0.05,0.027,0.3333,72,0.516,0.043,0.098
st,top4_jac,2,0.1,0.0338,0.4861,105,0.727,0.106,0.171
st,top4_jac,2,0.2,0.0372,0.5556,120,0.789,0.213,0.22
st,top4_jac,2,0.3,0.0507,0.5741,124,0.805,0.234,0.244
st,top4_jac,2,0.4,0.0574,0.5787,125,0.805,0.255,0.244
st,top4_jac,2,0.5,0.0574,0.5833,126,0.805,0.277,0.244
st,top4_jac,4,0.05,0.027,0.3935,85,0.594,0.106,0.098
st,top4_jac,4,0.1,0.027,0.4676,101,0.688,0.149,0.146
st,top4_jac,4,0.2,0.0743,0.5602,121,0.766,0.277,0.244
st,top4_jac,4,0.3,0.1115,0.5972,129,0.805,0.298,0.293
st,top4_jac,4,0.4,0.1351,0.6389,138,0.852,0.319,0.341
st,top4_jac,4,0.5,0.1858,0.6667,144,0.852,0.383,0.415
st,top4_jac,6,0.05,0.0236,0.338,73,0.508,0.085,0.098
st,top4_jac,6,0.1,0.027,0.3981,86,0.586,0.128,0.122
st,top4_jac,6,0.2,0.1014,0.5185,112,0.734,0.191,0.22
st,top4_jac,6,0.3,0.1486,0.6065,131,0.789,0.34,0.341
st,top4_jac,6,0.4,0.2061,0.6759,146,0.836,0.426,0.463
st,top4_jac,6,0.5,0.2703,0.7222,156,0.859,0.489,0.561
st,top4_jac,8,0.05,0.0203,0.2917,63,0.438,0.085,0.073
st,top4_jac,8,0.1,0.0507,0.338,73,0.477,0.128,0.146
st,top4_jac,8,0.2,0.1081,0.4722,102,0.617,0.213,0.317
st,top4_jac,8,0.3,0.1453,0.588,127,0.734,0.319,0.439
st,top4_jac,8,0.4,0.1926,0.6667,144,0.805,0.404,0.537
st,top4_jac,8,0.5,0.2534,0.7176,155,0.852,0.489,0.561
st,top4_mass,2,0.05,0.027,0.0556,12,0.07,0.064,0.0
st,top4_mass,2,0.1,0.027,0.0648,14,0.086,0.064,0.0
st,top4_mass,2,0.2,0.027,0.0787,17,0.102,0.085,0.0
st,top4_mass,2,0.3,0.0372,0.0926,20,0.125,0.085,0.0
st,top4_mass,2,0.4,0.0709,0.125,27,0.172,0.106,0.0
st,top4_mass,2,0.5,0.0946,0.1389,30,0.195,0.106,0.0
st,top4_mass,4,0.05,0.0236,0.0509,11,0.062,0.064,0.0
st,top4_mass,4,0.1,0.0236,0.0556,12,0.07,0.064,0.0
st,top4_mass,4,0.2,0.0473,0.0926,20,0.125,0.085,0.0
st,top4_mass,4,0.3,0.0608,0.0972,21,0.133,0.085,0.0
st,top4_mass,4,0.4,0.0709,0.1157,25,0.164,0.085,0.0
st,top4_mass,4,0.5,0.1385,0.1389,30,0.172,0.106,0.073
st,top4_mass,6,0.05,0.0169,0.0417,9,0.055,0.043,0.0
st,top4_mass,6,0.1,0.0203,0.0694,15,0.094,0.064,0.0
st,top4_mass,6,0.2,0.0473,0.1111,24,0.148,0.106,0.0
st,top4_mass,6,0.3,0.0878,0.125,27,0.172,0.106,0.0
st,top4_mass,6,0.4,0.1757,0.2176,47,0.273,0.17,0.098
st,top4_mass,6,0.5,0.2905,0.3148,68,0.359,0.213,0.293
st,top4_mass,8,0.05,0.0169,0.037,8,0.047,0.043,0.0
st,top4_mass,8,0.1,0.0372,0.0926,20,0.125,0.085,0.0
st,top4_mass,8,0.2,0.0709,0.125,27,0.164,0.128,0.0
st,top4_mass,8,0.3,0.0845,0.1389,30,0.188,0.128,0.0
st,top4_mass,8,0.4,0.1419,0.1944,42,0.234,0.17,0.098
st,top4_mass,8,0.5,0.2601,0.3009,65,0.344,0.191,0.293
ac,hellinger,2,0.05,0.0338,0.463,100,0.711,0.085,0.122
ac,hellinger,2,0.1,0.0439,0.6435,139,0.883,0.298,0.293
ac,hellinger,2,0.2,0.0473,0.6852,148,0.914,0.362,0.341
ac,hellinger,2,0.3,0.0473,0.7037,152,0.922,0.404,0.366
ac,hellinger,2,0.4,0.0473,0.713,154,0.93,0.404,0.39
ac,hellinger,2,0.5,0.0473,0.7222,156,0.93,0.447,0.39
ac,hellinger,4,0.05,0.0405,0.6343,137,0.836,0.319,0.366
ac,hellinger,4,0.1,0.0405,0.6991,151,0.898,0.383,0.439
ac,hellinger,4,0.2,0.0439,0.7315,158,0.914,0.468,0.463
ac,hellinger,4,0.3,0.0946,0.7546,163,0.938,0.489,0.488
ac,hellinger,4,0.4,0.1453,0.7824,169,0.953,0.574,0.488
ac,hellinger,4,0.5,0.1926,0.7963,172,0.961,0.574,0.537
ac,hellinger,6,0.05,0.0405,0.6667,144,0.859,0.383,0.39
ac,hellinger,6,0.1,0.0405,0.7315,158,0.906,0.489,0.463
ac,hellinger,6,0.2,0.0743,0.7546,163,0.922,0.489,0.537
ac,hellinger,6,0.3,0.1081,0.7685,166,0.93,0.511,0.561
ac,hellinger,6,0.4,0.152,0.8194,177,0.961,0.596,0.634
ac,hellinger,6,0.5,0.2669,0.8565,185,0.977,0.638,0.732
ac,hellinger,8,0.05,0.0405,0.625,135,0.805,0.383,0.341
ac,hellinger,8,0.1,0.0541,0.7315,158,0.906,0.468,0.488
ac,hellinger,8,0.2,0.0912,0.7593,164,0.922,0.532,0.512
ac,hellinger,8,0.3,0.1284,0.8009,173,0.938,0.574,0.634
ac,hellinger,8,0.4,0.1351,0.838,181,0.961,0.617,0.707
ac,hellinger,8,0.5,0.1959,0.8611,186,0.969,0.681,0.732
ac,wjaccard,2,0.05,0.0338,0.463,100,0.711,0.085,0.122
ac,wjaccard,2,0.1,0.0439,0.6435,139,0.883,0.298,0.293
ac,wjaccard,2,0.2,0.0473,0.6852,148,0.914,0.362,0.341
ac,wjaccard,2,0.3,0.0473,0.7037,152,0.922,0.404,0.366
ac,wjaccard,2,0.4,0.0473,0.7222,156,0.93,0.426,0.415
ac,wjaccard,2,0.5,0.0473,0.7269,157,0.93,0.447,0.415
ac,wjaccard,4,0.05,0.0405,0.6389,138,0.836,0.319,0.39
ac,wjaccard,4,0.1,0.0405,0.7083,153,0.906,0.404,0.439
ac,wjaccard,4,0.2,0.0439,0.7407,160,0.922,0.489,0.463
ac,wjaccard,4,0.3,0.0811,0.7593,164,0.938,0.511,0.488
ac,wjaccard,4,0.4,0.1453,0.7824,169,0.953,0.553,0.512
ac,wjaccard,4,0.5,0.1757,0.8009,173,0.953,0.574,0.585
ac,wjaccard,6,0.05,0.0405,0.6667,144,0.859,0.383,0.39
ac,wjaccard,6,0.1,0.0507,0.7269,157,0.906,0.489,0.439
ac,wjaccard,6,0.2,0.0878,0.7593,164,0.922,0.489,0.561
ac,wjaccard,6,0.3,0.1047,0.7731,167,0.922,0.532,0.585
ac,wjaccard,6,0.4,0.1486,0.8056,174,0.953,0.574,0.61
ac,wjaccard,6,0.5,0.25,0.875,189,0.977,0.66,0.805
ac,wjaccard,8,0.05,0.0405,0.6204,134,0.797,0.383,0.341
ac,wjaccard,8,0.1,0.0507,0.7269,157,0.898,0.468,0.488
ac,wjaccard,8,0.2,0.0946,0.7731,167,0.922,0.532,0.585
ac,wjaccard,8,0.3,0.125,0.8102,175,0.945,0.574,0.659
ac,wjaccard,8,0.4,0.1588,0.8519,184,0.969,0.66,0.707
ac,wjaccard,8,0.5,0.2027,0.875,189,0.969,0.702,0.78
ac,tv,2,0.05,0.0338,0.463,100,0.711,0.085,0.122
ac,tv,2,0.1,0.0439,0.6389,138,0.875,0.298,0.293
ac,tv,2,0.2,0.0473,0.6852,148,0.914,0.362,0.341
ac,tv,2,0.3,0.0473,0.7037,152,0.922,0.404,0.366
ac,tv,2,0.4,0.0473,0.7176,155,0.93,0.426,0.39
ac,tv,2,0.5,0.0473,0.7269,157,0.93,0.447,0.415
ac,tv,4,0.05,0.0405,0.6389,138,0.836,0.319,0.39
ac,tv,4,0.1,0.0405,0.7037,152,0.906,0.383,0.439
ac,tv,4,0.2,0.0439,0.7361,159,0.922,0.468,0.463
ac,tv,4,0.3,0.0811,0.7593,164,0.938,0.511,0.488
ac,tv,4,0.4,0.1453,0.7824,169,0.953,0.553,0.512
ac,tv,4,0.5,0.1757,0.7963,172,0.953,0.574,0.561
ac,tv,6,0.05,0.0405,0.6667,144,0.859,0.383,0.39
ac,tv,6,0.1,0.0507,0.7269,157,0.906,0.489,0.439
ac,tv,6,0.2,0.0845,0.7593,164,0.922,0.489,0.561
ac,tv,6,0.3,0.1047,0.7731,167,0.922,0.532,0.585
ac,tv,6,0.4,0.1486,0.8102,175,0.953,0.574,0.634
ac,tv,6,0.5,0.25,0.8704,188,0.969,0.66,0.805
ac,tv,8,0.05,0.0405,0.6204,134,0.797,0.383,0.341
ac,tv,8,0.1,0.0507,0.7269,157,0.898,0.468,0.488
ac,tv,8,0.2,0.0946,0.7685,166,0.922,0.532,0.561
ac,tv,8,0.3,0.1216,0.8056,174,0.938,0.574,0.659
ac,tv,8,0.4,0.1588,0.8519,184,0.969,0.66,0.707
ac,tv,8,0.5,0.1993,0.875,189,0.969,0.702,0.78
ac,js,2,0.05,0.0338,0.463,100,0.711,0.085,0.122
ac,js,2,0.1,0.0439,0.6389,138,0.875,0.298,0.293
ac,js,2,0.2,0.0473,0.6852,148,0.914,0.362,0.341
ac,js,2,0.3,0.0473,0.7037,152,0.922,0.404,0.366
ac,js,2,0.4,0.0473,0.713,154,0.93,0.404,0.39
ac,js,2,0.5,0.0473,0.7269,157,0.93,0.447,0.415
ac,js,4,0.05,0.0405,0.6343,137,0.836,0.319,0.366
ac,js,4,0.1,0.0405,0.6991,151,0.898,0.383,0.439
ac,js,4,0.2,0.0439,0.7361,159,0.922,0.468,0.463
ac,js,4,0.3,0.098,0.7546,163,0.938,0.489,0.488
ac,js,4,0.4,0.1486,0.7778,168,0.953,0.553,0.488
ac,js,4,0.5,0.1959,0.7963,172,0.961,0.574,0.537
ac,js,6,0.05,0.0405,0.6667,144,0.859,0.383,0.39
ac,js,6,0.1,0.0405,0.7315,158,0.906,0.489,0.463
ac,js,6,0.2,0.0777,0.7546,163,0.922,0.489,0.537
ac,js,6,0.3,0.1081,0.7685,166,0.93,0.511,0.561
ac,js,6,0.4,0.1419,0.8148,176,0.961,0.596,0.61
ac,js,6,0.5,0.2669,0.8704,188,0.984,0.638,0.78
ac,js,8,0.05,0.0405,0.6204,134,0.797,0.383,0.341
ac,js,8,0.1,0.0507,0.7269,157,0.906,0.468,0.463
ac,js,8,0.2,0.0946,0.7731,167,0.922,0.553,0.561
ac,js,8,0.3,0.1284,0.8009,173,0.938,0.574,0.634
ac,js,8,0.4,0.1419,0.8426,182,0.969,0.617,0.707
ac,js,8,0.5,0.1959,0.8611,186,0.969,0.681,0.732
ac,cos,2,0.05,0.0338,0.4769,103,0.727,0.106,0.122
ac,cos,2,0.1,0.0405,0.625,135,0.875,0.234,0.293
ac,cos,2,0.2,0.0439,0.662,143,0.898,0.34,0.293
ac,cos,2,0.3,0.0439,0.6898,149,0.922,0.362,0.341
ac,cos,2,0.4,0.0473,0.7037,152,0.922,0.404,0.366
ac,cos,2,0.5,0.0473,0.7083,153,0.922,0.426,0.366
ac,cos,4,0.05,0.0372,0.588,127,0.82,0.277,0.22
ac,cos,4,0.1,0.0372,0.662,143,0.875,0.298,0.415
ac,cos,4,0.2,0.0405,0.713,154,0.914,0.404,0.439
ac,cos,4,0.3,0.0676,0.7454,161,0.93,0.468,0.488
ac,cos,4,0.4,0.1149,0.7731,167,0.961,0.511,0.488
ac,cos,4,0.5,0.1858,0.7963,172,0.969,0.553,0.537
ac,cos,6,0.05,0.0405,0.662,143,0.875,0.362,0.341
ac,cos,6,0.1,0.0405,0.7083,153,0.898,0.447,0.415
ac,cos,6,0.2,0.0642,0.7361,159,0.914,0.447,0.512
ac,cos,6,0.3,0.0878,0.7639,165,0.945,0.468,0.537
ac,cos,6,0.4,0.1318,0.8009,173,0.961,0.553,0.585
ac,cos,6,0.5,0.2027,0.8611,186,0.977,0.617,0.78
ac,cos,8,0.05,0.0405,0.6574,142,0.844,0.383,0.39
ac,cos,8,0.1,0.0507,0.7083,153,0.898,0.404,0.463
ac,cos,8,0.2,0.0811,0.75,162,0.922,0.511,0.488
ac,cos,8,0.3,0.1014,0.8056,174,0.945,0.574,0.634
ac,cos,8,0.4,0.1284,0.8287,179,0.953,0.596,0.707
ac,cos,8,0.5,0.1689,0.8611,186,0.977,0.681,0.707
ac,l2,2,0.05,0.0338,0.4676,101,0.711,0.106,0.122
ac,l2,2,0.1,0.0439,0.6389,138,0.875,0.298,0.293
ac,l2,2,0.2,0.0473,0.6852,148,0.914,0.362,0.341
ac,l2,2,0.3,0.0473,0.7037,152,0.922,0.404,0.366
ac,l2,2,0.4,0.0473,0.713,154,0.93,0.404,0.39
ac,l2,2,0.5,0.0473,0.7222,156,0.93,0.447,0.39
ac,l2,4,0.05,0.0405,0.6296,136,0.828,0.319,0.366
ac,l2,4,0.1,0.0405,0.6991,151,0.898,0.383,0.439
ac,l2,4,0.2,0.0439,0.7361,159,0.922,0.468,0.463
ac,l2,4,0.3,0.0878,0.75,162,0.938,0.489,0.463
ac,l2,4,0.4,0.1486,0.7778,168,0.953,0.553,0.488
ac,l2,4,0.5,0.1858,0.7963,172,0.961,0.574,0.537
ac,l2,6,0.05,0.0405,0.6667,144,0.859,0.383,0.39
ac,l2,6,0.1,0.0405,0.7315,158,0.906,0.489,0.463
ac,l2,6,0.2,0.0777,0.7593,164,0.922,0.489,0.561
ac,l2,6,0.3,0.1081,0.7685,166,0.93,0.511,0.561
ac,l2,6,0.4,0.1486,0.8241,178,0.961,0.596,0.659
ac,l2,6,0.5,0.2534,0.875,189,0.984,0.66,0.78
ac,l2,8,0.05,0.0405,0.6204,134,0.797,0.383,0.341
ac,l2,8,0.1,0.0541,0.7315,158,0.906,0.468,0.488
ac,l2,8,0.2,0.0946,0.7731,167,0.922,0.553,0.561
ac,l2,8,0.3,0.125,0.7963,172,0.938,0.574,0.61
ac,l2,8,0.4,0.1453,0.8472,183,0.969,0.638,0.707
ac,l2,8,0.5,0.1959,0.8519,184,0.969,0.66,0.707
ac,top4_jac,2,0.05,0.0372,0.4074,88,0.617,0.128,0.073
ac,top4_jac,2,0.1,0.0439,0.6065,131,0.836,0.234,0.317
ac,top4_jac,2,0.2,0.0642,0.6944,150,0.922,0.383,0.341
ac,top4_jac,2,0.3,0.0642,0.7176,155,0.938,0.404,0.39
ac,top4_jac,2,0.4,0.0709,0.7407,160,0.938,0.468,0.439
ac,top4_jac,2,0.5,0.0743,0.7593,164,0.938,0.511,0.488
ac,top4_jac,4,0.05,0.027,0.4306,93,0.609,0.191,0.146
ac,top4_jac,4,0.1,0.0743,0.6991,151,0.875,0.447,0.439
ac,top4_jac,4,0.2,0.0946,0.7731,167,0.945,0.532,0.512
ac,top4_jac,4,0.3,0.1216,0.7963,172,0.945,0.574,0.585
ac,top4_jac,4,0.4,0.1892,0.8009,173,0.953,0.574,0.585
ac,top4_jac,4,0.5,0.2703,0.8102,175,0.953,0.574,0.634
ac,top4_jac,6,0.05,0.0338,0.4213,91,0.594,0.191,0.146
ac,top4_jac,6,0.1,0.0743,0.6991,151,0.875,0.447,0.439
ac,top4_jac,6,0.2,0.1284,0.7639,165,0.922,0.532,0.537
ac,top4_jac,6,0.3,0.2027,0.7685,166,0.922,0.553,0.537
ac,top4_jac,6,0.4,0.2601,0.8009,173,0.953,0.574,0.585
ac,top4_jac,6,0.5,0.3243,0.8333,180,0.969,0.596,0.683
ac,top4_jac,8,0.05,0.0304,0.3935,85,0.562,0.17,0.122
ac,top4_jac,8,0.1,0.0642,0.6296,136,0.82,0.362,0.341
ac,top4_jac,8,0.2,0.1014,0.7037,152,0.867,0.468,0.463
ac,top4_jac,8,0.3,0.1824,0.7639,165,0.922,0.553,0.512
ac,top4_jac,8,0.4,0.2669,0.7917,171,0.938,0.574,0.585
ac,top4_jac,8,0.5,0.3378,0.8102,175,0.961,0.596,0.585
ac,top4_mass,2,0.05,0.0135,0.0787,17,0.102,0.064,0.024
ac,top4_mass,2,0.1,0.0372,0.3981,86,0.578,0.17,0.098
ac,top4_mass,2,0.2,0.0642,0.5972,129,0.828,0.255,0.268
ac,top4_mass,2,0.3,0.0743,0.6759,146,0.891,0.319,0.415
ac,top4_mass,2,0.4,0.0878,0.7037,152,0.914,0.362,0.439
ac,top4_mass,2,0.5,0.0912,0.7269,157,0.922,0.383,0.512
ac,top4_mass,4,0.05,0.0203,0.3194,69,0.477,0.085,0.098
ac,top4_mass,4,0.1,0.0574,0.4954,107,0.703,0.234,0.146
ac,top4_mass,4,0.2,0.0811,0.6944,150,0.867,0.468,0.415
ac,top4_mass,4,0.3,0.125,0.75,162,0.914,0.532,0.488
ac,top4_mass,4,0.4,0.1655,0.7639,165,0.922,0.532,0.537
ac,top4_mass,4,0.5,0.2196,0.8056,174,0.961,0.574,0.585
ac,top4_mass,6,0.05,0.0169,0.2778,60,0.414,0.106,0.049
ac,top4_mass,6,0.1,0.0541,0.5556,120,0.742,0.277,0.293
ac,top4_mass,6,0.2,0.1486,0.7037,152,0.867,0.489,0.439
ac,top4_mass,6,0.3,0.1858,0.7361,159,0.898,0.511,0.488
ac,top4_mass,6,0.4,0.2162,0.7917,171,0.938,0.596,0.561
ac,top4_mass,6,0.5,0.25,0.8102,175,0.945,0.596,0.634
ac,top4_mass,8,0.05,0.0169,0.2778,60,0.414,0.085,0.073
ac,top4_mass,8,0.1,0.0473,0.4861,105,0.656,0.234,0.244
