relative_query,stored_layer_index,model_layer,layer_group,failed_value,success_mean,success_min,success_max,failed_over_success_mean,relation_to_success_range
-1,6,14,back,0.0948573499917984,0.08961817515747887,0.07798907905817032,0.10168713331222534,1.058461074721876,inside
-1,7,15,back,0.08087616413831711,0.08855292733226504,0.08110173791646957,0.09628059715032578,0.9133087586687737,below_all
0,0,2,front,0.22818490862846375,0.2399852808032717,0.2086089849472046,0.285781592130661,0.9508287669339133,inside
0,1,3,front,0.2210412621498108,0.20555150508880615,0.19013728201389313,0.21593530476093292,1.0753570598002309,above_all
0,2,4,front,0.21769335865974426,0.20648381752627237,0.19117754697799683,0.24446000158786774,1.0542877464576401,inside
0,3,5,front,0.18647980690002441,0.23136137851646968,0.1973547339439392,0.3000429570674896,0.8060109604107916,below_all
0,4,12,back,0.1011829599738121,0.09447428371225085,0.09089083969593048,0.09753288328647614,1.0710106073097574,above_all
0,5,13,back,0.11424163728952408,0.12700226370777404,0.11459769308567047,0.13598917424678802,0.8995244175520246,below_all
0,6,14,back,0.10961859673261642,0.09327177277633122,0.07842198014259338,0.1188751757144928,1.175260140015623,inside
0,7,15,back,0.08239737153053284,0.09043399670294353,0.0778069719672203,0.1089181900024414,0.9111326993673707,inside
1,0,2,front,0.3412673771381378,0.358642510005406,0.3081783950328827,0.4180997908115387,0.9515530580381945,inside
1,1,3,front,0.16852690279483795,0.16586007177829742,0.14998939633369446,0.17506909370422363,1.0160788005693453,inside
1,2,4,front,0.38361111283302307,0.3169664080653872,0.24338848888874054,0.46989530324935913,1.2102579423933395,inside
1,3,5,front,0.45035097002983093,0.33577933481761385,0.25650641322135925,0.456163227558136,1.341211097086869,inside
1,4,12,back,0.10371753573417664,0.14569223991462163,0.12469995021820068,0.16873173415660858,0.7118947158404391,below_all
1,5,13,back,0.10109662264585495,0.09863189820732389,0.08903169631958008,0.10697817802429199,1.0249891209976536,inside
1,6,14,back,0.13076870143413544,0.12410939591271537,0.10558228194713593,0.13916271924972534,1.0536567394631706,inside
1,7,15,back,0.08754782378673553,0.07125303042786461,0.0664215087890625,0.07817457616329193,1.228689127480234,above_all
2,0,2,front,0.2863360643386841,0.317586681672505,0.26492229104042053,0.3863350749015808,0.9015997233597897,inside
2,1,3,front,0.3456527888774872,0.1994753416095461,0.16848833858966827,0.24310682713985443,1.7328096098918804,above_all
2,2,4,front,0.5567770004272461,0.4238328082220895,0.3502304255962372,0.5175347328186035,1.313671310068789,above_all
2,3,5,front,0.5791237950325012,0.45498576760292053,0.3861568570137024,0.5049741864204407,1.2728393639291145,above_all
2,4,12,back,0.07086515426635742,0.10049296809094292,0.09287168085575104,0.104621022939682,0.7051752536777173,below_all
2,5,13,back,0.08592917770147324,0.09523478150367737,0.08842677623033524,0.10097391903400421,0.9022877602565318,below_all
2,6,14,back,0.11902199685573578,0.13210427122456686,0.11961420625448227,0.13957180082798004,0.9009700878891929,below_all
2,7,15,back,0.08556562662124634,0.07979345747402736,0.0705350935459137,0.08908222615718842,1.0723388775213534,inside
3,0,2,front,0.27147021889686584,0.29828024762017386,0.2610611021518707,0.36875781416893005,0.9101179882435677,inside
3,1,3,front,0.3858693242073059,0.23500998318195343,0.19900740683078766,0.3484653830528259,1.6419273725429426,above_all
3,2,4,front,0.5765565633773804,0.46060895919799805,0.387789249420166,0.5595970749855042,1.251726767063471,above_all
3,3,5,front,0.621751070022583,0.5110964051314763,0.4274950325489044,0.5750417113304138,1.2165044867858963,above_all
3,4,12,back,0.08352179080247879,0.08364983009440559,0.07731937617063522,0.09059064835309982,0.9984693418769375,inside
3,5,13,back,0.09214877337217331,0.09366160098995481,0.08328201621770859,0.10044985264539719,0.9838479419336025,inside
3,6,14,back,0.1305161714553833,0.11943788826465607,0.10732472687959671,0.13117237389087677,1.0927535085531608,inside
3,7,15,back,0.09250642359256744,0.09142452052661351,0.07706340402364731,0.11399615556001663,1.0118338391027053,inside
4,0,2,front,0.2632114589214325,0.2986737532275064,0.25368666648864746,0.34982720017433167,0.8812674568057492,inside
4,1,3,front,0.4350849688053131,0.27090880487646374,0.214387446641922,0.4228779971599579,1.6060200369039863,above_all
4,2,4,front,0.5660310983657837,0.4888249507972172,0.3928593695163727,0.5708431005477905,1.1579423215665487,inside
4,3,5,front,0.675289511680603,0.5700289011001587,0.4684915542602539,0.6470351815223694,1.1846583750004445,above_all
4,4,12,back,0.10105593502521515,0.10274341808898109,0.08622623980045319,0.11776287108659744,0.9835757550687627,inside
4,5,13,back,0.09861951321363449,0.09253557984318052,0.08254769444465637,0.10078366100788116,1.06574696328444,inside
4,6,14,back,0.12225010991096497,0.11784204202038902,0.103997603058815,0.12571559846401215,1.0374065810045388,inside
4,7,15,back,0.10169152915477753,0.09659255615302495,0.078119657933712,0.10365056246519089,1.052788467401925,inside
5,0,2,front,0.24587979912757874,0.281075119972229,0.22348123788833618,0.3263471722602844,0.874783222192958,inside
5,1,3,front,0.4469335973262787,0.29714088780539377,0.22023947536945343,0.45207658410072327,1.5041134211693832,inside
5,2,4,front,0.5132595300674438,0.47243535092898775,0.3014603853225708,0.5561364889144897,1.0864122023429876,inside
5,3,5,front,0.7139654755592346,0.6269133516720363,0.4965134263038635,0.7035912871360779,1.1388583025948038,above_all
5,4,12,back,0.10343440622091293,0.12209339333432061,0.10429435223340988,0.13074979186058044,0.8471744735416195,below_all
5,5,13,back,0.09889353066682816,0.10659870718206678,0.095703125,0.11771857738494873,0.9277179177972725,inside
5,6,14,back,0.11402804404497147,0.11290392598935536,0.10452355444431305,0.12204809486865997,1.0099564124609988,inside
5,7,15,back,0.09475990384817123,0.09565649500914983,0.08674176037311554,0.10304874926805496,0.9906269703809153,inside
6,0,2,front,0.21948106586933136,0.248397096991539,0.211617112159729,0.2657908797264099,0.8835894965262312,inside
6,1,3,front,0.46927106380462646,0.3077654881136758,0.2204926460981369,0.4727988541126251,1.5247683120054616,inside
6,2,4,front,0.4228338599205017,0.3873054640633719,0.253298819065094,0.4491180181503296,1.0917322350281031,inside
6,3,5,front,0.7308460474014282,0.6529746396200997,0.5706186294555664,0.7224270105361938,1.1192564045467892,above_all
6,4,12,back,0.10755440592765808,0.12151239812374115,0.09814665466547012,0.1336069405078888,0.885131127262676,inside
6,5,13,back,0.10120563954114914,0.10854635174785342,0.09344049543142319,0.11716639250516891,0.9323725570827447,inside
6,6,14,back,0.1272754967212677,0.11042568194014686,0.10435748100280762,0.11958754807710648,1.1525896375288296,above_all
