relative_query,layer_group,token_type,failed_value,success_mean,success_min,success_max,failed_over_success_mean,relation_to_success_range
5,front,action,0.026926379650831223,0.020708689732210978,0.017809268087148666,0.023816708475351334,1.300245452465737,above_all
5,back,state,0.0768529549241066,0.05580132082104683,0.05020922049880028,0.06494542956352234,1.3772604983773007,above_all
5,back,action,0.04384763166308403,0.03144731505640915,0.02850707247853279,0.03617330640554428,1.394320360400613,above_all
6,front,state,0.11842764914035797,0.11444606419120516,0.07100702077150345,0.1711946278810501,1.0347900557113154,inside
6,front,action,0.026175254955887794,0.020279497174280032,0.01768096350133419,0.024607129395008087,1.2907250476153422,above_all
6,back,state,0.08099965751171112,0.054924940424306054,0.044187698513269424,0.0615440309047699,1.4747336435137246,above_all
6,back,action,0.04596100002527237,0.030729436182550023,0.025277525186538696,0.03575465828180313,1.4956668827972746,above_all
7,front,state,0.16215142607688904,0.11109842572893415,0.0744580328464508,0.1580103486776352,1.4595294668937762,above_all
7,front,action,0.022514089941978455,0.021322452862347876,0.018796313554048538,0.029119890183210373,1.0558864914521549,inside
7,back,state,0.06771468371152878,0.05468339313353811,0.046215202659368515,0.06274229288101196,1.238304352222035,above_all
7,back,action,0.04403967410326004,0.030756297388247082,0.024879157543182373,0.04431985691189766,1.4318912822090524,inside
8,front,state,0.16771167516708374,0.1117285176047257,0.058204736560583115,0.1350966989994049,1.5010641755797371,above_all
8,front,action,0.028323430567979813,0.025719114446214268,0.021398957818746567,0.03380889445543289,1.1012599452913467,inside
8,back,state,0.07002319395542145,0.06098737833755357,0.05150248855352402,0.07234148681163788,1.1481587807866793,inside
8,back,action,0.04296115040779114,0.0357277441237654,0.031211089342832565,0.039944522082805634,1.2024590821902528,above_all
