freeze_level,acceleration_level,periodicity_level,tp,fp,risk_recall,precision,timely_fpr,early4_risk_recall,f1
0.95,0.925,0.5,154,406,0.4265927977839335,0.275,0.03889261423507999,0.4182825484764543,0.3344191096634093
0.95,0.925,0.55,154,406,0.4265927977839335,0.275,0.03889261423507999,0.4182825484764543,0.3344191096634093
0.95,0.925,0.6,154,406,0.4265927977839335,0.275,0.03889261423507999,0.4182825484764543,0.3344191096634093
0.95,0.925,0.65,153,406,0.42382271468144045,0.2737030411449016,0.03889261423507999,0.4155124653739612,0.33260869565217394
0.95,0.925,0.7,153,406,0.42382271468144045,0.2737030411449016,0.03889261423507999,0.4155124653739612,0.33260869565217394
0.95,0.925,0.75,153,406,0.42382271468144045,0.2737030411449016,0.03889261423507999,0.4155124653739612,0.33260869565217394
0.95,0.925,0.8,153,406,0.42382271468144045,0.2737030411449016,0.03889261423507999,0.4155124653739612,0.33260869565217394
0.95,0.925,0.85,152,406,0.42105263157894735,0.2724014336917563,0.03889261423507999,0.41274238227146814,0.3307943416757345
0.95,0.925,0.9,151,406,0.4182825484764543,0.2710951526032316,0.03889261423507999,0.4099722991689751,0.3289760348583878
0.95,0.925,0.95,150,406,0.4155124653739612,0.2697841726618705,0.03889261423507999,0.407202216066482,0.3271537622682661
0.95,0.95,0.5,153,406,0.42382271468144045,0.2737030411449016,0.03889261423507999,0.4155124653739612,0.33260869565217394
0.95,0.95,0.55,153,406,0.42382271468144045,0.2737030411449016,0.03889261423507999,0.4155124653739612,0.33260869565217394
0.95,0.95,0.6,153,406,0.42382271468144045,0.2737030411449016,0.03889261423507999,0.4155124653739612,0.33260869565217394
0.95,0.95,0.65,152,406,0.42105263157894735,0.2724014336917563,0.03889261423507999,0.41274238227146814,0.3307943416757345
0.95,0.95,0.7,152,406,0.42105263157894735,0.2724014336917563,0.03889261423507999,0.41274238227146814,0.3307943416757345
0.95,0.95,0.75,152,406,0.42105263157894735,0.2724014336917563,0.03889261423507999,0.41274238227146814,0.3307943416757345
0.95,0.95,0.8,152,406,0.42105263157894735,0.2724014336917563,0.03889261423507999,0.41274238227146814,0.3307943416757345
0.95,0.95,0.85,151,406,0.4182825484764543,0.2710951526032316,0.03889261423507999,0.4099722991689751,0.3289760348583878
0.95,0.95,0.9,150,406,0.4155124653739612,0.2697841726618705,0.03889261423507999,0.407202216066482,0.3271537622682661
0.95,0.95,0.95,149,406,0.41274238227146814,0.26846846846846845,0.03889261423507999,0.40443213296398894,0.32532751091703055
0.95,0.975,0.5,152,406,0.42105263157894735,0.2724014336917563,0.03889261423507999,0.41274238227146814,0.3307943416757345
0.95,0.975,0.55,152,406,0.42105263157894735,0.2724014336917563,0.03889261423507999,0.41274238227146814,0.3307943416757345
0.95,0.975,0.6,152,406,0.42105263157894735,0.2724014336917563,0.03889261423507999,0.41274238227146814,0.3307943416757345
0.95,0.975,0.65,151,406,0.4182825484764543,0.2710951526032316,0.03889261423507999,0.4099722991689751,0.3289760348583878
0.95,0.975,0.7,151,406,0.4182825484764543,0.2710951526032316,0.03889261423507999,0.4099722991689751,0.3289760348583878
0.95,0.975,0.75,151,406,0.4182825484764543,0.2710951526032316,0.03889261423507999,0.4099722991689751,0.3289760348583878
0.95,0.975,0.8,151,406,0.4182825484764543,0.2710951526032316,0.03889261423507999,0.4099722991689751,0.3289760348583878
0.95,0.975,0.85,150,406,0.4155124653739612,0.2697841726618705,0.03889261423507999,0.407202216066482,0.3271537622682661
0.95,0.975,0.9,149,406,0.41274238227146814,0.26846846846846845,0.03889261423507999,0.40443213296398894,0.32532751091703055
0.95,0.975,0.95,148,406,0.4099722991689751,0.26714801444043323,0.03889261423507999,0.40166204986149584,0.32349726775956283
0.96,0.7,0.5,150,306,0.4155124653739612,0.32894736842105265,0.029313152600823834,0.39335180055401664,0.3671970624235006
0.96,0.7,0.55,150,305,0.4155124653739612,0.32967032967032966,0.029217357984481274,0.39335180055401664,0.3676470588235294
0.96,0.7,0.6,150,305,0.4155124653739612,0.32967032967032966,0.029217357984481274,0.39335180055401664,0.3676470588235294
0.96,0.7,0.65,149,305,0.41274238227146814,0.32819383259911894,0.029217357984481274,0.39058171745152354,0.3656441717791411
0.96,0.7,0.7,146,304,0.40443213296398894,0.3244444444444444,0.02912156336813871,0.3878116343490305,0.3600493218249075
0.96,0.7,0.75,146,303,0.40443213296398894,0.32516703786191536,0.02902576875179615,0.3878116343490305,0.36049382716049383
0.96,0.7,0.8,146,303,0.40443213296398894,0.32516703786191536,0.02902576875179615,0.3878116343490305,0.36049382716049383
0.96,0.7,0.85,145,303,0.40166204986149584,0.3236607142857143,0.02902576875179615,0.3850415512465374,0.35846724351050674
0.96,0.7,0.9,143,303,0.3961218836565097,0.32062780269058294,0.02902576875179615,0.37950138504155123,0.3543990086741016
0.96,0.7,0.95,138,303,0.38227146814404434,0.3129251700680272,0.02902576875179615,0.3684210526315789,0.34413965087281795
0.96,0.75,0.5,145,306,0.40166204986149584,0.3215077605321508,0.029313152600823834,0.3878116343490305,0.35714285714285715
0.96,0.75,0.55,145,305,0.40166204986149584,0.32222222222222224,0.029217357984481274,0.3878116343490305,0.35758323057953145
0.96,0.75,0.6,145,305,0.40166204986149584,0.32222222222222224,0.029217357984481274,0.3878116343490305,0.35758323057953145
0.96,0.75,0.65,144,305,0.3988919667590028,0.3207126948775056,0.029217357984481274,0.3850415512465374,0.35555555555555557
0.96,0.75,0.7,143,304,0.3961218836565097,0.319910514541387,0.02912156336813871,0.38227146814404434,0.353960396039604
0.96,0.75,0.75,143,303,0.3961218836565097,0.32062780269058294,0.02902576875179615,0.38227146814404434,0.3543990086741016
0.96,0.75,0.8,143,303,0.3961218836565097,0.32062780269058294,0.02902576875179615,0.38227146814404434,0.3543990086741016
0.96,0.75,0.85,142,303,0.39335180055401664,0.31910112359550563,0.02902576875179615,0.37950138504155123,0.3523573200992556
0.96,0.75,0.9,140,303,0.3878116343490305,0.3160270880361174,0.02902576875179615,0.3739612188365651,0.3482587064676617
0.96,0.75,0.95,137,303,0.37950138504155123,0.31136363636363634,0.02902576875179615,0.3684210526315789,0.34207240948813983
0.96,0.8,0.5,144,305,0.3988919667590028,0.3207126948775056,0.029217357984481274,0.3850415512465374,0.35555555555555557
0.96,0.8,0.55,144,305,0.3988919667590028,0.3207126948775056,0.029217357984481274,0.3850415512465374,0.35555555555555557
0.96,0.8,0.6,144,305,0.3988919667590028,0.3207126948775056,0.029217357984481274,0.3850415512465374,0.35555555555555557
0.96,0.8,0.65,143,305,0.3961218836565097,0.31919642857142855,0.029217357984481274,0.38227146814404434,0.35352286773794805
0.96,0.8,0.7,143,304,0.3961218836565097,0.319910514541387,0.02912156336813871,0.38227146814404434,0.353960396039604
