calibration,method,suite,task,query,auc,reference_auc,delta,raw_v82_auc,failures,successes
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.7973678601875532,0.7082800511508951,0.08908780903665814,0.7017263427109974,51,184
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.5330882352941176,0.5267565359477124,0.006331699346405206,0.5179738562091504,51,48
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.15294117647058825,0.11764705882352941,0.03529411764705884,0.11764705882352941,51,5
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.20098039215686275,0.09803921568627451,0.10294117647058824,0.09803921568627451,51,4
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,22,0.4264705882352941,0.3088235294117647,0.11764705882352938,0.2696078431372549,51,4
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,23,0.7107843137254902,0.7549019607843137,-0.044117647058823484,0.7352941176470589,51,4
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,24,0.6601307189542484,0.7777777777777778,-0.11764705882352944,0.7843137254901961,51,3
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,25,0.5,0.7450980392156863,-0.2450980392156863,0.7745098039215687,51,2
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,26,0.0,0.5882352941176471,-0.5882352941176471,0.6078431372549019,51,1
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,27,0.4117647058823529,0.803921568627451,-0.3921568627450981,0.803921568627451,51,1
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,28,0.7254901960784313,0.8431372549019608,-0.11764705882352944,0.8627450980392157,51,1
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,29,0.9411764705882353,0.9215686274509803,0.019607843137254943,0.9215686274509803,51,1
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7,0.3960615764930614,0.3960615764930614,0.0,0.4344626102590033,51,349
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.4327209393786168,0.4327209393786168,0.0,0.43867633013090623,51,349
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.6085735153660318,0.6085735153660318,0.0,0.6188549918534749,51,349
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.5862969829765717,0.5862969829765717,0.0,0.5966627338614529,51,349
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.4886229563458621,0.4886229563458621,0.0,0.5013202988931963,51,349
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.5795831226473397,0.5795831226473397,0.0,0.589134221023653,51,349
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.5720265183437272,0.5720265183437272,0.0,0.5778414517669532,51,349
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,14,0.6173380526995899,0.6173380526995899,0.0,0.622338333614248,51,349
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,15,0.6760492162481039,0.6760492162481039,0.0,0.6851508511714142,51,349
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.768301589976965,0.768301589976965,0.0,0.7697623461992247,51,349
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.7697871831659493,0.7697871831659493,0.0,0.7666188426590148,51,328
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.7049765558397272,0.7049765558397272,0.0,0.7017263427109974,51,184
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.5177696078431373,0.5177696078431373,0.0,0.5179738562091504,51,48
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.11764705882352941,0.11764705882352941,0.0,0.11764705882352941,51,5
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.09803921568627451,0.09803921568627451,0.0,0.09803921568627451,51,4
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,22,0.32598039215686275,0.32598039215686275,0.0,0.2696078431372549,51,4
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,23,0.75,0.75,0.0,0.7352941176470589,51,4
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,24,0.7843137254901961,0.7843137254901961,0.0,0.7843137254901961,51,3
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,25,0.7303921568627451,0.7303921568627451,0.0,0.7745098039215687,51,2
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,26,0.6274509803921569,0.6274509803921569,0.0,0.6078431372549019,51,1
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,27,0.803921568627451,0.803921568627451,0.0,0.803921568627451,51,1
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,28,0.8333333333333334,0.8333333333333334,0.0,0.8627450980392157,51,1
task_init,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,29,0.9215686274509803,0.9215686274509803,0.0,0.9215686274509803,51,1
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.5342154053598517,0.4327209393786168,0.1014944659812349,0.43867633013090623,51,349
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.5962694533400753,0.6085735153660318,-0.012304062025956464,0.6188549918534749,51,349
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.598881959660655,0.5862969829765717,0.012584976684083315,0.5966627338614529,51,349
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.5571099499971909,0.4886229563458621,0.06848699365132876,0.5013202988931963,51,349
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.676302039440418,0.5795831226473397,0.09671891679307831,0.589134221023653,51,349
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.7088881397831339,0.5720265183437272,0.13686162143940672,0.5778414517669532,51,349
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,14,0.7050677004326086,0.6173380526995899,0.08772964773301872,0.622338333614248,51,349
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,15,0.703157480757346,0.6760492162481039,0.027108264509242086,0.6851508511714142,51,349
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.7894825551997303,0.768301589976965,0.021180965222765358,0.7697623461992247,51,349
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.8298362027737924,0.7697871831659493,0.060049019607843146,0.7666188426590148,51,328
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.8337063086104007,0.7049765558397272,0.12872975277067356,0.7017263427109974,51,184
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.6198937908496732,0.5177696078431373,0.10212418300653592,0.5179738562091504,51,48
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.25098039215686274,0.11764705882352941,0.13333333333333333,0.11764705882352941,51,5
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.45098039215686275,0.09803921568627451,0.35294117647058826,0.09803921568627451,51,4
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,22,0.6421568627450981,0.32598039215686275,0.31617647058823534,0.2696078431372549,51,4
