corpus,scopes,ops,order,t,auc,det
A,back/all/act,median/median/median,d->l->t,20,0.594272,0.594272
A,back/all/act,median/median/median,d->l->t,25,0.41016,0.58984
A,back/all/act,median/median/median,d->l->t,30,0.19434,0.80566
A,back/all/act,median/median/median,d->t->l,20,0.602796,0.602796
A,back/all/act,median/median/median,d->t->l,25,0.390385,0.609615
A,back/all/act,median/median/median,d->t->l,30,0.19434,0.80566
A,back/all/act,median/median/median,t->l->d,20,0.60075,0.60075
A,back/all/act,median/median/median,t->l->d,25,0.386294,0.613706
A,back/all/act,median/median/median,t->l->d,30,0.191954,0.808046
A,back/all/act,median/median/median,t->d->l,20,0.605523,0.605523
A,back/all/act,median/median/median,t->d->l,25,0.38493,0.61507
A,back/all/act,median/median/median,t->d->l,30,0.192295,0.807705
A,back/all/act,min/min/min,l->d->t,20,0.512104,0.512104
A,back/all/act,min/min/min,l->d->t,25,0.330038,0.669962
A,back/all/act,min/min/min,l->d->t,30,0.218889,0.781111
A,back/all/act,min/min/min,l->t->d,20,0.489942,0.510058
A,back/all/act,min/min/min,l->t->d,25,0.314013,0.685987
A,back/all/act,min/min/min,l->t->d,30,0.221616,0.778384
A,back/all/act,min/min/min,d->l->t,20,0.5179,0.5179
A,back/all/act,min/min/min,d->l->t,25,0.333106,0.666894
A,back/all/act,min/min/min,d->l->t,30,0.211388,0.788612
A,back/all/act,min/min/min,d->t->l,20,0.513126,0.513126
A,back/all/act,min/min/min,d->t->l,25,0.336516,0.663484
A,back/all/act,min/min/min,d->t->l,30,0.207296,0.792704
A,back/all/act,min/min/min,t->l->d,20,0.497102,0.502898
A,back/all/act,min/min/min,t->l->d,25,0.318786,0.681214
A,back/all/act,min/min/min,t->l->d,30,0.214797,0.785203
A,back/all/act,min/min/min,t->d->l,20,0.496761,0.503239
A,back/all/act,min/min/min,t->d->l,25,0.317081,0.682919
A,back/all/act,min/min/min,t->d->l,30,0.209683,0.790317
A,back/all/act,std/mean/mean,l->d->t,20,0.484487,0.515513
A,back/all/act,std/mean/mean,l->d->t,25,0.394477,0.605523
A,back/all/act,std/mean/mean,l->d->t,30,0.20491,0.79509
A,back/all/act,std/mean/mean,l->t->d,20,0.484487,0.515513
A,back/all/act,std/mean/mean,l->t->d,25,0.394477,0.605523
A,back/all/act,std/mean/mean,l->t->d,30,0.20491,0.79509
A,back/all/act,std/mean/mean,d->l->t,20,0.5179,0.5179
A,back/all/act,std/mean/mean,d->l->t,25,0.400614,0.599386
A,back/all/act,std/mean/mean,d->l->t,30,0.212751,0.787249
A,back/all/act,std/mean/mean,d->t->l,20,0.511422,0.511422
A,back/all/act,std/mean/mean,d->t->l,25,0.354245,0.645755
A,back/all/act,std/mean/mean,d->t->l,30,0.205251,0.794749
A,back/all/act,std/mean/mean,t->l->d,20,0.473577,0.526423
A,back/all/act,std/mean/mean,t->l->d,25,0.349131,0.650869
A,back/all/act,std/mean/mean,t->l->d,30,0.192636,0.807364
A,back/all/act,std/mean/mean,t->d->l,20,0.511422,0.511422
A,back/all/act,std/mean/mean,t->d->l,25,0.354245,0.645755
A,back/all/act,std/mean/mean,t->d->l,30,0.205251,0.794749
A,back/all/act,q75/q75/q75,l->d->t,20,0.659734,0.659734
A,back/all/act,q75/q75/q75,l->d->t,25,0.44971,0.55029
A,back/all/act,q75/q75/q75,l->d->t,30,0.219229,0.780771
A,back/all/act,q75/q75/q75,l->t->d,20,0.655643,0.655643
A,back/all/act,q75/q75/q75,l->t->d,25,0.439482,0.560518
A,back/all/act,q75/q75/q75,l->t->d,30,0.223662,0.776338
A,back/all/act,q75/q75/q75,d->l->t,20,0.649506,0.649506
A,back/all/act,q75/q75/q75,d->l->t,25,0.446983,0.553017
A,back/all/act,q75/q75/q75,d->l->t,30,0.229799,0.770201
A,back/all/act,q75/q75/q75,d->t->l,20,0.652574,0.652574
A,back/all/act,q75/q75/q75,d->t->l,25,0.429935,0.570065
A,back/all/act,q75/q75/q75,d->t->l,30,0.22298,0.77702
A,back/all/act,q75/q75/q75,t->l->d,20,0.65837,0.65837
A,back/all/act,q75/q75/q75,t->l->d,25,0.425162,0.574838
A,back/all/act,q75/q75/q75,t->l->d,30,0.227412,0.772588
A,back/all/act,q75/q75/q75,t->d->l,20,0.658711,0.658711
A,back/all/act,q75/q75/q75,t->d->l,25,0.434368,0.565632
A,back/all/act,q75/q75/q75,t->d->l,30,0.224344,0.775656
A,back/all/act,max/min/median,l->d->t,20,0.648824,0.648824
A,back/all/act,max/min/median,l->d->t,25,0.403,0.597
A,back/all/act,max/min/median,l->d->t,30,0.198773,0.801227
A,back/all/act,max/min/median,l->t->d,20,0.620525,0.620525
A,back/all/act,max/min/median,l->t->d,25,0.390044,0.609956
A,back/all/act,max/min/median,l->t->d,30,0.20491,0.79509
A,back/all/act,max/min/median,d->l->t,20,0.69076,0.69076
A,back/all/act,max/min/median,d->l->t,25,0.419707,0.580293
A,back/all/act,max/min/median,d->l->t,30,0.210365,0.789635
A,back/all/act,max/min/median,d->t->l,20,0.655643,0.655643
A,back/all/act,max/min/median,d->t->l,25,0.470167,0.529833
A,back/all/act,max/min/median,d->t->l,30,0.24446,0.75554
A,back/all/act,max/min/median,t->l->d,20,0.633822,0.633822
A,back/all/act,max/min/median,t->l->d,25,0.443232,0.556768
A,back/all/act,max/min/median,t->l->d,30,0.189226,0.810774
A,back/all/act,max/min/median,t->d->l,20,0.650188,0.650188
A,back/all/act,max/min/median,t->d->l,25,0.442209,0.557791
A,back/all/act,max/min/median,t->d->l,30,0.230481,0.769519
A,all/all/all11,mean/mean/mean,l->d->t,20,0.463348,0.536652
A,all/all/all11,mean/mean/mean,l->d->t,25,0.324582,0.675418
A,all/all/all11,mean/mean/mean,l->d->t,30,0.195363,0.804637
A,all/all/all11,mean/mean/mean,l->t->d,20,0.463689,0.536311
A,all/all/all11,mean/mean/mean,l->t->d,25,0.324923,0.675077
A,all/all/all11,mean/mean/mean,l->t->d,30,0.195363,0.804637
A,all/all/all11,mean/mean/mean,d->l->t,20,0.463348,0.536652
A,all/all/all11,mean/mean/mean,d->l->t,25,0.324923,0.675077
A,all/all/all11,mean/mean/mean,d->l->t,30,0.195363,0.804637
A,all/all/all11,mean/mean/mean,d->t->l,20,0.463689,0.536311
A,all/all/all11,mean/mean/mean,d->t->l,25,0.324923,0.675077
A,all/all/all11,mean/mean/mean,d->t->l,30,0.195704,0.804296
A,all/all/all11,mean/mean/mean,t->l->d,20,0.463348,0.536652
A,all/all/all11,mean/mean/mean,t->l->d,25,0.325264,0.674736
A,all/all/all11,mean/mean/mean,t->l->d,30,0.195363,0.804637
A,all/all/all11,mean/mean/mean,t->d->l,20,0.463348,0.536652
A,all/all/all11,mean/mean/mean,t->d->l,25,0.324582,0.675418
A,all/all/all11,mean/mean/mean,t->d->l,30,0.195363,0.804637
A,all/all/all11,max/mean/mean,l->d->t,20,0.501193,0.501193
A,all/all/all11,max/mean/mean,l->d->t,25,0.350835,0.649165
A,all/all/all11,max/mean/mean,l->d->t,30,0.235595,0.764405
A,all/all/all11,max/mean/mean,l->t->d,20,0.501193,0.501193
A,all/all/all11,max/mean/mean,l->t->d,25,0.350835,0.649165
A,all/all/all11,max/mean/mean,l->t->d,30,0.235595,0.764405
A,all/all/all11,max/mean/mean,d->l->t,20,0.51074,0.51074
A,all/all/all11,max/mean/mean,d->l->t,25,0.354586,0.645414
A,all/all/all11,max/mean/mean,d->l->t,30,0.237982,0.762018
A,all/all/all11,max/mean/mean,d->t->l,20,0.47494,0.52506
A,all/all/all11,max/mean/mean,d->t->l,25,0.33822,0.66178
A,all/all/all11,max/mean/mean,d->t->l,30,0.235595,0.764405
A,all/all/all11,max/mean/mean,t->l->d,20,0.467439,0.532561
A,all/all/all11,max/mean/mean,t->l->d,25,0.33447,0.66553
A,all/all/all11,max/mean/mean,t->l->d,30,0.231163,0.768837
A,all/all/all11,max/mean/mean,t->d->l,20,0.47494,0.52506
A,all/all/all11,max/mean/mean,t->d->l,25,0.33822,0.66178
A,all/all/all11,max/mean/mean,t->d->l,30,0.235595,0.764405
A,all/all/all11,mean/max/mean,l->d->t,20,0.466758,0.533242
A,all/all/all11,mean/max/mean,l->d->t,25,0.307194,0.692806
A,all/all/all11,mean/max/mean,l->d->t,30,0.195022,0.804978
A,all/all/all11,mean/max/mean,l->t->d,20,0.46778,0.53222
A,all/all/all11,mean/max/mean,l->t->d,25,0.310603,0.689397
A,all/all/all11,mean/max/mean,l->t->d,30,0.192636,0.807364
A,all/all/all11,mean/max/mean,d->l->t,20,0.484487,0.515513
A,all/all/all11,mean/max/mean,d->l->t,25,0.33106,0.66894
A,all/all/all11,mean/max/mean,d->l->t,30,0.205592,0.794408
A,all/all/all11,mean/max/mean,d->t->l,20,0.485851,0.514149
A,all/all/all11,mean/max/mean,d->t->l,25,0.33106,0.66894
A,all/all/all11,mean/max/mean,d->t->l,30,0.205251,0.794749
A,all/all/all11,mean/max/mean,t->l->d,20,0.466758,0.533242
A,all/all/all11,mean/max/mean,t->l->d,25,0.311285,0.688715
A,all/all/all11,mean/max/mean,t->l->d,30,0.192295,0.807705
A,all/all/all11,mean/max/mean,t->d->l,20,0.50017,0.50017
A,all/all/all11,mean/max/mean,t->d->l,25,0.339925,0.660075
A,all/all/all11,mean/max/mean,t->d->l,30,0.206955,0.793045
A,all/all/all11,mean/mean/max,l->d->t,20,0.481418,0.518582
A,all/all/all11,mean/mean/max,l->d->t,25,0.335493,0.664507
A,all/all/all11,mean/mean/max,l->d->t,30,0.23389,0.76611
A,all/all/all11,mean/mean/max,l->t->d,20,0.478861,0.521139
A,all/all/all11,mean/mean/max,l->t->d,25,0.334811,0.665189
A,all/all/all11,mean/mean/max,l->t->d,30,0.233549,0.766451
A,all/all/all11,mean/mean/max,d->l->t,20,0.481418,0.518582
A,all/all/all11,mean/mean/max,d->l->t,25,0.335493,0.664507
A,all/all/all11,mean/mean/max,d->l->t,30,0.23389,0.76611
A,all/all/all11,mean/mean/max,d->t->l,20,0.534606,0.534606
A,all/all/all11,mean/mean/max,d->t->l,25,0.356972,0.643028
A,all/all/all11,mean/mean/max,d->t->l,30,0.229458,0.770542
A,all/all/all11,mean/mean/max,t->l->d,20,0.532901,0.532901
A,all/all/all11,mean/mean/max,t->l->d,25,0.351858,0.648142
A,all/all/all11,mean/mean/max,t->l->d,30,0.227071,0.772929
A,all/all/all11,mean/mean/max,t->d->l,20,0.532561,0.532561
A,all/all/all11,mean/mean/max,t->d->l,25,0.351858,0.648142
A,all/all/all11,mean/mean/max,t->d->l,30,0.227071,0.772929
A,all/all/all11,median/median/median,l->d->t,20,0.590522,0.590522
A,all/all/all11,median/median/median,l->d->t,25,0.378111,0.621889
A,all/all/all11,median/median/median,l->d->t,30,0.208319,0.791681
A,all/all/all11,median/median/median,l->t->d,20,0.564951,0.564951
A,all/all/all11,median/median/median,l->t->d,25,0.347767,0.652233
A,all/all/all11,median/median/median,l->t->d,30,0.19059,0.80941
A,all/all/all11,median/median/median,d->l->t,20,0.612683,0.612683
A,all/all/all11,median/median/median,d->l->t,25,0.398227,0.601773
A,all/all/all11,median/median/median,d->l->t,30,0.205592,0.794408
A,all/all/all11,median/median/median,d->t->l,20,0.565632,0.565632
A,all/all/all11,median/median/median,d->t->l,25,0.367542,0.632458
A,all/all/all11,median/median/median,d->t->l,30,0.192295,0.807705
A,all/all/all11,median/median/median,t->l->d,20,0.537334,0.537334
A,all/all/all11,median/median/median,t->l->d,25,0.332083,0.667917
A,all/all/all11,median/median/median,t->l->d,30,0.193999,0.806001
A,all/all/all11,median/median/median,t->d->l,20,0.571088,0.571088
A,all/all/all11,median/median/median,t->d->l,25,0.353904,0.646096
A,all/all/all11,median/median/median,t->d->l,30,0.213774,0.786226
A,all/all/all11,min/min/min,l->d->t,20,0.44255,0.55745
A,all/all/all11,min/min/min,l->d->t,25,0.253665,0.746335
A,all/all/all11,min/min/min,l->d->t,30,0.192636,0.807364
A,all/all/all11,min/min/min,l->t->d,20,0.448687,0.551313
A,all/all/all11,min/min/min,l->t->d,25,0.252983,0.747017
A,all/all/all11,min/min/min,l->t->d,30,0.195022,0.804978
A,all/all/all11,min/min/min,d->l->t,20,0.435731,0.564269
A,all/all/all11,min/min/min,d->l->t,25,0.252642,0.747358
A,all/all/all11,min/min/min,d->l->t,30,0.18718,0.81282
A,all/all/all11,min/min/min,d->t->l,20,0.478691,0.521309
A,all/all/all11,min/min/min,d->t->l,25,0.30208,0.69792
A,all/all/all11,min/min/min,d->t->l,30,0.200136,0.799864
A,all/all/all11,min/min/min,t->l->d,20,0.482782,0.517218
A,all/all/all11,min/min/min,t->l->d,25,0.294579,0.705421
A,all/all/all11,min/min/min,t->l->d,30,0.199454,0.800546
A,all/all/all11,min/min/min,t->d->l,20,0.480395,0.519605
A,all/all/all11,min/min/min,t->d->l,25,0.297988,0.702012
A,all/all/all11,min/min/min,t->d->l,30,0.201159,0.798841
A,all/all/all11,std/mean/mean,l->d->t,20,0.440164,0.559836
A,all/all/all11,std/mean/mean,l->d->t,25,0.330719,0.669281
A,all/all/all11,std/mean/mean,l->d->t,30,0.238323,0.761677
A,all/all/all11,std/mean/mean,l->t->d,20,0.440164,0.559836
A,all/all/all11,std/mean/mean,l->t->d,25,0.330719,0.669281
A,all/all/all11,std/mean/mean,l->t->d,30,0.238323,0.761677
A,all/all/all11,std/mean/mean,d->l->t,20,0.440164,0.559836
A,all/all/all11,std/mean/mean,d->l->t,25,0.321514,0.678486
A,all/all/all11,std/mean/mean,d->l->t,30,0.245141,0.754859
A,all/all/all11,std/mean/mean,d->t->l,20,0.512445,0.512445
A,all/all/all11,std/mean/mean,d->t->l,25,0.34163,0.65837
A,all/all/all11,std/mean/mean,d->t->l,30,0.221957,0.778043
A,all/all/all11,std/mean/mean,t->l->d,20,0.501534,0.501534
A,all/all/all11,std/mean/mean,t->l->d,25,0.332765,0.667235
A,all/all/all11,std/mean/mean,t->l->d,30,0.219229,0.780771
A,all/all/all11,std/mean/mean,t->d->l,20,0.512445,0.512445
A,all/all/all11,std/mean/mean,t->d->l,25,0.34163,0.65837
A,all/all/all11,std/mean/mean,t->d->l,30,0.221957,0.778043
A,all/all/all11,q75/q75/q75,l->d->t,20,0.591204,0.591204
A,all/all/all11,q75/q75/q75,l->d->t,25,0.391749,0.608251
A,all/all/all11,q75/q75/q75,l->d->t,30,0.221957,0.778043
A,all/all/all11,q75/q75/q75,l->t->d,20,0.591544,0.591544
A,all/all/all11,q75/q75/q75,l->t->d,25,0.389362,0.610638
A,all/all/all11,q75/q75/q75,l->t->d,30,0.194681,0.805319
A,all/all/all11,q75/q75/q75,d->l->t,20,0.585066,0.585066
A,all/all/all11,q75/q75/q75,d->l->t,25,0.382203,0.617797
A,all/all/all11,q75/q75/q75,d->l->t,30,0.198091,0.801909
A,all/all/all11,q75/q75/q75,d->t->l,20,0.628708,0.628708
A,all/all/all11,q75/q75/q75,d->t->l,25,0.401296,0.598704
A,all/all/all11,q75/q75/q75,d->t->l,30,0.267985,0.732015
A,all/all/all11,q75/q75/q75,t->l->d,20,0.638936,0.638936
A,all/all/all11,q75/q75/q75,t->l->d,25,0.405046,0.594954
A,all/all/all11,q75/q75/q75,t->l->d,30,0.268667,0.731333
A,all/all/all11,q75/q75/q75,t->d->l,20,0.645414,0.645414
A,all/all/all11,q75/q75/q75,t->d->l,25,0.401637,0.598363
A,all/all/all11,q75/q75/q75,t->d->l,30,0.262871,0.737129
A,all/all/all11,max/min/median,l->d->t,20,0.667917,0.667917
A,all/all/all11,max/min/median,l->d->t,25,0.421412,0.578588
A,all/all/all11,max/min/median,l->d->t,30,0.258438,0.741562
A,all/all/all11,max/min/median,l->t->d,20,0.643028,0.643028
A,all/all/all11,max/min/median,l->t->d,25,0.364814,0.635186
A,all/all/all11,max/min/median,l->t->d,30,0.271394,0.728606
A,all/all/all11,max/min/median,d->l->t,20,0.637572,0.637572
A,all/all/all11,max/min/median,d->l->t,25,0.449369,0.550631
A,all/all/all11,max/min/median,d->l->t,30,0.271054,0.728946
A,all/all/all11,max/min/median,d->t->l,20,0.610297,0.610297
A,all/all/all11,max/min/median,d->t->l,25,0.516195,0.516195
A,all/all/all11,max/min/median,d->t->l,30,0.364132,0.635868
A,all/all/all11,max/min/median,t->l->d,20,0.569042,0.569042
A,all/all/all11,max/min/median,t->l->d,25,0.423116,0.576884
A,all/all/all11,max/min/median,t->l->d,30,0.258779,0.741221
A,all/all/all11,max/min/median,t->d->l,20,0.607569,0.607569
A,all/all/all11,max/min/median,t->d->l,25,0.501534,0.501534
A,all/all/all11,max/min/median,t->d->l,30,0.342312,0.657688
B,back/all/act,mean/mean/mean,l->d->t,20,0.39243,0.60757
B,back/all/act,mean/mean/mean,l->d->t,25,0.468625,0.531375
B,back/all/act,mean/mean/mean,l->d->t,30,0.305777,0.694223
B,back/all/act,mean/mean/mean,l->t->d,20,0.391932,0.608068
B,back/all/act,mean/mean/mean,l->t->d,25,0.468127,0.531873
B,back/all/act,mean/mean/mean,l->t->d,30,0.305777,0.694223
B,back/all/act,mean/mean/mean,d->l->t,20,0.391434,0.608566
B,back/all/act,mean/mean/mean,d->l->t,25,0.469124,0.530876
B,back/all/act,mean/mean/mean,d->l->t,30,0.306275,0.693725
B,back/all/act,mean/mean/mean,d->t->l,20,0.392928,0.607072
B,back/all/act,mean/mean/mean,d->t->l,25,0.468625,0.531375
B,back/all/act,mean/mean/mean,d->t->l,30,0.306275,0.693725
B,back/all/act,mean/mean/mean,t->l->d,20,0.392928,0.607072
B,back/all/act,mean/mean/mean,t->l->d,25,0.468625,0.531375
B,back/all/act,mean/mean/mean,t->l->d,30,0.306275,0.693725
B,back/all/act,mean/mean/mean,t->d->l,20,0.391932,0.608068
B,back/all/act,mean/mean/mean,t->d->l,25,0.468625,0.531375
B,back/all/act,mean/mean/mean,t->d->l,30,0.306275,0.693725
B,back/all/act,max/mean/mean,l->d->t,20,0.436753,0.563247
B,back/all/act,max/mean/mean,l->d->t,25,0.466135,0.533865
B,back/all/act,max/mean/mean,l->d->t,30,0.318725,0.681275
B,back/all/act,max/mean/mean,l->t->d,20,0.437251,0.562749
B,back/all/act,max/mean/mean,l->t->d,25,0.466135,0.533865
B,back/all/act,max/mean/mean,l->t->d,30,0.318725,0.681275
B,back/all/act,max/mean/mean,d->l->t,20,0.421813,0.578187
B,back/all/act,max/mean/mean,d->l->t,25,0.454681,0.545319
B,back/all/act,max/mean/mean,d->l->t,30,0.337151,0.662849
B,back/all/act,max/mean/mean,d->t->l,20,0.465637,0.534363
B,back/all/act,max/mean/mean,d->t->l,25,0.47261,0.52739
B,back/all/act,max/mean/mean,d->t->l,30,0.398406,0.601594
B,back/all/act,max/mean/mean,t->l->d,20,0.465637,0.534363
B,back/all/act,max/mean/mean,t->l->d,25,0.474602,0.525398
B,back/all/act,max/mean/mean,t->l->d,30,0.377988,0.622012
B,back/all/act,max/mean/mean,t->d->l,20,0.465637,0.534363
B,back/all/act,max/mean/mean,t->d->l,25,0.472112,0.527888
B,back/all/act,max/mean/mean,t->d->l,30,0.398406,0.601594
B,back/all/act,mean/max/mean,l->d->t,20,0.391932,0.608068
B,back/all/act,mean/max/mean,l->d->t,25,0.487052,0.512948
B,back/all/act,mean/max/mean,l->d->t,30,0.323705,0.676295
B,back/all/act,mean/max/mean,l->t->d,20,0.40488,0.59512
B,back/all/act,mean/max/mean,l->t->d,25,0.499502,0.500498
B,back/all/act,mean/max/mean,l->t->d,30,0.336653,0.663347
B,back/all/act,mean/max/mean,d->l->t,20,0.383466,0.616534
B,back/all/act,mean/max/mean,d->l->t,25,0.494024,0.505976
B,back/all/act,mean/max/mean,d->l->t,30,0.334661,0.665339
B,back/all/act,mean/max/mean,d->t->l,20,0.383466,0.616534
B,back/all/act,mean/max/mean,d->t->l,25,0.494024,0.505976
B,back/all/act,mean/max/mean,d->t->l,30,0.334661,0.665339
B,back/all/act,mean/max/mean,t->l->d,20,0.40488,0.59512
B,back/all/act,mean/max/mean,t->l->d,25,0.499502,0.500498
B,back/all/act,mean/max/mean,t->l->d,30,0.337151,0.662849
B,back/all/act,mean/max/mean,t->d->l,20,0.400398,0.599602
B,back/all/act,mean/max/mean,t->d->l,25,0.51743,0.51743
B,back/all/act,mean/max/mean,t->d->l,30,0.347112,0.652888
B,back/all/act,mean/mean/max,l->d->t,20,0.369024,0.630976
B,back/all/act,mean/mean/max,l->d->t,25,0.474602,0.525398
B,back/all/act,mean/mean/max,l->d->t,30,0.279382,0.720618
B,back/all/act,mean/mean/max,l->t->d,20,0.36753,0.63247
B,back/all/act,mean/mean/max,l->t->d,25,0.449701,0.550299
B,back/all/act,mean/mean/max,l->t->d,30,0.287849,0.712151
B,back/all/act,mean/mean/max,d->l->t,20,0.369024,0.630976
B,back/all/act,mean/mean/max,d->l->t,25,0.474602,0.525398
B,back/all/act,mean/mean/max,d->l->t,30,0.279382,0.720618
B,back/all/act,mean/mean/max,d->t->l,20,0.418825,0.581175
B,back/all/act,mean/mean/max,d->t->l,25,0.466633,0.533367
B,back/all/act,mean/mean/max,d->t->l,30,0.257968,0.742032
B,back/all/act,mean/mean/max,t->l->d,20,0.410359,0.589641
B,back/all/act,mean/mean/max,t->l->d,25,0.468127,0.531873
B,back/all/act,mean/mean/max,t->l->d,30,0.271414,0.728586
B,back/all/act,mean/mean/max,t->d->l,20,0.410857,0.589143
B,back/all/act,mean/mean/max,t->d->l,25,0.468127,0.531873
B,back/all/act,mean/mean/max,t->d->l,30,0.270916,0.729084
B,back/all/act,median/median/median,l->d->t,20,0.418825,0.581175
B,back/all/act,median/median/median,l->d->t,25,0.48755,0.51245
B,back/all/act,median/median/median,l->d->t,30,0.329183,0.670817
B,back/all/act,median/median/median,l->t->d,20,0.428287,0.571713
B,back/all/act,median/median/median,l->t->d,25,0.489044,0.510956
B,back/all/act,median/median/median,l->t->d,30,0.326195,0.673805
B,back/all/act,median/median/median,d->l->t,20,0.419323,0.580677
B,back/all/act,median/median/median,d->l->t,25,0.491036,0.508964
B,back/all/act,median/median/median,d->l->t,30,0.337151,0.662849
B,back/all/act,median/median/median,d->t->l,20,0.411355,0.588645
B,back/all/act,median/median/median,d->t->l,25,0.478088,0.521912
B,back/all/act,median/median/median,d->t->l,30,0.312749,0.687251
B,back/all/act,median/median/median,t->l->d,20,0.431773,0.568227
B,back/all/act,median/median/median,t->l->d,25,0.504482,0.504482
