selected_by,rule,family,mode,pool,level,level_loose,k,window,frames,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,union_tp,union_coverage_share,median_confirmation_delay,alarms,block,dev_tp,dev_fp,dev_timely_fpr,dev_low_prior_tp,dev_low_prior_fp,dev_union_coverage_share,libero_goal__tp,libero_goal__fp,libero_goal__low_prior_tp,libero_goal__low_prior_fp,libero_long__tp,libero_long__fp,libero_long__low_prior_tp,libero_long__low_prior_fp,libero_object__tp,libero_object__fp,libero_object__low_prior_tp,libero_object__low_prior_fp,libero_spatial__tp,libero_spatial__fp,libero_spatial__low_prior_tp,libero_spatial__low_prior_fp
per_task|dedup11|O1_early|fpr<=0.0005,quorum|per_task|dedup11|0.925|0.925|5|-1|1,quorum,per_task,dedup11,0.925,0.925,5,-1,1,191,13,0.33865248226950356,0.0008645916467145518,0.9362745098039216,45,3,0.9375,0.2356020942408377,0.7061830781394283,1.325824051562822,413,0.46246973365617433,4.5,204,shortlist,199,6,0.00041919932928107315,41,1,0.5292553191489362,48.0,5.0,45.0,5.0,16.0,6.0,1.0,2.0,12.0,4.0,1.0,0.0,67.0,4.0,3.0,0.0
per_task|dedup11|O1_early|fpr<=0.001,quorum|per_task|dedup11|0.96|0.96|3|2|2,quorum,per_task,dedup11,0.96,0.96,3,2,2,143,19,0.25354609929078015,0.001263633945198191,0.8827160493827161,50,7,0.8771929824561403,0.34965034965034963,0.5791710199247379,1.5241025863093483,346,0.41329479768786126,2.0,162,shortlist,154,13,0.0009082652134423251,47,5,0.5099337748344371,57.0,6.0,50.0,6.0,55.0,11.0,9.0,3.0,25.0,5.0,2.0,0.0,88.0,4.0,3.0,0.0
per_task|dedup11|O1_early|fpr<=0.0015,quorum|per_task|dedup11|0.96|0.96|3|-1|1,quorum,per_task,dedup11,0.96,0.96,3,-1,1,225,26,0.39893617021276595,0.0017291832934291035,0.896414342629482,64,9,0.8767123287671232,0.28444444444444444,0.610792032571132,1.4676261228490843,346,0.6502890173410405,2.0,251,shortlist,207,18,0.0012575979878432194,53,5,0.6854304635761589,65.0,10.0,54.0,8.0,73.0,32.0,21.0,17.0,30.0,8.0,9.0,2.0,119.0,6.0,12.0,3.0
per_task|dedup11|O1_early|fpr<=0.003,cascade|per_task|dedup11|0.96|0.925|2|2|1,cascade,per_task,dedup11,0.96,0.925,2,2,1,287,56,0.5088652482269503,0.0037243947858473,0.8367346938775511,96,30,0.7619047619047619,0.3344947735191638,0.5385493411919501,1.55368251314845,413,0.6949152542372882,1.0,343,shortlist,262,41,0.0028645287500873333,71,21,0.6968085106382979,71.0,12.0,54.0,9.0,92.0,51.0,26.0,33.0,34.0,14.0,11.0,9.0,130.0,9.0,14.0,6.0
per_task|dedup11|O1_early|fpr<=0.005,cascade|per_task|dedup11|0.96|0.5|2|8|2,cascade,per_task,dedup11,0.96,0.5,2,8,2,327,86,0.5797872340425532,0.005719606278265496,0.7917675544794189,105,57,0.6481481481481481,0.3211009174311927,0.5025514874158797,1.5754953956075,561,0.5828877005347594,4.0,413,shortlist,288,63,0.004401592957451268,78,43,0.5925925925925926,56.0,2.0,45.0,2.0,54.0,8.0,6.0,3.0,17.0,2.0,2.0,0.0,110.0,3.0,0.0,0.0
per_task|dedup11|O2_recall|fpr<=0.0005,quorum|per_task|dedup11|0.925|0.925|5|-1|1,quorum,per_task,dedup11,0.925,0.925,5,-1,1,191,13,0.33865248226950356,0.0008645916467145518,0.9362745098039216,45,3,0.9375,0.2356020942408377,0.7061830781394283,1.325824051562822,413,0.46246973365617433,4.5,204,shortlist,199,6,0.00041919932928107315,41,1,0.5292553191489362,88.0,4.0,46.0,2.0,110.0,20.0,16.0,8.0,24.0,3.0,3.0,1.0,127.0,4.0,0.0,0.0
per_task|dedup11|O2_recall|fpr<=0.001,quorum|per_task|dedup11|0.9|0.9|5|-1|1,quorum,per_task,dedup11,0.9,0.9,5,-1,1,237,15,0.42021276595744683,0.0009976057462090981,0.9404761904761905,53,5,0.9137931034482759,0.22362869198312235,0.7172118469312553,1.3112948349922267,447,0.5302013422818792,5.0,252,shortlist,230,9,0.0006287989939216097,42,2,0.5502392344497608,96.0,10.0,54.0,7.0,122.0,32.0,28.0,17.0,34.0,10.0,10.0,5.0,139.0,5.0,4.0,2.0
per_task|dedup11|O2_recall|fpr<=0.0015,quorum|per_task|dedup11|0.8|0.8|5|-1|1,quorum,per_task,dedup11,0.8,0.8,5,-1,1,349,31,0.6187943262411347,0.0020617185421654693,0.9184210526315789,65,11,0.8552631578947368,0.18624641833810887,0.7079514457013001,1.2972938443847468,541,0.6451016635859519,5.0,380,shortlist,307,20,0.0013973310976035773,49,8,0.6616379310344828,91.0,12.0,53.0,9.0,128.0,56.0,35.0,37.0,37.0,14.0,13.0,7.0,140.0,7.0,11.0,4.0
per_task|dedup11|O2_recall|fpr<=0.003,quorum|per_task|dedup11|0.8|0.8|4|-1|1,quorum,per_task,dedup11,0.8,0.8,4,-1,1,391,57,0.6932624113475178,0.003790901835594573,0.8727678571428571,96,31,0.7559055118110236,0.24552429667519182,0.6017681277111626,1.450339120588602,541,0.722735674676525,4.0,448,shortlist,339,40,0.0027946621952071545,65,22,0.7306034482758621,26.0,0.0,11.0,0.0,88.0,10.0,16.0,5.0,6.0,0.0,1.0,0.0,91.0,10.0,6.0,8.0
per_task|dedup11|O2_recall|fpr<=0.005,cascade|per_task|dedup11|0.9|0.85|3|-1|1,cascade,per_task,dedup11,0.9,0.85,3,-1,1,396,89,0.7021276595744681,0.005919127427507316,0.8164948453608247,112,57,0.6627218934911243,0.2828282828282828,0.5446501144295851,1.4991181011977643,517,0.7659574468085106,2.0,485,shortlist,362,64,0.004471459512331447,74,37,0.8080357142857143,15.0,1.0,13.0,1.0,76.0,42.0,21.0,36.0,2.0,0.0,0.0,0.0,106.0,4.0,0.0,1.0
global|all12|O1_early|fpr<=0.0005,cascade|global|all12|0.99|0.7|2|8|1,cascade,global,all12,0.99,0.7,2,8,1,211,20,0.374113475177305,0.0013301409949454642,0.9134199134199135,34,13,0.723404255319149,0.16113744075829384,0.6181110730122293,1.4777601523437542,564,0.374113475177305,11.0,231,shortlist,189,7,0.000489065884161252,18,3,0.390495867768595,14.0,0.0,13.0,0.0,106.0,128.0,46.0,117.0,0.0,0.0,0.0,0.0,63.0,2.0,1.0,0.0
global|all12|O1_early|fpr<=0.001,cascade|global|all12|0.975|0.95|2|4|2,cascade,global,all12,0.975,0.95,2,4,2,199,47,0.3528368794326241,0.0031258313381218408,0.8089430894308943,34,38,0.4722222222222222,0.1708542713567839,0.6032620170325652,1.3409481561761016,495,0.402020202020202,2.0,246,shortlist,179,13,0.0009082652134423251,25,5,0.4221698113207547,27.0,0.0,13.0,0.0,206.0,166.0,67.0,148.0,1.0,0.0,0.0,0.0,82.0,5.0,3.0,2.0
global|all12|O1_early|fpr<=0.0015,quorum|global|all12|selected|selected|2|4|2,quorum,global,all12,selected,selected,2,4,2,183,130,0.324468085106383,0.008645916467145517,0.5846645367412141,60,117,0.3389830508474576,0.32786885245901637,0.38137924949676594,1.5330266067508531,439,0.4168564920273349,1.0,313,shortlist,152,18,0.0012575979878432194,44,13,0.4,23.0,0.0,11.0,0.0,139.0,8.0,9.0,3.0,1.0,0.0,0.0,0.0,125.0,5.0,4.0,3.0
global|all12|O1_early|fpr<=0.003,quorum|global|all12|selected|selected|2|-1|1,quorum,global,all12,selected,selected,2,-1,1,316,171,0.5602836879432624,0.01137270550678372,0.648870636550308,83,150,0.3562231759656652,0.2626582278481013,0.4107661761561011,1.5796593639290333,439,0.7198177676537585,1.0,487,shortlist,265,42,0.002934395304967512,63,24,0.6973684210526315,30.0,0.0,11.0,0.0,145.0,11.0,16.0,5.0,6.0,0.0,1.0,0.0,127.0,12.0,6.0,8.0
global|all12|O1_early|fpr<=0.005,quorum|global|all12|selected|selected|2|-1|1,quorum,global,all12,selected,selected,2,-1,1,316,171,0.5602836879432624,0.01137270550678372,0.648870636550308,83,150,0.3562231759656652,0.2626582278481013,0.4107661761561011,1.5796593639290333,439,0.7198177676537585,1.0,487,shortlist,265,42,0.002934395304967512,63,24,0.6973684210526315,32.0,3.0,13.0,3.0,199.0,41.0,31.0,22.0,11.0,0.0,0.0,0.0,137.0,31.0,14.0,26.0
global|all12|O2_recall|fpr<=0.0005,cascade|global|all12|0.99|0.85|2|-1|2,cascade,global,all12,0.99,0.85,2,-1,2,288,13,0.5106382978723404,0.0008645916467145518,0.9568106312292359,24,6,0.8,0.08333333333333333,0.7149174188226448,1.3383512641291504,561,0.5133689839572193,9.0,301,shortlist,249,7,0.000489065884161252,14,0,0.5176715176715176,26.0,0.0,11.0,0.0,84.0,10.0,16.0,5.0,6.0,0.0,1.0,0.0,91.0,10.0,6.0,8.0
global|all12|O2_recall|fpr<=0.001,quorum|global|all12|0.99|0.99|1|0|1,quorum,global,all12,0.99,0.99,1,0,1,308,23,0.5460992907801419,0.0015296621441872838,0.9305135951661632,34,13,0.723404255319149,0.11038961038961038,0.6780730761081656,1.3722910228303011,308,1.0,0.0,331,shortlist,267,10,0.0006986655488017886,18,3,1.0,15.0,1.0,13.0,1.0,76.0,42.0,21.0,36.0,2.0,0.0,0.0,0.0,106.0,4.0,0.0,1.0
global|all12|O2_recall|fpr<=0.0015,quorum|global|all12|0.99|0.99|1|0|1,quorum,global,all12,0.99,0.99,1,0,1,308,23,0.5460992907801419,0.0015296621441872838,0.9305135951661632,34,13,0.723404255319149,0.11038961038961038,0.6780730761081656,1.3722910228303011,308,1.0,0.0,331,shortlist,267,10,0.0006986655488017886,18,3,1.0,14.0,0.0,13.0,0.0,106.0,128.0,46.0,117.0,0.0,0.0,0.0,0.0,63.0,2.0,1.0,0.0
global|all12|O2_recall|fpr<=0.003,cascade|global|all12|0.98|0.9|2|-1|1,cascade,global,all12,0.98,0.9,2,-1,1,379,75,0.6719858156028369,0.004988028731045491,0.8348017621145375,58,51,0.5321100917431193,0.15303430079155672,0.5700692403533493,1.46438660959342,550,0.6890909090909091,3.0,454,shortlist,319,39,0.0027247956403269754,34,22,0.6787234042553192,19.0,0.0,13.0,0.0,206.0,164.0,67.0,147.0,1.0,0.0,0.0,0.0,82.0,5.0,3.0,2.0
global|all12|O2_recall|fpr<=0.005,cascade|global|all12|0.98|0.9|2|-1|1,cascade,global,all12,0.98,0.9,2,-1,1,379,75,0.6719858156028369,0.004988028731045491,0.8348017621145375,58,51,0.5321100917431193,0.15303430079155672,0.5700692403533493,1.46438660959342,550,0.6890909090909091,3.0,454,shortlist,319,39,0.0027247956403269754,34,22,0.6787234042553192,23.0,0.0,11.0,0.0,139.0,8.0,9.0,3.0,1.0,0.0,0.0,0.0,125.0,5.0,4.0,3.0
global|dedup11|O1_early|fpr<=0.0005,cascade|global|dedup11|0.99|0.7|2|8|1,cascade,global,dedup11,0.99,0.7,2,8,1,207,20,0.3670212765957447,0.0013301409949454642,0.9118942731277533,34,13,0.723404255319149,0.1642512077294686,0.6199137807872863,1.4710017770046242,564,0.3670212765957447,11.0,227,shortlist,186,7,0.000489065884161252,18,3,0.384297520661157,30.0,0.0,11.0,0.0,145.0,11.0,16.0,5.0,6.0,0.0,1.0,0.0,127.0,12.0,6.0,8.0
global|dedup11|O1_early|fpr<=0.001,cascade|global|dedup11|0.975|0.95|2|4|2,cascade,global,dedup11,0.975,0.95,2,4,2,199,47,0.3528368794326241,0.0031258313381218408,0.8089430894308943,34,38,0.4722222222222222,0.1708542713567839,0.6032620170325652,1.3409481561761016,495,0.402020202020202,2.0,246,shortlist,179,13,0.0009082652134423251,25,5,0.4221698113207547,34.0,3.0,13.0,3.0,199.0,42.0,27.0,27.0,8.0,0.0,0.0,0.0,138.0,20.0,11.0,17.0
global|dedup11|O1_early|fpr<=0.0015,quorum|global|dedup11|selected|selected|2|4|2,quorum,global,dedup11,selected,selected,2,4,2,183,130,0.324468085106383,0.008645916467145517,0.5846645367412141,60,117,0.3389830508474576,0.32786885245901637,0.38137924949676594,1.5330266067508531,439,0.4168564920273349,1.0,313,shortlist,152,18,0.0012575979878432194,44,13,0.4,,,,,,,,,,,,,,,,
global|dedup11|O1_early|fpr<=0.003,quorum|global|dedup11|selected|selected|2|-1|1,quorum,global,dedup11,selected,selected,2,-1,1,308,169,0.5460992907801419,0.011239691407289172,0.6457023060796646,83,149,0.3577586206896552,0.2694805194805195,0.4048309801715126,1.5949923244661348,439,0.7015945330296127,1.0,477,shortlist,258,41,0.0028645287500873333,61,24,0.6789473684210526,,,,,,,,,,,,,,,,
global|dedup11|O1_early|fpr<=0.005,quorum|global|dedup11|selected|selected|2|-1|1,quorum,global,dedup11,selected,selected,2,-1,1,308,169,0.5460992907801419,0.011239691407289172,0.6457023060796646,83,149,0.3577586206896552,0.2694805194805195,0.4048309801715126,1.5949923244661348,439,0.7015945330296127,1.0,477,shortlist,258,41,0.0028645287500873333,61,24,0.6789473684210526,,,,,,,,,,,,,,,,
global|dedup11|O2_recall|fpr<=0.0005,cascade|global|dedup11|0.99|0.85|2|-1|2,cascade,global,dedup11,0.99,0.85,2,-1,2,288,13,0.5106382978723404,0.0008645916467145518,0.9568106312292359,24,6,0.8,0.08333333333333333,0.7149174188226448,1.3383512641291504,561,0.5133689839572193,9.0,301,shortlist,249,7,0.000489065884161252,14,0,0.5176715176715176,,,,,,,,,,,,,,,,
global|dedup11|O2_recall|fpr<=0.001,quorum|global|dedup11|0.99|0.99|1|0|1,quorum,global,dedup11,0.99,0.99,1,0,1,308,23,0.5460992907801419,0.0015296621441872838,0.9305135951661632,34,13,0.723404255319149,0.11038961038961038,0.6780730761081656,1.3722910228303011,308,1.0,0.0,331,shortlist,267,10,0.0006986655488017886,18,3,1.0,,,,,,,,,,,,,,,,
global|dedup11|O2_recall|fpr<=0.0015,quorum|global|dedup11|0.99|0.99|1|0|1,quorum,global,dedup11,0.99,0.99,1,0,1,308,23,0.5460992907801419,0.0015296621441872838,0.9305135951661632,34,13,0.723404255319149,0.11038961038961038,0.6780730761081656,1.3722910228303011,308,1.0,0.0,331,shortlist,267,10,0.0006986655488017886,18,3,1.0,,,,,,,,,,,,,,,,
global|dedup11|O2_recall|fpr<=0.003,cascade|global|dedup11|0.98|0.8|2|-1|2,cascade,global,dedup11,0.98,0.8,2,-1,2,379,65,0.6719858156028369,0.004322958233572758,0.8536036036036037,51,47,0.5204081632653061,0.1345646437994723,0.5923062016376818,1.4411525681200945,562,0.6743772241992882,9.0,444,shortlist,313,39,0.0027247956403269754,32,21,0.6493775933609959,,,,,,,,,,,,,,,,
global|dedup11|O2_recall|fpr<=0.005,cascade|global|dedup11|0.98|0.8|2|-1|2,cascade,global,dedup11,0.98,0.8,2,-1,2,379,65,0.6719858156028369,0.004322958233572758,0.8536036036036037,51,47,0.5204081632653061,0.1345646437994723,0.5923062016376818,1.4411525681200945,562,0.6743772241992882,9.0,444,shortlist,313,39,0.0027247956403269754,32,21,0.6493775933609959,,,,,,,,,,,,,,,,
