label,kind,mode,structure,dev_tp,dev_fp,tp,fp,precision,risk_recall,timely_fpr,early_tp,early_fp,early_precision,mean_alarm_prior,lift,or_curve_tp_at_same_fp,or_curve_early_tp_at_same_early_fp,tp_above_or_curve,early_tp_above_or_curve
per_task|dedup11|O1_early|fpr<=0.0005,frozen_rule,per_task,quorum/dedup11 level=0.925 k=5 W=inf f=1,199.0,6.0,191,13,0.9362745098039216,0.3386524822695035,0.0008645916467145,45,3,0.9375,0.7061830781394283,1.325824051562822,106.4375,11.0,84.5625,34.0
per_task|dedup11|O1_early|fpr<=0.001,frozen_rule,per_task,quorum/dedup11 level=0.96 k=3 W=2 f=2,154.0,13.0,143,19,0.8827160493827161,0.2535460992907801,0.0012636339451981,50,7,0.8771929824561403,0.5791710199247379,1.5241025863093485,124.0625,12.125,18.9375,37.875
per_task|dedup11|O1_early|fpr<=0.0015,frozen_rule,per_task,quorum/dedup11 level=0.96 k=3 W=inf f=1,207.0,18.0,225,26,0.896414342629482,0.3989361702127659,0.0017291832934291,64,9,0.8767123287671232,0.610792032571132,1.4676261228490843,155.5,12.875,69.5,51.125
per_task|dedup11|O1_early|fpr<=0.003,frozen_rule,per_task,cascade/dedup11 level=0.96->0.925 k=2 W=2 f=1,262.0,41.0,287,56,0.8367346938775511,0.5088652482269503,0.0037243947858473,96,30,0.7619047619047619,0.5385493411919501,1.55368251314845,261.25,31.166666666666668,25.75,64.83333333333333
per_task|dedup11|O1_early|fpr<=0.005,frozen_rule,per_task,cascade/dedup11 level=0.96->0.5 k=2 W=8 f=2,288.0,63.0,327,86,0.7917675544794189,0.5797872340425532,0.0057196062782654,105,57,0.6481481481481481,0.5025514874158797,1.5754953956075,314.0909090909091,66.4375,12.909090909090878,38.5625
per_task|dedup11|O2_recall|fpr<=0.0005,frozen_rule,per_task,quorum/dedup11 level=0.925 k=5 W=inf f=1,199.0,6.0,191,13,0.9362745098039216,0.3386524822695035,0.0008645916467145,45,3,0.9375,0.7061830781394283,1.325824051562822,106.4375,11.0,84.5625,34.0
per_task|dedup11|O2_recall|fpr<=0.001,frozen_rule,per_task,quorum/dedup11 level=0.9 k=5 W=inf f=1,230.0,9.0,237,15,0.9404761904761904,0.4202127659574468,0.000997605746209,53,5,0.913793103448276,0.7172118469312553,1.3112948349922269,112.3125,11.375,124.6875,41.625
per_task|dedup11|O2_recall|fpr<=0.0015,frozen_rule,per_task,quorum/dedup11 level=0.8 k=5 W=inf f=1,307.0,20.0,349,31,0.9184210526315788,0.6187943262411347,0.0020617185421654,65,11,0.8552631578947368,0.7079514457013001,1.2972938443847468,179.25,13.625,169.75,51.375
per_task|dedup11|O2_recall|fpr<=0.003,frozen_rule,per_task,quorum/dedup11 level=0.8 k=4 W=inf f=1,339.0,40.0,391,57,0.8727678571428571,0.6932624113475178,0.0037909018355945,96,31,0.7559055118110236,0.6017681277111626,1.450339120588602,262.9375,32.583333333333336,128.0625,63.416666666666664
per_task|dedup11|O2_recall|fpr<=0.005,frozen_rule,per_task,cascade/dedup11 level=0.9->0.85 k=3 W=inf f=1,362.0,64.0,396,89,0.8164948453608247,0.7021276595744681,0.0059191274275073,112,57,0.6627218934911243,0.5446501144295851,1.4991181011977643,319.4090909090909,66.4375,76.59090909090912,45.5625
global|all12|O1_early|fpr<=0.0005,frozen_rule,global,cascade/all12 level=0.99->0.7 k=2 W=8 f=1,189.0,7.0,211,20,0.9134199134199136,0.374113475177305,0.0013301409949454,34,13,0.723404255319149,0.6181110730122293,1.4777601523437542,283.20000000000005,20.666666666666664,-72.20000000000005,13.333333333333336
global|all12|O1_early|fpr<=0.001,frozen_rule,global,cascade/all12 level=0.975->0.95 k=2 W=4 f=2,179.0,13.0,199,47,0.8089430894308943,0.3528368794326241,0.0031258313381218,34,38,0.4722222222222222,0.6032620170325652,1.3409481561761016,344.72727272727275,41.04545454545455,-145.72727272727275,-7.045454545454547
global|all12|O1_early|fpr<=0.0015,frozen_rule,global,quorum/all12 level=selected k=2 W=4 f=2,152.0,18.0,183,130,0.5846645367412141,0.324468085106383,0.0086459164671455,60,117,0.3389830508474576,0.3813792494967659,1.5330266067508531,432.42857142857144,78.33333333333333,-249.42857142857144,-18.33333333333333
global|all12|O1_early|fpr<=0.003,frozen_rule,global,quorum/all12 level=selected k=2 W=inf f=1,265.0,42.0,316,171,0.648870636550308,0.5602836879432624,0.0113727055067837,83,150,0.3562231759656652,0.4107661761561011,1.5796593639290333,445.280701754386,90.66666666666667,-129.28070175438597,-7.666666666666671
global|all12|O1_early|fpr<=0.005,frozen_rule,global,quorum/all12 level=selected k=2 W=inf f=1,265.0,42.0,316,171,0.648870636550308,0.5602836879432624,0.0113727055067837,83,150,0.3562231759656652,0.4107661761561011,1.5796593639290333,445.280701754386,90.66666666666667,-129.28070175438597,-7.666666666666671
global|all12|O2_recall|fpr<=0.0005,frozen_rule,global,cascade/all12 level=0.99->0.85 k=2 W=inf f=2,249.0,7.0,288,13,0.956810631229236,0.5106382978723404,0.0008645916467145,24,6,0.8,0.7149174188226448,1.3383512641291504,225.33333333333334,14.0,62.66666666666666,10.0
global|all12|O2_recall|fpr<=0.001,frozen_rule,global,quorum/all12 level=0.99 k=1 W=0 f=1,267.0,10.0,308,23,0.9305135951661632,0.5460992907801419,0.0015296621441872,34,13,0.723404255319149,0.6780730761081656,1.3722910228303011,308.0,20.666666666666664,0.0,13.333333333333336
global|all12|O2_recall|fpr<=0.0015,frozen_rule,global,quorum/all12 level=0.99 k=1 W=0 f=1,267.0,10.0,308,23,0.9305135951661632,0.5460992907801419,0.0015296621441872,34,13,0.723404255319149,0.6780730761081656,1.3722910228303011,308.0,20.666666666666664,0.0,13.333333333333336
global|all12|O2_recall|fpr<=0.003,frozen_rule,global,cascade/all12 level=0.98->0.9 k=2 W=inf f=1,319.0,39.0,379,75,0.8348017621145375,0.6719858156028369,0.0049880287310454,58,51,0.5321100917431193,0.5700692403533493,1.46438660959342,387.57575757575756,47.151515151515156,-8.575757575757564,10.848484848484844
global|all12|O2_recall|fpr<=0.005,frozen_rule,global,cascade/all12 level=0.98->0.9 k=2 W=inf f=1,319.0,39.0,379,75,0.8348017621145375,0.6719858156028369,0.0049880287310454,58,51,0.5321100917431193,0.5700692403533493,1.46438660959342,387.57575757575756,47.151515151515156,-8.575757575757564,10.848484848484844
global|dedup11|O1_early|fpr<=0.0005,frozen_rule,global,cascade/dedup11 level=0.99->0.7 k=2 W=8 f=1,186.0,7.0,207,20,0.9118942731277532,0.3670212765957447,0.0013301409949454,34,13,0.723404255319149,0.6199137807872863,1.4710017770046242,283.20000000000005,20.666666666666664,-76.20000000000005,13.333333333333336
global|dedup11|O1_early|fpr<=0.001,frozen_rule,global,cascade/dedup11 level=0.975->0.95 k=2 W=4 f=2,179.0,13.0,199,47,0.8089430894308943,0.3528368794326241,0.0031258313381218,34,38,0.4722222222222222,0.6032620170325652,1.3409481561761016,344.72727272727275,41.04545454545455,-145.72727272727275,-7.045454545454547
global|dedup11|O1_early|fpr<=0.0015,frozen_rule,global,quorum/dedup11 level=selected k=2 W=4 f=2,152.0,18.0,183,130,0.5846645367412141,0.324468085106383,0.0086459164671455,60,117,0.3389830508474576,0.3813792494967659,1.5330266067508531,432.42857142857144,78.33333333333333,-249.42857142857144,-18.33333333333333
global|dedup11|O1_early|fpr<=0.003,frozen_rule,global,quorum/dedup11 level=selected k=2 W=inf f=1,258.0,41.0,308,169,0.6457023060796646,0.5460992907801419,0.0112396914072891,83,149,0.3577586206896552,0.4048309801715126,1.5949923244661348,444.6666666666667,90.36842105263158,-136.66666666666669,-7.368421052631575
global|dedup11|O1_early|fpr<=0.005,frozen_rule,global,quorum/dedup11 level=selected k=2 W=inf f=1,258.0,41.0,308,169,0.6457023060796646,0.5460992907801419,0.0112396914072891,83,149,0.3577586206896552,0.4048309801715126,1.5949923244661348,444.6666666666667,90.36842105263158,-136.66666666666669,-7.368421052631575
global|dedup11|O2_recall|fpr<=0.0005,frozen_rule,global,cascade/dedup11 level=0.99->0.85 k=2 W=inf f=2,249.0,7.0,288,13,0.956810631229236,0.5106382978723404,0.0008645916467145,24,6,0.8,0.7149174188226448,1.3383512641291504,225.33333333333334,14.0,62.66666666666666,10.0
global|dedup11|O2_recall|fpr<=0.001,frozen_rule,global,quorum/dedup11 level=0.99 k=1 W=0 f=1,267.0,10.0,308,23,0.9305135951661632,0.5460992907801419,0.0015296621441872,34,13,0.723404255319149,0.6780730761081656,1.3722910228303011,308.0,20.666666666666664,0.0,13.333333333333336
global|dedup11|O2_recall|fpr<=0.0015,frozen_rule,global,quorum/dedup11 level=0.99 k=1 W=0 f=1,267.0,10.0,308,23,0.9305135951661632,0.5460992907801419,0.0015296621441872,34,13,0.723404255319149,0.6780730761081656,1.3722910228303011,308.0,20.666666666666664,0.0,13.333333333333336
global|dedup11|O2_recall|fpr<=0.003,frozen_rule,global,cascade/dedup11 level=0.98->0.8 k=2 W=inf f=2,313.0,39.0,379,65,0.8536036036036037,0.6719858156028369,0.0043229582335727,51,47,0.5204081632653061,0.5923062016376818,1.4411525681200943,372.27272727272725,45.27272727272727,6.727272727272748,5.727272727272727
global|dedup11|O2_recall|fpr<=0.005,frozen_rule,global,cascade/dedup11 level=0.98->0.8 k=2 W=inf f=2,313.0,39.0,379,65,0.8536036036036037,0.6719858156028369,0.0043229582335727,51,47,0.5204081632653061,0.5923062016376818,1.4411525681200943,372.27272727272725,45.27272727272727,6.727272727272748,5.727272727272727
reference_single:action_consensus,reference_single,per_task,action_consensus,,,101,34,0.7481481481481481,0.1790780141843971,0.0022612396914072,35,22,0.6140350877192983,0.4974810167193532,1.5038727569582924,193.5,19.833333333333332,-92.5,15.166666666666668
reference_single:conditional_effective_rank,reference_single,per_task,conditional_effective_rank,,,103,10,0.911504424778761,0.1826241134751773,0.0006650704974727,25,7,0.78125,0.6906157065227762,1.3198431720705444,97.625,12.125,5.375,12.875
reference_single:conditional_energy,reference_single,per_task,conditional_energy,,,37,12,0.7551020408163265,0.0656028368794326,0.0007980845969672,19,10,0.6551724137931034,0.3923405021586492,1.9246089472327503,103.5,13.25,-66.5,5.75
reference_single:conditional_query_d1,reference_single,per_task,conditional_query_d1,,,155,22,0.8757062146892656,0.274822695035461,0.00146315509444,37,12,0.7551020408163265,0.6080416798227896,1.4402075445625462,136.5,14.0,18.5,23.0
reference_single:expert_load_effective_rank,reference_single,per_task,expert_load_effective_rank,,,370,93,0.7991360691144709,0.6560283687943262,0.0061851556264964,97,69,0.5843373493975904,0.5162688757758398,1.5479067335088583,326.5,77.77272727272727,43.5,19.227272727272734
reference_single:flow_endpoint,reference_single,per_task,flow_endpoint,,,162,39,0.8059701492537313,0.2872340425531915,0.0025937749401436,42,23,0.6461538461538462,0.5578528296792264,1.4447720014563268,217.25,21.25,-55.25,20.75
reference_single:flow_path,reference_single,per_task,flow_path,,,153,37,0.8052631578947368,0.2712765957446808,0.0024607608406491,43,21,0.671875,0.58461568341509,1.37742311870717,207.75,18.416666666666668,-54.75,24.583333333333332
reference_single:flow_settling_log_ratio,reference_single,per_task,flow_settling_log_ratio,,,304,87,0.7774936061381074,0.5390070921985816,0.0057861133280127,83,62,0.5724137931034483,0.5501162247905625,1.4133260774741023,315.8636363636364,71.72727272727273,-11.863636363636374,11.272727272727266
reference_single:mobility,reference_single,per_task,mobility,,,272,57,0.8267477203647416,0.4822695035460992,0.0037909018355945,72,43,0.6260869565217392,0.5953801599458113,1.3886047537089383,262.9375,49.583333333333336,9.0625,22.416666666666664
reference_single:partial_edge_std,reference_single,per_task,partial_edge_std,,,103,14,0.8803418803418803,0.1826241134751773,0.0009310986964618,29,10,0.7435897435897436,0.6360839097041088,1.384002750126779,109.375,13.25,-6.375,15.75
reference_single:partial_query_d1,reference_single,per_task,partial_query_d1,,,156,20,0.8863636363636364,0.2765957446808511,0.0013301409949454,42,12,0.7777777777777778,0.6422757645658748,1.3800359366863932,127.0,14.0,29.0,28.0
reference_single:state_action_alignment,reference_single,per_task,state_action_alignment,,,37,12,0.7551020408163265,0.0656028368794326,0.0007980845969672,19,10,0.6551724137931034,0.391684036459853,1.9278346078158923,103.5,13.25,-66.5,5.75
reference_pairwise_and:action_consensus+conditional_effective_rank,reference_pairwise_and,per_task,action_consensus+conditional_effective_rank,,,20,1,0.9523809523809524,0.0354609929078014,6.650704974727321e-05,5,0,1.0,0.6680867838709018,1.4255347888530996,80.0,11.0,-60.0,-6.0
reference_pairwise_and:action_consensus+conditional_energy,reference_pairwise_and,per_task,action_consensus+conditional_energy,,,12,4,0.75,0.0212765957446808,0.000266028198989,1,3,0.25,0.7002617437878498,1.071028092928662,80.0,11.0,-68.0,-10.0
reference_pairwise_and:action_consensus+conditional_query_d1,reference_pairwise_and,per_task,action_consensus+conditional_query_d1,,,42,4,0.9130434782608696,0.0744680851063829,0.000266028198989,2,1,0.6666666666666666,0.7931473530419858,1.1511650070558035,80.0,11.0,-38.0,-9.0
reference_pairwise_and:action_consensus+expert_load_effective_rank,reference_pairwise_and,per_task,action_consensus+expert_load_effective_rank,,,82,15,0.845360824742268,0.1453900709219858,0.000997605746209,19,9,0.6785714285714286,0.6374752939997207,1.3261075883242597,112.3125,12.875,-30.3125,6.125
reference_pairwise_and:action_consensus+flow_endpoint,reference_pairwise_and,per_task,action_consensus+flow_endpoint,,,75,16,0.8241758241758241,0.1329787234042553,0.0010641127959563,12,8,0.6,0.624330534346891,1.3200953322553577,115.25,12.5,-40.25,-0.5
reference_pairwise_and:action_consensus+flow_path,reference_pairwise_and,per_task,action_consensus+flow_path,,,64,15,0.810126582278481,0.1134751773049645,0.000997605746209,19,6,0.76,0.6019601007559651,1.3458144173693445,112.3125,11.75,-48.3125,7.25
reference_pairwise_and:action_consensus+flow_settling_log_ratio,reference_pairwise_and,per_task,action_consensus+flow_settling_log_ratio,,,87,24,0.7837837837837838,0.1542553191489361,0.0015961691939345,24,15,0.6153846153846154,0.5619796273536234,1.3946836248755885,146.0,15.125,-59.0,8.875
reference_pairwise_and:action_consensus+mobility,reference_pairwise_and,per_task,action_consensus+mobility,,,56,5,0.918032786885246,0.0992907801418439,0.0003325352487363,10,3,0.7692307692307693,0.714562627971627,1.2847478316787904,82.9375,11.0,-26.9375,-1.0
reference_pairwise_and:action_consensus+partial_edge_std,reference_pairwise_and,per_task,action_consensus+partial_edge_std,,,21,0,1.0,0.0372340425531914,0.0,1,0,1.0,0.8149367276823838,1.2270891297830222,80.0,11.0,-59.0,-10.0
reference_pairwise_and:action_consensus+partial_query_d1,reference_pairwise_and,per_task,action_consensus+partial_query_d1,,,32,2,0.9411764705882352,0.0567375886524822,0.0001330140994945,5,1,0.8333333333333334,0.7366393014848456,1.277662580167938,80.0,11.0,-48.0,-6.0
reference_pairwise_and:action_consensus+state_action_alignment,reference_pairwise_and,per_task,action_consensus+state_action_alignment,,,12,4,0.75,0.0212765957446808,0.000266028198989,1,3,0.25,0.7002617437878498,1.071028092928662,80.0,11.0,-68.0,-10.0
reference_pairwise_and:conditional_effective_rank+conditional_energy,reference_pairwise_and,per_task,conditional_effective_rank+conditional_energy,,,7,0,1.0,0.0124113475177304,0.0,6,0,1.0,0.3102660139200189,3.2230407300033264,80.0,11.0,-73.0,-5.0
reference_pairwise_and:conditional_effective_rank+conditional_query_d1,reference_pairwise_and,per_task,conditional_effective_rank+conditional_query_d1,,,47,4,0.9215686274509804,0.0833333333333333,0.000266028198989,17,0,1.0,0.5864085098368972,1.5715471586647063,80.0,11.0,-33.0,6.0
reference_pairwise_and:conditional_effective_rank+expert_load_effective_rank,reference_pairwise_and,per_task,conditional_effective_rank+expert_load_effective_rank,,,96,4,0.96,0.1702127659574468,0.000266028198989,22,0,1.0,0.7410796544041183,1.2954073078310449,80.0,11.0,16.0,11.0
reference_pairwise_and:conditional_effective_rank+flow_endpoint,reference_pairwise_and,per_task,conditional_effective_rank+flow_endpoint,,,30,4,0.8823529411764706,0.0531914893617021,0.000266028198989,3,0,1.0,0.7286348008232982,1.2109673325779708,80.0,11.0,-50.0,-8.0
reference_pairwise_and:conditional_effective_rank+flow_path,reference_pairwise_and,per_task,conditional_effective_rank+flow_path,,,33,3,0.9166666666666666,0.0585106382978723,0.0001995211492418,7,0,1.0,0.7362480802435992,1.2450513505765246,80.0,11.0,-47.0,-4.0
reference_pairwise_and:conditional_effective_rank+flow_settling_log_ratio,reference_pairwise_and,per_task,conditional_effective_rank+flow_settling_log_ratio,,,67,1,0.9852941176470588,0.1187943262411347,6.650704974727321e-05,21,0,1.0,0.7233350093242656,1.3621546101681343,80.0,11.0,-13.0,10.0
reference_pairwise_and:conditional_effective_rank+mobility,reference_pairwise_and,per_task,conditional_effective_rank+mobility,,,94,4,0.9591836734693876,0.1666666666666666,0.000266028198989,23,0,1.0,0.7298839495152707,1.314159153803011,80.0,11.0,14.0,12.0
reference_pairwise_and:conditional_effective_rank+partial_edge_std,reference_pairwise_and,per_task,conditional_effective_rank+partial_edge_std,,,55,0,1.0,0.0975177304964539,0.0,17,0,1.0,0.7108963155869695,1.406674894881576,80.0,11.0,-25.0,6.0
reference_pairwise_and:conditional_effective_rank+partial_query_d1,reference_pairwise_and,per_task,conditional_effective_rank+partial_query_d1,,,68,1,0.9855072463768116,0.1205673758865248,6.650704974727321e-05,20,0,1.0,0.7073154757758395,1.3933064949495546,80.0,11.0,-12.0,9.0
reference_pairwise_and:conditional_effective_rank+state_action_alignment,reference_pairwise_and,per_task,conditional_effective_rank+state_action_alignment,,,7,0,1.0,0.0124113475177304,0.0,6,0,1.0,0.3102660139200189,3.2230407300033264,80.0,11.0,-73.0,-5.0
reference_pairwise_and:conditional_energy+conditional_query_d1,reference_pairwise_and,per_task,conditional_energy+conditional_query_d1,,,24,1,0.96,0.0425531914893617,6.650704974727321e-05,9,1,0.9,0.6297067059259519,1.5245192578795368,80.0,11.0,-56.0,-2.0
reference_pairwise_and:conditional_energy+expert_load_effective_rank,reference_pairwise_and,per_task,conditional_energy+expert_load_effective_rank,,,35,4,0.8974358974358975,0.0620567375886524,0.000266028198989,18,3,0.8571428571428571,0.4552709823206841,1.9712126014738205,80.0,11.0,-45.0,7.0
reference_pairwise_and:conditional_energy+flow_endpoint,reference_pairwise_and,per_task,conditional_energy+flow_endpoint,,,23,3,0.8846153846153846,0.0407801418439716,0.0001995211492418,12,3,0.8,0.4377740185040617,2.020712393207449,80.0,11.0,-57.0,1.0
reference_pairwise_and:conditional_energy+flow_path,reference_pairwise_and,per_task,conditional_energy+flow_path,,,18,3,0.8571428571428571,0.0319148936170212,0.0001995211492418,10,3,0.7692307692307693,0.4526961424352745,1.893417630050624,80.0,11.0,-62.0,-1.0
reference_pairwise_and:conditional_energy+flow_settling_log_ratio,reference_pairwise_and,per_task,conditional_energy+flow_settling_log_ratio,,,32,4,0.8888888888888888,0.0567375886524822,0.000266028198989,18,3,0.8571428571428571,0.4360728083267194,2.0383955888001744,80.0,11.0,-48.0,7.0
reference_pairwise_and:conditional_energy+mobility,reference_pairwise_and,per_task,conditional_energy+mobility,,,29,3,0.90625,0.051418439716312,0.0001995211492418,13,3,0.8125,0.5729907546821926,1.5816136518688657,80.0,11.0,-51.0,2.0
reference_pairwise_and:conditional_energy+partial_edge_std,reference_pairwise_and,per_task,conditional_energy+partial_edge_std,,,18,2,0.9,0.0319148936170212,0.0001330140994945,9,0,1.0,0.5561473237081289,1.618276240186185,80.0,11.0,-62.0,-2.0
reference_pairwise_and:conditional_energy+partial_query_d1,reference_pairwise_and,per_task,conditional_energy+partial_query_d1,,,8,0,1.0,0.0141843971631205,0.0,6,0,1.0,0.4066477827942358,2.459130585020307,80.0,11.0,-72.0,-5.0
reference_pairwise_and:conditional_energy+state_action_alignment,reference_pairwise_and,per_task,conditional_energy+state_action_alignment,,,37,12,0.7551020408163265,0.0656028368794326,0.0007980845969672,19,10,0.6551724137931034,0.3923405021586492,1.9246089472327503,103.5,13.25,-66.5,5.75
reference_pairwise_and:conditional_query_d1+expert_load_effective_rank,reference_pairwise_and,per_task,conditional_query_d1+expert_load_effective_rank,,,131,9,0.9357142857142856,0.2322695035460993,0.0005985634477254,30,1,0.967741935483871,0.6713658218107307,1.393747276545274,94.6875,11.0,36.3125,19.0
reference_pairwise_and:conditional_query_d1+flow_endpoint,reference_pairwise_and,per_task,conditional_query_d1+flow_endpoint,,,76,10,0.8837209302325582,0.1347517730496454,0.0006650704974727,6,1,0.8571428571428571,0.8221039551848146,1.0749503449766176,97.625,11.0,-21.625,-5.0
reference_pairwise_and:conditional_query_d1+flow_path,reference_pairwise_and,per_task,conditional_query_d1+flow_path,,,67,8,0.8933333333333333,0.1187943262411347,0.0005320563979781,6,1,0.8571428571428571,0.8346202312487948,1.0703470870777831,91.75,11.0,-24.75,-5.0
reference_pairwise_and:conditional_query_d1+flow_settling_log_ratio,reference_pairwise_and,per_task,conditional_query_d1+flow_settling_log_ratio,,,120,8,0.9375,0.2127659574468085,0.0005320563979781,28,1,0.9655172413793104,0.7220161175486258,1.2984474684346117,91.75,11.0,28.25,17.0
reference_pairwise_and:conditional_query_d1+mobility,reference_pairwise_and,per_task,conditional_query_d1+mobility,,,136,11,0.9251700680272108,0.2411347517730496,0.00073157754722,34,6,0.85,0.6350595939984192,1.4568240158411243,100.5625,11.75,35.4375,22.25
reference_pairwise_and:conditional_query_d1+partial_edge_std,reference_pairwise_and,per_task,conditional_query_d1+partial_edge_std,,,52,1,0.981132075471698,0.0921985815602836,6.650704974727321e-05,22,0,1.0,0.5881907378420422,1.6680508759306232,80.0,11.0,-28.0,11.0
reference_pairwise_and:conditional_query_d1+partial_query_d1,reference_pairwise_and,per_task,conditional_query_d1+partial_query_d1,,,90,5,0.9473684210526316,0.1595744680851064,0.0003325352487363,29,1,0.9666666666666668,0.613643701443675,1.5438411880115883,82.9375,11.0,7.0625,18.0
reference_pairwise_and:conditional_query_d1+state_action_alignment,reference_pairwise_and,per_task,conditional_query_d1+state_action_alignment,,,24,1,0.96,0.0425531914893617,6.650704974727321e-05,9,1,0.9,0.6297067059259519,1.5245192578795368,80.0,11.0,-56.0,-2.0
reference_pairwise_and:expert_load_effective_rank+flow_endpoint,reference_pairwise_and,per_task,expert_load_effective_rank+flow_endpoint,,,134,17,0.8874172185430463,0.2375886524822695,0.0011306198457036,26,6,0.8125,0.6772461609909733,1.3103318551773588,118.1875,11.75,15.8125,14.25
reference_pairwise_and:expert_load_effective_rank+flow_path,reference_pairwise_and,per_task,expert_load_effective_rank+flow_path,,,134,18,0.881578947368421,0.2375886524822695,0.0011971268954509,34,6,0.85,0.649532298055759,1.3572519026494076,121.125,11.75,12.875,22.25
reference_pairwise_and:expert_load_effective_rank+flow_settling_log_ratio,reference_pairwise_and,per_task,expert_load_effective_rank+flow_settling_log_ratio,,,251,39,0.8655172413793103,0.4450354609929078,0.0025937749401436,55,19,0.7432432432432432,0.6645469283521057,1.3024170370113002,217.25,16.625,33.75,38.375
reference_pairwise_and:expert_load_effective_rank+mobility,reference_pairwise_and,per_task,expert_load_effective_rank+mobility,,,245,14,0.945945945945946,0.4343971631205673,0.0009310986964618,53,6,0.8983050847457628,0.7044906259033702,1.342737449107938,109.375,11.75,135.625,41.25
reference_pairwise_and:expert_load_effective_rank+partial_edge_std,reference_pairwise_and,per_task,expert_load_effective_rank+partial_edge_std,,,95,3,0.9693877551020408,0.1684397163120567,0.0001995211492418,26,0,1.0,0.7094815824301651,1.3663325153298935,80.0,11.0,15.0,15.0
reference_pairwise_and:expert_load_effective_rank+partial_query_d1,reference_pairwise_and,per_task,expert_load_effective_rank+partial_query_d1,,,138,5,0.965034965034965,0.2446808510638297,0.0003325352487363,34,2,0.9444444444444444,0.70358671528994,1.3715934995124022,82.9375,11.0,55.0625,23.0
reference_pairwise_and:expert_load_effective_rank+state_action_alignment,reference_pairwise_and,per_task,expert_load_effective_rank+state_action_alignment,,,35,4,0.8974358974358975,0.0620567375886524,0.000266028198989,18,3,0.8571428571428571,0.4547858804300453,1.9733152150354412,80.0,11.0,-45.0,7.0
reference_pairwise_and:flow_endpoint+flow_path,reference_pairwise_and,per_task,flow_endpoint+flow_path,,,102,22,0.8225806451612904,0.1808510638297872,0.00146315509444,28,8,0.7777777777777778,0.600711793334898,1.3693432595932074,136.5,12.5,-34.5,15.5
reference_pairwise_and:flow_endpoint+flow_settling_log_ratio,reference_pairwise_and,per_task,flow_endpoint+flow_settling_log_ratio,,,139,24,0.852760736196319,0.2464539007092198,0.0015961691939345,32,11,0.7441860465116279,0.6287639161996031,1.3562494828752345,146.0,13.625,-7.0,18.375
