rule,family,mode,pool,level,level_loose,k,window,frames,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,union_tp,union_coverage_share,median_confirmation_delay,alarms
quorum|per_task|all12|selected|selected|1|0|1,quorum,per_task,all12,selected,selected,1,0,1,406,194,0.8336755646817249,0.013554111646754699,0.6766666666666666,108,152,0.4153846153846154,0.2660098522167488,0.4417093831069176,1.5319273090987897,406,1.0,0.0,600
quorum|per_task|all12|selected|selected|4|0|2,quorum,per_task,all12,selected,selected,4,0,2,6,0,0.012320328542094456,0.0,1.0,3,0,1.0,0.5,0.5631318920052739,1.7757829279373059,406,0.014778325123152709,1.0,6
quorum|per_task|all12|selected|selected|4|1|1,quorum,per_task,all12,selected,selected,4,1,1,75,4,0.1540041067761807,0.00027946621952071543,0.9493670886075949,23,1,0.9583333333333334,0.30666666666666664,0.6572650385692381,1.444420489296398,406,0.18472906403940886,2.0,79
quorum|per_task|all12|selected|selected|4|1|2,quorum,per_task,all12,selected,selected,4,1,2,75,4,0.1540041067761807,0.00027946621952071543,0.9493670886075949,23,1,0.9583333333333334,0.30666666666666664,0.6572650385692381,1.444420489296398,406,0.18472906403940886,2.0,79
quorum|per_task|all12|selected|selected|4|2|1,quorum,per_task,all12,selected,selected,4,2,1,124,8,0.2546201232032854,0.0005589324390414309,0.9393939393939394,33,4,0.8918918918918919,0.2661290322580645,0.6817794973973572,1.377855953398432,406,0.3054187192118227,2.0,132
quorum|per_task|all12|selected|selected|4|2|2,quorum,per_task,all12,selected,selected,4,2,2,124,8,0.2546201232032854,0.0005589324390414309,0.9393939393939394,33,4,0.8918918918918919,0.2661290322580645,0.6817794973973572,1.377855953398432,406,0.3054187192118227,2.0,132
quorum|per_task|all12|selected|selected|4|4|1,quorum,per_task,all12,selected,selected,4,4,1,183,16,0.3757700205338809,0.0011178648780828617,0.9195979899497487,42,6,0.875,0.22950819672131148,0.7000576564092702,1.3136032175785963,406,0.45073891625615764,3.0,199
quorum|per_task|all12|selected|selected|4|4|2,quorum,per_task,all12,selected,selected,4,4,2,182,16,0.3737166324435318,0.0011178648780828617,0.9191919191919192,42,6,0.875,0.23076923076923078,0.699227610332241,1.3145818408903522,406,0.4482758620689655,3.0,198
quorum|per_task|all12|selected|selected|4|8|1,quorum,per_task,all12,selected,selected,4,8,1,222,17,0.45585215605749485,0.0011877314329630407,0.9288702928870293,46,6,0.8846153846153846,0.2072072072072072,0.6934267750190364,1.3395362370619874,406,0.5467980295566502,3.0,239
quorum|per_task|all12|selected|selected|4|8|2,quorum,per_task,all12,selected,selected,4,8,2,221,17,0.4537987679671458,0.0011877314329630407,0.9285714285714286,46,6,0.8846153846153846,0.2081447963800905,0.6927083716381877,1.3404940182481813,406,0.5443349753694581,3.0,238
quorum|per_task|all12|selected|selected|4|-1|1,quorum,per_task,all12,selected,selected,4,-1,1,257,17,0.5277207392197125,0.0011877314329630407,0.9379562043795621,47,6,0.8867924528301887,0.1828793774319066,0.711074606881331,1.3190686255740456,406,0.6330049261083743,3.0,274
quorum|per_task|all12|selected|selected|4|-1|2,quorum,per_task,all12,selected,selected,4,-1,2,257,17,0.5277207392197125,0.0011877314329630407,0.9379562043795621,47,6,0.8867924528301887,0.1828793774319066,0.7115694726489915,1.3181512704413676,406,0.6330049261083743,3.0,274
quorum|per_task|all12|selected|selected|5|0|1,quorum,per_task,all12,selected,selected,5,0,1,1,0,0.002053388090349076,0.0,1.0,0,0,0.0,0.0,0.984375,1.0158730158730158,406,0.0024630541871921183,0.0,1
quorum|per_task|all12|selected|selected|5|0|2,quorum,per_task,all12,selected,selected,5,0,2,1,0,0.002053388090349076,0.0,1.0,0,0,0.0,0.0,0.984375,1.0158730158730158,406,0.0024630541871921183,0.0,1
quorum|per_task|all12|selected|selected|5|1|1,quorum,per_task,all12,selected,selected,5,1,1,14,0,0.028747433264887063,0.0,1.0,3,0,1.0,0.21428571428571427,0.7217400435598343,1.385540415726008,406,0.034482758620689655,1.5,14
quorum|per_task|all12|selected|selected|5|1|2,quorum,per_task,all12,selected,selected,5,1,2,14,0,0.028747433264887063,0.0,1.0,3,0,1.0,0.21428571428571427,0.7217400435598343,1.385540415726008,406,0.034482758620689655,1.5,14
quorum|per_task|all12|selected|selected|5|2|1,quorum,per_task,all12,selected,selected,5,2,1,53,2,0.10882956878850103,0.00013973310976035772,0.9636363636363636,12,0,1.0,0.22641509433962265,0.7511323958173685,1.2829114667431596,406,0.13054187192118227,2.0,55
quorum|per_task|all12|selected|selected|5|2|2,quorum,per_task,all12,selected,selected,5,2,2,53,2,0.10882956878850103,0.00013973310976035772,0.9636363636363636,12,0,1.0,0.22641509433962265,0.7511323958173685,1.2829114667431596,406,0.13054187192118227,2.0,55
quorum|per_task|all12|selected|selected|5|4|1,quorum,per_task,all12,selected,selected,5,4,1,122,6,0.25051334702258726,0.00041919932928107315,0.953125,30,2,0.9375,0.2459016393442623,0.7311206565361916,1.303649392858891,406,0.30049261083743845,3.0,128
quorum|per_task|all12|selected|selected|5|4|2,quorum,per_task,all12,selected,selected,5,4,2,122,6,0.25051334702258726,0.00041919932928107315,0.953125,30,2,0.9375,0.2459016393442623,0.7311206565361916,1.303649392858891,406,0.30049261083743845,3.0,128
quorum|per_task|all12|selected|selected|5|8|1,quorum,per_task,all12,selected,selected,5,8,1,151,7,0.31006160164271046,0.000489065884161252,0.9556962025316456,37,2,0.9487179487179487,0.24503311258278146,0.7196047448288924,1.328084909666474,406,0.37192118226600984,4.0,158
quorum|per_task|all12|selected|selected|5|8|2,quorum,per_task,all12,selected,selected,5,8,2,151,7,0.31006160164271046,0.000489065884161252,0.9556962025316456,37,2,0.9487179487179487,0.24503311258278146,0.7196047448288924,1.328084909666474,406,0.37192118226600984,4.0,158
quorum|per_task|all12|selected|selected|5|-1|1,quorum,per_task,all12,selected,selected,5,-1,1,195,7,0.4004106776180698,0.000489065884161252,0.9653465346534653,38,2,0.95,0.19487179487179487,0.7408578483563718,1.3030118217619375,406,0.4802955665024631,4.0,202
quorum|per_task|all12|selected|selected|5|-1|2,quorum,per_task,all12,selected,selected,5,-1,2,195,7,0.4004106776180698,0.000489065884161252,0.9653465346534653,38,2,0.95,0.19487179487179487,0.7408578483563718,1.3030118217619375,406,0.4802955665024631,4.0,202
quorum|per_task|all12|0.5|0.5|1|0|1,quorum,per_task,all12,0.5,0.5,1,0,1,486,4004,0.997946611909651,0.27974568574023617,0.10824053452115813,254,3900,0.061145883485796824,0.522633744855967,0.0793101722569911,1.3647749266061753,486,1.0,0.0,4490
quorum|per_task|all12|0.5|0.5|2|0|1,quorum,per_task,all12,0.5,0.5,2,0,1,370,1414,0.7597535934291582,0.0987913086005729,0.20739910313901344,140,1344,0.09433962264150944,0.3783783783783784,0.14885151068872468,1.393328842813845,486,0.7613168724279835,0.0,1784
quorum|per_task|all12|0.5|0.5|2|0|2,quorum,per_task,all12,0.5,0.5,2,0,2,324,303,0.6652977412731006,0.021169566128694195,0.5167464114832536,94,265,0.2618384401114206,0.29012345679012347,0.34393213013099777,1.5024662315975943,486,0.6666666666666666,1.0,627
quorum|per_task|all12|0.5|0.5|2|1|1,quorum,per_task,all12,0.5,0.5,2,1,1,427,1615,0.8767967145790554,0.11283448613148886,0.20910871694417238,157,1538,0.09262536873156342,0.36768149882903983,0.14332076895894832,1.4590259211075531,486,0.8786008230452675,0.0,2042
quorum|per_task|all12|0.5|0.5|2|1|2,quorum,per_task,all12,0.5,0.5,2,1,2,411,592,0.8439425051334702,0.04136100048906589,0.4097706879361914,121,539,0.18333333333333332,0.2944038929440389,0.26477387295814064,1.5476250861087568,486,0.845679012345679,1.0,1003
quorum|per_task|all12|0.5|0.5|2|2|1,quorum,per_task,all12,0.5,0.5,2,2,1,436,1689,0.8952772073921971,0.1180046111926221,0.2051764705882353,162,1610,0.09142212189616253,0.37155963302752293,0.14056681168769533,1.4596366533807896,486,0.897119341563786,0.0,2125
quorum|per_task|all12|0.5|0.5|2|2|2,quorum,per_task,all12,0.5,0.5,2,2,2,424,726,0.8706365503080082,0.050723118843009854,0.36869565217391304,135,670,0.16770186335403728,0.31839622641509435,0.23391319259198573,1.5762071736459433,486,0.8724279835390947,1.0,1150
quorum|per_task|all12|0.5|0.5|2|4|1,quorum,per_task,all12,0.5,0.5,2,4,1,450,1743,0.9240246406570842,0.12177740515615175,0.2051983584131327,174,1664,0.09466811751904244,0.38666666666666666,0.13806110622164458,1.486286500440648,486,0.9259259259259259,0.0,2193
quorum|per_task|all12|0.5|0.5|2|4|2,quorum,per_task,all12,0.5,0.5,2,4,2,440,819,0.9034907597535934,0.05722070844686648,0.3494837172359015,151,764,0.1650273224043716,0.3431818181818182,0.21606842626465478,1.6174677775818616,486,0.9053497942386831,1.0,1259
quorum|per_task|all12|0.5|0.5|2|8|1,quorum,per_task,all12,0.5,0.5,2,8,1,467,1778,0.9589322381930184,0.12422273457695801,0.20801781737193764,181,1698,0.09632783395423097,0.3875802997858672,0.13929073209529888,1.4934074524758587,486,0.9609053497942387,0.0,2245
quorum|per_task|all12|0.5|0.5|2|8|2,quorum,per_task,all12,0.5,0.5,2,8,2,456,887,0.9363449691991786,0.06197163417871865,0.33953834698436336,156,828,0.15853658536585366,0.34210526315789475,0.2132888257457976,1.5919181222790957,486,0.9382716049382716,1.0,1343
quorum|per_task|all12|0.5|0.5|2|-1|1,quorum,per_task,all12,0.5,0.5,2,-1,1,478,1787,0.9815195071868583,0.12485153357087962,0.211037527593819,184,1706,0.09735449735449736,0.38493723849372385,0.14165808487038695,1.4897669115526462,486,0.9835390946502057,0.0,2265
quorum|per_task|all12|0.5|0.5|2|-1|2,quorum,per_task,all12,0.5,0.5,2,-1,2,471,906,0.9671457905544147,0.06329909872144204,0.3420479302832244,158,846,0.15737051792828685,0.3354564755838641,0.21722899595194028,1.5745961020733117,486,0.9691358024691358,1.0,1377
quorum|per_task|all12|0.5|0.5|3|0|1,quorum,per_task,all12,0.5,0.5,3,0,1,175,175,0.3593429158110883,0.0122266471040313,0.5,59,153,0.2783018867924528,0.33714285714285713,0.3343707093642018,1.4953462908002273,486,0.360082304526749,0.0,350
quorum|per_task|all12|0.5|0.5|3|0|2,quorum,per_task,all12,0.5,0.5,3,0,2,160,135,0.32854209445585214,0.009431984908824145,0.5423728813559322,52,118,0.3058823529411765,0.325,0.35627983485905246,1.5223227033618107,486,0.3292181069958848,0.0,295
quorum|per_task|all12|0.5|0.5|3|1|1,quorum,per_task,all12,0.5,0.5,3,1,1,322,429,0.6611909650924025,0.02997275204359673,0.42876165113182424,97,391,0.1987704918032787,0.30124223602484473,0.29787562603673406,1.439398237568284,486,0.6625514403292181,1.0,751
quorum|per_task|all12|0.5|0.5|3|1|2,quorum,per_task,all12,0.5,0.5,3,1,2,312,382,0.6406570841889117,0.026689023964228325,0.4495677233429395,91,345,0.20871559633027523,0.2916666666666667,0.3160558778241187,1.422431142359955,486,0.6419753086419753,1.0,694
quorum|per_task|all12|0.5|0.5|3|2|1,quorum,per_task,all12,0.5,0.5,3,2,1,364,533,0.7474332648870636,0.03723887375113533,0.4057971014492754,111,486,0.18592964824120603,0.30494505494505497,0.2782504543632775,1.4583879202564602,486,0.7489711934156379,1.0,897
quorum|per_task|all12|0.5|0.5|3|2|2,quorum,per_task,all12,0.5,0.5,3,2,2,356,490,0.731006160164271,0.03423461189128764,0.42080378250591016,107,445,0.19384057971014493,0.300561797752809,0.28966938068762016,1.4527037048479263,486,0.7325102880658436,1.0,846
quorum|per_task|all12|0.5|0.5|3|4|1,quorum,per_task,all12,0.5,0.5,3,4,1,391,604,0.8028747433264887,0.04219939914762803,0.392964824120603,123,550,0.1827637444279346,0.3145780051150895,0.2563196288125526,1.5331046862898647,486,0.8045267489711934,1.0,995
quorum|per_task|all12|0.5|0.5|3|4|2,quorum,per_task,all12,0.5,0.5,3,4,2,388,561,0.7967145790554415,0.03919513728778034,0.4088514225500527,123,509,0.19462025316455697,0.3170103092783505,0.2654370252876888,1.5402953755487838,486,0.7983539094650206,2.0,949
quorum|per_task|all12|0.5|0.5|3|8|1,quorum,per_task,all12,0.5,0.5,3,8,1,405,663,0.8316221765913757,0.04632152588555858,0.3792134831460674,129,604,0.17598908594815826,0.31851851851851853,0.24461588273460005,1.5502406422133317,486,0.8333333333333334,2.0,1068
quorum|per_task|all12|0.5|0.5|3|8|2,quorum,per_task,all12,0.5,0.5,3,8,2,403,617,0.8275154004106776,0.04310766436107036,0.39509803921568626,129,560,0.18722786647314948,0.3200992555831266,0.253799622313954,1.5567321795575566,486,0.8292181069958847,2.0,1020
quorum|per_task|all12|0.5|0.5|3|-1|1,quorum,per_task,all12,0.5,0.5,3,-1,1,428,684,0.8788501026694046,0.04778872353804234,0.38489208633093525,132,622,0.17506631299734748,0.308411214953271,0.2535038727709591,1.518288782430892,486,0.8806584362139918,2.0,1112
quorum|per_task|all12|0.5|0.5|3|-1|2,quorum,per_task,all12,0.5,0.5,3,-1,2,427,634,0.8767967145790554,0.044295395794033396,0.40245051837888784,131,574,0.18581560283687942,0.30679156908665106,0.26398078090097093,1.524544768014237,486,0.8786008230452675,2.0,1061
quorum|per_task|all12|0.5|0.5|4|0|1,quorum,per_task,all12,0.5,0.5,4,0,1,44,13,0.09034907597535935,0.0009082652134423251,0.7719298245614035,20,11,0.6451612903225806,0.45454545454545453,0.3815058174879174,2.0233762872720837,486,0.09053497942386832,1.0,57
quorum|per_task|all12|0.5|0.5|4|0|2,quorum,per_task,all12,0.5,0.5,4,0,2,44,13,0.09034907597535935,0.0009082652134423251,0.7719298245614035,20,11,0.6451612903225806,0.45454545454545453,0.3815058174879174,2.0233762872720837,486,0.09053497942386832,1.0,57
quorum|per_task|all12|0.5|0.5|4|1|1,quorum,per_task,all12,0.5,0.5,4,1,1,186,95,0.38193018480492813,0.006637322713616991,0.6619217081850534,56,80,0.4117647058823529,0.3010752688172043,0.45031457156814053,1.4699095920436875,486,0.38271604938271603,1.0,281
quorum|per_task|all12|0.5|0.5|4|1|2,quorum,per_task,all12,0.5,0.5,4,1,2,185,95,0.3798767967145791,0.006637322713616991,0.6607142857142857,56,80,0.4117647058823529,0.3027027027027027,0.44851829850932184,1.4731044149373844,486,0.38065843621399176,1.0,280
quorum|per_task|all12|0.5|0.5|4|2|1,quorum,per_task,all12,0.5,0.5,4,2,1,267,141,0.5482546201232033,0.009851184238105219,0.6544117647058824,73,119,0.3802083333333333,0.27340823970037453,0.4650361243097059,1.4072278055329215,486,0.5493827160493827,2.0,408
quorum|per_task|all12|0.5|0.5|4|2|2,quorum,per_task,all12,0.5,0.5,4,2,2,267,141,0.5482546201232033,0.009851184238105219,0.6544117647058824,73,119,0.3802083333333333,0.27340823970037453,0.46512686017759447,1.4069532868001113,486,0.5493827160493827,2.0,408
quorum|per_task|all12|0.5|0.5|4|4|1,quorum,per_task,all12,0.5,0.5,4,4,1,322,185,0.6611909650924025,0.01292531265283309,0.6351084812623274,89,157,0.3617886178861789,0.27639751552795033,0.43585936905292005,1.4571408265063943,486,0.6625514403292181,3.0,507
quorum|per_task|all12|0.5|0.5|4|4|2,quorum,per_task,all12,0.5,0.5,4,4,2,322,185,0.6611909650924025,0.01292531265283309,0.6351084812623274,89,157,0.3617886178861789,0.27639751552795033,0.43585936905292005,1.4571408265063943,486,0.6625514403292181,3.0,507
quorum|per_task|all12|0.5|0.5|4|8|1,quorum,per_task,all12,0.5,0.5,4,8,1,365,226,0.7494866529774127,0.01578984140292042,0.6175972927241963,99,186,0.3473684210526316,0.27123287671232876,0.40888182440148446,1.5104542580933418,486,0.7510288065843621,3.0,591
quorum|per_task|all12|0.5|0.5|4|8|2,quorum,per_task,all12,0.5,0.5,4,8,2,365,225,0.7494866529774127,0.015719974848040243,0.6186440677966102,99,185,0.3485915492957746,0.27123287671232876,0.4094242757407859,1.5110097384364312,486,0.7510288065843621,3.0,590
quorum|per_task|all12|0.5|0.5|4|-1|1,quorum,per_task,all12,0.5,0.5,4,-1,1,386,242,0.7926078028747433,0.016907706281003285,0.6146496815286624,101,195,0.34121621621621623,0.2616580310880829,0.4137991230872852,1.4853817884940528,486,0.7942386831275721,4.0,628
quorum|per_task|all12|0.5|0.5|4|-1|2,quorum,per_task,all12,0.5,0.5,4,-1,2,386,241,0.7926078028747433,0.016837839726123106,0.6156299840510366,101,194,0.3423728813559322,0.2616580310880829,0.41431740632312825,1.4858897421531543,486,0.7942386831275721,4.0,627
quorum|per_task|all12|0.5|0.5|5|0|1,quorum,per_task,all12,0.5,0.5,5,0,1,4,0,0.008213552361396304,0.0,1.0,4,0,1.0,1.0,0.07553883570908333,13.238223631764988,486,0.00823045267489712,1.5,4
quorum|per_task|all12|0.5|0.5|5|0|2,quorum,per_task,all12,0.5,0.5,5,0,2,4,0,0.008213552361396304,0.0,1.0,4,0,1.0,1.0,0.07553883570908333,13.238223631764988,486,0.00823045267489712,1.5,4
quorum|per_task|all12|0.5|0.5|5|1|1,quorum,per_task,all12,0.5,0.5,5,1,1,59,16,0.12114989733059549,0.0011178648780828617,0.7866666666666666,22,11,0.6666666666666666,0.3728813559322034,0.4980404355515617,1.5795236902711762,486,0.12139917695473251,3.0,75
quorum|per_task|all12|0.5|0.5|5|1|2,quorum,per_task,all12,0.5,0.5,5,1,2,59,16,0.12114989733059549,0.0011178648780828617,0.7866666666666666,22,11,0.6666666666666666,0.3728813559322034,0.4980404355515617,1.5795236902711762,486,0.12139917695473251,3.0,75
quorum|per_task|all12|0.5|0.5|5|2|1,quorum,per_task,all12,0.5,0.5,5,2,1,149,32,0.3059548254620123,0.0022357297561657235,0.8232044198895028,41,24,0.6307692307692307,0.2751677852348993,0.5944990028622678,1.384702776499393,486,0.3065843621399177,4.0,181
quorum|per_task|all12|0.5|0.5|5|2|2,quorum,per_task,all12,0.5,0.5,5,2,2,149,32,0.3059548254620123,0.0022357297561657235,0.8232044198895028,41,24,0.6307692307692307,0.2751677852348993,0.5944990028622678,1.384702776499393,486,0.3065843621399177,4.0,181
quorum|per_task|all12|0.5|0.5|5|4|1,quorum,per_task,all12,0.5,0.5,5,4,1,235,53,0.48254620123203285,0.0037029274086494797,0.8159722222222222,55,39,0.5851063829787234,0.23404255319148937,0.6027033207704238,1.3538538682335133,486,0.4835390946502058,4.0,288
quorum|per_task|all12|0.5|0.5|5|4|2,quorum,per_task,all12,0.5,0.5,5,4,2,235,53,0.48254620123203285,0.0037029274086494797,0.8159722222222222,55,39,0.5851063829787234,0.23404255319148937,0.6027033207704238,1.3538538682335133,486,0.4835390946502058,4.0,288
quorum|per_task|all12|0.5|0.5|5|8|1,quorum,per_task,all12,0.5,0.5,5,8,1,306,75,0.6283367556468172,0.005239991616013414,0.8031496062992126,71,50,0.5867768595041323,0.23202614379084968,0.5745340083249415,1.39791482255472,486,0.6296296296296297,5.0,381
quorum|per_task|all12|0.5|0.5|5|8|2,quorum,per_task,all12,0.5,0.5,5,8,2,306,75,0.6283367556468172,0.005239991616013414,0.8031496062992126,71,50,0.5867768595041323,0.23202614379084968,0.5745340083249415,1.39791482255472,486,0.6296296296296297,5.0,381
quorum|per_task|all12|0.5|0.5|5|-1|1,quorum,per_task,all12,0.5,0.5,5,-1,1,349,88,0.7166324435318275,0.00614825682945574,0.7986270022883295,76,57,0.5714285714285714,0.2177650429799427,0.5582101019627154,1.4306924928092262,486,0.7181069958847737,6.0,437
quorum|per_task|all12|0.5|0.5|5|-1|2,quorum,per_task,all12,0.5,0.5,5,-1,2,349,88,0.7166324435318275,0.00614825682945574,0.7986270022883295,76,57,0.5714285714285714,0.2177650429799427,0.5582101019627154,1.4306924928092262,486,0.7181069958847737,6.0,437
quorum|per_task|all12|0.6|0.6|1|0|1,quorum,per_task,all12,0.6,0.6,1,0,1,485,2609,0.9958932238193019,0.18228184168238665,0.15675500969618616,214,2521,0.07824497257769653,0.44123711340206184,0.10560130431285975,1.4844041057653594,485,1.0,0.0,3094
quorum|per_task|all12|0.6|0.6|2|0|1,quorum,per_task,all12,0.6,0.6,2,0,1,358,939,0.7351129363449692,0.06560469503248795,0.27602158828064766,112,885,0.1123370110330993,0.3128491620111732,0.1931710315235601,1.4288974185396048,485,0.7381443298969073,0.0,1297
quorum|per_task|all12|0.6|0.6|2|0|2,quorum,per_task,all12,0.6,0.6,2,0,2,306,203,0.6283367556468172,0.014182910640676309,0.6011787819253438,78,179,0.3035019455252918,0.2549019607843137,0.39598995599780784,1.5181667434228354,485,0.6309278350515464,1.0,509
