scope,suite,failure,first_alarm_query,appearances
unseen,libero_object,False,11,9
unseen,libero_object,False,12,12
unseen,libero_object,False,13,10
unseen,libero_object,False,14,39
unseen,libero_object,False,15,3
unseen,libero_object,False,16,4
unseen,libero_object,False,17,1
unseen,libero_object,False,26,1
unseen,libero_object,True,-1,2
unseen,libero_object,True,10,1
unseen,libero_object,True,12,3
unseen,libero_object,True,13,4
unseen,libero_object,True,14,4
unseen,libero_object,True,15,4
unseen,libero_object,True,16,3
unseen,libero_object,True,17,1
unseen,libero_object,True,18,3
unseen,libero_object,True,19,1
unseen,libero_object,True,20,3
unseen,libero_object,True,21,2
unseen,libero_object,True,22,1
unseen,libero_object,True,24,1
unseen,libero_object,True,25,1
unseen,libero_spatial,False,-1,3325
unseen,libero_spatial,False,8,7
unseen,libero_spatial,False,9,22
unseen,libero_spatial,False,10,54
unseen,libero_spatial,False,11,34
unseen,libero_spatial,False,12,10
unseen,libero_spatial,False,13,19
unseen,libero_spatial,False,15,1
unseen,libero_spatial,True,8,2
unseen,libero_spatial,True,9,3
unseen,libero_spatial,True,10,13
unseen,libero_spatial,True,11,29
unseen,libero_spatial,True,12,21
unseen,libero_spatial,True,13,28
unseen,libero_spatial,True,14,15
unseen,libero_spatial,True,15,7
unseen,libero_spatial,True,16,3
unseen,libero_spatial,True,17,7
