cohort,method,query_cutoff,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
all,euclidean_AND_cosine_latched,13,32000,1096,30904,1,0,1095,30904,0.0009124087591240876,0.0,1.0,1,13.0,
all,euclidean_AND_cosine_latched,20,32000,1096,30904,7,2,1089,30902,0.006386861313868613,6.471654154801968e-05,0.7777777777777778,6,16.0,19.5
all,euclidean_AND_cosine_latched,51,32000,1096,30904,12,5,1084,30899,0.010948905109489052,0.00016179135387004917,0.7058823529411765,11,19.5,21.0
all,cosine_neighbors_euclidean_score,7,32000,1096,30904,213,2473,883,28431,0.19434306569343066,0.08002200362412633,0.07930007446016381,213,7.0,7.0
all,cosine_neighbors_euclidean_score,10,32000,1096,30904,316,3528,780,27376,0.28832116788321166,0.1141599792907067,0.08220603537981269,316,7.0,7.0
all,cosine_neighbors_euclidean_score,13,32000,1096,30904,494,5515,602,25389,0.45072992700729925,0.17845586331866425,0.08221001830587452,494,9.0,8.0
all,cosine_neighbors_euclidean_score,20,32000,1096,30904,757,6840,339,24064,0.6906934306569343,0.2213305720942273,0.09964459655127024,726,12.0,10.0
all,cosine_neighbors_euclidean_score,51,32000,1096,30904,1069,7266,27,23638,0.9753649635036497,0.23511519544395548,0.12825434913017397,1022,14.0,11.0
all,euclidean_neighbors_cosine_score,7,32000,1096,30904,53,1324,1043,29580,0.048357664233576646,0.042842350504789024,0.03848946986201888,53,7.0,7.0
all,euclidean_neighbors_cosine_score,10,32000,1096,30904,72,1804,1024,29100,0.06569343065693431,0.058374320476313746,0.03837953091684435,72,7.0,7.0
all,euclidean_neighbors_cosine_score,13,32000,1096,30904,87,2168,1009,28736,0.07937956204379562,0.07015273103805332,0.038580931263858094,87,7.0,7.0
all,euclidean_neighbors_cosine_score,20,32000,1096,30904,123,2734,973,28170,0.11222627737226278,0.0884675122961429,0.04305215260763038,123,9.0,8.0
all,euclidean_neighbors_cosine_score,51,32000,1096,30904,172,2959,924,27945,0.15693430656934307,0.0957481232202951,0.05493452571063558,169,13.0,8.0
A,euclidean,7,16000,532,15468,3,0,529,15468,0.005639097744360902,0.0,1.0,3,7.0,
A,euclidean,10,16000,532,15468,23,13,509,15455,0.043233082706766915,0.0008404447892423067,0.6388888888888888,23,9.0,10.0
A,euclidean,13,16000,532,15468,76,52,456,15416,0.14285714285714285,0.0033617791569692267,0.59375,76,12.0,11.0
A,euclidean,20,16000,532,15468,238,129,294,15339,0.4473684210526316,0.008339798293250583,0.6485013623978202,208,15.0,14.0
A,euclidean,51,16000,532,15468,493,211,39,15257,0.9266917293233082,0.013641065425394363,0.7002840909090909,434,22.0,18.0
A,cosine,7,16000,532,15468,1,37,531,15431,0.0018796992481203006,0.0023920351693819497,0.02631578947368421,1,7.0,7.0
A,cosine,10,16000,532,15468,3,55,529,15413,0.005639097744360902,0.0035557279544866822,0.05172413793103448,3,8.0,7.0
A,cosine,13,16000,532,15468,4,67,528,15401,0.007518796992481203,0.004331523144556503,0.056338028169014086,4,8.0,7.0
A,cosine,20,16000,532,15468,6,101,526,15367,0.011278195488721804,0.006529609516420998,0.056074766355140186,6,9.5,8.0
A,cosine,51,16000,532,15468,6,120,526,15348,0.011278195488721804,0.007757951900698216,0.047619047619047616,6,9.5,12.0
A,euclidean_OR_cosine,7,16000,532,15468,4,37,528,15431,0.007518796992481203,0.0023920351693819497,0.0975609756097561,4,7.0,7.0
A,euclidean_OR_cosine,10,16000,532,15468,26,68,506,15400,0.04887218045112782,0.004396172743728989,0.2765957446808511,26,9.0,7.0
A,euclidean_OR_cosine,13,16000,532,15468,80,119,452,15349,0.15037593984962405,0.0076933023015257306,0.4020100502512563,80,12.0,10.0
A,euclidean_OR_cosine,20,16000,532,15468,239,229,293,15239,0.4492481203007519,0.014804758210499095,0.5106837606837606,209,15.0,13.0
A,euclidean_OR_cosine,51,16000,532,15468,493,329,39,15139,0.9266917293233082,0.021269718127747608,0.5997566909975669,434,21.0,17.0
A,euclidean_AND_cosine_latched,7,16000,532,15468,0,0,532,15468,0.0,0.0,,0,,
A,euclidean_AND_cosine_latched,10,16000,532,15468,0,0,532,15468,0.0,0.0,,0,,
A,euclidean_AND_cosine_latched,13,16000,532,15468,0,0,532,15468,0.0,0.0,,0,,
A,euclidean_AND_cosine_latched,20,16000,532,15468,5,1,527,15467,0.009398496240601503,6.464959917248513e-05,0.8333333333333334,5,16.0,20.0
A,euclidean_AND_cosine_latched,51,16000,532,15468,6,2,526,15466,0.011278195488721804,0.00012929919834497026,0.75,6,16.0,20.5
A,cosine_neighbors_euclidean_score,7,16000,532,15468,110,1237,422,14231,0.20676691729323307,0.0799715541763641,0.08166295471417966,110,7.0,7.0
A,cosine_neighbors_euclidean_score,10,16000,532,15468,162,1768,370,13700,0.30451127819548873,0.1143004913369537,0.08393782383419689,162,7.0,7.0
A,cosine_neighbors_euclidean_score,13,16000,532,15468,243,2746,289,12722,0.4567669172932331,0.17752779932764418,0.08129809300769487,243,9.0,8.0
A,cosine_neighbors_euclidean_score,20,16000,532,15468,370,3404,162,12064,0.6954887218045113,0.2200672355831394,0.09803921568627451,358,12.0,10.0
A,cosine_neighbors_euclidean_score,51,16000,532,15468,523,3620,9,11848,0.9830827067669173,0.23403154900439618,0.12623702630943762,505,14.0,11.0
A,euclidean_neighbors_cosine_score,7,16000,532,15468,31,657,501,14811,0.05827067669172932,0.04247478665632273,0.04505813953488372,31,7.0,7.0
A,euclidean_neighbors_cosine_score,10,16000,532,15468,39,903,493,14565,0.07330827067669173,0.058378588052754074,0.041401273885350316,39,7.0,7.0
A,euclidean_neighbors_cosine_score,13,16000,532,15468,44,1078,488,14390,0.08270676691729323,0.06969226790793898,0.0392156862745098,44,7.0,7.0
A,euclidean_neighbors_cosine_score,20,16000,532,15468,59,1347,473,14121,0.11090225563909774,0.08708301008533748,0.041963015647226175,59,7.0,8.0
A,euclidean_neighbors_cosine_score,51,16000,532,15468,80,1463,452,14005,0.15037593984962405,0.09458236358934574,0.05184705119896306,79,11.0,8.0
B,euclidean,7,16000,564,15436,2,1,562,15435,0.0035460992907801418,6.47836227001814e-05,0.6666666666666666,2,7.0,7.0
B,euclidean,10,16000,564,15436,16,11,548,15425,0.028368794326241134,0.0007126198497019953,0.5925925925925926,16,9.0,10.0
B,euclidean,13,16000,564,15436,75,58,489,15378,0.13297872340425532,0.003757450116610521,0.5639097744360902,75,11.0,12.0
B,euclidean,20,16000,564,15436,245,143,319,15293,0.43439716312056736,0.009264058046125939,0.6314432989690721,206,15.0,14.0
B,euclidean,51,16000,564,15436,517,215,47,15221,0.9166666666666666,0.013928478880539,0.7062841530054644,452,22.0,18.0
B,cosine,7,16000,564,15436,1,56,563,15380,0.0017730496453900709,0.003627882871210158,0.017543859649122806,1,7.0,7.0
B,cosine,10,16000,564,15436,3,71,561,15365,0.005319148936170213,0.004599637211712879,0.04054054054054054,3,10.0,7.0
B,cosine,13,16000,564,15436,3,96,561,15340,0.005319148936170213,0.006219227779217414,0.030303030303030304,3,10.0,7.0
B,cosine,20,16000,564,15436,6,139,558,15297,0.010638297872340425,0.009004923555325214,0.041379310344827586,6,13.5,10.0
B,cosine,51,16000,564,15436,7,153,557,15283,0.012411347517730497,0.009911894273127754,0.04375,7,17.0,11.0
B,euclidean_OR_cosine,7,16000,564,15436,3,57,561,15379,0.005319148936170213,0.0036926664939103395,0.05,3,7.0,7.0
B,euclidean_OR_cosine,10,16000,564,15436,19,82,545,15354,0.03368794326241135,0.005312257061414874,0.18811881188118812,19,9.0,7.0
B,euclidean_OR_cosine,13,16000,564,15436,77,154,487,15282,0.13652482269503546,0.009976677895827934,0.3333333333333333,77,11.0,10.0
B,euclidean_OR_cosine,20,16000,564,15436,249,281,315,15155,0.44148936170212766,0.01820419797875097,0.469811320754717,211,15.0,13.0
B,euclidean_OR_cosine,51,16000,564,15436,518,365,46,15071,0.9184397163120568,0.02364602228556621,0.5866364665911665,454,22.0,15.0
B,euclidean_AND_cosine_latched,7,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
B,euclidean_AND_cosine_latched,10,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
B,euclidean_AND_cosine_latched,13,16000,564,15436,1,0,563,15436,0.0017730496453900709,0.0,1.0,1,13.0,
B,euclidean_AND_cosine_latched,20,16000,564,15436,2,1,562,15435,0.0035460992907801418,6.47836227001814e-05,0.6666666666666666,1,16.0,19.0
B,euclidean_AND_cosine_latched,51,16000,564,15436,6,3,558,15433,0.010638297872340425,0.00019435086810054417,0.6666666666666666,5,23.0,25.0
B,cosine_neighbors_euclidean_score,7,16000,564,15436,103,1236,461,14200,0.18262411347517732,0.0800725576574242,0.07692307692307693,103,7.0,7.0
B,cosine_neighbors_euclidean_score,10,16000,564,15436,154,1760,410,13676,0.2730496453900709,0.11401917595231925,0.08045977011494253,154,7.0,7.0
B,cosine_neighbors_euclidean_score,13,16000,564,15436,251,2769,313,12667,0.4450354609929078,0.1793858512568023,0.08311258278145696,251,9.0,8.0
B,cosine_neighbors_euclidean_score,20,16000,564,15436,387,3436,177,12000,0.6861702127659575,0.22259652759782328,0.10122940099398378,368,12.0,10.0
B,cosine_neighbors_euclidean_score,51,16000,564,15436,546,3646,18,11790,0.9680851063829787,0.23620108836486137,0.13024809160305342,517,14.0,11.0
B,euclidean_neighbors_cosine_score,7,16000,564,15436,22,667,542,14769,0.03900709219858156,0.04321067634102099,0.03193033381712627,22,7.0,7.0
B,euclidean_neighbors_cosine_score,10,16000,564,15436,33,901,531,14535,0.05851063829787234,0.05837004405286344,0.035331905781584586,33,7.0,7.0
B,euclidean_neighbors_cosine_score,13,16000,564,15436,43,1090,521,14346,0.07624113475177305,0.07061414874319771,0.03795233892321271,43,7.0,7.0
B,euclidean_neighbors_cosine_score,20,16000,564,15436,64,1387,500,14049,0.11347517730496454,0.0898548846851516,0.04410751206064783,64,10.0,8.0
B,euclidean_neighbors_cosine_score,51,16000,564,15436,92,1496,472,13940,0.16312056737588654,0.09691629955947137,0.05793450881612091,90,14.0,8.0
