representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,quantity
L2,high,0.5,global,247,3461,0.5071868583162218,0.24180814644029902,0.06661272923408845,132,3436,0.03699551569506727,0.5344129554655871,0.07378363592397764,0.9028116925915974,running_coupling
L2,high,0.6,per_task,236,2006,0.48459958932238195,0.1401523090896388,0.10526315789473684,104,1975,0.050024050024050026,0.4406779661016949,0.10235081399117445,1.0284545260559776,running_coupling
L2,high,0.6,global,196,2559,0.4024640657084189,0.1787885139383777,0.07114337568058077,99,2551,0.03735849056603774,0.5051020408163265,0.07710454220135243,0.922687219837133,running_coupling
L2,high,0.7,per_task,186,1407,0.38193018480492813,0.09830224271641165,0.1167608286252354,77,1387,0.05259562841530055,0.41397849462365593,0.10827370990495348,1.0783857755288169,running_coupling
L2,high,0.7,global,137,1730,0.2813141683778234,0.12086913994270942,0.07337975361542581,71,1723,0.039576365663322184,0.5182481751824818,0.07681585796672061,0.9552682943047588,running_coupling
L2,high,0.75,per_task,158,1098,0.324435318275154,0.07671347725843639,0.12579617834394904,65,1079,0.056818181818181816,0.41139240506329117,0.11512664124166774,1.092676525495818,running_coupling
L2,high,0.75,global,114,1394,0.23408624229979466,0.09739397750296933,0.07559681697612732,60,1388,0.04143646408839779,0.5263157894736842,0.07699541584739462,0.98183529686963,running_coupling
L2,high,0.8,per_task,127,844,0.26078028747433263,0.058967372318870954,0.13079299691040164,56,829,0.06327683615819209,0.4409448818897638,0.11257499393974102,1.1618299262837386,running_coupling
L2,high,0.8,global,92,1074,0.188911704312115,0.07503667994131209,0.07890222984562607,46,1069,0.04125560538116592,0.5,0.07822239275334983,1.008691080243734,running_coupling
L2,high,0.85,per_task,94,584,0.19301848049281314,0.040802068050024454,0.13864306784660768,43,574,0.06969205834683954,0.4574468085106383,0.11948350097801841,1.1603532430148167,running_coupling
L2,high,0.85,global,67,724,0.1375770020533881,0.05058338573324949,0.08470290771175727,35,721,0.046296296296296294,0.5223880597014925,0.08113271311440234,1.0440043782625723,running_coupling
L2,high,0.9,per_task,63,356,0.1293634496919918,0.024872493537343672,0.15035799522673032,30,350,0.07894736842105263,0.47619047619047616,0.11851969972844908,1.2686329409476125,running_coupling
L2,high,0.9,global,37,434,0.07597535934291581,0.030322084817997624,0.07855626326963906,19,431,0.042222222222222223,0.5135135135135135,0.08247191707791637,0.9525213679151178,running_coupling
L2,high,0.925,per_task,52,264,0.10677618069815195,0.018444770488367217,0.16455696202531644,24,261,0.08421052631578947,0.46153846153846156,0.12312670286716244,1.3364847607659227,running_coupling
L2,high,0.925,global,29,282,0.059548254620123205,0.019702368476210437,0.0932475884244373,16,281,0.05387205387205387,0.5517241379310345,0.0873529567173188,1.067480620331994,running_coupling
L2,high,0.95,per_task,43,178,0.08829568788501027,0.012436246768671836,0.19457013574660634,18,177,0.09230769230769231,0.4186046511627907,0.13087101527097467,1.486732072367129,running_coupling
L2,high,0.95,global,13,167,0.026694045174537988,0.01166771466498987,0.07222222222222222,8,166,0.04597701149425287,0.6153846153846154,0.07577590622117909,0.9531027185793836,running_coupling
L2,high,0.96,per_task,37,140,0.07597535934291581,0.00978131768322504,0.20903954802259886,13,138,0.08609271523178808,0.35135135135135137,0.14870519129667858,1.405731341319137,running_coupling
L2,high,0.96,global,10,120,0.02053388090349076,0.008383986585621462,0.07692307692307693,8,120,0.0625,0.8,0.060767635256128584,1.2658560202129805,running_coupling
L2,high,0.975,per_task,29,78,0.059548254620123205,0.005449591280653951,0.27102803738317754,9,75,0.10714285714285714,0.3103448275862069,0.21154451986904954,1.2811867570521305,running_coupling
L2,high,0.975,global,3,55,0.006160164271047228,0.003842660518409837,0.05172413793103448,3,55,0.05172413793103448,1.0,0.038908833470256664,1.3293674807951852,running_coupling
L2,high,0.98,per_task,21,61,0.043121149897330596,0.00426185984769091,0.25609756097560976,8,58,0.12121212121212122,0.38095238095238093,0.19118493376217296,1.3395279425845643,running_coupling
L2,high,0.98,global,3,42,0.006160164271047228,0.002934395304967512,0.06666666666666667,3,42,0.06666666666666667,1.0,0.03839558794495113,1.7363106084545077,running_coupling
L2,high,0.99,per_task,14,21,0.028747433264887063,0.001467197652483756,0.4,7,20,0.25925925925925924,0.5,0.2178847537519513,1.8358329030005285,running_coupling
L2,high,0.99,global,3,14,0.006160164271047228,0.000978131768322504,0.17647058823529413,3,14,0.17647058823529413,1.0,0.043810790118982604,4.02801656295242,running_coupling
L2,high,0.995,per_task,12,13,0.024640657084188913,0.0009082652134423251,0.48,5,13,0.2777777777777778,0.4166666666666667,0.2977049095444017,1.612334847734211,running_coupling
L2,high,0.995,global,2,4,0.004106776180698152,0.00027946621952071543,0.3333333333333333,2,4,0.3333333333333333,1.0,0.05032067094227923,6.624183006535947,running_coupling
L3,low,0.5,per_task,175,2317,0.3593429158110883,0.16188080765737442,0.0702247191011236,141,2308,0.057574520212331566,0.8057142857142857,0.050608561356814366,1.3876055200622286,running_coupling
L3,low,0.5,global,85,2293,0.17453798767967146,0.1602040103402501,0.03574432296047098,76,2286,0.03217612193056731,0.8941176470588236,0.04151717180036222,0.8609527434178242,running_coupling
L3,low,0.6,per_task,141,1499,0.28952772073921973,0.10472996576538811,0.08597560975609755,110,1494,0.0685785536159601,0.7801418439716312,0.05308979994069989,1.6194374409421464,running_coupling
L3,low,0.6,global,52,1496,0.10677618069815195,0.10452036610074757,0.03359173126614987,51,1493,0.033031088082901554,0.9807692307692307,0.037920663295536325,0.8858423969103933,running_coupling
L3,low,0.7,per_task,99,826,0.2032854209445585,0.05770977433102774,0.10702702702702703,80,823,0.08859357696567,0.8080808080808081,0.061115901743210285,1.751214069894948,running_coupling
L3,low,0.7,global,33,907,0.06776180698151951,0.06336896527632223,0.035106382978723406,33,906,0.03514376996805112,1.0,0.038188988492824816,0.9192802523512612,running_coupling
L3,low,0.75,per_task,74,531,0.15195071868583163,0.03709914064137498,0.12231404958677686,62,528,0.10508474576271186,0.8378378378378378,0.06749763206535049,1.8121235641030147,running_coupling
L3,low,0.75,global,27,650,0.055441478439425054,0.045413260672116255,0.03988183161004431,27,650,0.03988183161004431,1.0,0.04007248255681312,0.9952423475012182,running_coupling
L3,low,0.8,per_task,58,367,0.11909650924024641,0.02564102564102564,0.13647058823529412,51,367,0.12200956937799043,0.8793103448275862,0.06662604511191697,2.0483069046955107,running_coupling
L3,low,0.8,global,17,435,0.03490759753593429,0.030391951372877802,0.03761061946902655,17,435,0.03761061946902655,1.0,0.04001438061936579,0.9399275682109175,running_coupling
L3,low,0.85,per_task,44,244,0.09034907597535935,0.01704743939076364,0.1527777777777778,40,241,0.1423487544483986,0.9090909090909091,0.06874005680424575,2.2225436649383368,running_coupling
L3,low,0.85,global,10,238,0.02053388090349076,0.016628240061482568,0.04032258064516129,10,238,0.04032258064516129,1.0,0.0436099924647795,0.9246179227782897,running_coupling
L3,low,0.9,per_task,33,112,0.06776180698151951,0.007825054146580033,0.22758620689655173,31,112,0.21678321678321677,0.9393939393939394,0.07361966449026264,3.09137794191732,running_coupling
L3,low,0.9,global,2,90,0.004106776180698152,0.006287989939216097,0.021739130434782608,2,90,0.021739130434782608,1.0,0.04976946466663375,0.43679654945850505,running_coupling
L3,low,0.925,per_task,15,63,0.030800821355236138,0.004401592957451268,0.19230769230769232,15,63,0.19230769230769232,1.0,0.06095761913580233,3.1547769587139918,running_coupling
L3,low,0.925,global,0,45,0.0,0.0031439949696080486,0.0,0,45,0.0,0.0,0.05625722661210483,0.0,running_coupling
L3,low,0.95,per_task,11,35,0.022587268993839837,0.00244532942080626,0.2391304347826087,11,35,0.2391304347826087,1.0,0.0622136524945688,3.8436970856756014,running_coupling
L3,low,0.95,global,0,17,0.0,0.0011877314329630407,0.0,0,17,0.0,0.0,0.06153535775434988,0.0,running_coupling
L3,low,0.96,per_task,7,30,0.014373716632443531,0.0020959966464053656,0.1891891891891892,7,30,0.1891891891891892,1.0,0.06305713592926919,3.000281988725298,running_coupling
L3,low,0.96,global,0,11,0.0,0.0007685321036819675,0.0,0,11,0.0,0.0,0.06085341397625561,0.0,running_coupling
L3,low,0.975,per_task,4,17,0.008213552361396304,0.0011877314329630407,0.19047619047619047,4,17,0.19047619047619047,1.0,0.06803275428314544,2.799771852297025,running_coupling
L3,low,0.975,global,0,2,0.0,0.00013973310976035772,0.0,0,2,0.0,0.0,0.05032067094227923,0.0,running_coupling
L3,low,0.98,per_task,2,9,0.004106776180698152,0.0006287989939216097,0.18181818181818182,2,9,0.18181818181818182,1.0,0.06012472965166318,3.024016621306377,running_coupling
L3,low,0.98,global,0,2,0.0,0.00013973310976035772,0.0,0,2,0.0,0.0,0.05032067094227923,0.0,running_coupling
L3,low,0.99,per_task,0,5,0.0,0.0003493327744008943,0.0,0,5,0.0,0.0,0.049716733048610774,0.0,running_coupling
L3,low,0.99,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,,running_coupling
L3,low,0.995,per_task,0,2,0.0,0.00013973310976035772,0.0,0,2,0.0,0.0,0.0423244877393349,0.0,running_coupling
L3,low,0.995,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,,running_coupling
L3,high,0.5,per_task,201,2738,0.4127310061601643,0.19129462726192972,0.06839060905069752,146,2721,0.050924311126613185,0.7263681592039801,0.06912690742663982,0.9893485995055733,running_coupling
L3,high,0.5,global,297,3917,0.6098562628336756,0.2736672954656606,0.07047935453251068,212,3891,0.05166951011455033,0.7138047138047138,0.07421555292257001,0.9496574741690956,running_coupling
L3,high,0.6,per_task,160,2063,0.32854209445585214,0.14413470271780898,0.07197480881691408,114,2050,0.05268022181146026,0.7125,0.07075432359304364,1.0172496204032744,running_coupling
L3,high,0.6,global,200,2849,0.4106776180698152,0.19904981485362958,0.06559527714004591,143,2834,0.048034934497816595,0.715,0.07328208341715117,0.8951066083458782,running_coupling
L3,high,0.7,per_task,136,1404,0.2792607802874743,0.09809264305177112,0.08831168831168831,83,1397,0.056081081081081084,0.6102941176470589,0.07957198900682463,1.1098338675952175,running_coupling
L3,high,0.7,global,127,1905,0.26078028747433263,0.13309578704674072,0.0625,91,1903,0.04563691073219659,0.7165354330708661,0.07093591767129212,0.8810769219849517,running_coupling
L3,high,0.75,per_task,118,1117,0.24229979466119098,0.07804094180115978,0.09554655870445344,66,1113,0.05597964376590331,0.559322033898305,0.08580184022986917,1.1135723715071553,running_coupling
L3,high,0.75,global,100,1490,0.2053388090349076,0.1041011667714665,0.06289308176100629,73,1480,0.04700579523502898,0.73,0.07192641152532335,0.8744087245178822,running_coupling
L3,high,0.8,per_task,97,862,0.19917864476386038,0.06022497030671418,0.10114702815432743,49,853,0.05432372505543237,0.5051546391752577,0.09705517283053473,1.0421600951753223,running_coupling
L3,high,0.8,global,74,1067,0.15195071868583163,0.07454761405715084,0.06485539000876424,51,1063,0.04578096947935368,0.6891891891891891,0.07250998108370389,0.894433966737581,running_coupling
L3,high,0.85,per_task,67,584,0.1375770020533881,0.040802068050024454,0.10291858678955453,33,582,0.05365853658536585,0.4925373134328358,0.09275039278603642,1.1096296597576127,running_coupling
L3,high,0.85,global,50,722,0.1026694045174538,0.050443652623489134,0.06476683937823834,33,718,0.043941411451398134,0.66,0.0726255294117118,0.8917916317150296,running_coupling
L3,high,0.9,per_task,44,351,0.09034907597535935,0.02452316076294278,0.11139240506329114,20,350,0.05405405405405406,0.45454545454545453,0.10166740386769423,1.0956550558549978,running_coupling
L3,high,0.9,global,34,412,0.06981519507186858,0.02878502061063369,0.07623318385650224,24,410,0.055299539170506916,0.7058823529411765,0.07430867134637507,1.0258988954486405,running_coupling
L3,high,0.925,per_task,34,258,0.06981519507186858,0.018025571159086144,0.11643835616438356,15,258,0.054945054945054944,0.4411764705882353,0.10196400353823663,1.1419555149256082,running_coupling
L3,high,0.925,global,19,281,0.039014373716632446,0.01963250192133026,0.06333333333333334,13,280,0.04436860068259386,0.6842105263157895,0.06804297511586752,0.9307843054405789,running_coupling
L3,high,0.95,per_task,24,172,0.049281314168377825,0.012017047439390763,0.12244897959183673,11,172,0.060109289617486336,0.4583333333333333,0.10023065476516498,1.2216719513478995,running_coupling
L3,high,0.95,global,11,167,0.022587268993839837,0.01166771466498987,0.06179775280898876,9,166,0.05142857142857143,0.8181818181818182,0.06381977932862899,0.9683166168715791,running_coupling
L3,high,0.96,per_task,20,132,0.04106776180698152,0.009222385244183609,0.13157894736842105,9,132,0.06382978723404255,0.45,0.1122788161869913,1.1718946800194876,running_coupling
L3,high,0.96,global,6,122,0.012320328542094456,0.00852371969538182,0.046875,4,122,0.031746031746031744,0.6666666666666666,0.06452435815479893,0.7264698377555845,running_coupling
L3,high,0.975,per_task,12,76,0.024640657084188913,0.005309858170893593,0.13636363636363635,5,75,0.0625,0.4166666666666667,0.11792540763676143,1.1563550137021286,running_coupling
L3,high,0.975,global,1,45,0.002053388090349076,0.0031439949696080486,0.021739130434782608,1,45,0.021739130434782608,1.0,0.04662619423050986,0.46624286613033505,running_coupling
L3,high,0.98,per_task,10,62,0.02053388090349076,0.0043317264025710895,0.1388888888888889,3,62,0.046153846153846156,0.3,0.13112582708957865,1.0592031483927793,running_coupling
L3,high,0.98,global,0,27,0.0,0.0018863969817648292,0.0,0,27,0.0,0.0,0.0473381552922227,0.0,running_coupling
L3,high,0.99,per_task,3,24,0.006160164271047228,0.0016767973171242926,0.1111111111111111,0,24,0.0,0.0,0.1265712229444981,0.8778544484778636,running_coupling
L3,high,0.99,global,0,8,0.0,0.0005589324390414309,0.0,0,8,0.0,0.0,0.047430483408512886,0.0,running_coupling
L3,high,0.995,per_task,3,12,0.006160164271047228,0.0008383986585621463,0.2,0,12,0.0,0.0,0.20738735607759917,0.9643789466372531,running_coupling
L3,high,0.995,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,,running_coupling
L4,low,0.5,per_task,137,1854,0.2813141683778234,0.12953259274785162,0.06880964339527876,121,1849,0.06142131979695432,0.8832116788321168,0.04919813816738773,1.3986229145738491,running_coupling
L4,low,0.5,global,126,1940,0.2587268993839836,0.135541116467547,0.06098741529525654,112,1925,0.054982817869415807,0.8888888888888888,0.04950146285088018,1.2320325861677464,running_coupling
L4,low,0.6,per_task,99,1095,0.2032854209445585,0.07650387759379584,0.0829145728643216,86,1093,0.0729431721798134,0.8686868686868687,0.052110193314147624,1.591139229986521,running_coupling
L4,low,0.6,global,89,1242,0.18275154004106775,0.08677426116118214,0.06686701728024042,76,1241,0.05770690964312832,0.8539325842696629,0.046333222172601135,1.4431764972258245,running_coupling
L4,low,0.7,per_task,56,609,0.11498973305954825,0.042548731922028925,0.08421052631578947,47,607,0.07186544342507645,0.8392857142857143,0.05485994876660408,1.5350092045119175,running_coupling
L4,low,0.7,global,55,779,0.11293634496919917,0.05442604625165933,0.06594724220623502,52,777,0.06272617611580217,0.9454545454545454,0.04104748432581901,1.6066086214388045,running_coupling
L4,low,0.75,per_task,45,436,0.09240246406570841,0.030461817927757984,0.09355509355509356,39,436,0.08210526315789474,0.8666666666666667,0.05307337861824934,1.7627499132479298,running_coupling
L4,low,0.75,global,44,540,0.09034907597535935,0.03772793963529658,0.07534246575342465,42,540,0.07216494845360824,0.9545454545454546,0.04035135027819023,1.8671609558044209,running_coupling
L4,low,0.8,per_task,34,294,0.06981519507186858,0.020540767134772583,0.10365853658536585,30,294,0.09259259259259259,0.8823529411764706,0.05269026778815419,1.9673184619621602,running_coupling
L4,low,0.8,global,37,376,0.07597535934291581,0.02626982463494725,0.08958837772397095,36,376,0.08737864077669903,0.972972972972973,0.03796610727294798,2.3596935308615485,running_coupling
L4,low,0.85,per_task,21,173,0.043121149897330596,0.012086913994270943,0.10824742268041238,20,173,0.10362694300518134,0.9523809523809523,0.04811345677690541,2.2498367386558566,running_coupling
L4,low,0.85,global,27,256,0.055441478439425054,0.017885838049325788,0.09540636042402827,26,256,0.09219858156028368,0.9629629629629629,0.03758655583988222,2.53831079470162,running_coupling
L4,low,0.9,per_task,12,94,0.024640657084188913,0.006567456158736813,0.11320754716981132,11,94,0.10476190476190476,0.9166666666666666,0.059208759955666476,1.912006724251231,running_coupling
L4,low,0.9,global,19,150,0.039014373716632446,0.010479983232026828,0.11242603550295859,19,150,0.11242603550295859,1.0,0.036354133698765036,3.092524124891408,running_coupling
L4,low,0.925,per_task,10,58,0.02053388090349076,0.004052260183050374,0.14705882352941177,9,58,0.13432835820895522,0.9,0.07027238708110145,2.0926971409081494,running_coupling
L4,low,0.925,global,15,107,0.030800821355236138,0.007475721372179138,0.12295081967213115,15,107,0.12295081967213115,1.0,0.039589817873185704,3.105617208595599,running_coupling
L4,low,0.95,per_task,6,27,0.012320328542094456,0.0018863969817648292,0.18181818181818182,6,27,0.18181818181818182,1.0,0.060529995638749036,3.0037699474372443,running_coupling
L4,low,0.95,global,10,60,0.02053388090349076,0.004191993292810731,0.14285714285714285,10,60,0.14285714285714285,1.0,0.04351537021471741,3.2829122710491587,running_coupling
L4,low,0.96,per_task,4,13,0.008213552361396304,0.0009082652134423251,0.23529411764705882,4,13,0.23529411764705882,1.0,0.07295975145343062,3.224985186486612,running_coupling
L4,low,0.96,global,8,42,0.01642710472279261,0.002934395304967512,0.16,8,42,0.16,1.0,0.04357975139806933,3.671429846823044,running_coupling
L4,low,0.975,per_task,1,4,0.002053388090349076,0.00027946621952071543,0.2,1,4,0.2,1.0,0.0667659149536432,2.9955404661025566,running_coupling
L4,low,0.975,global,7,21,0.014373716632443531,0.001467197652483756,0.25,7,21,0.25,1.0,0.0429629430192578,5.818968218446755,running_coupling
L4,low,0.98,per_task,1,2,0.002053388090349076,0.00013973310976035772,0.3333333333333333,1,2,0.3333333333333333,1.0,0.06588216490039372,5.059538250409577,running_coupling
L4,low,0.98,global,5,12,0.01026694045174538,0.0008383986585621463,0.29411764705882354,5,12,0.29411764705882354,1.0,0.04285027444044787,6.863845118835355,running_coupling
L4,low,0.99,per_task,1,1,0.002053388090349076,6.986655488017886e-05,0.5,1,1,0.5,1.0,0.06167830925882074,8.106577596053251,running_coupling
L4,low,0.99,global,2,1,0.004106776180698152,6.986655488017886e-05,0.6666666666666666,2,1,0.6666666666666666,1.0,0.0423244877393349,15.751322751322752,running_coupling
L4,low,0.995,per_task,1,0,0.002053388090349076,0.0,1.0,1,0,1.0,1.0,0.08433734939759036,11.857142857142858,running_coupling
L4,low,0.995,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,,running_coupling
L4,high,0.5,per_task,239,2822,0.49075975359342916,0.19716341787186473,0.07807905913100294,145,2798,0.04926945293917771,0.606694560669456,0.07488922204482999,1.0425940742749797,running_coupling
L4,high,0.5,global,207,3870,0.42505133470225875,0.27038356738629216,0.05077262693156733,134,3836,0.033753148614609575,0.6473429951690821,0.06329289658201981,0.8021852320468894,running_coupling
L4,high,0.6,per_task,181,2056,0.37166324435318276,0.14364563683364773,0.0809119356280733,100,2048,0.04655493482309125,0.5524861878453039,0.07919114671624372,1.0217295617399693,running_coupling
L4,high,0.6,global,135,2892,0.27720739219712526,0.20205407671347725,0.044598612487611496,79,2872,0.02677058624195188,0.5851851851851851,0.06255491048892188,0.712951423621806,running_coupling
L4,high,0.7,per_task,136,1387,0.2792607802874743,0.09690491161880807,0.08929743926460933,79,1381,0.05410958904109589,0.5808823529411765,0.08202520537711303,1.0886585270230293,running_coupling
L4,high,0.7,global,75,1954,0.1540041067761807,0.1365192482358695,0.03696402168555939,40,1949,0.020110608345902465,0.5333333333333333,0.05895633506266225,0.6269728545078634,running_coupling
L4,high,0.75,per_task,114,1074,0.23408624229979466,0.07503667994131209,0.09595959595959595,62,1073,0.05462555066079295,0.543859649122807,0.0874876410779528,1.096836019090908,running_coupling
L4,high,0.75,global,57,1512,0.11704312114989733,0.10563823097883043,0.036328871892925434,30,1511,0.01946787800129786,0.5263157894736842,0.05727000682396899,0.6343437674905402,running_coupling
L4,high,0.8,per_task,91,812,0.1868583162217659,0.056731642562705235,0.10077519379844961,46,810,0.053738317757009345,0.5054945054945055,0.09282074110669954,1.0856969314929974,running_coupling
L4,high,0.8,global,48,1099,0.09856262833675565,0.07678334381331657,0.041848299912816043,24,1099,0.0213713268032057,0.5,0.05799856173047427,0.7215403048663469,running_coupling
L4,high,0.85,per_task,69,536,0.14168377823408623,0.03744847341577587,0.1140495867768595,29,535,0.051418439716312055,0.42028985507246375,0.10281492783092804,1.1092706981656018,running_coupling
L4,high,0.85,global,30,730,0.061601642710472276,0.05100258506253057,0.039473684210526314,16,730,0.021447721179624665,0.5333333333333333,0.05986144850259739,0.6594174581126875,running_coupling
L4,high,0.9,per_task,49,314,0.10061601642710473,0.021938098232376163,0.1349862258953168,23,314,0.06824925816023739,0.46938775510204084,0.1014957739474787,1.3299689301858864,running_coupling
L4,high,0.9,global,18,404,0.03696098562628337,0.028226088171592258,0.04265402843601896,10,402,0.024271844660194174,0.5555555555555556,0.060005532737448054,0.7108349262167216,running_coupling
L4,high,0.925,per_task,36,203,0.07392197125256673,0.014182910640676309,0.1506276150627615,14,202,0.06481481481481481,0.3888888888888889,0.11430482636861686,1.317771259955453,running_coupling
L4,high,0.925,global,11,236,0.022587268993839837,0.01648850695172221,0.044534412955465584,6,235,0.024896265560165973,0.5454545454545454,0.060293036574997134,0.7386327756119936,running_coupling
L4,high,0.95,per_task,26,122,0.053388090349075976,0.00852371969538182,0.17567567567567569,8,122,0.06153846153846154,0.3076923076923077,0.1506517766929087,1.1661042407337563,running_coupling
L4,high,0.95,global,5,127,0.01026694045174538,0.008873052469782716,0.03787878787878788,3,127,0.023076923076923078,0.6,0.0570659612459799,0.6637720114012152,running_coupling
L4,high,0.96,per_task,22,99,0.045174537987679675,0.006916788933137707,0.18181818181818182,8,99,0.07476635514018691,0.36363636363636365,0.15728307441741643,1.1559933100980162,running_coupling
L4,high,0.96,global,4,78,0.008213552361396304,0.005449591280653951,0.04878048780487805,3,78,0.037037037037037035,0.75,0.05485951986586691,0.8891891129223831,running_coupling
L4,high,0.975,per_task,13,46,0.026694045174537988,0.0032138615244882273,0.22033898305084745,6,46,0.11538461538461539,0.46153846153846156,0.16111707048328797,1.3675706887539414,running_coupling
L4,high,0.975,global,2,39,0.004106776180698152,0.0027247956403269754,0.04878048780487805,2,39,0.04878048780487805,1.0,0.04785505607883297,1.0193382225802974,running_coupling
L4,high,0.98,per_task,11,32,0.022587268993839837,0.0022357297561657235,0.2558139534883721,6,32,0.15789473684210525,0.5454545454545454,0.16147210638395595,1.5842609551403615,running_coupling
L4,high,0.98,global,1,28,0.002053388090349076,0.001956263536645008,0.034482758620689655,1,28,0.034482758620689655,1.0,0.049070304315892925,0.7027215156177736,running_coupling
L4,high,0.99,per_task,5,16,0.01026694045174538,0.0011178648780828617,0.23809523809523808,2,16,0.1111111111111111,0.4,0.18348460783323772,1.2976305800627914,running_coupling
L4,high,0.99,global,1,5,0.002053388090349076,0.0003493327744008943,0.16666666666666666,1,5,0.16666666666666666,1.0,0.05511870424763305,3.023776936371355,running_coupling
