experiment,unit,leg,signal,lead,eff_auc_minus_05,ci95_lo,ci95_hi,p_maxT,n_groups,n_events_used,n_events_present,n_events_total,family,named
E2_loop,U1_main16x32_S8,raw,S_margin,-1,0.2347,0.0851,0.3842,0.2024,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,S_margin,0,0.0623,-0.1549,0.2795,1.0,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,S_margin,1,0.1203,0.0124,0.2282,0.989,9,56,56,57,56,
E2_loop,U1_main16x32_S8,raw,S_margin,2,0.0715,-0.1497,0.2928,1.0,9,55,55,57,56,
E2_loop,U1_main16x32_S8,raw,V,-4,0.1563,-0.0597,0.3723,0.8086,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,V,-3,0.2725,0.1357,0.4092,0.064,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,V,-2,0.2712,0.123,0.4194,0.071,10,57,57,57,56,yes
E2_loop,U1_main16x32_S8,raw,V,-1,0.2886,0.1521,0.425,0.04,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,V,0,0.0723,-0.126,0.2706,1.0,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,V,1,0.0451,-0.2017,0.292,1.0,9,56,56,57,56,
E2_loop,U1_main16x32_S8,raw,V,2,0.048,-0.1685,0.2644,1.0,9,55,55,57,56,
E2_loop,U1_main16x32_S8,raw,A,-4,0.2005,-0.0005,0.4015,0.4228,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,A,-3,0.3271,0.2418,0.4124,0.0115,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,A,-2,0.3288,0.2247,0.433,0.0115,10,57,57,57,56,yes
E2_loop,U1_main16x32_S8,raw,A,-1,0.2767,0.1367,0.4166,0.059,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,A,0,0.1869,0.0561,0.3178,0.5282,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,A,1,0.0138,-0.1912,0.2189,1.0,9,56,56,57,56,
E2_loop,U1_main16x32_S8,raw,A,2,0.003,-0.1411,0.1471,1.0,9,55,55,57,56,
E2_loop,U1_main16x32_S8,raw,D_layer,-4,0.0173,-0.1917,0.2264,1.0,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,D_layer,-3,0.2207,0.0126,0.4288,0.2659,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,D_layer,-2,0.2267,0.0108,0.4425,0.2289,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,D_layer,-1,0.2951,0.1602,0.43,0.031,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,D_layer,0,0.1364,0.0212,0.2515,0.926,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,D_layer,1,0.0353,-0.1699,0.2405,1.0,9,56,56,57,56,
E2_loop,U1_main16x32_S8,raw,D_layer,2,0.0679,-0.1401,0.2759,1.0,9,55,55,57,56,
E2_loop,U1_main16x32_S8,raw,flow_com,-4,0.1074,-0.0671,0.2818,0.999,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,flow_com,-3,0.1489,-0.0443,0.3422,0.8556,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,flow_com,-2,0.0543,-0.126,0.2346,1.0,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,flow_com,-1,0.0424,-0.1343,0.219,1.0,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,flow_com,0,-0.0234,-0.1617,0.1149,1.0,10,57,57,57,56,
E2_loop,U1_main16x32_S8,raw,flow_com,1,0.0466,-0.1587,0.2518,1.0,9,56,56,57,56,
E2_loop,U1_main16x32_S8,raw,flow_com,2,-0.0591,-0.2845,0.1664,1.0,9,55,55,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,D_tok,-4,0.166,0.025,0.307,0.5342,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,D_tok,-3,0.3273,0.23,0.4246,0.0015,10,57,0,57,56,yes
E2_loop,U1_main16x32_S8,resid_mob1w8,D_tok,-2,0.1486,-0.0709,0.3681,0.6922,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,D_tok,-1,0.1959,0.0365,0.3552,0.2929,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,D_tok,0,0.1687,0.009,0.3283,0.5127,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,D_tok,1,-0.0085,-0.1461,0.1291,1.0,9,56,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,D_tok,2,-0.0046,-0.1038,0.0946,1.0,9,55,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,C,-4,-0.147,-0.2979,0.0039,0.7031,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,C,-3,-0.3306,-0.4235,-0.2377,0.0015,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,C,-2,-0.1931,-0.3654,-0.0208,0.3068,10,57,0,57,56,yes
E2_loop,U1_main16x32_S8,resid_mob1w8,C,-1,-0.1644,-0.3098,-0.0189,0.5482,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,C,0,-0.1503,-0.2892,-0.0113,0.6627,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,C,1,0.0131,-0.1249,0.1512,1.0,9,56,0,57,56,yes
E2_loop,U1_main16x32_S8,resid_mob1w8,C,2,-0.0081,-0.1047,0.0885,1.0,9,55,0,57,56,yes
E2_loop,U1_main16x32_S8,resid_mob1w8,S_ent,-4,0.018,-0.1803,0.2163,1.0,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,S_ent,-3,-0.1439,-0.3635,0.0756,0.7391,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,S_ent,-2,-0.1936,-0.3488,-0.0384,0.3068,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,S_ent,-1,-0.2414,-0.376,-0.1067,0.0935,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,S_ent,0,-0.0668,-0.2038,0.0702,1.0,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,S_ent,1,-0.0845,-0.2091,0.0402,1.0,9,56,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,S_ent,2,-0.0375,-0.1796,0.1046,1.0,9,55,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,S_margin,-4,-0.0044,-0.1987,0.1899,1.0,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,S_margin,-3,0.0647,-0.0832,0.2125,1.0,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,S_margin,-2,0.1173,-0.0804,0.315,0.9395,10,57,0,57,56,yes
E2_loop,U1_main16x32_S8,resid_mob1w8,S_margin,-1,0.1656,0.0183,0.3128,0.5432,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,S_margin,0,-0.0042,-0.1433,0.135,1.0,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,S_margin,1,0.046,-0.0455,0.1374,1.0,9,56,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,S_margin,2,0.0446,-0.0902,0.1795,1.0,9,55,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,V,-4,0.0843,-0.1629,0.3315,1.0,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,V,-3,0.1784,-0.0161,0.3728,0.4123,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,V,-2,0.2058,0.0535,0.358,0.2254,10,57,0,57,56,yes
E2_loop,U1_main16x32_S8,resid_mob1w8,V,-1,0.156,-0.0103,0.3222,0.6107,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,V,0,0.0534,-0.0524,0.1592,1.0,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,V,1,0.0348,-0.0951,0.1647,1.0,9,56,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,V,2,-0.0377,-0.1505,0.0751,1.0,9,55,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,A,-4,0.1075,-0.1399,0.3549,0.9735,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,A,-3,0.2153,0.0168,0.4138,0.1959,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,A,-2,0.2675,0.1614,0.3736,0.0465,10,57,0,57,56,yes
E2_loop,U1_main16x32_S8,resid_mob1w8,A,-1,0.1914,0.0504,0.3324,0.3203,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,A,0,0.171,0.0293,0.3126,0.4913,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,A,1,0.0303,-0.106,0.1665,1.0,9,56,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,A,2,-0.0751,-0.2125,0.0623,1.0,9,55,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,D_layer,-4,-0.0342,-0.2265,0.1582,1.0,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,D_layer,-3,0.183,-0.0382,0.4041,0.3798,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,D_layer,-2,0.1852,0.023,0.3474,0.3598,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,D_layer,-1,0.1561,-0.003,0.3153,0.6107,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,D_layer,0,0.0257,-0.1463,0.1977,1.0,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,D_layer,1,0.0466,-0.0927,0.1859,1.0,9,56,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,D_layer,2,0.0658,-0.0635,0.1952,1.0,9,55,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,flow_com,-4,0.0343,-0.1426,0.2113,1.0,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,flow_com,-3,0.099,-0.0859,0.2838,0.9945,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,flow_com,-2,-0.0272,-0.1889,0.1345,1.0,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,flow_com,-1,0.027,-0.119,0.1729,1.0,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,flow_com,0,-0.1023,-0.2226,0.0181,0.977,10,57,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,flow_com,1,-0.1214,-0.2653,0.0225,0.921,9,56,0,57,56,
E2_loop,U1_main16x32_S8,resid_mob1w8,flow_com,2,-0.0673,-0.1712,0.0366,1.0,9,55,0,57,56,
E2_loop,U2_grid50x8_S8,raw,D_tok,-4,0.2413,0.1086,0.374,0.068,21,60,66,66,56,
E2_loop,U2_grid50x8_S8,raw,D_tok,-3,0.2697,0.1274,0.4119,0.0245,21,59,66,66,56,yes
E2_loop,U2_grid50x8_S8,raw,D_tok,-2,0.1674,-0.0022,0.3371,0.4723,20,58,66,66,56,
E2_loop,U2_grid50x8_S8,raw,D_tok,-1,0.1823,0.0118,0.3527,0.3443,20,56,66,66,56,
E2_loop,U2_grid50x8_S8,raw,D_tok,0,0.2573,0.12,0.3945,0.04,19,55,66,66,56,
E2_loop,U2_grid50x8_S8,raw,D_tok,1,0.1518,-0.0287,0.3322,0.6127,19,55,64,66,56,
E2_loop,U2_grid50x8_S8,raw,D_tok,2,0.2117,0.0412,0.3822,0.1674,18,53,61,66,56,
E2_loop,U2_grid50x8_S8,raw,C,-4,-0.2385,-0.3716,-0.1055,0.0765,21,60,66,66,56,
E2_loop,U2_grid50x8_S8,raw,C,-3,-0.2697,-0.4119,-0.1274,0.0245,21,59,66,66,56,
E2_loop,U2_grid50x8_S8,raw,C,-2,-0.1817,-0.3465,-0.0169,0.3473,20,58,66,66,56,yes
E2_loop,U2_grid50x8_S8,raw,C,-1,-0.1807,-0.3546,-0.0068,0.3538,20,56,66,66,56,
E2_loop,U2_grid50x8_S8,raw,C,0,-0.2599,-0.4019,-0.1179,0.035,19,55,66,66,56,
E2_loop,U2_grid50x8_S8,raw,C,1,-0.154,-0.3345,0.0265,0.5922,19,55,64,66,56,yes
E2_loop,U2_grid50x8_S8,raw,C,2,-0.221,-0.3931,-0.0488,0.1259,18,53,61,66,56,yes
E2_loop,U2_grid50x8_S8,raw,S_ent,-4,-0.2246,-0.3777,-0.0715,0.1154,21,60,66,66,56,
E2_loop,U2_grid50x8_S8,raw,S_ent,-3,-0.2636,-0.4151,-0.1121,0.033,21,59,66,66,56,
E2_loop,U2_grid50x8_S8,raw,S_ent,-2,-0.2141,-0.3663,-0.0619,0.1549,20,58,66,66,56,
E2_loop,U2_grid50x8_S8,raw,S_ent,-1,-0.1967,-0.367,-0.0265,0.2389,20,56,66,66,56,
E2_loop,U2_grid50x8_S8,raw,S_ent,0,-0.1945,-0.3561,-0.0329,0.2539,19,55,66,66,56,
E2_loop,U2_grid50x8_S8,raw,S_ent,1,-0.1297,-0.2913,0.0319,0.8316,19,55,64,66,56,
E2_loop,U2_grid50x8_S8,raw,S_ent,2,-0.1585,-0.3382,0.0212,0.5497,18,53,61,66,56,
E2_loop,U2_grid50x8_S8,raw,S_margin,-4,0.0907,-0.0426,0.224,0.998,21,60,66,66,56,
E2_loop,U2_grid50x8_S8,raw,S_margin,-3,0.1795,0.0559,0.303,0.3638,21,59,66,66,56,
E2_loop,U2_grid50x8_S8,raw,S_margin,-2,0.2128,0.0958,0.3299,0.1629,20,58,66,66,56,yes
E2_loop,U2_grid50x8_S8,raw,S_margin,-1,0.2014,0.0323,0.3706,0.2144,20,56,66,66,56,
E2_loop,U2_grid50x8_S8,raw,S_margin,0,0.1759,0.0364,0.3154,0.3923,19,55,66,66,56,
E2_loop,U2_grid50x8_S8,raw,S_margin,1,0.1053,-0.0583,0.269,0.98,19,55,64,66,56,
E2_loop,U2_grid50x8_S8,raw,S_margin,2,0.2573,0.1201,0.3944,0.0395,18,53,61,66,56,
E2_loop,U2_grid50x8_S8,raw,V,-4,0.2342,0.0838,0.3846,0.088,21,60,66,66,56,
E2_loop,U2_grid50x8_S8,raw,V,-3,0.3074,0.1705,0.4442,0.005,21,59,66,66,56,
E2_loop,U2_grid50x8_S8,raw,V,-2,0.1824,0.0008,0.3641,0.3408,20,58,66,66,56,yes
E2_loop,U2_grid50x8_S8,raw,V,-1,0.2334,0.0647,0.4021,0.089,20,56,66,66,56,
E2_loop,U2_grid50x8_S8,raw,V,0,0.1597,-0.0093,0.3287,0.5417,19,55,66,66,56,
E2_loop,U2_grid50x8_S8,raw,V,1,0.1425,-0.0139,0.299,0.7166,19,55,64,66,56,
E2_loop,U2_grid50x8_S8,raw,V,2,0.1721,0.0357,0.3086,0.4258,18,53,61,66,56,
E2_loop,U2_grid50x8_S8,raw,A,-4,0.2649,0.1091,0.4207,0.032,21,60,66,66,56,
E2_loop,U2_grid50x8_S8,raw,A,-3,0.3472,0.2086,0.4857,0.0015,21,59,66,66,56,
E2_loop,U2_grid50x8_S8,raw,A,-2,0.1765,-0.0071,0.3602,0.3893,20,58,66,66,56,yes
E2_loop,U2_grid50x8_S8,raw,A,-1,0.2331,0.0735,0.3927,0.09,20,56,66,66,56,
E2_loop,U2_grid50x8_S8,raw,A,0,0.181,0.0172,0.3448,0.3513,19,55,66,66,56,
E2_loop,U2_grid50x8_S8,raw,A,1,0.1066,-0.0511,0.2643,0.9765,19,55,64,66,56,
E2_loop,U2_grid50x8_S8,raw,A,2,0.1178,-0.0535,0.2891,0.9255,18,53,61,66,56,
E2_loop,U2_grid50x8_S8,raw,D_layer,-4,0.245,0.0907,0.3992,0.0595,21,60,66,66,56,
E2_loop,U2_grid50x8_S8,raw,D_layer,-3,0.2672,0.1193,0.4151,0.027,21,59,66,66,56,
E2_loop,U2_grid50x8_S8,raw,D_layer,-2,0.2245,0.0913,0.3577,0.1159,20,58,66,66,56,
E2_loop,U2_grid50x8_S8,raw,D_layer,-1,0.1886,0.02,0.3572,0.2909,20,56,66,66,56,
E2_loop,U2_grid50x8_S8,raw,D_layer,0,0.1342,-0.0295,0.2978,0.8026,19,55,66,66,56,
E2_loop,U2_grid50x8_S8,raw,D_layer,1,0.1279,-0.0407,0.2966,0.8511,19,55,64,66,56,
E2_loop,U2_grid50x8_S8,raw,D_layer,2,0.1022,-0.0781,0.2824,0.9845,18,53,61,66,56,
E2_loop,U2_grid50x8_S8,raw,flow_com,-4,0.0575,-0.0674,0.1825,1.0,21,60,66,66,56,
E2_loop,U2_grid50x8_S8,raw,flow_com,-3,0.139,-0.0099,0.288,0.7491,21,59,66,66,56,
E2_loop,U2_grid50x8_S8,raw,flow_com,-2,-0.0734,-0.2152,0.0683,1.0,20,58,66,66,56,
E2_loop,U2_grid50x8_S8,raw,flow_com,-1,0.0541,-0.0876,0.1959,1.0,20,56,66,66,56,
E2_loop,U2_grid50x8_S8,raw,flow_com,0,0.0169,-0.1269,0.1607,1.0,19,55,66,66,56,
E2_loop,U2_grid50x8_S8,raw,flow_com,1,-0.0405,-0.1884,0.1074,1.0,19,55,64,66,56,
E2_loop,U2_grid50x8_S8,raw,flow_com,2,0.0618,-0.0897,0.2133,1.0,18,53,61,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_tok,-4,0.1922,0.0593,0.325,0.1159,21,60,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_tok,-3,0.1984,0.069,0.3279,0.0875,21,59,0,66,56,yes
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_tok,-2,0.1027,-0.0323,0.2377,0.956,20,58,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_tok,-1,0.1791,0.0215,0.3368,0.1824,20,56,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_tok,0,0.1614,0.03,0.2927,0.3333,19,55,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_tok,1,0.0188,-0.1103,0.148,1.0,18,54,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_tok,2,0.1098,-0.0095,0.2292,0.91,16,51,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,C,-4,-0.1965,-0.3333,-0.0598,0.096,21,60,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,C,-3,-0.1757,-0.3048,-0.0466,0.2059,21,59,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,C,-2,-0.1052,-0.2336,0.0232,0.9435,20,58,0,66,56,yes
E2_loop,U2_grid50x8_S8,resid_mob1w8,C,-1,-0.1638,-0.3183,-0.0094,0.3143,20,56,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,C,0,-0.1657,-0.2943,-0.0372,0.2899,19,55,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,C,1,-0.0545,-0.1762,0.0671,1.0,18,54,0,66,56,yes
E2_loop,U2_grid50x8_S8,resid_mob1w8,C,2,-0.1068,-0.2311,0.0175,0.931,16,51,0,66,56,yes
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_ent,-4,-0.1347,-0.2934,0.0241,0.6347,21,60,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_ent,-3,-0.1867,-0.3174,-0.056,0.1384,21,59,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_ent,-2,-0.0974,-0.2243,0.0295,0.975,20,58,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_ent,-1,-0.14,-0.2861,0.0061,0.5727,20,56,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_ent,0,-0.0826,-0.2331,0.0679,0.9995,19,55,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_ent,1,0.0036,-0.1106,0.1178,1.0,18,54,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_ent,2,-0.067,-0.1918,0.0579,1.0,16,51,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_margin,-4,-0.0286,-0.1582,0.1011,1.0,21,60,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_margin,-3,0.0523,-0.0807,0.1854,1.0,21,59,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_margin,-2,0.09,-0.0326,0.2126,0.993,20,58,0,66,56,yes
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_margin,-1,0.1249,-0.0353,0.285,0.7646,20,56,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_margin,0,0.072,-0.045,0.1889,1.0,19,55,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_margin,1,0.0176,-0.1199,0.1551,1.0,18,54,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,S_margin,2,0.1478,0.0519,0.2437,0.4763,16,51,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,V,-4,0.1356,-0.0133,0.2845,0.6267,21,60,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,V,-3,0.2274,0.1057,0.3491,0.0255,21,59,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,V,-2,0.0904,-0.0296,0.2103,0.992,20,58,0,66,56,yes
E2_loop,U2_grid50x8_S8,resid_mob1w8,V,-1,0.126,-0.0168,0.2688,0.7556,20,56,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,V,0,0.0208,-0.1116,0.1532,1.0,19,55,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,V,1,0.0058,-0.1111,0.1226,1.0,18,54,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,V,2,0.0401,-0.0639,0.1441,1.0,16,51,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,A,-4,0.1984,0.0471,0.3496,0.0885,21,60,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,A,-3,0.2879,0.1721,0.4037,0.002,21,59,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,A,-2,0.0831,-0.053,0.2192,0.9995,20,58,0,66,56,yes
E2_loop,U2_grid50x8_S8,resid_mob1w8,A,-1,0.1577,0.0214,0.294,0.3683,20,56,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,A,0,0.086,-0.047,0.2189,0.9975,19,55,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,A,1,0.056,-0.0735,0.1856,1.0,18,54,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,A,2,0.0116,-0.1239,0.147,1.0,16,51,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_layer,-4,0.1263,-0.0242,0.2768,0.7511,21,60,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_layer,-3,0.1337,-0.0211,0.2885,0.6457,21,59,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_layer,-2,0.1187,0.0015,0.2358,0.8301,20,58,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_layer,-1,0.1433,-0.0039,0.2904,0.5352,20,56,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_layer,0,0.0662,-0.0817,0.2142,1.0,19,55,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_layer,1,-0.0055,-0.1404,0.1293,1.0,18,54,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,D_layer,2,0.0752,-0.0422,0.1926,1.0,16,51,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,flow_com,-4,0.0382,-0.0953,0.1716,1.0,21,60,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,flow_com,-3,0.0838,-0.0334,0.2009,0.9995,21,59,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,flow_com,-2,-0.0692,-0.1591,0.0206,1.0,20,58,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,flow_com,-1,-0.0312,-0.1456,0.0832,1.0,20,56,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,flow_com,0,-0.1017,-0.2524,0.0491,0.959,19,55,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,flow_com,1,-0.066,-0.1924,0.0604,1.0,18,54,0,66,56,
E2_loop,U2_grid50x8_S8,resid_mob1w8,flow_com,2,-0.0468,-0.1932,0.0996,1.0,16,51,0,66,56,
