cohort,layer,reference,other,n,spearman
external_8b,L2,td_slope,mobility_s9,140476,0.1963636305104137
external_8b,L2,td_slope,state_mobility_s9,140476,-0.08958216693465385
external_8b,L2,td_slope,flow_speed_s9,140476,0.0563885896356748
external_8b,L2,td_slope,conditional_effective_rank_s9,140476,0.4920944258582894
external_8b,L2,td_slope,pc1corr_slope,140476,-0.062424303525062716
external_8b,L2,td_slope,stretch_slope,140476,0.023578798952829837
external_8b,L2,td_slope,pc1share_slope,140476,0.110767386887055
external_8b,L2,td_slope,saa_slope,140476,-0.13526423250195707
external_8b,L12,td_slope,token_differentiation_s9,140476,0.968508042243085
external_8b,L12,td_slope,action_consensus_s9,140476,-0.9684727096555918
external_8b,L12,td_slope,token_differentiation_s0,140476,0.8057423485724744
external_8b,L12,td_slope,mobility_s9,140476,0.7423209541313416
external_8b,L12,td_slope,state_mobility_s9,140476,0.5089896969333831
external_8b,L12,td_slope,flow_speed_s9,140476,0.7092821980232737
external_8b,L12,td_slope,conditional_effective_rank_s9,140476,0.7767192830556042
external_8b,L12,td_slope,pc1corr_slope,140476,-0.4902848815182447
external_8b,L12,td_slope,stretch_slope,140476,-0.5107541578020056
external_8b,L12,td_slope,pc1share_slope,140476,-0.3938894772612861
external_8b,L12,td_slope,saa_slope,140476,-0.3886976424601703
external_8b,L14,td_slope,token_differentiation_s9,140476,0.9777161721298603
external_8b,L14,td_slope,action_consensus_s9,140476,-0.9776851220202231
external_8b,L14,td_slope,token_differentiation_s0,140476,0.8307854081604855
external_8b,L14,td_slope,mobility_s9,140476,0.7523772936418304
external_8b,L14,td_slope,state_mobility_s9,140476,0.5148187964033935
external_8b,L14,td_slope,flow_speed_s9,140476,0.6944255005909408
external_8b,L14,td_slope,conditional_effective_rank_s9,140476,0.7483421822704797
external_8b,L14,td_slope,pc1corr_slope,140476,-0.5048634052986357
external_8b,L14,td_slope,stretch_slope,140476,-0.5446349576098738
external_8b,L14,td_slope,pc1share_slope,140476,-0.48955695398225213
external_8b,L14,td_slope,saa_slope,140476,-0.45937416713112905
external_8b,L15,td_slope,token_differentiation_s9,140476,0.8823254746808578
external_8b,L15,td_slope,action_consensus_s9,140476,-0.8823278728558472
external_8b,L15,td_slope,token_differentiation_s0,140476,0.57691162753638
external_8b,L15,td_slope,mobility_s9,140476,0.6686938005457183
external_8b,L15,td_slope,state_mobility_s9,140476,0.43391352424094826
external_8b,L15,td_slope,flow_speed_s9,140476,0.6257018735663421
external_8b,L15,td_slope,conditional_effective_rank_s9,140476,0.6514276868091607
external_8b,L15,td_slope,pc1corr_slope,140476,-0.4220600502232734
external_8b,L15,td_slope,stretch_slope,140476,-0.3471039678799965
external_8b,L15,td_slope,pc1share_slope,140476,-0.10140117417764989
external_8b,L15,td_slope,saa_slope,140476,-0.30556053425878577
