cohort,query,representation,layer,expert,paired_states,success_mean,failure_mean,delta
B,0,load,5,29,11,0.03676765784621239,0.036758776754140854,-8.881092071533203e-06
B,0,load,5,30,11,0.03221918269991875,0.03224507346749306,2.5890767574310303e-05
B,0,load,5,31,11,0.03283124044537544,0.033021118491888046,0.00018987804651260376
B,0,load,12,0,11,0.03141479566693306,0.031297799199819565,-0.00011699646711349487
B,0,load,12,1,11,0.02878854237496853,0.02885252796113491,6.398558616638184e-05
B,0,load,12,2,11,0.03422524780035019,0.03448072820901871,0.00025548040866851807
B,0,load,12,3,11,0.030278338119387627,0.030270922929048538,-7.41519033908844e-06
B,0,load,12,4,11,0.033281367272138596,0.03325411304831505,-2.7254223823547363e-05
B,0,load,12,5,11,0.031793903559446335,0.03182968497276306,3.5781413316726685e-05
B,0,load,12,6,11,0.027923138812184334,0.027995364740490913,7.222592830657959e-05
B,0,load,12,7,11,0.031229661777615547,0.03121246211230755,-1.7199665307998657e-05
B,0,load,12,8,11,0.03357338532805443,0.033365003764629364,-0.0002083815634250641
B,0,load,12,9,11,0.031163988634943962,0.03127358853816986,0.00010959990322589874
B,0,load,12,10,11,0.028471292927861214,0.02831084281206131,-0.00016045011579990387
B,0,load,12,11,11,0.02895151823759079,0.02895985171198845,8.333474397659302e-06
B,0,load,12,12,11,0.032451603561639786,0.03263339027762413,0.00018178671598434448
B,0,load,12,13,11,0.03192072734236717,0.03186456486582756,-5.6162476539611816e-05
B,0,load,12,14,11,0.03125983849167824,0.03118257038295269,-7.726810872554779e-05
B,0,load,12,15,11,0.031656716018915176,0.03158953785896301,-6.71781599521637e-05
B,0,load,12,16,11,0.029758812859654427,0.029866309836506844,0.00010749697685241699
B,0,load,12,17,11,0.027081917971372604,0.026960868388414383,-0.00012104958295822144
B,0,load,12,18,11,0.03332355245947838,0.033282771706581116,-4.078075289726257e-05
B,0,load,12,19,11,0.03315803036093712,0.03315841779112816,3.8743019104003906e-07
B,0,load,12,20,11,0.0323295071721077,0.032256487756967545,-7.301941514015198e-05
B,0,load,12,21,11,0.03328269347548485,0.03318798169493675,-9.47117805480957e-05
B,0,load,12,22,11,0.030717603862285614,0.03094475343823433,0.0002271495759487152
B,0,load,12,23,11,0.03137063607573509,0.031450215727090836,7.957965135574341e-05
B,0,load,12,24,11,0.036110274493694305,0.03605879843235016,-5.147606134414673e-05
B,0,load,12,25,11,0.03143034130334854,0.031669434159994125,0.0002390928566455841
B,0,load,12,26,11,0.03020445629954338,0.030229592695832253,2.5136396288871765e-05
B,0,load,12,27,11,0.027994489297270775,0.027833081781864166,-0.00016140751540660858
B,0,load,12,28,11,0.031210871413350105,0.031218327581882477,7.456168532371521e-06
B,0,load,12,29,11,0.03444277122616768,0.0344102643430233,-3.250688314437866e-05
B,0,load,12,30,11,0.028889207169413567,0.028802108019590378,-8.709914982318878e-05
B,0,load,12,31,11,0.030310790985822678,0.03029762953519821,-1.3161450624465942e-05
B,0,load,13,0,11,0.034859415143728256,0.034917499870061874,5.8084726333618164e-05
B,0,load,13,1,11,0.03035329468548298,0.03042699582874775,7.370114326477051e-05
B,0,load,13,2,11,0.026141168549656868,0.026140065863728523,-1.1026859283447266e-06
B,0,load,13,3,11,0.02879006788134575,0.028786785900592804,-3.2819807529449463e-06
B,0,load,13,4,11,0.03591855987906456,0.03570900857448578,-0.00020955130457878113
B,0,load,13,5,11,0.03154155984520912,0.03155941516160965,1.7855316400527954e-05
B,0,load,13,6,11,0.026591550558805466,0.02658599615097046,-5.554407835006714e-06
B,0,load,13,7,11,0.03013855218887329,0.030087698251008987,-5.085393786430359e-05
B,0,load,13,8,11,0.0267556793987751,0.02662581019103527,-0.00012986920773983002
B,0,load,13,9,11,0.02919292263686657,0.029123013839125633,-6.990879774093628e-05
B,0,load,13,10,11,0.033065274357795715,0.0329391248524189,-0.0001261495053768158
B,0,load,13,11,11,0.028289329260587692,0.02829444222152233,5.112960934638977e-06
B,0,load,13,12,11,0.03300980478525162,0.03307395055890083,6.41457736492157e-05
B,0,load,13,13,11,0.03170233964920044,0.03179420903325081,9.186938405036926e-05
B,0,load,13,14,11,0.032059505581855774,0.03192516788840294,-0.00013433769345283508
B,0,load,13,15,11,0.027294106781482697,0.02719471976161003,-9.93870198726654e-05
B,0,load,13,16,11,0.03596821054816246,0.03619147464632988,0.00022326409816741943
B,0,load,13,17,11,0.03118639998137951,0.03126101195812225,7.461197674274445e-05
B,0,load,13,18,11,0.032180774956941605,0.03223741427063942,5.663931369781494e-05
B,0,load,13,19,11,0.033175960183143616,0.033132344484329224,-4.361569881439209e-05
B,0,load,13,20,11,0.03121425397694111,0.031382039189338684,0.00016778521239757538
B,0,load,13,21,11,0.03348004072904587,0.03332192823290825,-0.00015811249613761902
B,0,load,13,22,11,0.029466070234775543,0.029386013746261597,-8.005648851394653e-05
B,0,load,13,23,11,0.034966301172971725,0.03514096885919571,0.00017466768622398376
B,0,load,13,24,11,0.030503692105412483,0.030419116839766502,-8.457526564598083e-05
B,0,load,13,25,11,0.034898314625024796,0.034984808415174484,8.649379014968872e-05
B,0,load,13,26,11,0.030598873272538185,0.030402492731809616,-0.00019638054072856903
B,0,load,13,27,11,0.02667830139398575,0.026737673208117485,5.9371814131736755e-05
B,0,load,13,28,11,0.030107222497463226,0.030016547068953514,-9.067542850971222e-05
B,0,load,13,29,11,0.030499929562211037,0.030616717413067818,0.000116787850856781
B,0,load,13,30,11,0.035242095589637756,0.03552290052175522,0.00028080493211746216
B,0,load,13,31,11,0.03413042798638344,0.03406265005469322,-6.777793169021606e-05
B,0,load,14,0,11,0.036822766065597534,0.036756809800863266,-6.595626473426819e-05
B,0,load,14,1,11,0.03153899312019348,0.03170091286301613,0.0001619197428226471
B,0,load,14,2,11,0.033938609063625336,0.03386696055531502,-7.164850831031799e-05
B,0,load,14,3,11,0.02739887870848179,0.027416063472628593,1.718476414680481e-05
B,0,load,14,4,11,0.0310980137437582,0.031248778104782104,0.0001507643610239029
B,0,load,14,5,11,0.03132407367229462,0.031196707859635353,-0.0001273658126592636
B,0,load,14,6,11,0.030305834487080574,0.030306942760944366,1.1082738637924194e-06
B,0,load,14,7,11,0.028831126168370247,0.02901562489569187,0.00018449872732162476
B,0,load,14,8,11,0.029195303097367287,0.029095284640789032,-0.0001000184565782547
B,0,load,14,9,11,0.03261911869049072,0.03258872032165527,-3.039836883544922e-05
B,0,load,14,10,11,0.03467824310064316,0.03455173596739769,-0.00012650713324546814
B,0,load,14,11,11,0.0320092998445034,0.032061316072940826,5.2016228437423706e-05
B,0,load,14,12,11,0.02488992176949978,0.02481595240533352,-7.396936416625977e-05
B,0,load,14,13,11,0.02754497528076172,0.02764393761754036,9.896233677864075e-05
B,0,load,14,14,11,0.03386623039841652,0.03396403416991234,9.780377149581909e-05
B,0,load,14,15,11,0.03192988410592079,0.03195340558886528,2.3521482944488525e-05
B,0,load,14,16,11,0.03251549229025841,0.03256313502788544,4.764273762702942e-05
B,0,load,14,17,11,0.03471262380480766,0.034630462527275085,-8.216127753257751e-05
B,0,load,14,18,11,0.029878979548811913,0.029963547363877296,8.456781506538391e-05
B,0,load,14,19,11,0.03726805001497269,0.03706016764044762,-0.0002078823745250702
B,0,load,14,20,11,0.035106852650642395,0.03501247987151146,-9.437277913093567e-05
B,0,load,14,21,11,0.03138970956206322,0.03144938871264458,5.967915058135986e-05
B,0,load,14,22,11,0.035953059792518616,0.03586731106042862,-8.574873208999634e-05
B,0,load,14,23,11,0.03249103203415871,0.032500382512807846,9.350478649139404e-06
B,0,load,14,24,11,0.01904252916574478,0.019058948382735252,1.6419216990470886e-05
B,0,load,14,25,11,0.024255920201539993,0.024241382256150246,-1.453794538974762e-05
B,0,load,14,26,11,0.03572671860456467,0.03569711744785309,-2.960115671157837e-05
B,0,load,14,27,11,0.029513336718082428,0.02963511273264885,0.00012177601456642151
B,0,load,14,28,11,0.03095296025276184,0.030876524746418,-7.643550634384155e-05
B,0,load,14,29,11,0.02906699664890766,0.029073642566800117,6.645917892456055e-06
B,0,load,14,30,11,0.03071446530520916,0.030690757557749748,-2.370774745941162e-05
B,0,load,14,31,11,0.03342001140117645,0.03349645063281059,7.643923163414001e-05
B,0,load,15,0,11,0.031130744144320488,0.031040800735354424,-8.994340896606445e-05
B,0,load,15,1,11,0.030794106423854828,0.030778901651501656,-1.5204772353172302e-05
B,0,load,15,2,11,0.03027348592877388,0.0303817018866539,0.00010821595788002014
B,0,load,15,3,11,0.030565164983272552,0.03050723485648632,-5.7930126786231995e-05
B,0,load,15,4,11,0.027194328606128693,0.027154507115483284,-3.982149064540863e-05
B,0,load,15,5,11,0.03212295472621918,0.03190743178129196,-0.00021552294492721558
B,0,load,15,6,11,0.028927670791745186,0.029004963114857674,7.729232311248779e-05
B,0,load,15,7,11,0.02944493293762207,0.02951442077755928,6.948783993721008e-05
B,0,load,15,8,11,0.019784389063715935,0.019551070407032967,-0.00023331865668296814
B,0,load,15,9,11,0.03282583877444267,0.03293567895889282,0.00010984018445014954
B,0,load,15,10,11,0.029202807694673538,0.02919723466038704,-5.5730342864990234e-06
B,0,load,15,11,11,0.030402101576328278,0.030491286888718605,8.918531239032745e-05
B,0,load,15,12,11,0.030207322910428047,0.030243126675486565,3.5803765058517456e-05
B,0,load,15,13,11,0.034769635647535324,0.03477422147989273,4.585832357406616e-06
B,0,load,15,14,11,0.027702592313289642,0.027717871591448784,1.527927815914154e-05
B,0,load,15,15,11,0.03311067074537277,0.03311453014612198,3.859400749206543e-06
B,0,load,15,16,11,0.032644014805555344,0.032490141689777374,-0.00015387311577796936
B,0,load,15,17,11,0.03544870391488075,0.03547882288694382,3.0118972063064575e-05
B,0,load,15,18,11,0.03117644041776657,0.031109899282455444,-6.654113531112671e-05
B,0,load,15,19,11,0.03182288631796837,0.03167599067091942,-0.0001468956470489502
B,0,load,15,20,11,0.026096083223819733,0.026088522747159004,-7.560476660728455e-06
B,0,load,15,21,11,0.03291178122162819,0.03297675400972366,6.497278809547424e-05
B,0,load,15,22,11,0.03440418466925621,0.03457785025238991,0.0001736655831336975
B,0,load,15,23,11,0.032602086663246155,0.03279346600174904,0.0001913793385028839
B,0,load,15,24,11,0.03257385268807411,0.03253183886408806,-4.201382398605347e-05
B,0,load,15,25,11,0.03241473436355591,0.03235814347863197,-5.6590884923934937e-05
B,0,load,15,26,11,0.032749470323324203,0.03270496800541878,-4.4502317905426025e-05
B,0,load,15,27,11,0.03449372202157974,0.03453674539923668,4.3023377656936646e-05
B,0,load,15,28,11,0.03406243026256561,0.034012213349342346,-5.02169132232666e-05
B,0,load,15,29,11,0.031002426519989967,0.031077170744538307,7.474422454833984e-05
B,0,load,15,30,11,0.032431866973638535,0.03243201598525047,1.4901161193847656e-07
B,0,load,15,31,11,0.03470657020807266,0.03484048321843147,0.00013391301035881042
B,0,hard_load,2,0,11,0.010075758211314678,0.002159090945497155,-0.007916667498648167
B,0,hard_load,2,1,11,0.08323592692613602,0.09071969985961914,0.007483772933483124
B,0,hard_load,2,2,11,0.0003246753185521811,0.0,-0.0003246753185521811
B,0,hard_load,2,3,11,0.02242424339056015,0.0323106087744236,0.009886365383863449
B,0,hard_load,2,4,11,0.0029166669119149446,0.0011363636003807187,-0.001780303311534226
B,0,hard_load,2,5,11,0.05748918280005455,0.04723484814167023,-0.010254334658384323
B,0,hard_load,2,6,11,0.03092532604932785,0.028030306100845337,-0.0028950199484825134
B,0,hard_load,2,7,11,0.003219697391614318,0.005681818351149559,0.002462120959535241
B,0,hard_load,2,8,11,0.047911252826452255,0.0427272729575634,-0.005183979868888855
B,0,hard_load,2,9,11,0.0012175324372947216,0.002159090945497155,0.0009415585082024336
B,0,hard_load,2,10,11,0.029778139665722847,0.03303030505776405,0.0032521653920412064
B,0,hard_load,2,11,11,0.022754330188035965,0.015757577493786812,-0.006996752694249153
B,0,hard_load,2,12,11,0.06749459356069565,0.07348485291004181,0.005990259349346161
B,0,hard_load,2,13,11,0.09566017985343933,0.09590908885002136,0.00024890899658203125
B,0,hard_load,2,14,11,0.014983766712248325,0.01613636501133442,0.001152598299086094
B,0,hard_load,2,15,11,0.0003246753185521811,0.0,-0.0003246753185521811
B,0,hard_load,2,16,11,0.039318181574344635,0.04500000178813934,0.005681820213794708
B,0,hard_load,2,17,11,0.003598485141992569,0.0034090911503881216,-0.00018939399160444736
B,0,hard_load,2,18,11,0.06419913470745087,0.06458333879709244,0.00038420408964157104
B,0,hard_load,2,19,11,0.0,0.0028409091755747795,0.0028409091755747795
B,0,hard_load,2,20,11,0.04586039483547211,0.047575756907463074,0.0017153620719909668
B,0,hard_load,2,21,11,0.07662338018417358,0.07030303031206131,-0.006320349872112274
B,0,hard_load,2,22,11,0.0006493506371043622,0.0005681818001903594,-8.11688369140029e-05
B,0,hard_load,2,23,11,0.04797077551484108,0.048750005662441254,0.000779230147600174
B,0,hard_load,2,24,11,0.0070995669811964035,0.001212121220305562,-0.005887445993721485
B,0,hard_load,2,25,11,0.01209956780076027,0.020643940195441246,0.008544372394680977
B,0,hard_load,2,26,11,0.06189935281872749,0.056022729724645615,-0.005876623094081879
B,0,hard_load,2,27,11,0.007196969818323851,0.004507575649768114,-0.0026893941685557365
B,0,hard_load,2,28,11,0.09273809939622879,0.09159091114997864,-0.0011471882462501526
B,0,hard_load,2,29,11,0.0017857142956927419,0.0,-0.0017857142956927419
B,0,hard_load,2,30,11,0.044247835874557495,0.053484853357076645,0.00923701748251915
B,0,hard_load,2,31,11,0.003977273125201464,0.003030303167179227,-0.0009469699580222368
B,0,hard_load,3,0,11,0.05534091219305992,0.04916666820645332,-0.006174243986606598
B,0,hard_load,3,1,11,0.03000541217625141,0.021780304610729218,-0.008225107565522194
B,0,hard_load,3,2,11,0.009117966517806053,0.01223484892398119,0.0031168824061751366
B,0,hard_load,3,3,11,0.04154220595955849,0.03473484888672829,-0.0068073570728302
B,0,hard_load,3,4,11,0.049356065690517426,0.04685606062412262,-0.002500005066394806
B,0,hard_load,3,5,11,0.001542207901366055,0.0005681818001903594,-0.0009740261011756957
B,0,hard_load,3,6,11,0.05715909227728844,0.056477271020412445,-0.0006818212568759918
B,0,hard_load,3,7,11,0.016655845567584038,0.017537878826260567,0.0008820332586765289
B,0,hard_load,3,8,11,0.015827922150492668,0.012007576413452625,-0.003820345737040043
B,0,hard_load,3,9,11,0.08520563691854477,0.07746212929487228,-0.007743507623672485
B,0,hard_load,3,10,11,0.01563311740756035,0.008333333767950535,-0.007299783639609814
B,0,hard_load,3,11,11,0.0011363636003807187,0.00045454545761458576,-0.0006818181136623025
B,0,hard_load,3,12,11,0.012061688117682934,0.007386363577097654,-0.0046753245405852795
B,0,hard_load,3,13,11,0.019859306514263153,0.01928030513226986,-0.0005790013819932938
B,0,hard_load,3,14,11,0.05876082554459572,0.0626893937587738,0.003928568214178085
B,0,hard_load,3,15,11,0.001623376738280058,0.005189393647015095,0.003566016908735037
B,0,hard_load,3,16,11,0.012472943402826786,0.01825757510960102,0.005784631706774235
B,0,hard_load,3,17,11,0.023160172626376152,0.0323106087744236,0.009150436148047447
B,0,hard_load,3,18,11,0.00343073601834476,0.0030681819189339876,-0.0003625540994107723
B,0,hard_load,3,19,11,0.06384199112653732,0.06681817770004272,0.0029761865735054016
B,0,hard_load,3,20,11,0.0028409091755747795,0.004431818146258593,0.001590908970683813
B,0,hard_load,3,21,11,0.016991345211863518,0.012462121434509754,-0.004529223777353764
B,0,hard_load,3,22,11,0.0522727333009243,0.05049242824316025,-0.0017803050577640533
B,0,hard_load,3,23,11,0.03678030148148537,0.034204546362161636,-0.0025757551193237305
B,0,hard_load,3,24,11,0.002207792131230235,0.004356060642749071,0.002148268511518836
B,0,hard_load,3,25,11,0.030443726107478142,0.03428030386567116,0.003836577758193016
B,0,hard_load,3,26,11,0.05971861258149147,0.0656818151473999,0.005963202565908432
B,0,hard_load,3,27,11,0.12142857909202576,0.12420454621315002,0.0027759671211242676
B,0,hard_load,3,28,11,0.02787337452173233,0.031477272510528564,0.003603897988796234
B,0,hard_load,3,29,11,0.012094154953956604,0.014469697140157223,0.0023755421862006187
B,0,hard_load,3,30,11,0.0007575757917948067,0.0013636364601552486,0.0006060606683604419
B,0,hard_load,3,31,11,0.06285715103149414,0.06996211409568787,0.007104963064193726
B,0,hard_load,4,0,11,0.006574675440788269,0.005681818351149559,-0.00089285708963871
B,0,hard_load,4,1,11,0.005600649397820234,0.003977273125201464,-0.0016233762726187706
B,0,hard_load,4,2,11,0.05151515081524849,0.04212121292948723,-0.009393937885761261
B,0,hard_load,4,3,11,0.0,0.0,0.0
B,0,hard_load,4,4,11,0.02517857402563095,0.014772727154195309,-0.010405846871435642
B,0,hard_load,4,5,11,0.03364177420735359,0.03352272883057594,-0.00011904537677764893
B,0,hard_load,4,6,11,0.05067099630832672,0.04886363819241524,-0.0018073581159114838
B,0,hard_load,4,7,11,0.041374459862709045,0.04393939673900604,0.002564936876296997
B,0,hard_load,4,8,11,0.010757575742900372,0.006098484620451927,-0.004659091122448444
B,0,hard_load,4,9,11,0.07866884022951126,0.08856060355901718,0.00989176332950592
B,0,hard_load,4,10,11,0.031396105885505676,0.03075757808983326,-0.0006385277956724167
B,0,hard_load,4,11,11,0.01662878878414631,0.01920454576611519,0.0025757569819688797
B,0,hard_load,4,12,11,0.0006493506371043622,0.005113636143505573,0.00446428544819355
B,0,hard_load,4,13,11,0.0,0.0,0.0
