comparison,target,split,window,baseline,candidate,metric,episodes,clusters,baseline_loss,improvement,relative_improvement,ci_low,ci_high,bootstrap_opposite_tail_2x
initial_prior,stagnation,heldout_seed,q0_to_q2,task_only,task_init,log_loss,1536,48,0.2820585213146493,0.11050922770218952,0.3917953876632267,0.06220540500583311,0.171460431821467,0.0003999200159968006
router_beyond_init,active_return,heldout_seed,q0,task_init,task_init_router,brier,512,16,0.06252489281322879,-0.00511360847265249,-0.08178516175833525,-0.010978020752723382,-0.00045787084175217293,0.020795840831833633
router_beyond_init,active_return,heldout_seed,q0,task_init,task_init_router,log_loss,512,16,0.219704462906776,-0.013457060556160774,-0.06125073827867945,-0.03079527853203544,0.00020321769559965158,0.05678864227154569
router_beyond_init,active_return,heldout_seed,q0_to_q2,task_init,task_init_router,brier,512,16,0.06252489281322879,-0.00663821039350658,-0.10616908074254373,-0.01264078213199105,-0.0021235100949380473,0.0003999200159968006
router_beyond_init,active_return,heldout_seed,q0_to_q2,task_init,task_init_router,log_loss,512,16,0.219704462906776,-0.01697385938369026,-0.07725769044069228,-0.0344117454156673,-0.0035340391058292066,0.003999200159968006
router_beyond_init,any_failure,heldout_seed,q0,task_init,task_init_router,brier,2048,64,0.06321815704867077,-0.0009189049282804032,-0.014535458975385048,-0.0027616710204105195,0.0009719338988584809,0.33873225354929015
router_beyond_init,any_failure,heldout_seed,q0,task_init,task_init_router,log_loss,2048,64,0.22982872000700053,-0.005476465863229131,-0.023828466098851003,-0.013607904780397286,0.003166656470946743,0.22395520895820836
router_beyond_init,any_failure,heldout_seed,q0_to_q2,task_init,task_init_router,brier,2048,64,0.06321815704867077,-0.0002783988182556464,-0.004403779408522002,-0.0018639815972670412,0.0013168428059707356,0.75624875024995
router_beyond_init,any_failure,heldout_seed,q0_to_q2,task_init,task_init_router,log_loss,2048,64,0.22982872000700053,-0.003191747541352892,-0.013887505187583485,-0.010432343990591087,0.004941326833757735,0.39952009598080385
router_beyond_init,goal_regression,heldout_seed,q0,task_init,task_init_router,brier,1024,32,0.031082895604353233,-0.0006296686757011613,-0.020257722566007483,-0.0016042623060262085,0.00032358588309984313,0.1819636072785443
router_beyond_init,goal_regression,heldout_seed,q0,task_init,task_init_router,log_loss,1024,32,0.12417465159441074,-0.005010183820551725,-0.04034787902539394,-0.010922548543658126,0.0003766114799625874,0.0687862427514497
router_beyond_init,goal_regression,heldout_seed,q0_to_q2,task_init,task_init_router,brier,1024,32,0.031082895604353233,-0.0010151614120643404,-0.03265980830698941,-0.0025172008837965896,0.00032429253187976083,0.13717256548690263
router_beyond_init,goal_regression,heldout_seed,q0_to_q2,task_init,task_init_router,log_loss,1024,32,0.12417465159441074,-0.008691722944721491,-0.06999595193639921,-0.01660983779221706,-0.002229617512966072,0.004399120175964807
router_beyond_init,regrasp_or_drop,heldout_seed,q0,task_init,task_init_router,brier,2048,64,0.0232254536475947,-0.00018199378083735759,-0.00783596237123254,-0.0008420429711661156,0.0005534430827937189,0.5650869826034793
router_beyond_init,regrasp_or_drop,heldout_seed,q0,task_init,task_init_router,log_loss,2048,64,0.1129768415838618,-0.0005887580836816148,-0.005211316544413967,-0.005114046838277241,0.004039768975576797,0.7890421915616876
router_beyond_init,regrasp_or_drop,heldout_seed,q0_to_q2,task_init,task_init_router,brier,2048,64,0.0232254536475947,-0.0005749584861228302,-0.024755533082230007,-0.0012457436871124218,0.00011652342290389982,0.10917816436712657
router_beyond_init,regrasp_or_drop,heldout_seed,q0_to_q2,task_init,task_init_router,log_loss,2048,64,0.1129768415838618,-0.006142270766149394,-0.054367520635545785,-0.010387844202556284,-0.002534189412516096,0.0003999200159968006
router_beyond_init,residual_none,heldout_seed,q0,task_init,task_init_router,brier,1536,48,0.04528828095230907,-0.0031643199610915124,-0.06987061320397008,-0.0051168112741306355,-0.0013904169047860317,0.0003999200159968006
router_beyond_init,residual_none,heldout_seed,q0,task_init,task_init_router,log_loss,1536,48,0.17028127273082486,-0.011636621777991955,-0.06833764859384597,-0.018582014818409865,-0.005284694311069461,0.0003999200159968006
router_beyond_init,residual_none,heldout_seed,q0_to_q2,task_init,task_init_router,brier,1536,48,0.04528828095230907,-0.0017043641502310248,-0.03763366845444651,-0.0033940782498310383,-0.00030819642581854666,0.016796640671865627
