query,episodes,failures,successes,tp,fp,recall,fpr,precision,recall_ci_low,recall_ci_high,fpr_ci_low,fpr_ci_high,first_query_median,phase_median,lead_median,recall_by_half,recall_by_065,recall_lead3
20,34560,1403,33157,5,0,0.003563791874554526,0.0,1.0,0.0015231702756766958,0.008315506807593742,0.0,0.00011584322507208563,19.0,0.6666666666666666,10.0,0.0,0.0014255167498218105,0.003563791874554526
21,34560,1403,33157,7,0,0.004989308624376337,0.0,1.0,0.0024188994225013173,0.010263026254930583,0.0,0.00011584322507208563,19.0,0.6666666666666666,10.0,0.0,0.0014255167498218105,0.004989308624376337
22,34560,1403,33157,9,0,0.006414825374198147,0.0,1.0,0.0033785094927649374,0.012146664778828427,0.0,0.00011584322507208563,20.0,0.7,9.0,0.0,0.0014255167498218105,0.006414825374198147
23,34560,1403,33157,14,0,0.009978617248752673,0.0,1.0,0.005953290153970426,0.016680005603026595,0.0,0.00011584322507208563,21.5,0.75,7.5,0.0,0.0014255167498218105,0.009978617248752673
24,34560,1403,33157,16,0,0.011404133998574484,0.0,1.0,0.007031747297614287,0.018444797053544203,0.0,0.00011584322507208563,22.0,0.7666666666666667,7.0,0.0,0.0014255167498218105,0.011404133998574484
25,34560,1403,33157,19,0,0.0135424091233072,0.0,1.0,0.0086867046338973,0.021054712608503383,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.0135424091233072
26,34560,1403,33157,21,0,0.01496792587312901,0.0,1.0,0.00981058489868034,0.022774080937881806,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
27,34560,1403,33157,21,0,0.01496792587312901,0.0,1.0,0.00981058489868034,0.022774080937881806,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
28,34560,1403,33157,22,0,0.015680684248039915,0.0,1.0,0.010377853886589197,0.02362843624705368,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
29,34560,1403,33157,22,0,0.015680684248039915,0.0,1.0,0.010377853886589197,0.02362843624705368,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
30,34560,1403,33157,22,0,0.015680684248039915,0.0,1.0,0.010377853886589197,0.02362843624705368,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
31,34560,1403,33157,22,0,0.015680684248039915,0.0,1.0,0.010377853886589197,0.02362843624705368,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
32,34560,1403,33157,22,0,0.015680684248039915,0.0,1.0,0.010377853886589197,0.02362843624705368,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
33,34560,1403,33157,22,0,0.015680684248039915,0.0,1.0,0.010377853886589197,0.02362843624705368,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
