rule,regime,run_id,episodes,failures,successes,tp,fp,recall,fpr,precision,recall_ci_low,recall_ci_high,fpr_ci_low,fpr_ci_high,first_query_median,phase_median,lead_median,recall_by_half,recall_by_065,recall_lead3
freeze_back_eighth,pin_intervention,pin-off,512,19,493,0,0,0.0,0.0,,0.0,0.16817922405260854,4.336808689942018e-19,0.0077317598048520855,,,,0.0,0.0,0.0
freeze_back_eighth,pin_intervention,pin-on,512,8,504,0,0,0.0,0.0,,0.0,0.3244075648838681,0.0,0.007564287542837727,,,,0.0,0.0,0.0
freeze_back_eighth,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
freeze_back_eighth,libero_natural,all,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
freeze_all_half,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
freeze_all_half,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
freeze_all_half,duplicate_pin_base,pin-base,512,12,500,10,1,0.8333333333333334,0.002,0.9090909090909091,0.5519691377470349,0.9530348578161448,0.0003531363945592893,0.01124070670514633,17.5,0.8409090909090909,3.5,0.0,0.0,0.5
freeze_all_half,libero_natural,right-16x32,2560,307,2253,87,2,0.28338762214983715,0.000887705281846427,0.9775280898876404,0.2358961610854563,0.33623298634362,0.00024347457132710458,0.0032310534200150273,23.0,0.8636363636363636,3.0,0.0,0.0,0.21498371335504887
freeze_all_half,libero_natural,right-50x8-20260903,16000,532,15468,174,61,0.32706766917293234,0.003943625549521593,0.7404255319148936,0.28856577787271587,0.368049071592355,0.003071571656398122,0.005062008251050458,20.0,0.8181818181818182,7.0,0.045112781954887216,0.10150375939849623,0.25
freeze_all_half,libero_natural,right-50x8b-20260903,16000,564,15436,159,82,0.28191489361702127,0.005312257061414874,0.6597510373443983,0.2463540483009674,0.32042643914195645,0.004282155451823821,0.00658851697498449,20.0,0.8076923076923077,7.0,0.05673758865248227,0.10283687943262411,0.2127659574468085
freeze_all_half,pin_intervention,pin-off,512,19,493,15,0,0.7894736842105263,0.0,1.0,0.5666572155618649,0.9149232336708354,4.336808689942018e-19,0.0077317598048520855,18.0,0.8636363636363636,3.0,0.0,0.0,0.47368421052631576
freeze_all_half,pin_intervention,pin-on,512,8,504,5,0,0.625,0.0,1.0,0.3057423946026341,0.8631557141763988,0.0,0.007564287542837727,19.0,0.9090909090909091,2.0,0.0,0.0,0.25
freeze_all_half,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
freeze_all_half,libero_natural,all,34560,1403,33157,420,145,0.2993585174625802,0.004373133878215762,0.7433628318584071,0.27596864712699,0.323844113244784,0.003718032931281364,0.005143064854357997,20.0,0.8181818181818182,5.0,0.03991446899501069,0.07982893799002139,0.22736992159657876
freeze_all_quarter,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
freeze_all_quarter,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
freeze_all_quarter,duplicate_pin_base,pin-base,512,12,500,0,0,0.0,0.0,,0.0,0.24249400665523077,0.0,0.007624340461551825,,,,0.0,0.0,0.0
freeze_all_quarter,libero_natural,right-16x32,2560,307,2253,0,0,0.0,0.0,,8.673617379884035e-19,0.012358257599446618,0.0,0.0017021394239634612,,,,0.0,0.0,0.0
freeze_all_quarter,libero_natural,right-50x8-20260903,16000,532,15468,0,0,0.0,0.0,,4.336808689942018e-19,0.00716902127944408,0.0,0.00024828711119605283,,,,0.0,0.0,0.0
freeze_all_quarter,libero_natural,right-50x8b-20260903,16000,564,15436,0,0,0.0,0.0,,0.0,0.006765019991093893,2.710505431213761e-20,0.00024880170116638796,,,,0.0,0.0,0.0
freeze_all_quarter,pin_intervention,pin-off,512,19,493,0,0,0.0,0.0,,0.0,0.16817922405260854,4.336808689942018e-19,0.0077317598048520855,,,,0.0,0.0,0.0
freeze_all_quarter,pin_intervention,pin-on,512,8,504,0,0,0.0,0.0,,0.0,0.3244075648838681,0.0,0.007564287542837727,,,,0.0,0.0,0.0
freeze_all_quarter,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
freeze_all_quarter,libero_natural,all,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
freeze_all_eighth,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
freeze_all_eighth,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
freeze_all_eighth,duplicate_pin_base,pin-base,512,12,500,0,0,0.0,0.0,,0.0,0.24249400665523077,0.0,0.007624340461551825,,,,0.0,0.0,0.0
freeze_all_eighth,libero_natural,right-16x32,2560,307,2253,0,0,0.0,0.0,,8.673617379884035e-19,0.012358257599446618,0.0,0.0017021394239634612,,,,0.0,0.0,0.0
freeze_all_eighth,libero_natural,right-50x8-20260903,16000,532,15468,0,0,0.0,0.0,,4.336808689942018e-19,0.00716902127944408,0.0,0.00024828711119605283,,,,0.0,0.0,0.0
freeze_all_eighth,libero_natural,right-50x8b-20260903,16000,564,15436,0,0,0.0,0.0,,0.0,0.006765019991093893,2.710505431213761e-20,0.00024880170116638796,,,,0.0,0.0,0.0
freeze_all_eighth,pin_intervention,pin-off,512,19,493,0,0,0.0,0.0,,0.0,0.16817922405260854,4.336808689942018e-19,0.0077317598048520855,,,,0.0,0.0,0.0
freeze_all_eighth,pin_intervention,pin-on,512,8,504,0,0,0.0,0.0,,0.0,0.3244075648838681,0.0,0.007564287542837727,,,,0.0,0.0,0.0
freeze_all_eighth,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
freeze_all_eighth,libero_natural,all,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
freeze_front_half,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
freeze_front_half,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
freeze_front_half,duplicate_pin_base,pin-base,512,12,500,5,1,0.4166666666666667,0.002,0.8333333333333334,0.19326031365876087,0.6804886874504443,0.0003531363945592893,0.01124070670514633,18.0,0.8636363636363636,3.0,0.0,0.0,0.25
freeze_front_half,libero_natural,right-16x32,2560,307,2253,12,1,0.03908794788273615,0.0004438526409232135,0.9230769230769231,0.022498992317083973,0.06706904318989776,7.83551870993369e-05,0.0025099785205534597,18.0,0.8636363636363636,3.0,0.0,0.0,0.026058631921824105
freeze_front_half,libero_natural,right-50x8-20260903,16000,532,15468,21,24,0.039473684210526314,0.0015515903801396431,0.4666666666666667,0.025961011691571195,0.05958940264475887,0.0010429261476710243,0.002307771244017826,18.0,0.8636363636363636,3.0,0.0,0.0018796992481203006,0.02631578947368421
freeze_front_half,libero_natural,right-50x8b-20260903,16000,564,15436,18,25,0.031914893617021274,0.0016195905675045349,0.4186046511627907,0.020281441303669698,0.04988155613480118,0.001097306989351843,0.0023898699330468388,18.0,0.8603896103896104,3.5,0.0,0.0017730496453900709,0.024822695035460994
freeze_front_half,pin_intervention,pin-off,512,19,493,6,0,0.3157894736842105,0.0,1.0,0.15364379087792587,0.5398959232467192,4.336808689942018e-19,0.0077317598048520855,19.0,0.9090909090909091,2.0,0.0,0.0,0.05263157894736842
freeze_front_half,pin_intervention,pin-on,512,8,504,2,0,0.25,0.0,1.0,0.07147921275211133,0.5907245696898228,0.0,0.007564287542837727,19.5,0.9318181818181819,1.5,0.0,0.0,0.125
freeze_front_half,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
freeze_front_half,libero_natural,all,34560,1403,33157,51,50,0.036350677120456164,0.0015079771993847452,0.504950495049505,0.027755040656941992,0.04747835409204208,0.0011441079203076045,0.001987340325649748,18.0,0.8636363636363636,3.0,0.0,0.0014255167498218105,0.02565930149679259
freeze_front_quarter,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
freeze_front_quarter,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
freeze_front_quarter,duplicate_pin_base,pin-base,512,12,500,0,0,0.0,0.0,,0.0,0.24249400665523077,0.0,0.007624340461551825,,,,0.0,0.0,0.0
freeze_front_quarter,libero_natural,right-16x32,2560,307,2253,0,0,0.0,0.0,,8.673617379884035e-19,0.012358257599446618,0.0,0.0017021394239634612,,,,0.0,0.0,0.0
freeze_front_quarter,libero_natural,right-50x8-20260903,16000,532,15468,0,0,0.0,0.0,,4.336808689942018e-19,0.00716902127944408,0.0,0.00024828711119605283,,,,0.0,0.0,0.0
freeze_front_quarter,libero_natural,right-50x8b-20260903,16000,564,15436,0,0,0.0,0.0,,0.0,0.006765019991093893,2.710505431213761e-20,0.00024880170116638796,,,,0.0,0.0,0.0
freeze_front_quarter,pin_intervention,pin-off,512,19,493,0,0,0.0,0.0,,0.0,0.16817922405260854,4.336808689942018e-19,0.0077317598048520855,,,,0.0,0.0,0.0
freeze_front_quarter,pin_intervention,pin-on,512,8,504,0,0,0.0,0.0,,0.0,0.3244075648838681,0.0,0.007564287542837727,,,,0.0,0.0,0.0
freeze_front_quarter,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
freeze_front_quarter,libero_natural,all,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
freeze_front_eighth,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
freeze_front_eighth,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
freeze_front_eighth,duplicate_pin_base,pin-base,512,12,500,0,0,0.0,0.0,,0.0,0.24249400665523077,0.0,0.007624340461551825,,,,0.0,0.0,0.0
freeze_front_eighth,libero_natural,right-16x32,2560,307,2253,0,0,0.0,0.0,,8.673617379884035e-19,0.012358257599446618,0.0,0.0017021394239634612,,,,0.0,0.0,0.0
freeze_front_eighth,libero_natural,right-50x8-20260903,16000,532,15468,0,0,0.0,0.0,,4.336808689942018e-19,0.00716902127944408,0.0,0.00024828711119605283,,,,0.0,0.0,0.0
freeze_front_eighth,libero_natural,right-50x8b-20260903,16000,564,15436,0,0,0.0,0.0,,0.0,0.006765019991093893,2.710505431213761e-20,0.00024880170116638796,,,,0.0,0.0,0.0
freeze_front_eighth,pin_intervention,pin-off,512,19,493,0,0,0.0,0.0,,0.0,0.16817922405260854,4.336808689942018e-19,0.0077317598048520855,,,,0.0,0.0,0.0
freeze_front_eighth,pin_intervention,pin-on,512,8,504,0,0,0.0,0.0,,0.0,0.3244075648838681,0.0,0.007564287542837727,,,,0.0,0.0,0.0
freeze_front_eighth,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
freeze_front_eighth,libero_natural,all,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
freeze_back_quarter_k1,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
freeze_back_quarter_k1,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
freeze_back_quarter_k1,duplicate_pin_base,pin-base,512,12,500,0,0,0.0,0.0,,0.0,0.24249400665523077,0.0,0.007624340461551825,,,,0.0,0.0,0.0
freeze_back_quarter_k1,libero_natural,right-16x32,2560,307,2253,8,0,0.026058631921824105,0.0,1.0,0.013262226311775,0.05056921655936171,0.0,0.0017021394239634612,37.0,0.7596153846153846,12.5,0.0,0.0,0.02280130293159609
freeze_back_quarter_k1,libero_natural,right-50x8-20260903,16000,532,15468,12,0,0.022556390977443608,0.0,1.0,0.012949409334214998,0.03900897940630679,0.0,0.00024828711119605283,21.0,0.7307692307692308,8.5,0.0,0.007518796992481203,0.020676691729323307
freeze_back_quarter_k1,libero_natural,right-50x8b-20260903,16000,564,15436,18,1,0.031914893617021274,6.47836227001814e-05,0.9473684210526315,0.020281441303669698,0.04988155613480118,1.1435991701396581e-05,0.0003669007183142832,22.0,0.7666666666666667,8.0,0.0,0.0035460992907801418,0.031914893617021274
freeze_back_quarter_k1,pin_intervention,pin-off,512,19,493,0,0,0.0,0.0,,0.0,0.16817922405260854,4.336808689942018e-19,0.0077317598048520855,,,,0.0,0.0,0.0
freeze_back_quarter_k1,pin_intervention,pin-on,512,8,504,0,0,0.0,0.0,,0.0,0.3244075648838681,0.0,0.007564287542837727,,,,0.0,0.0,0.0
freeze_back_quarter_k1,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
freeze_back_quarter_k1,libero_natural,all,34560,1403,33157,38,1,0.0270848182466144,3.0159543987694907e-05,0.9743589743589743,0.019795870718744772,0.036956408168189805,5.323919918153659e-06,0.0001708314055716373,23.0,0.7666666666666667,8.5,0.0,0.0042765502494654314,0.02565930149679259
freeze_back_quarter_k4,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
freeze_back_quarter_k4,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
freeze_back_quarter_k4,duplicate_pin_base,pin-base,512,12,500,0,0,0.0,0.0,,0.0,0.24249400665523077,0.0,0.007624340461551825,,,,0.0,0.0,0.0
freeze_back_quarter_k4,libero_natural,right-16x32,2560,307,2253,0,0,0.0,0.0,,8.673617379884035e-19,0.012358257599446618,0.0,0.0017021394239634612,,,,0.0,0.0,0.0
freeze_back_quarter_k4,libero_natural,right-50x8-20260903,16000,532,15468,6,0,0.011278195488721804,0.0,1.0,0.005178865835794999,0.024384839174187933,0.0,0.00024828711119605283,23.0,0.8,6.0,0.0,0.0,0.007518796992481203
freeze_back_quarter_k4,libero_natural,right-50x8b-20260903,16000,564,15436,5,0,0.008865248226950355,0.0,1.0,0.0037924794638809767,0.020583089818150966,2.710505431213761e-20,0.00024880170116638796,24.0,0.8333333333333334,5.0,0.0,0.0,0.0070921985815602835
freeze_back_quarter_k4,pin_intervention,pin-off,512,19,493,0,0,0.0,0.0,,0.0,0.16817922405260854,4.336808689942018e-19,0.0077317598048520855,,,,0.0,0.0,0.0
freeze_back_quarter_k4,pin_intervention,pin-on,512,8,504,0,0,0.0,0.0,,0.0,0.3244075648838681,0.0,0.007564287542837727,,,,0.0,0.0,0.0
freeze_back_quarter_k4,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
freeze_back_quarter_k4,libero_natural,all,34560,1403,33157,11,0,0.007840342124019958,0.0,1.0,0.004383521387824679,0.013984901477930148,0.0,0.00011584322507208563,24.0,0.8333333333333334,5.0,0.0,0.0,0.005702066999287242
freeze_back_quarter_b2,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
freeze_back_quarter_b2,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
freeze_back_quarter_b2,duplicate_pin_base,pin-base,512,12,500,0,0,0.0,0.0,,0.0,0.24249400665523077,0.0,0.007624340461551825,,,,0.0,0.0,0.0
freeze_back_quarter_b2,libero_natural,right-16x32,2560,307,2253,22,0,0.07166123778501629,0.0,1.0,0.04779715867399524,0.10611235842259913,0.0,0.0017021394239634612,39.0,0.7692307692307693,12.0,0.0,0.0,0.07166123778501629
freeze_back_quarter_b2,libero_natural,right-50x8-20260903,16000,532,15468,8,0,0.015037593984962405,0.0,1.0,0.007639043968096847,0.029389555618732372,0.0,0.00024828711119605283,36.5,0.8173076923076923,9.5,0.0,0.0018796992481203006,0.011278195488721804
freeze_back_quarter_b2,libero_natural,right-50x8b-20260903,16000,564,15436,14,1,0.024822695035460994,6.47836227001814e-05,0.9333333333333333,0.014842916507993189,0.041231641497727255,1.1435991701396581e-05,0.0003669007183142832,41.5,0.8173076923076923,9.0,0.0,0.0,0.024822695035460994
freeze_back_quarter_b2,pin_intervention,pin-off,512,19,493,0,0,0.0,0.0,,0.0,0.16817922405260854,4.336808689942018e-19,0.0077317598048520855,,,,0.0,0.0,0.0
freeze_back_quarter_b2,pin_intervention,pin-on,512,8,504,0,0,0.0,0.0,,0.0,0.3244075648838681,0.0,0.007564287542837727,,,,0.0,0.0,0.0
freeze_back_quarter_b2,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
freeze_back_quarter_b2,libero_natural,all,34560,1403,33157,44,1,0.03136136849607983,3.0159543987694907e-05,0.9777777777777777,0.023443955714648232,0.04183806895477073,5.323919918153659e-06,0.0001708314055716373,40.0,0.7884615384615384,11.0,0.0,0.0007127583749109052,0.02993585174625802
freeze_back_quarter_b8,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
freeze_back_quarter_b8,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
freeze_back_quarter_b8,duplicate_pin_base,pin-base,512,12,500,0,0,0.0,0.0,,0.0,0.24249400665523077,0.0,0.007624340461551825,,,,0.0,0.0,0.0
freeze_back_quarter_b8,libero_natural,right-16x32,2560,307,2253,0,0,0.0,0.0,,8.673617379884035e-19,0.012358257599446618,0.0,0.0017021394239634612,,,,0.0,0.0,0.0
freeze_back_quarter_b8,libero_natural,right-50x8-20260903,16000,532,15468,9,0,0.016917293233082706,0.0,1.0,0.00892527739300209,0.03183576948225027,0.0,0.00024828711119605283,20.0,0.75,7.0,0.0,0.0037593984962406013,0.016917293233082706
freeze_back_quarter_b8,libero_natural,right-50x8b-20260903,16000,564,15436,15,0,0.026595744680851064,0.0,1.0,0.016182453638221787,0.04341421422568626,2.710505431213761e-20,0.00024880170116638796,24.0,0.8076923076923077,6.0,0.0,0.0,0.024822695035460994
freeze_back_quarter_b8,pin_intervention,pin-off,512,19,493,0,0,0.0,0.0,,0.0,0.16817922405260854,4.336808689942018e-19,0.0077317598048520855,,,,0.0,0.0,0.0
freeze_back_quarter_b8,pin_intervention,pin-on,512,8,504,0,0,0.0,0.0,,0.0,0.3244075648838681,0.0,0.007564287542837727,,,,0.0,0.0,0.0
freeze_back_quarter_b8,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
freeze_back_quarter_b8,libero_natural,all,34560,1403,33157,24,0,0.017106200997861726,0.0,1.0,0.011521941357837892,0.025327597369966447,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.01639344262295082
recurrence_back_015,calvin_partial,routes-v1,339,30,309,0,0,0.0,0.0,,0.0,0.11351339317396321,0.0,0.012279251078725018,,,,0.0,0.0,0.0
recurrence_back_015,calvin_partial,routes-v2-20260903,839,77,762,0,0,0.0,0.0,,0.0,0.04751842528243159,0.0,0.00501599747108143,,,,0.0,0.0,0.0
recurrence_back_015,duplicate_pin_base,pin-base,512,12,500,0,0,0.0,0.0,,0.0,0.24249400665523077,0.0,0.007624340461551825,,,,0.0,0.0,0.0
recurrence_back_015,libero_natural,right-16x32,2560,307,2253,0,0,0.0,0.0,,8.673617379884035e-19,0.012358257599446618,0.0,0.0017021394239634612,,,,0.0,0.0,0.0
recurrence_back_015,libero_natural,right-50x8-20260903,16000,532,15468,11,0,0.020676691729323307,0.0,1.0,0.011584015607899817,0.03664192584419883,0.0,0.00024828711119605283,21.0,0.6785714285714286,9.0,0.007518796992481203,0.009398496240601503,0.016917293233082706
recurrence_back_015,libero_natural,right-50x8b-20260903,16000,564,15436,11,0,0.01950354609929078,0.0,1.0,0.010924712801601923,0.03458351562955568,2.710505431213761e-20,0.00024880170116638796,23.0,0.8571428571428571,4.0,0.0,0.0017730496453900709,0.014184397163120567
recurrence_back_015,pin_intervention,pin-off,512,19,493,0,0,0.0,0.0,,0.0,0.16817922405260854,4.336808689942018e-19,0.0077317598048520855,,,,0.0,0.0,0.0
recurrence_back_015,pin_intervention,pin-on,512,8,504,0,0,0.0,0.0,,0.0,0.3244075648838681,0.0,0.007564287542837727,,,,0.0,0.0,0.0
recurrence_back_015,pin_smoke,pin-smoke,2,0,2,0,0,,0.0,,,,0.0,0.6576197724933345,,,,,,
recurrence_back_015,libero_natural,all,34560,1403,33157,22,0,0.015680684248039915,0.0,1.0,0.010377853886589197,0.02362843624705368,0.0,0.00011584322507208563,21.5,0.7857142857142857,6.0,0.002851033499643621,0.0042765502494654314,0.012116892373485389
recurrence_back_025,calvin_partial,routes-v1,339,30,309,28,10,0.9333333333333333,0.032362459546925564,0.7368421052631579,0.7867654163738362,0.981522976208729,0.017671889915860894,0.05853750672411169,13.0,0.3888888888888889,22.0,0.7,0.8333333333333334,0.9
