task,model,pairs,matched_auroc
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,prior,11012,0.5
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,support_current,11012,0.4930076280421358
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,support_window4,11012,0.5142571739920088
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,support_prefix_mean,11012,0.49291681801670906
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,support_prefix_max,11012,0.5138031238648747
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,freeze,11012,0.5237014166363967
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,supervised_moe,11012,0.5195695604794769
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,clock_cap,11012,0.5
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,prior_unseen_task,11012,0.5
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,support_current_unseen_task,11012,0.5095350526698148
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,support_window4_unseen_task,11012,0.49282600799128223
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,support_prefix_mean_unseen_task,11012,0.46385760988013075
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,support_prefix_max_unseen_task,11012,0.46340355975299674
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,freeze_unseen_task,11012,0.5237014166363967
LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,supervised_moe_unseen_task,11012,0.4974573192880494
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,prior,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,support_current,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,support_window4,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,support_prefix_mean,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,support_prefix_max,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,freeze,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,supervised_moe,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,clock_cap,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,prior_unseen_task,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,support_current_unseen_task,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,support_window4_unseen_task,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,support_prefix_mean_unseen_task,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,support_prefix_max_unseen_task,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,freeze_unseen_task,0,
STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,supervised_moe_unseen_task,0,
open_the_middle_drawer_of_the_cabinet,prior,0,
open_the_middle_drawer_of_the_cabinet,support_current,0,
open_the_middle_drawer_of_the_cabinet,support_window4,0,
open_the_middle_drawer_of_the_cabinet,support_prefix_mean,0,
open_the_middle_drawer_of_the_cabinet,support_prefix_max,0,
open_the_middle_drawer_of_the_cabinet,freeze,0,
open_the_middle_drawer_of_the_cabinet,supervised_moe,0,
open_the_middle_drawer_of_the_cabinet,clock_cap,0,
