corpus,event_kind,signal,variant,control_kind,relative,auc_event_high,det_auc,direction,ci95_low,ci95_high,n_groups,n_events,npairs,p_point,p_maxT,null_max_effect_q95
A,loop,lag_periodicity,raw,all_no_event,-5,0.33709449929478136,0.6629055007052187,event_low,0.27972785665990535,0.40394957983193264,17,123,709,,,
A,loop,lag_periodicity,raw,all_no_event,-4,0.42,0.5800000000000001,event_low,0.3504250559284116,0.49588114632261127,16,122,700,0.07296351824087956,0.9950024987506247,0.3108034501820628
A,loop,lag_periodicity,raw,all_no_event,-3,0.5265423242467718,0.5265423242467718,event_high,0.4564598742736854,0.5937259189703653,16,121,697,,,
A,loop,lag_periodicity,raw,all_no_event,-2,0.6170520231213873,0.6170520231213873,event_high,0.5508229019142035,0.6811582881518472,16,121,692,0.005997001499250375,0.841079460269865,0.3108034501820628
A,loop,lag_periodicity,raw,all_no_event,-1,0.6468885672937771,0.6468885672937771,event_high,0.5786650222425003,0.7101834536886756,15,120,691,,,
A,loop,lag_periodicity,raw,all_no_event,0,0.41944847605224966,0.5805515239477503,event_low,0.346347858633883,0.4797798759655377,15,120,689,0.028985507246376812,0.9950024987506247,0.3108034501820628
A,loop,lag_periodicity,raw,all_no_event,1,0.1493411420204978,0.8506588579795022,event_low,0.08990675815999914,0.2220466414550693,15,119,683,,,
A,loop,lag_periodicity,raw,all_no_event,2,0.09010339734121123,0.9098966026587888,event_low,0.033438301075750285,0.15343073459268458,15,119,677,,,
A,loop,lag_periodicity,raw,all_no_event,3,0.07738095238095238,0.9226190476190477,event_low,0.0346614577895638,0.1315836975109253,15,119,672,,,
A,loop,lag_periodicity,raw,all_no_event,4,0.13803680981595093,0.8619631901840491,event_low,0.08216618994320772,0.20290408908964033,15,116,652,,,
A,loop,late_flow_volatility,raw,all_no_event,-8,0.6745098039215687,0.6745098039215687,event_high,0.5809928895170857,0.7604919148417503,18,124,765,0.004497751124437781,0.4102948525737131,0.3108034501820628
A,loop,late_flow_volatility,raw,all_no_event,-7,0.6315086782376502,0.6315086782376502,event_high,0.529661991291668,0.7139188842054734,17,123,749,,,
A,loop,late_flow_volatility,raw,all_no_event,-6,0.5953038674033149,0.5953038674033149,event_high,0.5031345794809067,0.6782410960609014,17,123,724,0.09195402298850575,0.9630184907546226,0.3108034501820628
A,loop,late_flow_volatility,raw,all_no_event,-5,0.6473906911142454,0.6473906911142454,event_high,0.5566487148853557,0.7340420005379256,17,123,709,,,
A,loop,late_flow_volatility,raw,all_no_event,-4,0.7685714285714286,0.7685714285714286,event_high,0.6949120047831965,0.8277663220260222,16,122,700,0.0009995002498750624,0.10594702648675662,0.3108034501820628
A,loop,late_flow_volatility,raw,all_no_event,-3,0.9038737446197992,0.9038737446197992,event_high,0.8461512261580382,0.9452593953728902,16,121,697,,,
A,loop,late_flow_volatility,raw,all_no_event,-2,0.9234104046242775,0.9234104046242775,event_high,0.8632017025138896,0.9643362458006155,16,121,692,0.0004997501249375312,0.004497751124437781,0.3108034501820628
A,loop,late_flow_volatility,raw,all_no_event,-1,0.8552821997105644,0.8552821997105644,event_high,0.7702208737864077,0.9187523641678129,15,120,691,,,
A,loop,late_flow_volatility,raw,all_no_event,0,0.8011611030478955,0.8011611030478955,event_high,0.7154422171752082,0.8725540601844851,15,120,689,0.0004997501249375312,0.06296851574212893,0.3108034501820628
A,loop,late_flow_volatility,raw,all_no_event,1,0.7232796486090776,0.7232796486090776,event_high,0.6293747914117254,0.797123084286842,15,119,683,,,
A,loop,late_flow_volatility,raw,all_no_event,2,0.6528803545051699,0.6528803545051699,event_high,0.5360343194879833,0.753686469876807,15,119,677,,,
A,loop,late_flow_volatility,raw,all_no_event,3,0.6636904761904762,0.6636904761904762,event_high,0.5511395603618886,0.7518732481197641,15,119,672,,,
A,loop,late_flow_volatility,raw,all_no_event,4,0.6104294478527608,0.6104294478527608,event_high,0.4774305957200694,0.7188557958542242,15,116,652,,,
A,loop,route_acceleration,raw,all_no_event,-8,0.6640522875816993,0.6640522875816993,event_high,0.5722375668870003,0.7471987359550561,18,124,765,0.0069965017491254375,0.46326836581709147,0.3108034501820628
A,loop,route_acceleration,raw,all_no_event,-7,0.6315086782376502,0.6315086782376502,event_high,0.5328151148708162,0.7202673243210327,17,123,749,,,
A,loop,route_acceleration,raw,all_no_event,-6,0.6049723756906077,0.6049723756906077,event_high,0.5152927411175953,0.6872731280254275,17,123,724,0.046476761619190406,0.9185407296351824,0.3108034501820628
A,loop,route_acceleration,raw,all_no_event,-5,0.6784203102961918,0.6784203102961918,event_high,0.5957783572810168,0.7486646363090691,17,123,709,,,
A,loop,route_acceleration,raw,all_no_event,-4,0.8128571428571428,0.8128571428571428,event_high,0.7438098846965842,0.8723439954305298,16,122,700,0.0009995002498750624,0.050474762618690654,0.3108034501820628
A,loop,route_acceleration,raw,all_no_event,-3,0.9067431850789096,0.9067431850789096,event_high,0.8421873385480171,0.9508946813309276,16,121,697,,,
A,loop,route_acceleration,raw,all_no_event,-2,0.9248554913294798,0.9248554913294798,event_high,0.865796256002401,0.9625461653141782,16,121,692,0.0004997501249375312,0.004497751124437781,0.3108034501820628
A,loop,route_acceleration,raw,all_no_event,-1,0.8437047756874095,0.8437047756874095,event_high,0.7580149549938553,0.909350348993242,15,120,691,,,
A,loop,route_acceleration,raw,all_no_event,0,0.7851959361393324,0.7851959361393324,event_high,0.7014140926640927,0.8557065362620918,15,120,689,0.0014992503748125937,0.08745627186406797,0.3108034501820628
A,loop,route_acceleration,raw,all_no_event,1,0.6734992679355783,0.6734992679355783,event_high,0.5747330275430583,0.7663746255883611,15,119,683,,,
A,loop,route_acceleration,raw,all_no_event,2,0.621861152141802,0.621861152141802,event_high,0.49394459473254393,0.7215709734775522,15,119,677,,,
A,loop,route_acceleration,raw,all_no_event,3,0.6071428571428571,0.6071428571428571,event_high,0.5058810667123992,0.6878038058890402,15,119,672,,,
A,loop,route_acceleration,raw,all_no_event,4,0.48619631901840493,0.5138036809815951,event_low,0.37291353798586574,0.5837359676695104,15,116,652,,,
A,loop,gate_entropy,raw,all_no_event,-8,0.32287581699346407,0.677124183006536,event_low,0.24157127494924727,0.4059514417577216,18,124,765,0.0009995002498750624,0.3933033483258371,0.3108034501820628
A,loop,gate_entropy,raw,all_no_event,-7,0.38050734312416556,0.6194926568758344,event_low,0.3070092564259486,0.45554775087728944,17,123,749,,,
A,loop,gate_entropy,raw,all_no_event,-6,0.42679558011049723,0.5732044198895028,event_low,0.3402420242444624,0.5124691446586691,17,123,724,0.1199400299850075,0.999000499750125,0.3108034501820628
A,loop,gate_entropy,raw,all_no_event,-5,0.45839210155148097,0.5416078984485191,event_low,0.3369855568790947,0.5780215023393463,17,123,709,,,
A,loop,gate_entropy,raw,all_no_event,-4,0.3657142857142857,0.6342857142857143,event_low,0.28273129356437027,0.4475553135389201,16,122,700,0.01199400299850075,0.6796601699150425,0.3108034501820628
A,loop,gate_entropy,raw,all_no_event,-3,0.18220946915351507,0.8177905308464849,event_low,0.1281286912640174,0.25788742635543277,16,121,697,,,
A,loop,gate_entropy,raw,all_no_event,-2,0.11416184971098266,0.8858381502890174,event_low,0.061553519913079315,0.1839674693432124,16,121,692,0.0009995002498750624,0.011494252873563218,0.3108034501820628
A,loop,gate_entropy,raw,all_no_event,-1,0.1678726483357453,0.8321273516642547,event_low,0.11305831678126964,0.24633128874388252,15,120,691,,,
A,loop,gate_entropy,raw,all_no_event,0,0.22641509433962265,0.7735849056603774,event_low,0.15685837392281754,0.317536595098252,15,120,689,0.0014992503748125937,0.10094952523738131,0.3108034501820628
A,loop,gate_entropy,raw,all_no_event,1,0.3323572474377745,0.6676427525622255,event_low,0.2199105919912984,0.46118030148330924,15,119,683,,,
A,loop,gate_entropy,raw,all_no_event,2,0.3072378138847858,0.6927621861152142,event_low,0.192886396011396,0.4384154454966475,15,119,677,,,
A,loop,gate_entropy,raw,all_no_event,3,0.26785714285714285,0.7321428571428572,event_low,0.17155433731054498,0.37879437229437224,15,119,672,,,
A,loop,gate_entropy,raw,all_no_event,4,0.3113496932515337,0.6886503067484663,event_low,0.202385972513507,0.43494474400077715,15,116,652,,,
A,loop,top12_margin,raw,all_no_event,-8,0.6,0.6,event_high,0.5395259272985578,0.6615659976097537,18,124,765,0.010494752623688156,0.9425287356321839,0.3108034501820628
A,loop,top12_margin,raw,all_no_event,-7,0.5660881174899867,0.5660881174899867,event_high,0.48106248793433487,0.6490391827499914,17,123,749,,,
A,loop,top12_margin,raw,all_no_event,-6,0.5911602209944752,0.5911602209944752,event_high,0.5011334986177358,0.6832027858081472,17,123,724,0.10744627686156921,0.975512243878061,0.3108034501820628
A,loop,top12_margin,raw,all_no_event,-5,0.5937940761636107,0.5937940761636107,event_high,0.4979780661105962,0.6861991770937894,17,123,709,,,
A,loop,top12_margin,raw,all_no_event,-4,0.6714285714285714,0.6714285714285714,event_high,0.5703578360019409,0.7585009477763449,16,122,700,0.017991004497751123,0.4267866066966517,0.3108034501820628
A,loop,top12_margin,raw,all_no_event,-3,0.7417503586800573,0.7417503586800573,event_high,0.6430750825438616,0.8182890865673502,16,121,697,,,
A,loop,top12_margin,raw,all_no_event,-2,0.8323699421965318,0.8323699421965318,event_high,0.7708333333333334,0.8838666167103784,16,121,692,0.0009995002498750624,0.037481259370314844,0.3108034501820628
A,loop,top12_margin,raw,all_no_event,-1,0.7771345875542692,0.7771345875542692,event_high,0.7131405394710809,0.8374904796699877,15,120,691,,,
A,loop,top12_margin,raw,all_no_event,0,0.7561683599419449,0.7561683599419449,event_high,0.6878194780737154,0.8113334347737877,15,120,689,0.0014992503748125937,0.12393803098450774,0.3108034501820628
A,loop,top12_margin,raw,all_no_event,1,0.705710102489019,0.705710102489019,event_high,0.6330352247807017,0.7747384085861303,15,119,683,,,
A,loop,top12_margin,raw,all_no_event,2,0.5864106351550961,0.5864106351550961,event_high,0.4718252284793096,0.6963980650813826,15,119,677,,,
A,loop,top12_margin,raw,all_no_event,3,0.6428571428571429,0.6428571428571429,event_high,0.5136629482509039,0.7643246336916258,15,119,672,,,
A,loop,top12_margin,raw,all_no_event,4,0.5322085889570553,0.5322085889570553,event_high,0.3811763370678727,0.6570525673324156,15,116,652,,,
A,loop,state_action_gap,raw,all_no_event,-8,0.5934640522875817,0.5934640522875817,event_high,0.46373231884099697,0.7194794255190091,18,124,765,0.19940029985007496,0.9695152423788106,0.3108034501820628
A,loop,state_action_gap,raw,all_no_event,-7,0.527369826435247,0.527369826435247,event_high,0.4212246663371231,0.6268879729607699,17,123,749,,,
A,loop,state_action_gap,raw,all_no_event,-6,0.47099447513812154,0.5290055248618785,event_low,0.3668401996379312,0.5712481495188749,17,123,724,0.5752123938030984,1.0,0.3108034501820628
A,loop,state_action_gap,raw,all_no_event,-5,0.4301833568406206,0.5698166431593794,event_low,0.35162033160274664,0.5065155305399207,17,123,709,,,
A,loop,state_action_gap,raw,all_no_event,-4,0.5071428571428571,0.5071428571428571,event_high,0.42579022114019066,0.589834008299585,16,122,700,0.8665667166416792,1.0,0.3108034501820628
A,loop,state_action_gap,raw,all_no_event,-3,0.5322812051649928,0.5322812051649928,event_high,0.42261563588542234,0.6375869963369962,16,121,697,,,
A,loop,state_action_gap,raw,all_no_event,-2,0.5722543352601156,0.5722543352601156,event_high,0.4587809830849104,0.686588048918532,16,121,692,0.2478760619690155,0.999000499750125,0.3108034501820628
A,loop,state_action_gap,raw,all_no_event,-1,0.6150506512301013,0.6150506512301013,event_high,0.5198742597604438,0.7169057025077293,15,120,691,,,
A,loop,state_action_gap,raw,all_no_event,0,0.6415094339622641,0.6415094339622641,event_high,0.5399937238493724,0.7594155745891468,15,120,689,0.026486756621689155,0.6241879060469765,0.3108034501820628
A,loop,state_action_gap,raw,all_no_event,1,0.7349926793557833,0.7349926793557833,event_high,0.6095041223734183,0.8600378178530221,15,119,683,,,
A,loop,state_action_gap,raw,all_no_event,2,0.7636632200886263,0.7636632200886263,event_high,0.6433822570472597,0.8824496158675434,15,119,677,,,
A,loop,state_action_gap,raw,all_no_event,3,0.7604166666666666,0.7604166666666666,event_high,0.647489697352279,0.8704719059638163,15,119,672,,,
A,loop,state_action_gap,raw,all_no_event,4,0.6978527607361963,0.6978527607361963,event_high,0.6027904027385396,0.7876389671204629,15,116,652,,,
A,loop,macro_stickiness,raw,all_no_event,-8,0.5482804232804233,0.5482804232804233,event_high,0.4746264972738564,0.6247434768343435,18,122,756,0.21189405297351324,1.0,0.3108034501820628
A,loop,macro_stickiness,raw,all_no_event,-7,0.5026702269692924,0.5026702269692924,event_high,0.45052980528563014,0.5522804594691206,17,123,749,,,
A,loop,macro_stickiness,raw,all_no_event,-6,0.5220994475138122,0.5220994475138122,event_high,0.46440047046360916,0.5774657547479666,17,123,724,0.46776611694152925,1.0,0.3108034501820628
A,loop,macro_stickiness,raw,all_no_event,-5,0.4823695345557123,0.5176304654442877,event_low,0.41504126937568614,0.5446273004546124,17,123,709,,,
A,loop,macro_stickiness,raw,all_no_event,-4,0.45714285714285713,0.5428571428571429,event_low,0.3879152273147863,0.5200016051364366,16,122,700,0.23438280859570215,1.0,0.3108034501820628
A,loop,macro_stickiness,raw,all_no_event,-3,0.4935437589670014,0.5064562410329986,event_low,0.42475053304904054,0.5525976807922801,16,121,697,,,
A,loop,macro_stickiness,raw,all_no_event,-2,0.5426300578034682,0.5426300578034682,event_high,0.4624746579847051,0.616156976744186,16,121,692,0.344327836081959,1.0,0.3108034501820628
A,loop,macro_stickiness,raw,all_no_event,-1,0.459479015918958,0.540520984081042,event_low,0.39049698894844814,0.5316636142305666,15,120,691,,,
A,loop,macro_stickiness,raw,all_no_event,0,0.5029027576197388,0.5029027576197388,event_high,0.4339985060720941,0.5672939372789042,15,120,689,0.9435282358820589,1.0,0.3108034501820628
A,loop,macro_stickiness,raw,all_no_event,1,0.4560761346998536,0.5439238653001464,event_low,0.4157107693374895,0.5022505350454788,15,119,683,,,
A,loop,macro_stickiness,raw,all_no_event,2,0.4423929098966027,0.5576070901033974,event_low,0.37463884761433053,0.5101384856183648,15,119,677,,,
A,loop,macro_stickiness,raw,all_no_event,3,0.5952380952380952,0.5952380952380952,event_high,0.4924733172882392,0.6956373974008206,15,119,672,,,
A,loop,macro_stickiness,raw,all_no_event,4,0.6549079754601227,0.6549079754601227,event_high,0.5423752450912706,0.7617209201388889,15,116,652,,,
A,loop,weighted_recurrence,residual_route_mobility,all_no_event,-8,0.3566753926701571,0.6433246073298429,event_low,0.2900932457509833,0.436233056655498,17,123,764,0.005997001499250375,0.4587706146926537,0.2391304347826087
A,loop,weighted_recurrence,residual_route_mobility,all_no_event,-7,0.3684913217623498,0.6315086782376502,event_low,0.3022343265052762,0.44478267061638366,17,123,749,,,
A,loop,weighted_recurrence,residual_route_mobility,all_no_event,-6,0.3215767634854772,0.6784232365145229,event_low,0.2598277834557944,0.3847508148910619,17,122,723,0.0009995002498750624,0.2143928035982009,0.2391304347826087
A,loop,weighted_recurrence,residual_route_mobility,all_no_event,-5,0.4773371104815864,0.5226628895184136,event_low,0.41723210214318285,0.5384641407307171,16,121,706,,,
A,loop,weighted_recurrence,residual_route_mobility,all_no_event,-4,0.4663323782234957,0.5336676217765043,event_low,0.38531307339449544,0.5425406468425763,15,120,698,0.44627686156921537,1.0,0.2391304347826087
A,loop,weighted_recurrence,residual_route_mobility,all_no_event,-3,0.4640804597701149,0.5359195402298851,event_low,0.3627229665451086,0.5556350586407193,15,120,696,,,
A,loop,weighted_recurrence,residual_route_mobility,all_no_event,-2,0.38623188405797104,0.613768115942029,event_low,0.29826361598695894,0.48274533991228064,15,119,690,0.04047976011994003,0.775112443778111,0.2391304347826087
A,loop,weighted_recurrence,residual_route_mobility,all_no_event,-1,0.3253623188405797,0.6746376811594204,event_low,0.27858150713252017,0.3780475625907885,15,119,690,,,
A,loop,weighted_recurrence,residual_route_mobility,all_no_event,0,0.33406113537117904,0.6659388646288209,event_low,0.2619512624967957,0.3966075779727095,14,118,687,0.0014992503748125937,0.2843578210894553,0.2391304347826087
A,loop,weighted_recurrence,residual_route_mobility,all_no_event,1,0.31644640234948607,0.6835535976505139,event_low,0.2633597291600497,0.37667227361928785,14,117,681,,,
A,loop,weighted_recurrence,residual_route_mobility,all_no_event,2,0.4066666666666667,0.5933333333333333,event_low,0.3290396136714333,0.4959291609878284,14,117,675,,,
A,loop,weighted_recurrence,residual_route_mobility,all_no_event,3,0.49328358208955225,0.5067164179104477,event_low,0.4063558679190523,0.5777798982188295,14,117,670,,,
A,loop,weighted_recurrence,residual_route_mobility,all_no_event,4,0.5662557781201849,0.5662557781201849,event_high,0.48272427356934394,0.6311615037324626,13,113,649,,,
A,loop,lag_periodicity,residual_route_mobility,all_no_event,-8,0.4370860927152318,0.5629139072847682,event_low,0.36907044661622845,0.5090117473096196,17,121,755,0.12593703148425786,0.9995002498750625,0.2391304347826087
A,loop,lag_periodicity,residual_route_mobility,all_no_event,-7,0.46194926568758343,0.5380507343124166,event_low,0.394261854561991,0.5357681147739178,17,123,749,,,
A,loop,lag_periodicity,residual_route_mobility,all_no_event,-6,0.43291839557399725,0.5670816044260027,event_low,0.3539806349290969,0.5215259717862932,17,122,723,0.11594202898550725,0.999000499750125,0.2391304347826087
A,loop,lag_periodicity,residual_route_mobility,all_no_event,-5,0.44192634560906513,0.5580736543909348,event_low,0.3741202522116915,0.49792159865455365,16,121,706,,,
A,loop,lag_periodicity,residual_route_mobility,all_no_event,-4,0.5200573065902578,0.5200573065902578,event_high,0.440098733645686,0.6023132639292046,15,120,698,0.6486756621689156,1.0,0.2391304347826087
A,loop,lag_periodicity,residual_route_mobility,all_no_event,-3,0.5675287356321839,0.5675287356321839,event_high,0.495549721659919,0.6361345441368706,15,120,696,,,
A,loop,lag_periodicity,residual_route_mobility,all_no_event,-2,0.527536231884058,0.527536231884058,event_high,0.4136650612718039,0.6423227942601183,15,119,690,0.6711644177911045,1.0,0.2391304347826087
A,loop,lag_periodicity,residual_route_mobility,all_no_event,-1,0.5318840579710145,0.5318840579710145,event_high,0.4438544006598739,0.6060335693054705,15,119,690,,,
A,loop,lag_periodicity,residual_route_mobility,all_no_event,0,0.3646288209606987,0.6353711790393013,event_low,0.2853312097575039,0.44170827281529895,14,118,687,0.0074962518740629685,0.5407296351824088,0.2391304347826087
A,loop,lag_periodicity,residual_route_mobility,all_no_event,1,0.18355359765051396,0.8164464023494861,event_low,0.10479352030603303,0.2725674155348589,14,117,681,,,
A,loop,lag_periodicity,residual_route_mobility,all_no_event,2,0.13333333333333333,0.8666666666666667,event_low,0.06172173003568352,0.21941086819424002,14,117,675,,,
A,loop,lag_periodicity,residual_route_mobility,all_no_event,3,0.13208955223880597,0.8679104477611941,event_low,0.06184568905061928,0.20715922843797194,14,117,670,,,
A,loop,lag_periodicity,residual_route_mobility,all_no_event,4,0.19568567026194145,0.8043143297380586,event_low,0.13736805751865463,0.25585893683681227,13,113,649,,,
A,loop,late_flow_volatility,residual_route_mobility,all_no_event,-8,0.6701570680628273,0.6701570680628273,event_high,0.564938524590164,0.7641234654127645,17,123,764,0.008995502248875561,0.25287356321839083,0.2391304347826087
A,loop,late_flow_volatility,residual_route_mobility,all_no_event,-7,0.650200267022697,0.650200267022697,event_high,0.5443828830763504,0.7413140129080652,17,123,749,,,
A,loop,late_flow_volatility,residual_route_mobility,all_no_event,-6,0.5767634854771784,0.5767634854771784,event_high,0.46776232736712214,0.6763736557044226,17,122,723,0.21739130434782608,0.9950024987506247,0.2391304347826087
A,loop,late_flow_volatility,residual_route_mobility,all_no_event,-5,0.7096317280453258,0.7096317280453258,event_high,0.6203281024908578,0.7892551448874122,16,121,706,,,
A,loop,late_flow_volatility,residual_route_mobility,all_no_event,-4,0.7979942693409742,0.7979942693409742,event_high,0.7226254240773106,0.8615179757762879,15,120,698,0.0004997501249375312,0.010994502748625687,0.2391304347826087
A,loop,late_flow_volatility,residual_route_mobility,all_no_event,-3,0.8635057471264368,0.8635057471264368,event_high,0.7899453856946729,0.9163577313054498,15,120,696,,,
A,loop,late_flow_volatility,residual_route_mobility,all_no_event,-2,0.8840579710144928,0.8840579710144928,event_high,0.8293079232855483,0.9236230532356466,15,119,690,0.0004997501249375312,0.0004997501249375312,0.2391304347826087
A,loop,late_flow_volatility,residual_route_mobility,all_no_event,-1,0.7942028985507247,0.7942028985507247,event_high,0.7323421776117854,0.8406433592642114,15,119,690,,,
A,loop,late_flow_volatility,residual_route_mobility,all_no_event,0,0.710334788937409,0.710334788937409,event_high,0.647007133257521,0.7634760057966712,14,118,687,0.0004997501249375312,0.0944527736131934,0.2391304347826087
A,loop,late_flow_volatility,residual_route_mobility,all_no_event,1,0.6490455212922174,0.6490455212922174,event_high,0.576028244814582,0.7087394174757282,14,117,681,,,
A,loop,late_flow_volatility,residual_route_mobility,all_no_event,2,0.6474074074074074,0.6474074074074074,event_high,0.556362797681298,0.7285328452710724,14,117,675,,,
A,loop,late_flow_volatility,residual_route_mobility,all_no_event,3,0.7208955223880597,0.7208955223880597,event_high,0.622058726238257,0.8035249143720822,14,117,670,,,
A,loop,late_flow_volatility,residual_route_mobility,all_no_event,4,0.6779661016949152,0.6779661016949152,event_high,0.5635424248726214,0.7694550662817521,13,113,649,,,
A,loop,route_acceleration,residual_route_mobility,all_no_event,-8,0.6465968586387435,0.6465968586387435,event_high,0.5404579760567625,0.7432736031013099,17,123,764,0.03398300849575212,0.4272863568215892,0.2391304347826087
A,loop,route_acceleration,residual_route_mobility,all_no_event,-7,0.6221628838451269,0.6221628838451269,event_high,0.5172838651065694,0.7179193836625559,17,123,749,,,
A,loop,route_acceleration,residual_route_mobility,all_no_event,-6,0.5864453665283541,0.5864453665283541,event_high,0.48674694428886767,0.6705921612248903,17,122,723,0.10644677661169415,0.9725137431284357,0.2391304347826087
A,loop,route_acceleration,residual_route_mobility,all_no_event,-5,0.7209631728045326,0.7209631728045326,event_high,0.6252283568373918,0.7888303205860234,16,121,706,,,
A,loop,route_acceleration,residual_route_mobility,all_no_event,-4,0.8123209169054442,0.8123209169054442,event_high,0.735492713216783,0.8710816593784346,15,120,698,0.0004997501249375312,0.0069965017491254375,0.2391304347826087
A,loop,route_acceleration,residual_route_mobility,all_no_event,-3,0.8764367816091954,0.8764367816091954,event_high,0.8122733101300604,0.9288962616060039,15,120,696,,,
A,loop,route_acceleration,residual_route_mobility,all_no_event,-2,0.8927536231884058,0.8927536231884058,event_high,0.838989322448479,0.9347882281163702,15,119,690,0.0004997501249375312,0.0004997501249375312,0.2391304347826087
A,loop,route_acceleration,residual_route_mobility,all_no_event,-1,0.8043478260869565,0.8043478260869565,event_high,0.7421348643311636,0.8518571202781728,15,119,690,,,
A,loop,route_acceleration,residual_route_mobility,all_no_event,0,0.7161572052401747,0.7161572052401747,event_high,0.6475634144402035,0.7645553027305104,14,118,687,0.0009995002498750624,0.08295852073963018,0.2391304347826087
A,loop,route_acceleration,residual_route_mobility,all_no_event,1,0.6270190895741556,0.6270190895741556,event_high,0.5501651657193474,0.6940963296201085,14,117,681,,,
A,loop,route_acceleration,residual_route_mobility,all_no_event,2,0.617037037037037,0.617037037037037,event_high,0.5124768358855796,0.7092276587331475,14,117,675,,,
A,loop,route_acceleration,residual_route_mobility,all_no_event,3,0.6492537313432836,0.6492537313432836,event_high,0.5436049856184084,0.7405244975404753,14,117,670,,,
A,loop,route_acceleration,residual_route_mobility,all_no_event,4,0.5377503852080123,0.5377503852080123,event_high,0.4387585034013605,0.6273334160785842,13,113,649,,,
A,loop,gate_entropy,residual_route_mobility,all_no_event,-8,0.3481675392670157,0.6518324607329843,event_low,0.2688950194969437,0.43944087276467797,17,123,764,0.004497751124437781,0.3778110944527736,0.2391304347826087
A,loop,gate_entropy,residual_route_mobility,all_no_event,-7,0.411214953271028,0.5887850467289719,event_low,0.34319369394880267,0.48857853958819775,17,123,749,,,
A,loop,gate_entropy,residual_route_mobility,all_no_event,-6,0.4612724757952974,0.5387275242047026,event_low,0.36198595453353744,0.565820291636641,17,122,723,0.5022488755622189,1.0,0.2391304347826087
A,loop,gate_entropy,residual_route_mobility,all_no_event,-5,0.3597733711048159,0.6402266288951841,event_low,0.2844290809062878,0.4437950267255403,16,121,706,,,
A,loop,gate_entropy,residual_route_mobility,all_no_event,-4,0.3123209169054441,0.6876790830945558,event_low,0.23679602743738623,0.40960965994421794,15,120,698,0.0074962518740629685,0.17191404297851073,0.2391304347826087
A,loop,gate_entropy,residual_route_mobility,all_no_event,-3,0.21695402298850575,0.7830459770114943,event_low,0.15511386095563356,0.2922349108562343,15,120,696,,,
A,loop,gate_entropy,residual_route_mobility,all_no_event,-2,0.17101449275362318,0.8289855072463768,event_low,0.11221141551221098,0.24369747899159663,15,119,690,0.0004997501249375312,0.0029985007496251873,0.2391304347826087
A,loop,gate_entropy,residual_route_mobility,all_no_event,-1,0.25072463768115943,0.7492753623188406,event_low,0.1945143244617732,0.32796489563567355,15,119,690,,,
