source,task,variant,mixed_states,macro_within_state_auc,auc_ci95_low,auc_ci95_high,pair_weighted_within_state_auc,permutation_p_one_sided,holm_p_across_long_targets
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,12,0.5356774033538146,0.3886774453565028,0.684817156298003,0.4049008168028005,0.3160683931606839,0.5387461253874612
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,12,0.5793319172427035,0.4494751614103303,0.7149572322628647,0.5577596266044341,,
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,12,0.4648448300691244,0.3329492947548643,0.5923887928827445,0.5040840140023337,,
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,12,0.5771810995903738,0.45528103798643127,0.6940449628776242,0.5775962660443408,,
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_mean,12,0.5404526156340673,,,0.5464799688837029,,
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,12,0.5114485527073732,0.34761622843862006,0.6818807083653354,0.4364060676779463,0.44225577442255776,
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,12,0.5807150457629289,0.4539642457117255,0.689881627424155,0.5705950991831972,,
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,12,0.4570934539810548,0.32429498987935224,0.5793866507456478,0.4935822637106184,,
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,12,0.5282574884792627,0.3608558227726574,0.689102254544291,0.5542590431738623,,
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_mean,12,0.5220219960744155,,,0.5394788020225593,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,aligned,8,0.49251632104454685,0.3629032258064516,0.6530913978494624,0.505586592178771,0.5312468753124687,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_1,8,0.23857766897081412,0.1013464861751152,0.39624135944700456,0.2346368715083799,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_2,8,0.44451564900153606,0.29928715437788017,0.618735599078341,0.46089385474860334,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_3,8,0.6955909178187404,0.5548387096774194,0.8064516129032258,0.6927374301675978,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_mean,8,0.4595614119303635,,,0.462756052141527,,
