source,task,variant,init_state_id,failures,successes,pairs,auc
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_3,36,1,31,31,0.09677419354838712
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,aligned,10,1,31,31,0.4838709677419355
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,aligned,13,1,31,31,0.3870967741935484
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,aligned,16,2,30,60,0.65
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,aligned,20,1,31,31,0.9032258064516129
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,aligned,26,1,31,31,0.7741935483870968
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,aligned,39,1,31,31,0.967741935483871
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,aligned,42,1,31,31,0.12903225806451613
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,aligned,46,4,28,112,0.3482142857142857
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_1,10,1,31,31,0.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_1,13,1,31,31,0.5806451612903225
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_1,16,2,30,60,0.23333333333333328
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_1,20,1,31,31,0.935483870967742
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_1,26,1,31,31,0.6129032258064516
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_1,39,1,31,31,0.06451612903225812
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_1,42,1,31,31,0.4516129032258065
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_1,46,4,28,112,0.7589285714285714
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_2,10,1,31,31,0.5483870967741935
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_2,13,1,31,31,0.6129032258064516
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_2,16,2,30,60,0.4
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_2,20,1,31,31,0.967741935483871
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_2,26,1,31,31,0.9032258064516129
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_2,39,1,31,31,0.9032258064516129
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_2,42,1,31,31,0.3870967741935484
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_2,46,4,28,112,0.4285714285714286
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_3,10,1,31,31,0.6129032258064516
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_3,13,1,31,31,0.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_3,16,2,30,60,0.6833333333333333
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_3,20,1,31,31,0.25806451612903225
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_3,26,1,31,31,0.6774193548387097
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_3,39,1,31,31,0.935483870967742
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_3,42,1,31,31,0.32258064516129037
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_3,46,4,28,112,0.7410714285714286
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,0,1,31,31,0.935483870967742
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,3,1,31,31,0.22580645161290325
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,7,1,31,31,0.8064516129032258
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,10,2,30,60,0.6000000000000001
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,13,2,30,60,0.4666666666666667
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,20,7,25,175,0.21142857142857138
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,23,2,30,60,0.3
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,26,1,31,31,0.7741935483870968
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,29,2,30,60,0.6166666666666667
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,33,16,16,256,0.265625
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,36,1,31,31,0.9032258064516129
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,42,1,31,31,0.32258064516129037
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,0,1,31,31,0.3870967741935484
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,3,1,31,31,0.3548387096774194
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,7,1,31,31,0.6774193548387097
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,10,2,30,60,0.25
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,13,2,30,60,0.31666666666666665
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,20,7,25,175,0.4514285714285714
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,23,2,30,60,0.4666666666666667
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,26,1,31,31,0.8709677419354839
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,29,2,30,60,0.8666666666666666
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,33,16,16,256,0.6328125
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,36,1,31,31,0.6774193548387097
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,42,1,31,31,1.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,0,1,31,31,0.5806451612903225
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,3,1,31,31,0.4838709677419355
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,7,1,31,31,0.5806451612903225
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,10,2,30,60,0.85
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,13,2,30,60,0.43333333333333335
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,20,7,25,175,0.5885714285714285
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,23,2,30,60,0.1833333333333333
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,26,1,31,31,0.7096774193548387
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,29,2,30,60,0.4833333333333334
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,33,16,16,256,0.5234375
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,36,1,31,31,0.032258064516129004
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,42,1,31,31,0.12903225806451613
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,0,1,31,31,0.967741935483871
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,3,1,31,31,0.7096774193548387
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,7,1,31,31,0.5483870967741935
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,10,2,30,60,0.31666666666666665
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,13,2,30,60,0.5333333333333333
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,20,7,25,175,0.4914285714285714
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,23,2,30,60,0.8333333333333333
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,26,1,31,31,0.6451612903225806
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,29,2,30,60,0.45
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,33,16,16,256,0.65625
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,36,1,31,31,0.12903225806451613
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,42,1,31,31,0.6451612903225806
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,0,1,31,31,0.5806451612903225
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,3,1,31,31,0.12903225806451613
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,7,1,31,31,0.967741935483871
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,10,2,30,60,0.6166666666666667
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,13,2,30,60,0.6166666666666667
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,20,7,25,175,0.3257142857142857
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,23,2,30,60,0.21666666666666667
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,26,1,31,31,1.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,29,2,30,60,0.45
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,33,16,16,256,0.36328125
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,36,1,31,31,0.8064516129032258
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,aligned,42,1,31,31,0.06451612903225812
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,0,1,31,31,0.09677419354838712
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,3,1,31,31,0.7096774193548387
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,7,1,31,31,0.3870967741935484
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,10,2,30,60,0.6833333333333333
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,13,2,30,60,0.3333333333333333
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,20,7,25,175,0.6457142857142857
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,23,2,30,60,0.5333333333333333
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,26,1,31,31,0.8387096774193549
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,29,2,30,60,0.7166666666666667
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,33,16,16,256,0.5078125
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,36,1,31,31,0.6774193548387097
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_1,42,1,31,31,0.8387096774193549
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,0,1,31,31,0.06451612903225812
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,3,1,31,31,0.4838709677419355
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,7,1,31,31,0.12903225806451613
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,10,2,30,60,0.8166666666666668
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,13,2,30,60,0.5833333333333333
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,20,7,25,175,0.5714285714285714
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,23,2,30,60,0.11666666666666664
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,26,1,31,31,0.3870967741935484
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,29,2,30,60,0.55
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,33,16,16,256,0.4921875
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,36,1,31,31,0.6129032258064516
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_2,42,1,31,31,0.6774193548387097
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,shift_3,0,1,31,31,0.16129032258064513
