detector,bundle,name,cohort,alarms_any,alarms_in_window,tp,fp,recall,fpr,precision,task_prior,task_lift,suite_prior,suite_lift,is_baseline,tp_libero_goal,fp_libero_goal,recall_libero_goal,fpr_libero_goal,tp_libero_long,fp_libero_long,recall_libero_long,fpr_libero_long,tp_libero_object,fp_libero_object,recall_libero_object,fpr_libero_object,tp_libero_spatial,fp_libero_spatial,recall_libero_spatial,fpr_libero_spatial,shared_cohorts
moe-two-tier-0906::flow_endpoint|global,moe-two-tier-0906,flow_endpoint|global,development_main,60,12,9,3,0.018480492813141684,0.00020959966464053657,0.75,0.5412095889662573,1.385784759343501,0.31737487175046447,2.3631360474867287,True,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,9,3,0.07142857142857142,0.0007743933918430562,True
moe-two-tier-0906::flow_endpoint|per_task,moe-two-tier-0906,flow_endpoint|per_task,development_main,180,96,69,27,0.14168377823408623,0.0018863969817648292,0.71875,0.5614395086284293,1.2801913455571963,0.25882300682086384,2.7769942433960675,True,35,7,0.3431372549019608,0.0017957927142124167,13,12,0.05855855855855856,0.004654771140418929,9,3,0.24324324324324326,0.000757002271006813,12,5,0.09523809523809523,0.0012906556530717604,True
moe-two-tier-0906::flow_path|global,moe-two-tier-0906,flow_path|global,development_main,50,5,4,1,0.008213552361396304,6.986655488017886e-05,0.8,0.6495383654816941,1.2316439528660088,0.4147655999907419,1.9288002669890103,True,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,4,1,0.031746031746031744,0.0002581311306143521,True
moe-two-tier-0906::flow_path|per_task,moe-two-tier-0906,flow_path|per_task,development_main,171,83,54,29,0.11088295687885011,0.002026130091525187,0.6506024096385542,0.594691703503014,1.0940162874413748,0.2135511415518079,3.046588301569518,True,27,5,0.2647058823529412,0.0012827090815802976,3,10,0.013513513513513514,0.003878975950349108,9,12,0.24324324324324326,0.003028009084027252,15,2,0.11904761904761904,0.0005162622612287042,True
moe-two-tier-0906::flow_settling_log_ratio|global,moe-two-tier-0906,flow_settling_log_ratio|global,development_main,5,3,2,1,0.004106776180698152,6.986655488017886e-05,0.6666666666666666,0.7142857142857143,0.9333333333333332,0.2352310988674625,2.83409238776838,True,2,0,0.0196078431372549,0.0,0,1,0.0,0.0003878975950349108,0,0,0.0,0.0,0,0,0.0,0.0,True
moe-two-tier-0906::flow_settling_log_ratio|per_task,moe-two-tier-0906,flow_settling_log_ratio|per_task,development_main,346,163,105,58,0.21560574948665298,0.004052260183050374,0.6441717791411042,0.4673817862243203,1.3782560598797777,0.19511183141233945,3.301551599809159,True,48,5,0.47058823529411764,0.0012827090815802976,16,18,0.07207207207207207,0.0069821567106283944,25,30,0.6756756756756757,0.00757002271006813,16,5,0.12698412698412698,0.0012906556530717604,True
moe-two-tier-0906::mobility|global,moe-two-tier-0906,mobility|global,development_main,187,71,62,9,0.1273100616016427,0.0006287989939216097,0.8732394366197183,0.6256147362875701,1.3958102102926249,0.3397312517780573,2.5703830073018894,True,19,2,0.18627450980392157,0.000513083632632119,43,7,0.19369369369369369,0.0027152831652443757,0,0,0.0,0.0,0,0,0.0,0.0,True
moe-two-tier-0906::mobility|per_task,moe-two-tier-0906,mobility|per_task,development_main,274,103,76,27,0.15605749486652978,0.0018863969817648292,0.7378640776699029,0.554776171475307,1.3300212150563593,0.2594800516285228,2.8436254464996216,True,29,2,0.28431372549019607,0.000513083632632119,43,20,0.19369369369369369,0.007757951900698216,2,0,0.05405405405405406,0.0,2,5,0.015873015873015872,0.0012906556530717604,True
moe-two-tier-0906::partial_edge_std|global,moe-two-tier-0906,partial_edge_std|global,development_main,109,102,62,40,0.1273100616016427,0.0027946621952071545,0.6078431372549019,0.40186855435450325,1.5125421749687356,0.17698110760176133,3.4345086065494406,True,0,0,0.0,0.0,56,40,0.25225225225225223,0.015515903801396431,0,0,0.0,0.0,6,0,0.047619047619047616,0.0,True
moe-two-tier-0906::partial_edge_std|per_task,moe-two-tier-0906,partial_edge_std|per_task,development_main,103,37,28,9,0.057494866529774126,0.0006287989939216097,0.7567567567567568,0.7458825716142791,1.0145789505698508,0.19008672346016273,3.981113162357988,True,24,1,0.23529411764705882,0.0002565418163160595,4,5,0.018018018018018018,0.001939487975174554,0,0,0.0,0.0,0,3,0.0,0.0007743933918430562,True
