cohort,arm,field,value,n_risk,n_uncaught,uncaught_share,share_of_all_uncaught
development_main,families@0.01,task,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,11,9,0.8181818181818182,0.09183673469387756
development_main,families@0.01,mean_length_within_suite,libero_goal,102,24,30.0,30.0
development_main,families@0.01,mean_length_within_suite,libero_long,222,19,52.0,52.0
development_main,families@0.01,mean_length_within_suite,libero_object,37,1,28.0,28.0
development_main,families@0.01,mean_length_within_suite,libero_spatial,126,54,22.0,22.0
development_main,families@0.01,mean_length_pooled,all,487,98,29.836734693877553,39.81491002570694
external_8b,families@0.01,suite,libero_goal,106,23,0.2169811320754717,0.19008264462809918
external_8b,families@0.01,suite,libero_long,274,29,0.10583941605839416,0.2396694214876033
external_8b,families@0.01,suite,libero_object,44,11,0.25,0.09090909090909091
external_8b,families@0.01,suite,libero_spatial,140,58,0.4142857142857143,0.4793388429752066
external_8b,families@0.01,physical_mode,approached_target_without_observed_contact,14,2,0.14285714285714285,0.01652892561983471
external_8b,families@0.01,physical_mode,goal_predicate_regressed,26,2,0.07692307692307693,0.01652892561983471
external_8b,families@0.01,physical_mode,mechanism_threshold_not_reached,1,0,0.0,0.0
external_8b,families@0.01,physical_mode,no_meaningful_target_progress,2,0,0.0,0.0
external_8b,families@0.01,physical_mode,object_moved_but_goal_unmet,89,17,0.19101123595505617,0.14049586776859505
external_8b,families@0.01,physical_mode,object_released_or_dropped_before_goal,241,68,0.2821576763485477,0.5619834710743802
external_8b,families@0.01,physical_mode,object_released_outside_goal,25,3,0.12,0.024793388429752067
external_8b,families@0.01,physical_mode,stable_grasp_not_observed,143,28,0.1958041958041958,0.23140495867768596
external_8b,families@0.01,physical_mode,timeout_while_holding_target,23,1,0.043478260869565216,0.008264462809917356
external_8b,families@0.01,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,51,23,0.45098039215686275,0.19008264462809918
external_8b,families@0.01,task,libero_goal/push_the_plate_to_the_front_of_the_stove,1,0,0.0,0.0
external_8b,families@0.01,task,libero_goal/put_the_bowl_on_the_plate,18,0,0.0,0.0
external_8b,families@0.01,task,libero_goal/put_the_bowl_on_the_stove,9,0,0.0,0.0
