arm,suite,similarity,cut,n_detectors,n_families_observed,n_families_null,largest_family_observed,largest_family_null,within_sim_observed,between_sim_observed,within_sim_null,between_sim_null
external_shared419,pooled,overlap,0.5,414,10,348,125,18,0.7629374265670776,0.24075230956077576,0.6578547358512878,0.05870848521590233
external_shared419,pooled,overlap,0.6,414,12,369,72,14,0.8444085121154785,0.2612069547176361,0.7488230466842651,0.05930972099304199
external_shared419,pooled,overlap,0.7,414,18,382,55,10,0.9303621053695679,0.276667982339859,0.8284456133842468,0.059734076261520386
external_shared419,pooled,overlap,0.8,414,22,389,48,4,0.9838557839393616,0.28648579120635986,0.9469205737113953,0.06006889045238495
external_shared419,pooled,excess_overlap,0.2,414,3,271,170,39,0.5147212743759155,0.1604209542274475,0.3022422194480896,0.022567136213183403
external_shared419,pooled,excess_overlap,0.3,414,4,316,141,21,0.5623202919960022,0.16792228817939758,0.41274747252464294,0.024787869304418564
external_shared419,pooled,excess_overlap,0.4,414,8,347,141,17,0.684715747833252,0.19148290157318115,0.5016482472419739,0.02567792870104313
external_shared419,pooled,excess_overlap,0.5,414,10,372,126,7,0.7200175523757935,0.19863739609718323,0.6521365642547607,0.026391545310616493
external_shared419,pooled,excess_overlap,0.6,414,15,384,74,3,0.8188191652297974,0.2218494564294815,0.7804798483848572,0.026570472866296768
external_shared419,pooled,excess_overlap,0.7,414,22,395,57,2,0.8871063590049744,0.235542893409729,0.8711763620376587,0.026664981618523598
external_shared419,pooled,excess_overlap,0.8,414,34,402,45,2,0.933329701423645,0.24505479633808136,0.9394604563713074,0.02672455459833145
external_shared419,libero_goal,excess_overlap,0.5,310,7,257,158,3,0.7542508244514465,0.33608371019363403,0.7540348768234253,0.013037807308137417
external_shared419,libero_long,excess_overlap,0.5,373,19,336,89,3,0.735672652721405,0.18630073964595795,0.7288992404937744,0.018816642463207245
external_shared419,libero_object,excess_overlap,0.5,252,12,205,76,3,0.7743332386016846,0.22879232466220856,0.8225259780883789,0.01369889173656702
external_shared419,libero_spatial,excess_overlap,0.5,265,19,220,78,3,0.7556290626525879,0.1565222591161728,0.8291023373603821,0.017303038388490677
external_all622,pooled,jaccard,0.2,614,85,588,88,16,0.39178910851478577,0.04532511159777641,0.34306958317756653,0.004625595174729824
external_all622,pooled,jaccard,0.3,614,116,597,75,11,0.48756664991378784,0.050418030470609665,0.45978403091430664,0.004759414587169886
external_all622,pooled,jaccard,0.4,614,163,604,26,9,0.6687774062156677,0.05587033927440643,0.5969057679176331,0.004837400745600462
external_all622,pooled,jaccard,0.5,614,204,607,25,8,0.746390700340271,0.05744623392820358,0.6476293802261353,0.004864464979618788
external_all622,pooled,jaccard,0.6,614,246,608,19,7,0.8303252458572388,0.059013016521930695,0.6766279935836792,0.004885139875113964
external_all622,pooled,jaccard,0.7,614,304,611,19,4,0.9034388065338135,0.060244735330343246,0.7492403388023376,0.004936368204653263
external_all622,pooled,jaccard,0.8,614,374,613,17,2,0.9598060846328735,0.06128194183111191,0.8587921857833862,0.0049555618315935135
external_all622,pooled,excess_jaccard,0.2,614,88,596,88,11,0.39177653193473816,0.04263574630022049,0.32261595129966736,0.0023242353927344084
external_all622,pooled,excess_jaccard,0.3,614,122,606,75,9,0.4856325685977936,0.04761721193790436,0.45489203929901123,0.002392551861703396
external_all622,pooled,excess_jaccard,0.4,614,166,607,26,8,0.6624715328216553,0.05292997136712074,0.4813002943992615,0.0024078607093542814
external_all622,pooled,excess_jaccard,0.5,614,213,610,25,5,0.7429729700088501,0.054501619189977646,0.5562799572944641,0.0024496836122125387
external_all622,pooled,excess_jaccard,0.6,614,261,613,19,2,0.8371159434318542,0.056190118193626404,0.7042900323867798,0.0024753836914896965
external_all622,pooled,excess_jaccard,0.7,614,315,613,19,2,0.9025306701660156,0.05724092572927475,0.7042900323867798,0.0024753836914896965
external_all622,pooled,excess_jaccard,0.8,614,383,614,17,1,0.9587867856025696,0.05824042111635208,,0.0024791129399091005
external_all622,pooled,overlap,0.2,614,10,422,473,62,0.39156660437583923,0.15883517265319824,0.33181554079055786,0.04054677486419678
external_all622,pooled,overlap,0.3,614,17,480,239,35,0.5806075930595398,0.1988605409860611,0.4447552561759949,0.04222788289189339
external_all622,pooled,overlap,0.4,614,25,519,225,27,0.670450747013092,0.21570461988449097,0.5634360909461975,0.04336179792881012
external_all622,pooled,overlap,0.5,614,35,538,220,20,0.6982185244560242,0.22215083241462708,0.6906291842460632,0.04396247863769531
external_all622,pooled,overlap,0.6,614,45,560,113,18,0.7905884385108948,0.25480714440345764,0.7472830414772034,0.044169314205646515
external_all622,pooled,overlap,0.7,614,64,570,111,15,0.8423978686332703,0.26554906368255615,0.7952384948730469,0.04435693472623825
external_all622,pooled,overlap,0.8,614,83,584,50,3,0.9489538073539734,0.28382208943367004,0.950276792049408,0.04475827515125275
external_all622,pooled,excess_overlap,0.2,614,10,437,458,40,0.3897150754928589,0.11556901037693024,0.2964428663253784,0.018958861008286476
external_all622,pooled,excess_overlap,0.3,614,13,497,270,24,0.5624793171882629,0.16532370448112488,0.4296594560146332,0.020138423889875412
external_all622,pooled,excess_overlap,0.4,614,22,533,224,20,0.6714030504226685,0.18708111345767975,0.5097994804382324,0.02051057480275631
external_all622,pooled,excess_overlap,0.5,614,35,558,220,7,0.6840100884437561,0.19004346430301666,0.6496415138244629,0.02094048261642456
external_all622,pooled,excess_overlap,0.6,614,52,575,118,3,0.7819667458534241,0.2247837632894516,0.7877084016799927,0.021054811775684357
external_all622,pooled,excess_overlap,0.7,614,68,593,117,2,0.82756108045578,0.23458802700042725,0.9154273271560669,0.02111797034740448
external_all622,pooled,excess_overlap,0.8,614,96,596,49,2,0.9265541434288025,0.25179585814476013,0.9436253309249878,0.021129529923200607
external_all622,libero_goal,excess_overlap,0.5,474,10,392,282,5,0.7780202627182007,0.3192949593067169,0.7251234650611877,0.010910705663263798
external_all622,libero_long,excess_overlap,0.5,558,42,496,155,3,0.6996251344680786,0.16938145458698273,0.7008064389228821,0.016845233738422394
external_all622,libero_object,excess_overlap,0.5,346,28,272,95,3,0.7271678447723389,0.2090218961238861,0.7975194454193115,0.01170844305306673
external_all622,libero_spatial,excess_overlap,0.5,373,38,313,75,3,0.8054751753807068,0.15696176886558533,0.7598932981491089,0.014956599101424217
