cohort,budget,family,n_sole_catches,share_of_sole,detector
development_main,0.2,4,2,0.14285714285714285,moe-combination-rules-0906::flow_endpoint|per_task|0.5
development_main,0.2,3,2,0.14285714285714285,moe-combination-rules-0906::flow_path|global|0.7
development_main,0.2,6,1,0.07142857142857142,moe-failure-modes-0906::v7_periodicity|task_agnostic
external_8b,0.2,9,10,0.4166666666666667,moe-combination-rules-0906::mobility|global|0.5
external_8b,0.2,4,8,0.3333333333333333,moe-combination-rules-0906::flow_endpoint|per_task|0.5
external_8b,0.2,3,3,0.125,moe-combination-rules-0906::flow_path|global|0.7
external_8b,0.2,8,1,0.041666666666666664,moe-combination-rules-0906::flow_settling_log_ratio|global|0.5
external_8b,0.2,2,1,0.041666666666666664,moe-combination-rules-0906::partial_edge_std|global|0.5
external_8b,0.2,6,1,0.041666666666666664,moe-failure-modes-0906::v7_periodicity|task_agnostic
development_main,1.0,9,7,0.7,moe-combination-rules-0906::mobility|global|0.5
development_main,1.0,8,2,0.2,moe-combination-rules-0906::flow_settling_log_ratio|global|0.5
development_main,1.0,3,1,0.1,moe-combination-rules-0906::flow_path|global|0.5
external_8b,1.0,9,10,0.6666666666666666,moe-combination-rules-0906::mobility|global|0.5
external_8b,1.0,3,2,0.13333333333333333,moe-combination-rules-0906::flow_path|global|0.5
external_8b,1.0,8,1,0.06666666666666667,moe-combination-rules-0906::flow_settling_log_ratio|global|0.5
external_8b,1.0,4,1,0.06666666666666667,moe-combination-rules-0906::flow_endpoint|per_task|0.5
external_8b,1.0,5,1,0.06666666666666667,moe-combination-rules-0906::expert_load_effective_rank|global|0.5
