arm,cohort,suite,k,tp,fp,recall,fpr,precision,fp_removed_vs_k1,fp_removed_that_were_idiosyncratic,share_of_removed_fp_idiosyncratic,tp_lost_vs_k1,fp_removed_per_tp_lost
families@0.002,development_main,libero_long,9,0,0,0.0,0.0,,95,76,0.8,137,0.6934306569343066
families@0.002,development_main,libero_object,1,17,23,0.4594594594594595,0.0058036840777189,0.425,0,0,,0,inf
families@0.002,development_main,libero_object,2,3,0,0.08108108108108109,0.0,1.0,23,23,1.0,14,1.6428571428571428
families@0.002,development_main,libero_object,3,0,0,0.0,0.0,,23,23,1.0,17,1.3529411764705883
families@0.002,development_main,libero_object,4,0,0,0.0,0.0,,23,23,1.0,17,1.3529411764705883
families@0.002,development_main,libero_object,5,0,0,0.0,0.0,,23,23,1.0,17,1.3529411764705883
families@0.002,development_main,libero_object,6,0,0,0.0,0.0,,23,23,1.0,17,1.3529411764705883
families@0.002,development_main,libero_object,7,0,0,0.0,0.0,,23,23,1.0,17,1.3529411764705883
families@0.002,development_main,libero_object,8,0,0,0.0,0.0,,23,23,1.0,17,1.3529411764705883
families@0.002,development_main,libero_object,9,0,0,0.0,0.0,,23,23,1.0,17,1.3529411764705883
families@0.002,development_main,libero_spatial,1,46,23,0.36507936507936506,0.005937016004130098,0.6666666666666666,0,0,,0,inf
families@0.002,development_main,libero_spatial,2,18,1,0.14285714285714285,0.0002581311306143521,0.9473684210526315,22,22,1.0,28,0.7857142857142857
families@0.002,development_main,libero_spatial,3,5,0,0.03968253968253968,0.0,1.0,23,22,0.9565217391304348,41,0.5609756097560976
families@0.002,development_main,libero_spatial,4,0,0,0.0,0.0,,23,22,0.9565217391304348,46,0.5
families@0.002,development_main,libero_spatial,5,0,0,0.0,0.0,,23,22,0.9565217391304348,46,0.5
families@0.002,development_main,libero_spatial,6,0,0,0.0,0.0,,23,22,0.9565217391304348,46,0.5
families@0.002,development_main,libero_spatial,7,0,0,0.0,0.0,,23,22,0.9565217391304348,46,0.5
families@0.002,development_main,libero_spatial,8,0,0,0.0,0.0,,23,22,0.9565217391304348,46,0.5
families@0.002,development_main,libero_spatial,9,0,0,0.0,0.0,,23,22,0.9565217391304348,46,0.5
families@0.002,development_main,_base,0,257,152,0.5277207392197125,0.010619716341787187,0.628361858190709,0,130,,0,
families@0.002,external_8b,pooled,1,289,195,0.5124113475177305,0.012968874700718277,0.5971074380165289,0,0,,0,inf
families@0.002,external_8b,pooled,2,151,46,0.26773049645390073,0.0030593242883745677,0.766497461928934,149,149,1.0,138,1.0797101449275361
families@0.002,external_8b,pooled,3,82,15,0.1453900709219858,0.0009976057462090981,0.845360824742268,180,149,0.8277777777777777,207,0.8695652173913043
families@0.002,external_8b,pooled,4,26,3,0.04609929078014184,0.00019952114924181964,0.896551724137931,192,149,0.7760416666666666,263,0.7300380228136882
families@0.002,external_8b,pooled,5,5,2,0.008865248226950355,0.00013301409949454643,0.7142857142857143,193,149,0.772020725388601,284,0.6795774647887324
families@0.002,external_8b,pooled,6,0,0,0.0,0.0,,195,149,0.764102564102564,289,0.6747404844290658
families@0.002,external_8b,pooled,7,0,0,0.0,0.0,,195,149,0.764102564102564,289,0.6747404844290658
families@0.002,external_8b,pooled,8,0,0,0.0,0.0,,195,149,0.764102564102564,289,0.6747404844290658
families@0.002,external_8b,pooled,9,0,0,0.0,0.0,,195,149,0.764102564102564,289,0.6747404844290658
families@0.002,external_8b,libero_goal,1,57,8,0.5377358490566038,0.002054442732408834,0.8769230769230769,0,0,,0,inf
families@0.002,external_8b,libero_goal,2,50,2,0.4716981132075472,0.0005136106831022085,0.9615384615384616,6,6,1.0,7,0.8571428571428571
families@0.002,external_8b,libero_goal,3,38,1,0.3584905660377358,0.00025680534155110427,0.9743589743589743,7,6,0.8571428571428571,19,0.3684210526315789
families@0.002,external_8b,libero_goal,4,21,1,0.19811320754716982,0.00025680534155110427,0.9545454545454546,7,6,0.8571428571428571,36,0.19444444444444445
families@0.002,external_8b,libero_goal,5,4,1,0.03773584905660377,0.00025680534155110427,0.8,7,6,0.8571428571428571,53,0.1320754716981132
families@0.002,external_8b,libero_goal,6,0,0,0.0,0.0,,8,6,0.75,57,0.14035087719298245
families@0.002,external_8b,libero_goal,7,0,0,0.0,0.0,,8,6,0.75,57,0.14035087719298245
families@0.002,external_8b,libero_goal,8,0,0,0.0,0.0,,8,6,0.75,57,0.14035087719298245
families@0.002,external_8b,libero_goal,9,0,0,0.0,0.0,,8,6,0.75,57,0.14035087719298245
families@0.002,external_8b,libero_long,1,168,131,0.6131386861313869,0.03515834675254965,0.5618729096989966,0,0,,0,inf
families@0.002,external_8b,libero_long,2,78,40,0.2846715328467153,0.010735373054213635,0.6610169491525424,91,91,1.0,90,1.011111111111111
families@0.002,external_8b,libero_long,3,40,14,0.145985401459854,0.003757380568974772,0.7407407407407407,117,91,0.7777777777777778,128,0.9140625
families@0.002,external_8b,libero_long,4,5,2,0.01824817518248175,0.0005367686527106817,0.7142857142857143,129,91,0.7054263565891473,163,0.7914110429447853
families@0.002,external_8b,libero_long,5,1,1,0.0036496350364963502,0.00026838432635534085,0.5,130,91,0.7,167,0.7784431137724551
families@0.002,external_8b,libero_long,6,0,0,0.0,0.0,,131,91,0.6946564885496184,168,0.7797619047619048
families@0.002,external_8b,libero_long,7,0,0,0.0,0.0,,131,91,0.6946564885496184,168,0.7797619047619048
families@0.002,external_8b,libero_long,8,0,0,0.0,0.0,,131,91,0.6946564885496184,168,0.7797619047619048
families@0.002,external_8b,libero_long,9,0,0,0.0,0.0,,131,91,0.6946564885496184,168,0.7797619047619048
families@0.002,external_8b,libero_object,1,19,20,0.4318181818181818,0.00562429696287964,0.48717948717948717,0,0,,0,inf
families@0.002,external_8b,libero_object,2,6,2,0.13636363636363635,0.0005624296962879641,0.75,18,18,1.0,13,1.3846153846153846
families@0.002,external_8b,libero_object,3,1,0,0.022727272727272728,0.0,1.0,20,18,0.9,18,1.1111111111111112
families@0.002,external_8b,libero_object,4,0,0,0.0,0.0,,20,18,0.9,19,1.0526315789473684
families@0.002,external_8b,libero_object,5,0,0,0.0,0.0,,20,18,0.9,19,1.0526315789473684
families@0.002,external_8b,libero_object,6,0,0,0.0,0.0,,20,18,0.9,19,1.0526315789473684
families@0.002,external_8b,libero_object,7,0,0,0.0,0.0,,20,18,0.9,19,1.0526315789473684
families@0.002,external_8b,libero_object,8,0,0,0.0,0.0,,20,18,0.9,19,1.0526315789473684
families@0.002,external_8b,libero_object,9,0,0,0.0,0.0,,20,18,0.9,19,1.0526315789473684
families@0.002,external_8b,libero_spatial,1,45,36,0.32142857142857145,0.00932642487046632,0.5555555555555556,0,0,,0,inf
families@0.002,external_8b,libero_spatial,2,17,2,0.12142857142857143,0.0005181347150259067,0.8947368421052632,34,34,1.0,28,1.2142857142857142
families@0.002,external_8b,libero_spatial,3,3,0,0.02142857142857143,0.0,1.0,36,34,0.9444444444444444,42,0.8571428571428571
families@0.002,external_8b,libero_spatial,4,0,0,0.0,0.0,,36,34,0.9444444444444444,45,0.8
families@0.002,external_8b,libero_spatial,5,0,0,0.0,0.0,,36,34,0.9444444444444444,45,0.8
families@0.002,external_8b,libero_spatial,6,0,0,0.0,0.0,,36,34,0.9444444444444444,45,0.8
families@0.002,external_8b,libero_spatial,7,0,0,0.0,0.0,,36,34,0.9444444444444444,45,0.8
families@0.002,external_8b,libero_spatial,8,0,0,0.0,0.0,,36,34,0.9444444444444444,45,0.8
families@0.002,external_8b,libero_spatial,9,0,0,0.0,0.0,,36,34,0.9444444444444444,45,0.8
families@0.002,external_8b,_base,0,289,195,0.5124113475177305,0.012968874700718277,0.5971074380165289,0,149,,0,
greedy_top5@0.002,development_main,pooled,1,248,110,0.5092402464065708,0.007685321036819674,0.6927374301675978,0,0,,0,inf
greedy_top5@0.002,development_main,pooled,2,87,10,0.17864476386036962,0.0006986655488017886,0.8969072164948454,100,100,1.0,161,0.6211180124223602
greedy_top5@0.002,development_main,pooled,3,11,1,0.022587268993839837,6.986655488017886e-05,0.9166666666666666,109,100,0.9174311926605505,237,0.459915611814346
greedy_top5@0.002,development_main,pooled,4,0,0,0.0,0.0,,110,100,0.9090909090909091,248,0.4435483870967742
greedy_top5@0.002,development_main,pooled,5,0,0,0.0,0.0,,110,100,0.9090909090909091,248,0.4435483870967742
greedy_top5@0.002,development_main,libero_goal,1,48,3,0.47058823529411764,0.0007696254489481786,0.9411764705882353,0,0,,0,inf
greedy_top5@0.002,development_main,libero_goal,2,25,1,0.24509803921568626,0.0002565418163160595,0.9615384615384616,2,2,1.0,23,0.08695652173913043
greedy_top5@0.002,development_main,libero_goal,3,1,0,0.00980392156862745,0.0,1.0,3,2,0.6666666666666666,47,0.06382978723404255
greedy_top5@0.002,development_main,libero_goal,4,0,0,0.0,0.0,,3,2,0.6666666666666666,48,0.0625
greedy_top5@0.002,development_main,libero_goal,5,0,0,0.0,0.0,,3,2,0.6666666666666666,48,0.0625
greedy_top5@0.002,development_main,libero_long,1,145,85,0.6531531531531531,0.032971295577967415,0.6304347826086957,0,0,,0,inf
greedy_top5@0.002,development_main,libero_long,2,48,9,0.21621621621621623,0.0034910783553141972,0.8421052631578947,76,76,1.0,97,0.7835051546391752
greedy_top5@0.002,development_main,libero_long,3,10,1,0.04504504504504504,0.0003878975950349108,0.9090909090909091,84,76,0.9047619047619048,135,0.6222222222222222
greedy_top5@0.002,development_main,libero_long,4,0,0,0.0,0.0,,85,76,0.8941176470588236,145,0.5862068965517241
greedy_top5@0.002,development_main,libero_long,5,0,0,0.0,0.0,,85,76,0.8941176470588236,145,0.5862068965517241
greedy_top5@0.002,development_main,libero_object,1,8,3,0.21621621621621623,0.000757002271006813,0.7272727272727273,0,0,,0,inf
greedy_top5@0.002,development_main,libero_object,2,1,0,0.02702702702702703,0.0,1.0,3,3,1.0,7,0.42857142857142855
greedy_top5@0.002,development_main,libero_object,3,0,0,0.0,0.0,,3,3,1.0,8,0.375
greedy_top5@0.002,development_main,libero_object,4,0,0,0.0,0.0,,3,3,1.0,8,0.375
greedy_top5@0.002,development_main,libero_object,5,0,0,0.0,0.0,,3,3,1.0,8,0.375
greedy_top5@0.002,development_main,libero_spatial,1,47,19,0.373015873015873,0.00490449148167269,0.7121212121212122,0,0,,0,inf
greedy_top5@0.002,development_main,libero_spatial,2,13,0,0.10317460317460317,0.0,1.0,19,19,1.0,34,0.5588235294117647
greedy_top5@0.002,development_main,libero_spatial,3,0,0,0.0,0.0,,19,19,1.0,47,0.40425531914893614
greedy_top5@0.002,development_main,libero_spatial,4,0,0,0.0,0.0,,19,19,1.0,47,0.40425531914893614
greedy_top5@0.002,development_main,libero_spatial,5,0,0,0.0,0.0,,19,19,1.0,47,0.40425531914893614
greedy_top5@0.002,development_main,_base,0,248,110,0.5092402464065708,0.007685321036819674,0.6927374301675978,0,100,,0,
greedy_top5@0.002,external_8b,pooled,1,287,233,0.5088652482269503,0.015496142591114658,0.551923076923077,0,0,,0,inf
greedy_top5@0.002,external_8b,pooled,2,114,19,0.20212765957446807,0.001263633945198191,0.8571428571428571,214,214,1.0,173,1.2369942196531791
greedy_top5@0.002,external_8b,pooled,3,27,0,0.047872340425531915,0.0,1.0,233,214,0.9184549356223176,260,0.8961538461538462
greedy_top5@0.002,external_8b,pooled,4,2,0,0.0035460992907801418,0.0,1.0,233,214,0.9184549356223176,285,0.8175438596491228
greedy_top5@0.002,external_8b,pooled,5,0,0,0.0,0.0,,233,214,0.9184549356223176,287,0.8118466898954704
greedy_top5@0.002,external_8b,libero_goal,1,49,3,0.46226415094339623,0.0007704160246533128,0.9423076923076923,0,0,,0,inf
greedy_top5@0.002,external_8b,libero_goal,2,32,1,0.3018867924528302,0.00025680534155110427,0.9696969696969697,2,2,1.0,17,0.11764705882352941
greedy_top5@0.002,external_8b,libero_goal,3,1,0,0.009433962264150943,0.0,1.0,3,2,0.6666666666666666,48,0.0625
greedy_top5@0.002,external_8b,libero_goal,4,0,0,0.0,0.0,,3,2,0.6666666666666666,49,0.061224489795918366
greedy_top5@0.002,external_8b,libero_goal,5,0,0,0.0,0.0,,3,2,0.6666666666666666,49,0.061224489795918366
greedy_top5@0.002,external_8b,libero_long,1,176,189,0.6423357664233577,0.050724637681159424,0.4821917808219178,0,0,,0,inf
greedy_top5@0.002,external_8b,libero_long,2,69,17,0.2518248175182482,0.004562533548040795,0.8023255813953488,172,172,1.0,107,1.6074766355140186
greedy_top5@0.002,external_8b,libero_long,3,26,0,0.0948905109489051,0.0,1.0,189,172,0.91005291005291,150,1.26
greedy_top5@0.002,external_8b,libero_long,4,2,0,0.0072992700729927005,0.0,1.0,189,172,0.91005291005291,174,1.0862068965517242
greedy_top5@0.002,external_8b,libero_long,5,0,0,0.0,0.0,,189,172,0.91005291005291,176,1.0738636363636365
greedy_top5@0.002,external_8b,libero_object,1,13,8,0.29545454545454547,0.0022497187851518562,0.6190476190476191,0,0,,0,inf
greedy_top5@0.002,external_8b,libero_object,2,4,0,0.09090909090909091,0.0,1.0,8,8,1.0,9,0.8888888888888888
greedy_top5@0.002,external_8b,libero_object,3,0,0,0.0,0.0,,8,8,1.0,13,0.6153846153846154
greedy_top5@0.002,external_8b,libero_object,4,0,0,0.0,0.0,,8,8,1.0,13,0.6153846153846154
greedy_top5@0.002,external_8b,libero_object,5,0,0,0.0,0.0,,8,8,1.0,13,0.6153846153846154
greedy_top5@0.002,external_8b,libero_spatial,1,49,33,0.35,0.00854922279792746,0.5975609756097561,0,0,,0,inf
greedy_top5@0.002,external_8b,libero_spatial,2,9,1,0.06428571428571428,0.00025906735751295336,0.9,32,32,1.0,40,0.8
greedy_top5@0.002,external_8b,libero_spatial,3,0,0,0.0,0.0,,33,32,0.9696969696969697,49,0.673469387755102
greedy_top5@0.002,external_8b,libero_spatial,4,0,0,0.0,0.0,,33,32,0.9696969696969697,49,0.673469387755102
greedy_top5@0.002,external_8b,libero_spatial,5,0,0,0.0,0.0,,33,32,0.9696969696969697,49,0.673469387755102
greedy_top5@0.002,external_8b,_base,0,287,233,0.5088652482269503,0.015496142591114658,0.551923076923077,0,214,,0,
families@0.005,development_main,pooled,1,361,382,0.7412731006160165,0.026689023964228325,0.4858681022880215,0,0,,0,inf
families@0.005,development_main,pooled,2,215,51,0.4414784394250513,0.0035631942988891218,0.8082706766917294,331,331,1.0,146,2.267123287671233
families@0.005,development_main,pooled,3,109,18,0.22381930184804927,0.0012575979878432194,0.8582677165354331,364,331,0.9093406593406593,252,1.4444444444444444
families@0.005,development_main,pooled,4,37,4,0.07597535934291581,0.00027946621952071543,0.9024390243902439,378,331,0.8756613756613757,324,1.1666666666666667
families@0.005,development_main,pooled,5,12,1,0.024640657084188913,6.986655488017886e-05,0.9230769230769231,381,331,0.868766404199475,349,1.0916905444126075
families@0.005,development_main,pooled,6,1,0,0.002053388090349076,0.0,1.0,382,331,0.8664921465968587,360,1.0611111111111111
families@0.005,development_main,pooled,7,1,0,0.002053388090349076,0.0,1.0,382,331,0.8664921465968587,360,1.0611111111111111
families@0.005,development_main,pooled,8,1,0,0.002053388090349076,0.0,1.0,382,331,0.8664921465968587,360,1.0611111111111111
families@0.005,development_main,pooled,9,0,0,0.0,0.0,,382,331,0.8664921465968587,361,1.0581717451523547
families@0.005,development_main,libero_goal,1,74,41,0.7254901960784313,0.01051821446895844,0.6434782608695652,0,0,,0,inf
families@0.005,development_main,libero_goal,2,45,3,0.4411764705882353,0.0007696254489481786,0.9375,38,38,1.0,29,1.3103448275862069
families@0.005,development_main,libero_goal,3,29,1,0.28431372549019607,0.0002565418163160595,0.9666666666666667,40,38,0.95,45,0.8888888888888888
families@0.005,development_main,libero_goal,4,18,0,0.17647058823529413,0.0,1.0,41,38,0.926829268292683,56,0.7321428571428571
families@0.005,development_main,libero_goal,5,5,0,0.049019607843137254,0.0,1.0,41,38,0.926829268292683,69,0.5942028985507246
families@0.005,development_main,libero_goal,6,0,0,0.0,0.0,,41,38,0.926829268292683,74,0.5540540540540541
families@0.005,development_main,libero_goal,7,0,0,0.0,0.0,,41,38,0.926829268292683,74,0.5540540540540541
families@0.005,development_main,libero_goal,8,0,0,0.0,0.0,,41,38,0.926829268292683,74,0.5540540540540541
families@0.005,development_main,libero_goal,9,0,0,0.0,0.0,,41,38,0.926829268292683,74,0.5540540540540541
families@0.005,development_main,libero_long,1,194,201,0.8738738738738738,0.07796741660201707,0.4911392405063291,0,0,,0,inf
families@0.005,development_main,libero_long,2,127,42,0.5720720720720721,0.016291698991466253,0.7514792899408284,159,159,1.0,67,2.373134328358209
families@0.005,development_main,libero_long,3,67,17,0.30180180180180183,0.0065942591155934835,0.7976190476190477,184,159,0.8641304347826086,127,1.4488188976377954
families@0.005,development_main,libero_long,4,19,4,0.08558558558558559,0.0015515903801396431,0.8260869565217391,197,159,0.8071065989847716,175,1.1257142857142857
families@0.005,development_main,libero_long,5,7,1,0.03153153153153153,0.0003878975950349108,0.875,200,159,0.795,187,1.0695187165775402
families@0.005,development_main,libero_long,6,1,0,0.0045045045045045045,0.0,1.0,201,159,0.7910447761194029,193,1.0414507772020725
families@0.005,development_main,libero_long,7,1,0,0.0045045045045045045,0.0,1.0,201,159,0.7910447761194029,193,1.0414507772020725
families@0.005,development_main,libero_long,8,1,0,0.0045045045045045045,0.0,1.0,201,159,0.7910447761194029,193,1.0414507772020725
families@0.005,development_main,libero_long,9,0,0,0.0,0.0,,201,159,0.7910447761194029,194,1.0360824742268042
families@0.005,development_main,libero_object,1,35,83,0.9459459459459459,0.02094372949785516,0.2966101694915254,0,0,,0,inf
families@0.005,development_main,libero_object,2,17,4,0.4594594594594595,0.0010093363613424174,0.8095238095238095,79,79,1.0,18,4.388888888888889
families@0.005,development_main,libero_object,3,3,0,0.08108108108108109,0.0,1.0,83,79,0.9518072289156626,32,2.59375
families@0.005,development_main,libero_object,4,0,0,0.0,0.0,,83,79,0.9518072289156626,35,2.3714285714285714
families@0.005,development_main,libero_object,5,0,0,0.0,0.0,,83,79,0.9518072289156626,35,2.3714285714285714
families@0.005,development_main,libero_object,6,0,0,0.0,0.0,,83,79,0.9518072289156626,35,2.3714285714285714
families@0.005,development_main,libero_object,7,0,0,0.0,0.0,,83,79,0.9518072289156626,35,2.3714285714285714
families@0.005,development_main,libero_object,8,0,0,0.0,0.0,,83,79,0.9518072289156626,35,2.3714285714285714
families@0.005,development_main,libero_object,9,0,0,0.0,0.0,,83,79,0.9518072289156626,35,2.3714285714285714
families@0.005,development_main,libero_spatial,1,58,57,0.4603174603174603,0.01471347444501807,0.5043478260869565,0,0,,0,inf
families@0.005,development_main,libero_spatial,2,26,2,0.20634920634920634,0.0005162622612287042,0.9285714285714286,55,55,1.0,32,1.71875
families@0.005,development_main,libero_spatial,3,10,0,0.07936507936507936,0.0,1.0,57,55,0.9649122807017544,48,1.1875
families@0.005,development_main,libero_spatial,4,0,0,0.0,0.0,,57,55,0.9649122807017544,58,0.9827586206896551
families@0.005,development_main,libero_spatial,5,0,0,0.0,0.0,,57,55,0.9649122807017544,58,0.9827586206896551
families@0.005,development_main,libero_spatial,6,0,0,0.0,0.0,,57,55,0.9649122807017544,58,0.9827586206896551
families@0.005,development_main,libero_spatial,7,0,0,0.0,0.0,,57,55,0.9649122807017544,58,0.9827586206896551
families@0.005,development_main,libero_spatial,8,0,0,0.0,0.0,,57,55,0.9649122807017544,58,0.9827586206896551
families@0.005,development_main,libero_spatial,9,0,0,0.0,0.0,,57,55,0.9649122807017544,58,0.9827586206896551
families@0.005,development_main,_base,0,361,382,0.7412731006160165,0.026689023964228325,0.4858681022880215,0,331,,0,
families@0.005,external_8b,pooled,1,411,434,0.7287234042553191,0.028864059590316574,0.4863905325443787,0,0,,0,inf
families@0.005,external_8b,pooled,2,267,91,0.4734042553191489,0.006052141527001862,0.7458100558659218,343,343,1.0,144,2.3819444444444446
families@0.005,external_8b,pooled,3,132,39,0.23404255319148937,0.0025937749401436553,0.7719298245614035,395,343,0.8683544303797468,279,1.4157706093189963
families@0.005,external_8b,pooled,4,42,10,0.07446808510638298,0.0006650704974727321,0.8076923076923077,424,343,0.8089622641509434,369,1.1490514905149052
families@0.005,external_8b,pooled,5,15,4,0.026595744680851064,0.00026602819898909286,0.7894736842105263,430,343,0.7976744186046512,396,1.0858585858585859
families@0.005,external_8b,pooled,6,2,1,0.0035460992907801418,6.650704974727321e-05,0.6666666666666666,433,343,0.792147806004619,409,1.058679706601467
families@0.005,external_8b,pooled,7,0,0,0.0,0.0,,434,343,0.7903225806451613,411,1.0559610705596107
families@0.005,external_8b,pooled,8,0,0,0.0,0.0,,434,343,0.7903225806451613,411,1.0559610705596107
families@0.005,external_8b,pooled,9,0,0,0.0,0.0,,434,343,0.7903225806451613,411,1.0559610705596107
families@0.005,external_8b,libero_goal,1,78,50,0.7358490566037735,0.012840267077555213,0.609375,0,0,,0,inf
families@0.005,external_8b,libero_goal,2,51,5,0.4811320754716981,0.0012840267077555213,0.9107142857142857,45,45,1.0,27,1.6666666666666667
families@0.005,external_8b,libero_goal,3,37,1,0.3490566037735849,0.00025680534155110427,0.9736842105263158,49,45,0.9183673469387755,41,1.1951219512195121
families@0.005,external_8b,libero_goal,4,22,1,0.20754716981132076,0.00025680534155110427,0.9565217391304348,49,45,0.9183673469387755,56,0.875
families@0.005,external_8b,libero_goal,5,5,0,0.04716981132075472,0.0,1.0,50,45,0.9,73,0.684931506849315
families@0.005,external_8b,libero_goal,6,0,0,0.0,0.0,,50,45,0.9,78,0.6410256410256411
families@0.005,external_8b,libero_goal,7,0,0,0.0,0.0,,50,45,0.9,78,0.6410256410256411
families@0.005,external_8b,libero_goal,8,0,0,0.0,0.0,,50,45,0.9,78,0.6410256410256411
families@0.005,external_8b,libero_goal,9,0,0,0.0,0.0,,50,45,0.9,78,0.6410256410256411
families@0.005,external_8b,libero_long,1,238,254,0.8686131386861314,0.06816961889425657,0.483739837398374,0,0,,0,inf
families@0.005,external_8b,libero_long,2,168,71,0.6131386861313869,0.0190552871712292,0.702928870292887,183,183,1.0,70,2.6142857142857143
families@0.005,external_8b,libero_long,3,81,35,0.2956204379562044,0.00939345142243693,0.6982758620689655,219,183,0.8356164383561644,157,1.394904458598726
families@0.005,external_8b,libero_long,4,18,9,0.06569343065693431,0.0024154589371980675,0.6666666666666666,245,183,0.746938775510204,220,1.1136363636363635
families@0.005,external_8b,libero_long,5,9,4,0.032846715328467155,0.0010735373054213634,0.6923076923076923,250,183,0.732,229,1.091703056768559
families@0.005,external_8b,libero_long,6,2,1,0.0072992700729927005,0.00026838432635534085,0.6666666666666666,253,183,0.7233201581027668,236,1.0720338983050848
families@0.005,external_8b,libero_long,7,0,0,0.0,0.0,,254,183,0.7204724409448819,238,1.0672268907563025
families@0.005,external_8b,libero_long,8,0,0,0.0,0.0,,254,183,0.7204724409448819,238,1.0672268907563025
families@0.005,external_8b,libero_long,9,0,0,0.0,0.0,,254,183,0.7204724409448819,238,1.0672268907563025
families@0.005,external_8b,libero_object,1,26,58,0.5909090909090909,0.016310461192350956,0.30952380952380953,0,0,,0,inf
families@0.005,external_8b,libero_object,2,17,7,0.38636363636363635,0.001968503937007874,0.7083333333333334,51,51,1.0,9,5.666666666666667
families@0.005,external_8b,libero_object,3,3,2,0.06818181818181818,0.0005624296962879641,0.6,56,51,0.9107142857142857,23,2.4347826086956523
families@0.005,external_8b,libero_object,4,2,0,0.045454545454545456,0.0,1.0,58,51,0.8793103448275862,24,2.4166666666666665
families@0.005,external_8b,libero_object,5,1,0,0.022727272727272728,0.0,1.0,58,51,0.8793103448275862,25,2.32
families@0.005,external_8b,libero_object,6,0,0,0.0,0.0,,58,51,0.8793103448275862,26,2.230769230769231
families@0.005,external_8b,libero_object,7,0,0,0.0,0.0,,58,51,0.8793103448275862,26,2.230769230769231
families@0.005,external_8b,libero_object,8,0,0,0.0,0.0,,58,51,0.8793103448275862,26,2.230769230769231
families@0.005,external_8b,libero_object,9,0,0,0.0,0.0,,58,51,0.8793103448275862,26,2.230769230769231
families@0.005,external_8b,libero_spatial,1,69,72,0.4928571428571429,0.01865284974093264,0.48936170212765956,0,0,,0,inf
families@0.005,external_8b,libero_spatial,2,31,8,0.22142857142857142,0.002072538860103627,0.7948717948717948,64,64,1.0,38,1.6842105263157894
families@0.005,external_8b,libero_spatial,3,11,1,0.07857142857142857,0.00025906735751295336,0.9166666666666666,71,64,0.9014084507042254,58,1.2241379310344827
