cohort,budget,n_families_available,union_recall,n_uncaught,union_fp,union_fpr,union_precision,n_caught_by_exactly_one,n_caught_by_all,mean_votes_on_risk,mean_votes_on_safe,mean_votes_on_fired_safe,n_admissible_detectors,ceiling_recall_all_admissible,ceiling_fp_all_admissible,ceiling_n_uncaught
development_main|libero_object,0.02,9,0.9459459459459459,2,350,0.08831693161746151,0.09090909090909091,11,0,1.864864864864865,0.09184960888215998,1.04,326,0.972972972972973,578,1
development_main|libero_spatial,0.02,9,0.7142857142857143,36,251,0.06479091378420238,0.26392961876832843,30,0,1.4126984126984128,0.07692307692307693,1.1872509960159363,326,0.8888888888888888,827,14
external_8b,0.02,9,0.8439716312056738,88,1676,0.1114658153764299,0.2211895910780669,116,0,2.143617021276596,0.14146049481245013,1.2690930787589498,326,0.9468085106382979,3577,30
external_8b|libero_goal,0.02,9,0.8301886792452831,18,295,0.07575757575757576,0.2297650130548303,33,0,2.141509433962264,0.08320493066255778,1.0983050847457627,326,0.8679245283018868,741,14
external_8b|libero_long,0.02,9,0.9452554744525548,15,706,0.18947933440687065,0.2683937823834197,39,0,2.605839416058394,0.273215244229737,1.4419263456090652,326,0.9963503649635036,1428,1
external_8b|libero_object,0.02,9,0.8636363636363636,6,325,0.09139482564679415,0.1046831955922865,16,0,1.8636363636363635,0.09898762654668167,1.083076923076923,326,0.9772727272727273,486,1
external_8b|libero_spatial,0.02,9,0.65,49,350,0.09067357512953368,0.20634920634920634,28,0,1.3285714285714285,0.11217616580310881,1.237142857142857,326,0.9,922,14
development_main,0.0543,9,0.9322381930184805,33,3178,0.22203591140920842,0.125,73,1,2.490759753593429,0.27254943058757775,1.2275015733165513,365,0.971252566735113,5745,14
development_main|libero_goal,0.0543,9,0.8235294117647058,18,528,0.13545407901487944,0.13725490196078433,22,0,2.1176470588235294,0.14340687532067728,1.058712121212121,365,0.9019607843137255,1362,10
development_main|libero_long,0.0543,9,0.9954954954954955,1,1096,0.4251357641582622,0.16780561883067577,24,1,2.90990990990991,0.6109387121799845,1.437043795620438,365,1.0,1548,0
development_main|libero_object,0.0543,9,0.9459459459459459,2,796,0.20085793590714104,0.0421179302045728,4,0,2.3513513513513513,0.21852132223063336,1.0879396984924623,365,0.972972972972973,1075,1
development_main|libero_spatial,0.0543,9,0.9047619047619048,12,758,0.1956633970056789,0.13073394495412843,23,0,2.0952380952380953,0.23257614868353124,1.1886543535620053,365,0.9761904761904762,1760,3
external_8b,0.0543,9,0.9414893617021277,33,4117,0.27380952380952384,0.11424268502581755,95,0,2.625886524822695,0.3472998137802607,1.268399319893126,365,0.9716312056737588,6641,16
external_8b|libero_goal,0.0543,9,0.839622641509434,17,657,0.1687211093990755,0.1193029490616622,24,0,2.2169811320754715,0.1805341551104263,1.0700152207001523,365,0.8962264150943396,1377,11
external_8b|libero_long,0.0543,9,0.9927007299270073,2,1723,0.4624261943102523,0.13634085213032582,24,0,3.164233576642336,0.6508319914117016,1.40742890307603,365,1.0,2368,0
external_8b|libero_object,0.0543,9,0.9545454545454546,2,766,0.21541057367829022,0.05198019801980198,12,0,2.159090909090909,0.23790776152980878,1.1044386422976502,365,1.0,979,0
external_8b|libero_spatial,0.0543,9,0.9142857142857143,12,971,0.25155440414507774,0.1164695177434031,35,0,2.0285714285714285,0.3233160621761658,1.2852729145211124,365,0.9642857142857143,1917,5
development_main,0.1,9,0.9589322381930184,20,6066,0.4238105219031649,0.07148323894076228,55,0,2.9897330595482545,0.6111926220918047,1.4421364985163205,384,0.9876796714579056,7815,6
development_main|libero_goal,0.1,9,0.8823529411764706,12,1370,0.35146228835300153,0.06164383561643835,34,0,2.1470588235294117,0.512570548999487,1.4583941605839417,384,0.9607843137254902,1879,4
development_main|libero_long,0.1,9,0.9954954954954955,1,1421,0.5512024825446082,0.1345919610231425,0,0,3.8468468468468466,1.0387897595034912,1.8845883180858551,384,1.0,1891,0
development_main|libero_object,0.1,9,0.8378378378378378,6,1377,0.3474640423921272,0.022017045454545456,7,0,1.837837837837838,0.39111784002018674,1.1256354393609296,384,0.972972972972973,1678,1
development_main|libero_spatial,0.1,9,0.9920634920634921,1,1898,0.4899328859060403,0.061789421651013345,14,0,2.5,0.6510067114093959,1.3287671232876712,384,0.9920634920634921,2367,1
external_8b,0.1,9,0.9663120567375887,19,6618,0.44014365522745413,0.07608543906184559,77,0,3.021276595744681,0.6451183825485501,1.465699607132064,384,0.9946808510638298,8758,3
external_8b|libero_goal,0.1,9,0.8962264150943396,11,1439,0.36954288649203904,0.06192959582790091,36,0,2.0943396226415096,0.5462249614791987,1.4781097984711604,384,0.9811320754716981,1941,2
external_8b|libero_long,0.1,9,0.9963503649635036,1,1926,0.5169082125603864,0.12414733969986358,4,0,3.854014598540146,0.8996242619431025,1.7403946002076842,384,1.0,2794,0
external_8b|libero_object,0.1,9,0.8863636363636364,5,1165,0.32761529808773904,0.03239202657807309,13,0,1.7954545454545454,0.3683914510686164,1.1244635193133048,384,1.0,1498,0
external_8b|libero_spatial,0.1,9,0.9857142857142858,2,2088,0.5409326424870466,0.06199460916442048,24,0,2.4785714285714286,0.7541450777202072,1.3941570881226053,384,0.9928571428571429,2525,1
development_main,0.2,9,0.9938398357289527,3,9787,0.6837839726123105,0.04712296757861941,14,0,3.7248459958932236,1.1754349193041291,1.7190150199243894,403,1.0,10967,0
development_main|libero_goal,0.2,9,1.0,0,2271,0.5826064648537712,0.04298356510745891,10,0,2.8823529411764706,0.8483837865572088,1.456186701893439,403,1.0,2767,0
development_main|libero_long,0.2,9,1.0,0,2229,0.8646237393328161,0.09057527539779682,0,0,4.261261261261262,2.016679596586501,2.332436069986541,403,1.0,2382,0
development_main|libero_object,0.2,9,0.918918918918919,3,2341,0.5907141054756497,0.01431578947368421,2,0,2.7567567567567566,0.8152914458743377,1.3801794105083298,403,1.0,2619,0
development_main|libero_spatial,0.2,9,1.0,0,2946,0.7604543107898812,0.041015625,2,0,3.746031746031746,1.3131130614352091,1.7267481330617787,403,1.0,3199,0
external_8b,0.2,9,0.9964539007092199,2,10778,0.7168129821761107,0.04955908289241623,24,0,3.7925531914893615,1.2551875498802874,1.7510669883095193,403,1.0,11976,0
external_8b|libero_goal,0.2,9,1.0,0,2345,0.6022085259373395,0.04324765401876785,15,0,2.990566037735849,0.8803287108371854,1.4618336886993604,403,1.0,2844,0
external_8b|libero_long,0.2,9,1.0,0,3280,0.880300590445518,0.07709622960045019,0,0,4.328467153284672,1.9135802469135803,2.173780487804878,403,1.0,3500,0
external_8b|libero_object,0.2,9,0.9545454545454546,2,2051,0.5767716535433071,0.020066889632107024,8,0,2.272727272727273,0.7778402699662542,1.348610433934666,403,1.0,2340,0
external_8b|libero_spatial,0.2,9,1.0,0,3102,0.8036269430051813,0.0431832202344232,1,0,3.8285714285714287,1.4375647668393783,1.7888459058671824,403,1.0,3292,0
development_main,1.0,9,0.997946611909651,1,10986,0.7675539719136449,0.04236401673640167,10,0,4.075975359342916,1.5685041570600153,2.043509921718551,411,1.0,11845,0
development_main|libero_goal,1.0,9,1.0,0,2271,0.5826064648537712,0.04298356510745891,9,0,3.0294117647058822,0.848896870189841,1.4570673712021136,411,1.0,2767,0
development_main|libero_long,1.0,9,1.0,0,2441,0.9468580294802172,0.08336462636124671,0,0,4.774774774774775,2.4449185415050425,2.5821384678410486,411,1.0,2510,0
development_main|libero_object,1.0,9,0.972972972972973,1,2400,0.6056018168054504,0.014778325123152709,1,0,3.054054054054054,0.886449659348978,1.46375,411,1.0,2694,0
development_main|libero_spatial,1.0,9,1.0,0,3874,1.0,0.0315,0,0,3.992063492063492,2.407072792978833,2.407072792978833,411,1.0,3874,0
external_8b,1.0,9,0.99822695035461,1,11914,0.792364990689013,0.045123026368518074,15,0,4.147163120567376,1.6705240755520085,2.108275977841195,411,1.0,12787,0
external_8b|libero_goal,1.0,9,1.0,0,2345,0.6022085259373395,0.04324765401876785,12,0,3.1792452830188678,0.8821263482280431,1.464818763326226,411,1.0,2844,0
external_8b|libero_long,1.0,9,1.0,0,3590,0.9634997316156736,0.07091097308488613,0,0,4.810218978102189,2.4667203435319376,2.56016713091922,411,1.0,3675,0
external_8b|libero_object,1.0,9,0.9772727272727273,1,2119,0.5958942632170978,0.019888991674375578,3,0,2.659090909090909,0.8565804274465691,1.4374705049551675,411,1.0,2408,0
external_8b|libero_spatial,1.0,9,1.0,0,3860,1.0,0.035,0,0,4.05,2.4471502590673575,2.4471502590673575,411,1.0,3860,0
