cohort,layer,contrast,n_a,n_b,mean_a,mean_b,difference,null_mean,null_sd,z_vs_stratified_null,p_two_sided
external_8b,L2,uncaught_risk_vs_safe,121,15036,0.035545783798183836,0.035692425445128795,-0.00014664164694495885,-7.576457814082379e-05,0.0001072636289218494,-0.6607744816817169,0.5255
external_8b,L2,caught_risk_vs_safe,443,15036,0.03274562096866506,0.035692425445128795,-0.002946804476463734,-0.002136003505447013,5.279728377633829e-05,-15.35686900961543,0.0
external_8b,L3,uncaught_vs_caught_risk,121,443,0.04066051102689915,0.03753838028663308,0.0031221307402660714,0.004544388060736965,0.000365061935840185,-3.8959343082361846,0.0
external_8b,L3,uncaught_risk_vs_safe,121,15036,0.04066051102689915,0.039939071039068845,0.0007214399878303079,0.00020903637422093864,0.00013458584264141064,3.8072623654377455,0.0
external_8b,L3,caught_risk_vs_safe,443,15036,0.03753838028663308,0.039939071039068845,-0.0024006907524357635,-0.0018111043082811385,7.077998162313988e-05,-8.329847375403576,0.0
external_8b,L4,uncaught_vs_caught_risk,121,443,0.04194523434708675,0.03806922633510217,0.0038760080119845802,0.005489415413932356,0.0003493080802355848,-4.618866534262939,0.0
external_8b,L4,uncaught_risk_vs_safe,121,15036,0.04194523434708675,0.041592100862394184,0.00035313348469256933,-0.00015851214775830231,0.00013704377727005712,3.7334466594760283,0.0
external_8b,L4,caught_risk_vs_safe,443,15036,0.03806922633510217,0.041592100862394184,-0.003522874527292011,-0.0027599937837444626,7.646058553438564e-05,-9.977437894514523,0.0
external_8b,L5,uncaught_vs_caught_risk,121,443,0.04954918763172991,0.04574734305381676,0.0038018445779131535,0.005819786160907128,0.0005044911597040544,-3.999954298857771,0.0
external_8b,L5,uncaught_risk_vs_safe,121,15036,0.04954918763172991,0.04933979311744671,0.000209394514283201,-0.0007697900207997928,0.00017509004592490546,5.592462609227694,0.0
external_8b,L5,caught_risk_vs_safe,443,15036,0.04574734305381676,0.04933979311744671,-0.0035924500636299525,-0.0026444845612137034,0.00010753055204921801,-8.815778254187276,0.0
external_8b,L12,uncaught_vs_caught_risk,121,443,0.06054840172294911,0.049574081686393066,0.010974320036556046,0.01118288757462884,0.0005066284845047308,-0.41167748054412223,0.676
external_8b,L12,uncaught_risk_vs_safe,121,15036,0.06054840172294911,0.05872757059252581,0.001820831130423299,0.0015695868398355258,0.0002020456505019837,1.2435025944065379,0.209
external_8b,L12,caught_risk_vs_safe,443,15036,0.049574081686393066,0.05872757059252581,-0.009153488906132747,-0.005963042302173218,0.00012632159731309567,-25.256541017699572,0.0
external_8b,L13,uncaught_vs_caught_risk,121,443,0.06340069655224709,0.05250585114534918,0.010894845406897904,0.011112158829436745,0.0005376911961550134,-0.4041602765543341,0.711
external_8b,L13,uncaught_risk_vs_safe,121,15036,0.06340069655224709,0.0618424743372651,0.0015582222149819885,0.001635449033979191,0.00020098715129453042,-0.3842375918052232,0.709
external_8b,L13,caught_risk_vs_safe,443,15036,0.05250585114534918,0.0618424743372651,-0.009336623191915916,-0.006129645842420368,0.0001309616967256194,-24.48790317839691,0.0
external_8b,L14,uncaught_vs_caught_risk,121,443,0.06217851910078965,0.05126337233597534,0.01091514676481431,0.010992646343785844,0.0005158346026795499,-0.15024114041391418,0.8805
external_8b,L14,uncaught_risk_vs_safe,121,15036,0.06217851910078965,0.06091092880446198,0.0012675902963276697,0.0016151211011557441,0.00021351063381041662,-1.6276978744611796,0.1075
external_8b,L14,caught_risk_vs_safe,443,15036,0.05126337233597534,0.06091092880446198,-0.00964755646848664,-0.0060687016835138845,0.00013063244134541097,-27.396370672655106,0.0
external_8b,L15,uncaught_vs_caught_risk,121,443,0.06602565543553414,0.05680118743592688,0.009224467999607258,0.0101440799192251,0.0006199543995807872,-1.4833541309484757,0.1315
external_8b,L15,uncaught_risk_vs_safe,121,15036,0.06602565543553414,0.06519542107500112,0.0008302343605330192,0.0003742558652101347,0.0002252987952097607,2.0238834162355523,0.039
external_8b,L15,caught_risk_vs_safe,443,15036,0.05680118743592688,0.06519542107500112,-0.008394233639074239,-0.005660623602107688,0.000143516889715381,-19.047305459223477,0.0
