quantity,layer,survival_auc,survival_auc_early,abs_auc_gap
fiedler_index_rho_s9,L3,0.4814269475230959,0.48728375853550726,0.018573052476904106
fiedler_index_rho_s9,L4,0.46108820883104146,0.4627064831247602,0.03891179116895854
fiedler_index_rho_s9,L5,0.4806982153003435,0.4843351591460571,0.019301784699656488
fiedler_index_rho_s9,L12,0.47901035542141596,0.48186126295817333,0.020989644578584044
fiedler_index_rho_s9,L13,0.5058598208244969,0.5058048238827411,0.005859820824496875
fiedler_index_rho_s9,L14,0.49142267667441336,0.4910151125573315,0.008577323325586639
fiedler_index_rho_s9,L15,0.5064965500223201,0.5091236929854055,0.00649655002232008
along_state_energy_s9,L2,0.5248958168528519,0.5247269235531868,0.024895816852851915
along_state_energy_s9,L3,0.47043411813490943,0.4714473816743041,0.02956588186509057
along_state_energy_s9,L4,0.5132252602915681,0.5127788448111877,0.01322526029156812
along_state_energy_s9,L5,0.47200980569170586,0.4779866244879405,0.027990194308294136
along_state_energy_s9,L12,0.47294147207399834,0.4690344067101708,0.027058527926001663
along_state_energy_s9,L13,0.48338352450013017,0.4880444429041873,0.01661647549986983
along_state_energy_s9,L14,0.47457487485048055,0.4767701050678311,0.025425125149519445
along_state_energy_s9,L15,0.47922015489942676,0.4780028579876824,0.020779845100573235
along_state_fraction_s9,L2,0.511300197841412,0.513087565037865,0.011300197841412007
along_state_fraction_s9,L3,0.46936588233829335,0.4699269857309361,0.03063411766170665
along_state_fraction_s9,L4,0.5165019953446934,0.5165328973594926,0.016501995344693432
along_state_fraction_s9,L5,0.47286488692529577,0.4793596624080583,0.02713511307470423
along_state_fraction_s9,L12,0.4963409210100117,0.4917444040532272,0.003659078989988296
along_state_fraction_s9,L13,0.5038936634312916,0.5081523176512862,0.003893663431291605
along_state_fraction_s9,L14,0.5010921674434884,0.5026092361520242,0.00109216744348839
along_state_fraction_s9,L15,0.5003938831020891,0.49792888105789723,0.0003938831020890987
pc1_state_cos_s9,L2,0.5151542014527246,0.5161474480066944,0.015154201452724614
pc1_state_cos_s9,L3,0.4930658731961715,0.4959074556755537,0.006934126803828489
pc1_state_cos_s9,L4,0.5179606815841633,0.5211658490130499,0.017960681584163307
pc1_state_cos_s9,L5,0.4815197262902251,0.48377071569872654,0.018480273709774897
pc1_state_cos_s9,L12,0.49734760166305164,0.4921801752285711,0.0026523983369483584
pc1_state_cos_s9,L13,0.5003709599200769,0.5029144502670219,0.0003709599200768521
pc1_state_cos_s9,L14,0.4929006013204451,0.49228448711767425,0.007099398679554891
pc1_state_cos_s9,L15,0.5127217066359432,0.5117880338637695,0.012721706635943186
saa_slope,L2,0.5017612063039448,0.5006323363613573,0.001761206303944829
saa_slope,L3,0.5039769393564699,0.5034627615473181,0.003976939356469922
saa_slope,L4,0.4750214890286199,0.46876451717700857,0.024978510971380097
saa_slope,L5,0.4877315013508969,0.47956919818063204,0.012268498649103121
saa_slope,L12,0.48880883272480885,0.4868864735224729,0.01119116727519115
saa_slope,L13,0.5237497159329031,0.5210009806979432,0.023749715932903093
saa_slope,L14,0.5495999672016197,0.549367775104621,0.049599967201619743
saa_slope,L15,0.5016042736568693,0.5000031818470155,0.001604273656869326
state_mobility_s9,L2,0.45402143863939975,0.46208774372643174,0.045978561360600245
state_mobility_s9,L3,0.4479447571325156,0.4541544986074633,0.05205524286748442
state_mobility_s9,L4,0.45663641378901865,0.46275613618307176,0.04336358621098135
state_mobility_s9,L5,0.4554652018973,0.4625096969471535,0.0445347981027
state_mobility_s9,L12,0.4227431551533861,0.42984246270506654,0.07725684484661388
state_mobility_s9,L13,0.41943293515755037,0.42670558104558215,0.08056706484244963
state_mobility_s9,L14,0.4285295825875517,0.4357854221556785,0.0714704174124483
state_mobility_s9,L15,0.4261195328106844,0.432687167879289,0.07388046718931562
state_mobility_mean,L2,0.45402143863939975,0.46208774372643174,0.045978561360600245
state_mobility_mean,L3,0.4479451087049585,0.45415530063505843,0.05205489129504148
state_mobility_mean,L4,0.4566383164163567,0.4627567431228735,0.043361683583643285
state_mobility_mean,L5,0.45547432210008365,0.462519277925452,0.04452567789991635
state_mobility_mean,L12,0.4227185864438464,0.4298179900252045,0.07728141355615359
state_mobility_mean,L13,0.4194310532109442,0.4267035434619621,0.0805689467890558
state_mobility_mean,L14,0.4285480918426342,0.43580287167497783,0.0714519081573658
state_mobility_mean,L15,0.42610900631812904,0.43267578775800686,0.07389099368187096
state_minus_action_mobility,L2,0.4563630765550235,0.4644748596430032,0.043636923444976494
state_minus_action_mobility,L3,0.45130423863182234,0.4574663956940569,0.04869576136817766
state_minus_action_mobility,L4,0.4613024625705637,0.4674254974890467,0.038697537429436324
state_minus_action_mobility,L5,0.45824130062943047,0.4650538802138405,0.04175869937056953
state_minus_action_mobility,L12,0.4408521346692866,0.4476995854341037,0.05914786533071342
state_minus_action_mobility,L13,0.43545816548506616,0.442613885100573,0.06454183451493384
state_minus_action_mobility,L14,0.4570924446089344,0.4640314467650065,0.04290755539106561
state_minus_action_mobility,L15,0.44617827105275765,0.4510827329181345,0.05382172894724235
state_over_action_logratio,L2,0.46154101481344284,0.46961045909880367,0.03845898518655716
state_over_action_logratio,L3,0.46053708936235266,0.4666024437650765,0.03946291063764734
state_over_action_logratio,L4,0.4746303877546243,0.48077030458580305,0.025369612245375706
state_over_action_logratio,L5,0.4650540507473727,0.47166386650653863,0.034945949252627284
state_over_action_logratio,L12,0.4767267108280259,0.48368086272851174,0.023273289171974076
state_over_action_logratio,L13,0.4601069921802844,0.46691909293020045,0.03989300781971561
state_over_action_logratio,L14,0.4845613786338424,0.4911641920430365,0.01543862136615759
state_over_action_logratio,L15,0.46602255010465693,0.4712310100458075,0.03397744989534307
mobility_s9,L2,0.4648301404627041,0.46609521550221367,0.0351698595372959
mobility_s9,L3,0.46510742771649893,0.4674972247677566,0.03489257228350107
mobility_s9,L4,0.4587503361652976,0.4612683966705363,0.04124966383470241
mobility_s9,L5,0.45988655625858094,0.46365106892070235,0.040113443741419064
mobility_s9,L12,0.4292299148938247,0.43608334289263523,0.07077008510617527
mobility_s9,L13,0.43299604162518457,0.4394235060328516,0.06700395837481543
mobility_s9,L14,0.42399626274357044,0.4307906760867192,0.07600373725642956
mobility_s9,L15,0.43639438221979865,0.4432813454710889,0.06360561778020135
conditional_energy_s9,L2,0.49919751408757534,0.5015878632600231,0.0008024859124246553
conditional_energy_s9,L3,0.4609978542582875,0.4596366695505955,0.03900214574171251
conditional_energy_s9,L4,0.4997165631936469,0.4983583088057515,0.0002834368063531212
conditional_energy_s9,L5,0.48505505500574614,0.4948728892650359,0.014944944994253861
conditional_energy_s9,L12,0.5253958602750216,0.5253589964495046,0.02539586027502161
conditional_energy_s9,L13,0.4921786956290534,0.49006327416921874,0.00782130437094658
conditional_energy_s9,L14,0.4990187442975676,0.5037341305380098,0.0009812557024324042
conditional_energy_s9,L15,0.4834213807194939,0.4780574560504848,0.01657861928050608
action_consensus_s9,L2,0.47394033712437256,0.47904139664033435,0.026059662875627443
action_consensus_s9,L3,0.5037514698860175,0.5030692663775442,0.003751469886017489
action_consensus_s9,L4,0.5057220490097631,0.5066973623704233,0.005722049009763142
action_consensus_s9,L5,0.5073461234862894,0.5082880832127981,0.00734612348628938
action_consensus_s9,L12,0.5526339725203411,0.5509148620831451,0.05263397252034108
action_consensus_s9,L13,0.5464761891167946,0.54396747139023,0.04647618911679463
action_consensus_s9,L14,0.556169456384302,0.553612359023404,0.05616945638430204
action_consensus_s9,L15,0.5562646981329166,0.5541715737030275,0.05626469813291657
