corpus,suite,task,event,event_settling,control_settling,event_responsiveness,control_responsiveness,event_coherence,control_coherence
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,static,0.40284355571147357,0.167114931103705,0.015846478902131325,0.06452440050052309,0.8664074528835097,0.487721452376776
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,loop,0.14953516926854937,0.5646442794311589,0.7678824181008841,0.5347391741369054,0.487721452376776,0.8229810234721655
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,loop,0.18637081213822138,0.696304092199549,0.6701778498020472,0.4369115263902849,0.487721452376776,0.8189304020737103
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,loop,9.744879066020395e-06,0.5711571069403029,0.7250302570309135,0.3286997828526886,0.8664074528835097,0.972075352973441
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,loop,0.999990255120934,0.30492701085579527,0.06721163511046381,0.6113185227731167,0.9845348769221774,0.9948384623880151
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,loop,0.5824221871406576,0.531089412513724,0.6738702332355535,0.5358434702934077,0.8664074528835097,0.7795545940608211
grid50x8,libero_goal,put_the_bowl_on_top_of_the_cabinet,loop,0.3226432009978756,0.15240406166559475,0.7415023897926112,0.748353812385895,0.2619910736907755,0.29150636340603014
grid50x8,libero_goal,put_the_cream_cheese_in_the_bowl,loop,0.6328421914284044,0.3427696245622925,0.9244189624402552,0.7474990939985093,0.487721452376776,0.22017904591137358
grid50x8,libero_goal,put_the_cream_cheese_in_the_bowl,loop,9.744879066020395e-06,0.3333365816263553,0.5674680506266795,0.6681060124310242,0.2619910736907755,0.3864266827782001
grid50x8,libero_goal,put_the_cream_cheese_in_the_bowl,loop,0.045674248182580035,0.3427696245622925,0.6252128248784591,0.7474990939985093,0.2619910736907755,0.22017904591137358
grid50x8,libero_goal,put_the_cream_cheese_in_the_bowl,loop,0.05871289637295596,0.3333365816263553,0.4628915464932614,0.6681060124310242,0.2619910736907755,0.3864266827782001
grid50x8,libero_goal,put_the_wine_bottle_on_top_of_the_cabinet,loop,0.39325459471047963,0.5061949588348467,0.9196598904592914,0.9455095049568782,0.8664074528835097,0.595917452521557
grid50x8,libero_long,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,static,9.744879066020395e-06,9.744879066020395e-06,0.06226794395782478,0.9767072145069643,0.1474497651484145,0.3357792979789121
