corpus,event,lead,axis,auc_event_high,events,pairs
main16x32,loop,-8,terminal|front|state_action_affinity,0.42595255212077643,98,1391
main16x32,loop,-8,terminal|front|expert_load_entropy,0.4895758447160316,98,1391
main16x32,loop,-8,terminal|back|effective_rank_fraction,0.4931703810208483,98,1391
main16x32,loop,-8,terminal|back|token_affinity,0.5470884255930984,98,1391
main16x32,loop,-8,terminal|back|state_action_affinity,0.44069015097052483,98,1391
main16x32,loop,-8,terminal|back|expert_load_entropy,0.4568655643421999,98,1391
main16x32,loop,-8,state|flow_nonsettling,0.5219266714593818,98,1391
main16x32,loop,-8,state|flow_curvature,0.5208483105679368,98,1391
main16x32,loop,-8,state|flow_directness,0.5061107117181883,98,1391
main16x32,loop,-8,state|flow_late_motion,0.5176132278936018,98,1391
main16x32,loop,-8,state|diversity,0.5916606757728253,98,1391
main16x32,loop,-8,state|token_coherence,0.5301941049604602,98,1391
main16x32,loop,-8,query|all|edge_action|d1,0.4846022241231822,89,1169
main16x32,loop,-8,query|all|edge_action|acceleration,0.48374679213002564,89,1169
main16x32,loop,-8,query|all|edge_action|jerk,0.4974337040205304,89,1169
main16x32,loop,-8,query|all|edge_action|lag4,0.5496150556030795,89,1169
main16x32,loop,-8,query|all|edge_action|return_advantage,0.4174508126603935,89,1169
main16x32,loop,-8,query|all|edge_action|turn_instability,0.4473909324208725,89,1169
main16x32,loop,-8,query|all|edge_state|d1,0.3323353293413174,89,1169
main16x32,loop,-8,query|all|edge_state|acceleration,0.4798973481608212,89,1169
main16x32,loop,-8,query|all|edge_state|jerk,0.5346449957228401,89,1169
main16x32,loop,-8,query|all|edge_state|lag4,0.5183917878528657,89,1169
main16x32,loop,-8,query|all|edge_state|return_advantage,0.5479041916167665,89,1169
main16x32,loop,-8,query|all|edge_state|turn_instability,0.6107784431137725,89,1169
main16x32,loop,-8,query|all|token_gram|d1,0.39863130881094955,89,1169
main16x32,loop,-8,query|all|token_gram|acceleration,0.3746792130025663,89,1169
main16x32,loop,-8,query|all|token_gram|jerk,0.5158254918733961,89,1169
main16x32,loop,-8,query|all|token_gram|lag4,0.42130025662959797,89,1169
main16x32,loop,-8,query|all|token_gram|return_advantage,0.5021385799828914,89,1169
main16x32,loop,-8,query|all|token_gram|turn_instability,0.5132591958939264,89,1169
main16x32,loop,-8,query|all|expert_load|d1,0.5192472198460223,89,1169
main16x32,loop,-8,query|all|expert_load|acceleration,0.5034217279726262,89,1169
main16x32,loop,-8,query|all|expert_load|jerk,0.5153977758768178,89,1169
main16x32,loop,-8,query|all|expert_load|lag4,0.6167664670658682,89,1169
main16x32,loop,-8,query|all|expert_load|return_advantage,0.43840889649272885,89,1169
main16x32,loop,-8,query|all|expert_load|turn_instability,0.47775876817792984,89,1169
main16x32,loop,-8,query|all|spectrum|d1,0.3618477331052181,89,1169
main16x32,loop,-8,query|all|spectrum|acceleration,0.39948674080410607,89,1169
main16x32,loop,-8,query|all|spectrum|jerk,0.49016253207869975,89,1169
main16x32,loop,-8,query|all|spectrum|lag4,0.4298545765611634,89,1169
main16x32,loop,-8,query|all|spectrum|return_advantage,0.5230966638152267,89,1169
main16x32,loop,-8,query|all|spectrum|turn_instability,0.5500427715996579,89,1169
main16x32,loop,-8,query|front|edge_action|d1,0.4221556886227545,89,1169
main16x32,loop,-8,query|front|edge_action|acceleration,0.4957228400342173,89,1169
main16x32,loop,-8,query|front|edge_action|jerk,0.5372112917023096,89,1169
main16x32,loop,-8,query|front|edge_action|lag4,0.5,89,1169
main16x32,loop,-8,query|front|edge_action|return_advantage,0.4662104362703165,89,1169
main16x32,loop,-8,query|front|edge_action|turn_instability,0.5508982035928144,89,1169
main16x32,loop,-8,query|front|edge_state|d1,0.325491873396065,89,1169
main16x32,loop,-8,query|front|edge_state|acceleration,0.4820359281437126,89,1169
main16x32,loop,-8,query|front|edge_state|jerk,0.5556030795551754,89,1169
main16x32,loop,-8,query|front|edge_state|lag4,0.49187339606501285,89,1169
main16x32,loop,-8,query|front|edge_state|return_advantage,0.5389221556886228,89,1169
main16x32,loop,-8,query|front|edge_state|turn_instability,0.6047904191616766,89,1169
main16x32,loop,-8,query|front|token_gram|d1,0.39863130881094955,89,1169
main16x32,loop,-8,query|front|token_gram|acceleration,0.3716852010265184,89,1169
main16x32,loop,-8,query|front|token_gram|jerk,0.5171086398631308,89,1169
