corpus,event,lead,score,score_type,event_mean_auc,bootstrap_95_low,bootstrap_95_high,events
grid50x8,loop,-2,loop_transfer_overcorrection,fixed_train_free,0.647135050741608,0.6014275956284154,0.6916094847775174,305
grid50x8,loop,0,loop_transfer_overcorrection,fixed_train_free,0.6821260898725687,0.6349058936955062,0.7273161887994634,284
grid50x8,static,-8,static_baseline,fixed_train_free,0.6973316912972085,0.6237238300492611,0.7673860837438424,116
grid50x8,static,-6,static_baseline,fixed_train_free,0.8605844155844157,0.7996964285714285,0.9154361471861472,110
grid50x8,static,-4,static_baseline,fixed_train_free,0.9495192307692307,0.907852564102564,0.9831730769230769,104
grid50x8,static,-2,static_baseline,fixed_train_free,0.9833333333333333,0.96,1.0,100
grid50x8,static,0,static_baseline,fixed_train_free,0.9655797101449276,0.9275362318840581,0.9945652173913043,92
grid50x8,static,-8,static_equal_fusion,fixed_train_free,0.7419540229885058,0.6694771141215106,0.809693144499179,116
grid50x8,static,-6,static_equal_fusion,fixed_train_free,0.7573160173160173,0.6787781385281386,0.8289215367965369,110
grid50x8,static,-4,static_equal_fusion,fixed_train_free,0.8677884615384616,0.8020833333333333,0.9262820512820513,104
grid50x8,static,-2,static_equal_fusion,fixed_train_free,0.8583333333333334,0.7983333333333333,0.9166666666666665,100
grid50x8,static,0,static_equal_fusion,fixed_train_free,0.9420289855072465,0.9003623188405798,0.9782608695652174,92
grid50x8,static,-8,static_structure_decoupling,fixed_train_free,0.5438013136288998,0.4671110426929392,0.6230095443349754,116
grid50x8,static,-6,static_structure_decoupling,fixed_train_free,0.6435497835497836,0.5647564935064936,0.7234875541125542,110
grid50x8,static,-4,static_structure_decoupling,fixed_train_free,0.6912316849816851,0.6120186584249083,0.7678376831501831,104
grid50x8,static,-2,static_structure_decoupling,fixed_train_free,0.720047619047619,0.6429928571428571,0.7928113095238095,100
grid50x8,static,0,static_structure_decoupling,fixed_train_free,0.7161231884057971,0.6297101449275363,0.7985507246376812,92
grid50x8,static,-8,static_transfer_arrest,fixed_train_free,0.7211617405582922,0.6506152504105089,0.7864957922824302,116
grid50x8,static,-6,static_transfer_arrest,fixed_train_free,0.6812337662337662,0.6041774891774893,0.7532045454545453,110
grid50x8,static,-4,static_transfer_arrest,fixed_train_free,0.8032738095238094,0.7333293269230768,0.8688186813186812,104
grid50x8,static,-2,static_transfer_arrest,fixed_train_free,0.8177619047619048,0.74995,0.8785238095238094,100
grid50x8,static,0,static_transfer_arrest,fixed_train_free,0.8858695652173915,0.8242753623188407,0.9384057971014493,92
main16x32,loop,-8,loop_baseline,fixed_train_free,0.501129232972934,0.43199512664146694,0.5700167116711292,98
main16x32,loop,-6,loop_baseline,fixed_train_free,0.4834708671257282,0.42335509543048266,0.5430900867903149,116
main16x32,loop,-4,loop_baseline,fixed_train_free,0.5460482569072376,0.47620259078357136,0.6126907334227051,107
main16x32,loop,-2,loop_baseline,fixed_train_free,0.6216071585517657,0.5533675022734361,0.6882450164599015,103
main16x32,loop,0,loop_baseline,fixed_train_free,0.5983532371606146,0.5256562057670757,0.668580696946177,103
main16x32,loop,-8,loop_edge_structure_handoff,fixed_train_free,0.49200804987618674,0.4196173681557098,0.5646273340566977,89
main16x32,loop,-6,loop_edge_structure_handoff,fixed_train_free,0.5288672347633836,0.46162276577414,0.5945649067736994,98
main16x32,loop,-4,loop_edge_structure_handoff,fixed_train_free,0.5118855592463882,0.4418790426101732,0.5783766205604634,107
main16x32,loop,-2,loop_edge_structure_handoff,fixed_train_free,0.6353819646767535,0.5708393259308356,0.6985327215679898,103
main16x32,loop,0,loop_edge_structure_handoff,fixed_train_free,0.5726699006038661,0.5075256833537006,0.6335359275496029,103
main16x32,loop,-8,loop_equal_fusion,fixed_train_free,0.5174026800331308,0.4444671966370858,0.5917683599123806,89
main16x32,loop,-6,loop_equal_fusion,fixed_train_free,0.5434855314567166,0.4758503559277164,0.6103373506745426,89
main16x32,loop,-4,loop_equal_fusion,fixed_train_free,0.5215015955411026,0.44757407918437736,0.5979014201562,89
main16x32,loop,-2,loop_equal_fusion,fixed_train_free,0.6387001943303773,0.5680980634147055,0.7075494455185559,103
main16x32,loop,0,loop_equal_fusion,fixed_train_free,0.597332392333856,0.5309426044992195,0.6645839531014608,103
main16x32,loop,-8,loop_transfer_overcorrection,fixed_train_free,0.49169731713897513,0.4186930580771545,0.5646369969427424,89
main16x32,loop,-6,loop_transfer_overcorrection,fixed_train_free,0.4930859667630237,0.4200142918510079,0.5678830970411931,89
main16x32,loop,-4,loop_transfer_overcorrection,fixed_train_free,0.5252796210072397,0.4564734594495151,0.5946868858835377,89
main16x32,loop,-2,loop_transfer_overcorrection,fixed_train_free,0.640848108678587,0.57912012774804,0.6991620098841937,103
main16x32,loop,0,loop_transfer_overcorrection,fixed_train_free,0.5372135889516301,0.47105815300702975,0.6047922189896703,103
main16x32,static,-8,static_baseline,fixed_train_free,0.6745576491140346,0.6178433476606711,0.7294770779346894,126
main16x32,static,-6,static_baseline,fixed_train_free,0.8333803276332011,0.791506514831638,0.872881374539831,126
main16x32,static,-4,static_baseline,fixed_train_free,0.9295836516424751,0.903749168859463,0.9518925482650973,126
main16x32,static,-2,static_baseline,fixed_train_free,0.9835537918871252,0.975638778659612,0.9911381172839506,126
main16x32,static,0,static_baseline,fixed_train_free,0.9931125706987777,0.9798850574712643,1.0,126
main16x32,static,-8,static_equal_fusion,fixed_train_free,0.8124959499423188,0.7679384526138856,0.8511337263695044,126
main16x32,static,-6,static_equal_fusion,fixed_train_free,0.8446616499264282,0.8072275664663286,0.8785478115909664,126
main16x32,static,-4,static_equal_fusion,fixed_train_free,0.9123198890609303,0.884558101134335,0.9372318105228856,126
main16x32,static,-2,static_equal_fusion,fixed_train_free,0.9164370856899593,0.8803686409110261,0.9470588738368911,126
main16x32,static,0,static_equal_fusion,fixed_train_free,0.9131613756613757,0.8717592592592592,0.9485499338624338,126
main16x32,static,-8,static_structure_decoupling,fixed_train_free,0.6281624055486549,0.5772589107662387,0.678709959708407,126
main16x32,static,-6,static_structure_decoupling,fixed_train_free,0.5481155631299309,0.49517148661827426,0.6009695119049593,126
main16x32,static,-4,static_structure_decoupling,fixed_train_free,0.7366134615971619,0.6813725354898051,0.7863497057144582,126
main16x32,static,-2,static_structure_decoupling,fixed_train_free,0.7915859667912214,0.7403956248701732,0.8380450874765325,126
main16x32,static,0,static_structure_decoupling,fixed_train_free,0.7799738841405507,0.7274186307519641,0.8283761608761608,126
main16x32,static,-8,static_transfer_arrest,fixed_train_free,0.7840376497336612,0.7329548321146792,0.8315356246570491,126
main16x32,static,-6,static_transfer_arrest,fixed_train_free,0.8145070712599448,0.7762847150644769,0.8504959468403639,126
main16x32,static,-4,static_transfer_arrest,fixed_train_free,0.8606673762039356,0.8165788731027066,0.9011610537051229,126
main16x32,static,-2,static_transfer_arrest,fixed_train_free,0.8911763364349572,0.8478507951711975,0.928292529495834,126
main16x32,static,0,static_transfer_arrest,fixed_train_free,0.8877645502645503,0.8383498677248676,0.9320767195767196,126
