cohort,detector,point,is_baseline,alarms,tp,fp,precision,suite_prior,suite_lift,task_prior,task_lift,lp_suite_tp,lp_suite_fp,lp_suite_precision,lp_suite_lift,lp_task_tp,lp_task_fp,lp_task_precision,lp_task_lift,budget
external_8b,ablate_no_pop,budget=0.02|k_of_m,True,567,263,304,0.4638447971781305,0.22601480145112737,2.0522761969570857,0.29250703960134095,1.5857560139759592,95,122,0.4377880184331797,3.1463940989687798,72,176,0.2903225806451613,2.794355693302247,0.02
legacy_main16x32,ablate_no_pop,budget=0.02|k_of_m,True,303,135,168,0.44554455445544555,0.33135347346210026,1.3446201417484351,0.32370776623462216,1.376378947091793,35,70,0.3333333333333333,2.0748299319727894,34,70,0.3269230769230769,2.3944906444906446,0.02
development_main,ablate_no_pop,budget=0.05|k_of_m,True,962,290,672,0.30145530145530147,0.2149188836980036,1.4026468789913118,0.2387907282968573,1.2624246494216538,101,379,0.21041666666666667,2.0942398965624456,81,417,0.16265060240963855,2.024837201169919,0.05
external_8b,ablate_no_pop,budget=0.05|k_of_m,True,976,338,638,0.3463114754098361,0.21437454955466984,1.6154505100033794,0.25839101228029493,1.3402613053513164,118,301,0.28162291169451076,2.2123133036789056,89,403,0.18089430894308944,1.978404080753403,0.05
legacy_main16x32,ablate_no_pop,budget=0.05|k_of_m,True,520,192,328,0.36923076923076925,0.3374810844892812,1.094078412689516,0.33093557462723944,1.1157179751577475,37,131,0.22023809523809523,1.3708697764820212,35,130,0.21212121212121213,1.5536445536445538,0.05
development_main,ablate_no_pop,budget=0.1|k_of_m,True,1754,349,1405,0.19897377423033066,0.1665425021139311,1.1947327060945288,0.1770767463712081,1.1236584040979585,135,1025,0.11637931034482758,1.3952688171677727,104,1077,0.08806096528365792,1.4074816627638747,0.1
external_8b,ablate_no_pop,budget=0.1|k_of_m,True,1747,404,1343,0.23125357756153406,0.18495038875488484,1.2503546443906908,0.19987716600574784,1.1569784692408733,147,817,0.1524896265560166,1.41394683982218,110,1002,0.09892086330935251,1.377078596716626,0.1
legacy_main16x32,ablate_no_pop,budget=0.1|k_of_m,True,731,242,489,0.33105335157318744,0.3321813818932072,0.9966041735584615,0.3265623269413671,1.013752427213157,43,208,0.17131474103585656,1.066346857468087,36,206,0.1487603305785124,1.089568907750726,0.1
development_main,ablate_no_pop,budget=0.2|k_of_m,True,3244,393,2851,0.12114673242909987,0.09709933047755627,1.2476577524610426,0.1065723870310038,1.1367553622858813,177,2435,0.06776416539050537,1.2684743723533476,140,2501,0.05301022340022719,1.4094657167987608,0.2
external_8b,ablate_no_pop,budget=0.2|k_of_m,True,3406,447,2959,0.13123899001761596,0.10476530264274798,1.252695183491655,0.11345610873573636,1.1567379798235435,418,2826,0.12885326757090013,1.341935082429355,174,2636,0.06192170818505338,1.3880864209512491,0.2
legacy_main16x32,ablate_no_pop,budget=0.2|k_of_m,True,1180,245,935,0.2076271186440678,0.2159917239626588,0.9612734915711997,0.20847841420860355,0.9959166249044664,44,659,0.06258890469416785,0.820346697041538,38,655,0.05483405483405483,0.9214189210918503,0.2
development_main,ablate_no_pop,budget=0.3|k_of_m,True,4661,442,4219,0.0948294357434027,0.08225667832373398,1.1528478620323892,0.08900065597176976,1.0654914248438998,222,3768,0.055639097744360905,1.116239701624739,176,3838,0.04384653712007972,1.1827757879074055,0.3
external_8b,ablate_no_pop,budget=0.3|k_of_m,True,4845,504,4341,0.10402476780185758,0.09203620581019399,1.1302591940435656,0.09770551794308192,1.0646764890234441,486,4240,0.10283537875581887,1.177867710237509,218,3970,0.05205348615090735,1.1794728307300475,0.3
legacy_main16x32,ablate_no_pop,budget=0.3|k_of_m,True,1755,267,1488,0.15213675213675212,0.16551148084289,0.9191915350039452,0.16142884826939322,0.9424384412559619,55,1195,0.044,0.7103577690519451,47,1191,0.03796445880452343,0.7118466162628718,0.3
development_main,ablate_raw_only,budget=0.002|cusum_gated,True,116,88,28,0.7586206896551724,0.11283592172129116,6.7232196811312726,0.3749064498502309,2.0234933006840214,80,24,0.7692307692307693,8.540669912134849,35,15,0.7,9.378296559235366,0.002
external_8b,ablate_raw_only,budget=0.002|cusum_gated,True,150,99,51,0.66,0.12100045717703459,5.454524845590959,0.3166399887161028,2.0843861278423406,92,47,0.6618705035971223,6.1042701336163,42,26,0.6176470588235294,7.505444182060305,0.002
legacy_main16x32,ablate_raw_only,budget=0.002|cusum_gated,True,27,18,9,0.6666666666666666,0.1060969241781723,6.283562618150078,0.21103757996683334,3.158995031934312,18,9,0.6666666666666666,6.283562618150078,10,7,0.5882352941176471,4.611263789156349,0.002
development_main,ablate_raw_only,budget=0.005|cusum_all,True,227,163,64,0.7180616740088106,0.3282756784915144,2.1873739696721755,0.38810472222082537,1.8501750504345706,27,31,0.46551724137931033,4.206467568249358,16,29,0.35555555555555557,5.202334082038092,0.005
external_8b,ablate_raw_only,budget=0.005|cusum_all,True,284,195,89,0.6866197183098591,0.2924280226884179,2.3479956264022364,0.3222579598528445,2.130652470534464,62,56,0.5254237288135594,5.954684306191224,49,60,0.44954128440366975,6.982714127742164,0.005
legacy_main16x32,ablate_raw_only,budget=0.005|cusum_all,True,145,122,23,0.8413793103448276,0.4141833215434217,2.031417651511156,0.4199733772819472,2.0034110633159763,2,2,0.5,3.495240909186839,0,0,,,0.005
development_main,ablate_raw_only,budget=0.01|cusum_all,True,297,194,103,0.6531986531986532,0.3008301757592175,2.171320252531678,0.36145166978917365,1.8071535084611694,48,49,0.4948453608247423,4.34691928707509,26,42,0.38235294117647056,5.216740189762364,0.01
external_8b,ablate_raw_only,budget=0.01|cusum_all,True,396,239,157,0.6035353535353535,0.27607001121640656,2.186167743740382,0.3072372596572471,1.9643950548467188,84,100,0.45652173913043476,4.684771817728872,60,99,0.37735849056603776,5.982070361723395,0.01
legacy_main16x32,ablate_raw_only,budget=0.01|cusum_all,True,199,152,47,0.7638190954773869,0.41610358446624146,1.8356465168575247,0.4254802288979314,1.7951929222559004,2,2,0.5,4.669371480765694,0,1,0.0,0.0,0.01
development_main,ablate_raw_only,budget=0.02|cusum_all,True,463,235,228,0.5075593952483801,0.24759504388571849,2.0499578153214264,0.30749529968502454,1.6506248900984388,88,136,0.39285714285714285,3.5457036901725094,50,101,0.33112582781456956,4.83510484732166,0.02
external_8b,ablate_raw_only,budget=0.02|cusum_all,True,638,290,348,0.45454545454545453,0.2142513425382046,2.1215524213781833,0.26997094694048773,1.6836828543837878,146,246,0.37244897959183676,3.74756588508903,75,218,0.25597269624573377,4.5119043759235105,0.02
legacy_main16x32,ablate_raw_only,budget=0.02|cusum_all,True,284,187,97,0.6584507042253521,0.4142773144927592,1.5893959943994487,0.42353741644262133,1.5546458911607297,5,3,0.625,5.163898224122841,2,2,0.5,3.0405835255361824,0.02
development_main,ablate_raw_only,budget=0.05|cusum_all,True,960,318,642,0.33125,0.1082192150742435,3.0609166752202634,0.2193222371278488,1.5103347674084937,256,620,0.2922374429223744,3.582757083231695,102,438,0.18888888888888888,3.8420695189441636,0.05
external_8b,ablate_raw_only,budget=0.05|cusum_all,True,1353,389,964,0.28750923872875095,0.09716998246795853,2.958827730812405,0.18433765302116495,1.5596880724945557,315,946,0.24980174464710547,3.3571036166080046,143,776,0.15560391730141457,3.1057881432168624,0.05
legacy_main16x32,ablate_raw_only,budget=0.05|cusum_all,True,454,224,230,0.4933920704845815,0.3869919846055216,1.2749413169048407,0.3939626600214846,1.2523828285088605,24,26,0.48,4.985251486134894,20,22,0.47619047619047616,3.5437349668312197,0.05
development_main,ablate_raw_only,budget=0.1|cusum_all,True,1787,364,1423,0.20369334079462786,0.09424275252080482,2.1613687561774153,0.1541809966164745,1.321131301941934,337,1392,0.19491035280508964,2.289884335940793,140,1127,0.11049723756906077,2.2908831438706008,0.1
external_8b,ablate_raw_only,budget=0.1|cusum_all,True,2676,444,2232,0.16591928251121077,0.08420352125905513,1.9704553922484334,0.12743031830713697,1.3020393005007362,404,2202,0.15502686108979277,2.0414577551668547,185,1935,0.08726415094339622,1.9303945868926553,0.1
legacy_main16x32,ablate_raw_only,budget=0.1|cusum_all,True,559,257,302,0.4597495527728086,0.39349673853277944,1.168369411363012,0.4002403179399279,1.1486837586457554,31,21,0.5961538461538461,5.477943914847905,27,13,0.675,5.172887147777254,0.1
development_main,ablate_raw_only,budget=0.2|cusum_all,True,3112,395,2717,0.1269280205655527,0.07683844434357803,1.6518817064801887,0.09833444946145226,1.2907787785531795,380,2704,0.12321660181582361,1.6630267593871988,191,2412,0.07337687283903188,1.8586181676560156,0.2
external_8b,ablate_raw_only,budget=0.2|cusum_all,True,4234,470,3764,0.11100614076523382,0.07039066602395852,1.577000858714012,0.08977773319648667,1.2364551522178318,450,3752,0.10709186101856259,1.5800685526588152,239,3459,0.0646295294753921,1.6205096853688148,0.2
legacy_main16x32,ablate_raw_only,budget=0.2|cusum_all,True,641,265,376,0.41341653666146644,0.35510352392548733,1.1642141201285716,0.3621385338112638,1.1415977535186224,47,80,0.3700787401574803,4.383397594666281,43,71,0.37719298245614036,3.9980174161333126,0.2
development_main,ablate_raw_only,budget=0.3|k_of_m,True,4507,425,4082,0.09429775904149101,0.08239409409518204,1.1444723080826376,0.08893449157245673,1.0603058203201705,225,3673,0.05772190867111339,1.1340293925055045,162,3720,0.04173106646058733,1.1691327153581519,0.3
external_8b,ablate_raw_only,budget=0.3|k_of_m,True,4567,505,4062,0.11057587037442522,0.0929955845481647,1.1890443069063699,0.10306686932332657,1.0728556237362998,464,3913,0.10600868174548778,1.2488758646896985,207,3692,0.05309053603488074,1.1711733477737056,0.3
legacy_main16x32,ablate_raw_only,budget=0.3|k_of_m,True,1144,261,883,0.22814685314685315,0.21689273445205967,1.0518879469301956,0.22794636872071078,1.0008795245446003,64,616,0.09411764705882353,1.221950316331122,52,594,0.0804953560371517,0.980750030468779,0.3
development_main,ablate_no_gating,budget=0.002|k_of_m,True,139,111,28,0.7985611510791367,0.4312651528446819,1.8516709402828442,0.41881455426550346,1.9067177655265928,0,0,,,0,0,,,0.002
external_8b,ablate_no_gating,budget=0.002|k_of_m,True,154,108,46,0.7012987012987013,0.4819519536775031,1.4551216069309132,0.44622659396195846,1.57162013826206,0,0,,,0,4,0.0,0.0,0.002
legacy_main16x32,ablate_no_gating,budget=0.002|k_of_m,True,175,118,57,0.6742857142857143,0.421875,1.5983068783068783,0.421875,1.5983068783068783,0,0,,,0,0,,,0.002
development_main,ablate_no_gating,budget=0.005|k_of_m,True,211,142,69,0.6729857819905213,0.43015176935357946,1.5645310096059033,0.42262649802346525,1.5923889891853291,0,0,,,0,0,,,0.005
external_8b,ablate_no_gating,budget=0.005|k_of_m,True,232,144,88,0.6206896551724138,0.47929489123435665,1.2950057814593325,0.4420727409827776,1.4040441710849456,0,0,,,0,6,0.0,0.0,0.005
legacy_main16x32,ablate_no_gating,budget=0.005|k_of_m,True,276,169,107,0.6123188405797102,0.421875,1.4514224369296835,0.421875,1.4514224369296835,0,0,,,0,0,,,0.005
development_main,ablate_no_gating,budget=0.01|k_of_m,True,309,173,136,0.5598705501618123,0.42909262866236136,1.304777832952138,0.4277966301065769,1.30873062282499,0,0,,,0,0,,,0.01
external_8b,ablate_no_gating,budget=0.01|k_of_m,True,330,182,148,0.5515151515151515,0.4775097218927169,1.1549820374946451,0.45397130955551074,1.214867855977831,0,0,,,1,6,0.14285714285714285,1.9879518072289155,0.01
legacy_main16x32,ablate_no_gating,budget=0.01|k_of_m,True,353,192,161,0.5439093484419264,0.421875,1.289266603714196,0.421875,1.289266603714196,0,0,,,0,0,,,0.01
development_main,ablate_no_gating,budget=0.02|k_of_m,True,500,219,281,0.438,0.4314905768132496,1.0150858988273288,0.4293469696969696,1.0201539335636576,0,0,,,0,0,,,0.02
external_8b,ablate_no_gating,budget=0.02|k_of_m,True,537,260,277,0.48417132216014896,0.48213480537053555,1.004223957214722,0.47730949437242576,1.0143760555124621,0,0,,,1,13,0.07142857142857142,0.7317073170731707,0.02
legacy_main16x32,ablate_no_gating,budget=0.02|k_of_m,True,511,216,295,0.4227005870841487,0.421875,1.0019569471624266,0.421875,1.0019569471624266,0,0,,,0,0,,,0.02
development_main,ablate_no_gating,budget=0.05|cusum_gated,True,960,245,715,0.2552083333333333,0.11039078348876198,2.311862686972541,0.21500253975927386,1.1870014820247035,183,697,0.20795454545454545,2.4373077039235853,46,461,0.09072978303747535,2.1498761724598845,0.05
external_8b,ablate_no_gating,budget=0.05|cusum_gated,True,993,278,715,0.2799597180261833,0.09655884569379115,2.8993689393719113,0.21518970146953145,1.3009903174470576,234,700,0.2505353319057816,3.283297831728845,72,474,0.13186813186813187,3.865537914801964,0.05
legacy_main16x32,ablate_no_gating,budget=0.05|cusum_gated,True,464,196,268,0.4224137931034483,0.41736542010039446,1.0120958104335511,0.420268602834129,1.0051043315033599,8,1,0.8888888888888888,5.829057721818159,6,1,0.8571428571428571,5.664715719063544,0.05
development_main,ablate_no_gating,budget=0.1|cusum_gated,True,1705,305,1400,0.17888563049853373,0.09298991547493192,1.9237100021534856,0.1452167893654395,1.231852262264016,260,1386,0.15795868772782504,1.9039456655500546,90,1098,0.07575757575757576,2.194811310726268,0.1
external_8b,ablate_no_gating,budget=0.1|cusum_gated,True,1767,349,1418,0.1975099037917374,0.08190230554636119,2.4115304505065,0.14644482975136877,1.3486983741731677,310,1410,0.18023255813953487,2.4709760902224143,119,1132,0.09512390087929656,2.994408614873199,0.1
legacy_main16x32,ablate_no_gating,budget=0.1|cusum_gated,True,556,256,300,0.460431654676259,0.40894359052672324,1.1259050522914875,0.411501456780222,1.1189064998187117,24,3,0.8888888888888888,6.481637147013754,19,2,0.9047619047619048,7.955117684548227,0.1
development_main,ablate_no_gating,budget=0.2|cusum_gated,True,3195,373,2822,0.11674491392801252,0.0700307195390639,1.667052897591477,0.08770708677055372,1.3310773191386833,353,2802,0.11188589540412044,1.6945287999201524,173,2542,0.06372007366482504,1.9282760528366951,0.2
external_8b,ablate_no_gating,budget=0.2|cusum_gated,True,3727,435,3292,0.11671585725784814,0.06924160700897164,1.6856318375557815,0.08756504692801277,1.3329046389228827,393,3266,0.1074063951899426,1.707618312950905,208,3011,0.06461634047840945,1.866601134757959,0.2
legacy_main16x32,ablate_no_gating,budget=0.2|cusum_gated,True,629,258,371,0.41017488076311603,0.3551356745027943,1.154980786814445,0.35564080483984334,1.1533403231044626,46,75,0.38016528925619836,5.104018400721944,38,73,0.34234234234234234,6.901201633210214,0.2
development_main,ablate_no_gating,budget=0.3|k_of_m,True,4658,393,4265,0.08437097466723915,0.07945820025575433,1.0618284128720754,0.07757739006315943,1.0875717086969379,358,4220,0.0782000873743993,1.0546941653881128,178,3985,0.042757626711506125,1.1777683521906852,0.3
external_8b,ablate_no_gating,budget=0.3|k_of_m,True,5860,466,5394,0.0795221843003413,0.07251705788720009,1.096599705189883,0.07162242920463141,1.1102972236970574,431,5367,0.07433597792342186,1.077806950298447,226,5117,0.04229833426913719,1.2091715811940922,0.3
legacy_main16x32,ablate_no_gating,budget=0.3|k_of_m,True,1200,262,938,0.21833333333333332,0.21992709729277748,0.992753216956606,0.21136156706144285,1.0329850235727283,38,636,0.05637982195845697,0.91304586621709,38,636,0.05637982195845697,1.2296105795849108,0.3
development_main,unified_plus_prior,budget=0.002|cusum_all,True,132,106,26,0.803030303030303,0.4220669823926833,1.90261341571414,0.5117028736971765,1.5693292813233892,0,0,,,2,3,0.4,2.037037037037037,0.002
external_8b,unified_plus_prior,budget=0.002|cusum_all,True,155,121,34,0.7806451612903226,0.4516942891110664,1.7282599760706094,0.5166686795488876,1.5109202322306772,6,0,1.0,8.43024999949756,10,11,0.47619047619047616,5.216825395097999,0.002
legacy_main16x32,unified_plus_prior,budget=0.002|cusum_all,True,96,85,11,0.8854166666666666,0.421875,2.0987654320987654,0.421875,2.0987654320987654,0,0,,,0,0,,,0.002
development_main,unified_plus_prior,budget=0.005|cusum_all,True,260,202,58,0.7769230769230769,0.39303618363751686,1.9767215062305947,0.5206774064853231,1.492139023599014,4,5,0.4444444444444444,2.8351238995261037,3,10,0.23076923076923078,1.6523507561264805,0.005
external_8b,unified_plus_prior,budget=0.005|cusum_all,True,284,231,53,0.8133802816901409,0.4165632090373695,1.9525975027169846,0.5276648739193428,1.541471342688753,16,6,0.7272727272727273,4.64262688220075,12,14,0.46153846153846156,4.648390421716016,0.005
legacy_main16x32,unified_plus_prior,budget=0.005|cusum_all,True,170,138,32,0.8117647058823529,0.4215033476119806,1.9258796175199813,0.4373375899561953,1.8561512308229922,1,0,1.0,12.19047619047619,1,0,1.0,12.19047619047619,0.005
development_main,unified_plus_prior,budget=0.01|cusum_all,True,380,272,108,0.7157894736842105,0.37631515279100586,1.9021011202324307,0.4863361495075823,1.4717998536792933,18,14,0.5625,3.4289392071625713,13,27,0.325,2.828753221826945,0.01
external_8b,unified_plus_prior,budget=0.01|cusum_all,True,402,296,106,0.736318407960199,0.3887805234036772,1.8939179399058206,0.4834374858347202,1.5230891884373545,33,21,0.6111111111111112,4.170251740715864,27,30,0.47368421052631576,5.298624889407929,0.01
legacy_main16x32,unified_plus_prior,budget=0.01|cusum_all,True,246,186,60,0.7560975609756098,0.4151697844778303,1.82117675525586,0.4289939828606957,1.7624898977222536,5,3,0.625,4.969222686714752,4,2,0.6666666666666666,5.840421193679247,0.01
development_main,unified_plus_prior,budget=0.02|cusum_all,True,629,353,276,0.56120826709062,0.3384543992777492,1.6581503100217354,0.40929614151883165,1.3711545508542227,62,72,0.4626865671641791,3.198320885131027,35,97,0.26515151515151514,2.5259712976692126,0.02
external_8b,unified_plus_prior,budget=0.02|cusum_all,True,695,404,291,0.581294964028777,0.33575807833897486,1.731291073931847,0.404271960687344,1.4378809824961845,93,100,0.48186528497409326,3.3529493278979463,53,118,0.30994152046783624,3.7540547889935203,0.02
legacy_main16x32,unified_plus_prior,budget=0.02|cusum_all,True,395,239,156,0.6050632911392405,0.4040710593067099,1.4974180337918426,0.40972149914279016,1.4767672489853227,14,13,0.5185185185185185,4.380359806621898,9,11,0.45,4.379188688224609,0.02
development_main,unified_plus_prior,budget=0.05|cusum_all,True,1125,434,691,0.3857777777777778,0.2716345483164727,1.420208806901545,0.3077031174000971,1.2537337321680837,182,270,0.4026548672566372,2.7392148646149646,103,335,0.23515981735159816,2.402457671879083,0.05
external_8b,unified_plus_prior,budget=0.05|cusum_all,True,1500,513,987,0.342,0.24006816552961585,1.4245953820887152,0.26549924464712354,1.2881392580026134,260,541,0.32459425717852686,2.276410114666921,136,636,0.17616580310880828,2.282277167327582,0.05
legacy_main16x32,unified_plus_prior,budget=0.05|cusum_all,True,678,292,386,0.4306784660766962,0.36996538207633317,1.1641047701804608,0.3714732922730116,1.1593793552193576,52,73,0.416,3.1858182010821916,43,71,0.37719298245614036,3.007522295402662,0.05
development_main,unified_plus_prior,budget=0.1|cusum_all,True,1870,473,1397,0.2529411764705882,0.19235603939493234,1.3149635294333888,0.21375135299885706,1.1833430428482046,328,972,0.2523076923076923,1.9485060534798693,163,1024,0.13732097725358045,1.6337579319805255,0.1
