split,suite,selection,model,rows,successes,success_rate,brier,log_loss,auroc,ece10
test_unseen_init,libero_goal,q7,moe_local_clock_global,1570,1543,0.9828025477707006,0.016808620959219627,0.084188826765093,0.7075562276469599,0.004388380110861956
test_unseen_init,libero_goal,q7,moe_local_clock_global_raw,1570,1543,0.9828025477707006,0.017859682679395347,0.09507728190918738,0.7075562276469599,0.02706813459131315
test_unseen_init,libero_goal,q7,moe_local_clock_cap_global,1570,1543,0.9828025477707006,0.01671201194410407,0.08292427155622492,0.7241784882744053,0.0029609285371812177
test_unseen_init,libero_goal,q7,moe_local_clock_cap_global_raw,1570,1543,0.9828025477707006,0.0174186437851735,0.091293242240558,0.7241784882744053,0.022640643929186816
test_unseen_init,libero_goal,q7,prior_suite,1570,1543,0.9828025477707006,0.03651376127467729,0.19994656667921828,0.5,0.1400430698340941
test_unseen_init,libero_goal,q7,clock_suite,1570,1543,0.9828025477707006,0.01690922429409682,0.08717090890295977,0.5,0.0027430690797880515
test_unseen_init,libero_goal,q7,moe_local_suite,1570,1543,0.9828025477707006,0.01670697308534059,0.07737389096351742,0.8018770552795178,0.001980268792230799
test_unseen_init,libero_goal,q7,moe_local_unseen_task,1570,1543,0.9828025477707006,0.0246570866010692,0.14241816629461385,0.14990038645255757,0.04360039096386908
test_unseen_init,libero_goal,q7,moe_local_unseen_task_raw,1570,1543,0.9828025477707006,0.03854644017259778,0.1887862442662137,0.1376827248505797,0.08241764527586441
test_unseen_init,libero_goal,q7,prior_unseen_task,1570,1543,0.9828025477707006,0.03075657669379317,0.17522891884304295,0.6774081275053409,0.11719825009016102
test_unseen_init,libero_goal,q7,original_suite_clock,1570,1543,0.9828025477707006,0.01690618300381283,0.08706628224687098,0.5,0.002117342129299704
test_unseen_init,libero_goal,q7,original_suite_moe_clock,1570,1543,0.9828025477707006,0.01670610313660403,0.07709496677774359,0.8073497995727419,0.003072829648216527
test_unseen_init,libero_goal,q15,prior_global,176,149,0.8465909090909091,0.13020010800015952,0.42991835528955386,0.5,0.018037911869789314
test_unseen_init,libero_goal,q15,clock_global,176,149,0.8465909090909091,0.13672214404367564,0.46855364691677703,0.5,0.08274903206768269
test_unseen_init,libero_goal,q15,clock_global_raw,176,149,0.8465909090909091,0.1311611576235829,0.43430368856513935,0.5,0.035866640322808396
test_unseen_init,libero_goal,q15,clock_cap_global,176,149,0.8465909090909091,0.13067047909835122,0.43199989928417715,0.5,0.028208817111216367
test_unseen_init,libero_goal,q15,clock_cap_global_raw,176,149,0.8465909090909091,0.13404027999988175,0.4418402141832697,0.5,0.06454098127813501
test_unseen_init,libero_goal,q15,moe_local_global,176,149,0.8465909090909091,0.13366229104319383,0.4816973449091931,0.7996520009942829,0.11645882197654629
test_unseen_init,libero_goal,q15,moe_local_global_raw,176,149,0.8465909090909091,0.12453765883283135,0.42112408567579834,0.7996520009942829,0.0920130199913614
test_unseen_init,libero_goal,q15,moe_local_clock_global,176,149,0.8465909090909091,0.12751088013285816,0.4137640369898365,0.9214516529952772,0.10574371244544069
test_unseen_init,libero_goal,q15,moe_local_clock_global_raw,176,149,0.8465909090909091,0.11122876733126774,0.3491745613325661,0.9214516529952772,0.11985904259531707
test_unseen_init,libero_goal,q15,moe_local_clock_cap_global,176,149,0.8465909090909091,0.1240272085897229,0.3967482350854675,0.9603529704200845,0.1076760010137363
test_unseen_init,libero_goal,q15,moe_local_clock_cap_global_raw,176,149,0.8465909090909091,0.10603124093461401,0.3290368695874204,0.9603529704200845,0.12881652930647816
test_unseen_init,libero_goal,q15,prior_suite,176,149,0.8465909090909091,0.12988942160022737,0.42863296516173643,0.5,0.0038314311543024004
test_unseen_init,libero_goal,q15,clock_suite,176,149,0.8465909090909091,0.13005716230908224,0.42931574375358844,0.5,0.013506316061200785
test_unseen_init,libero_goal,q15,moe_local_suite,176,149,0.8465909090909091,0.11956803502636743,0.44553341062984214,0.8573204076559782,0.11463001071579652
test_unseen_init,libero_goal,q15,moe_local_unseen_task,176,149,0.8465909090909091,0.13665108650837351,0.5793909429704031,0.8535918468804375,0.1315938886149491
test_unseen_init,libero_goal,q15,moe_local_unseen_task_raw,176,149,0.8465909090909091,0.13360618319116913,0.5397095040431064,0.8533432761620681,0.12489383053767117
test_unseen_init,libero_goal,q15,prior_unseen_task,176,149,0.8465909090909091,0.13056994443652248,0.43183570064300997,0.46308724832214765,0.006435016102949483
test_unseen_init,libero_goal,q15,original_suite_clock,176,149,0.8465909090909091,0.13002912993016588,0.4291996321199449,0.5,0.012425304609091192
test_unseen_init,libero_goal,q15,original_suite_moe_clock,176,149,0.8465909090909091,0.10764918237617184,0.3569693839446638,0.919960228685061,0.099228558557841
test_unseen_init,libero_goal,q25,prior_global,27,0,0.0,0.747582998035888,1.9997347990690937,,0.8646288209606988
test_unseen_init,libero_goal,q25,clock_global,27,0,0.0,0.6859300384401109,1.7614762734030454,,0.8282089340499234
test_unseen_init,libero_goal,q25,clock_global_raw,27,0,0.0,0.4885053143663531,1.200417638056711,,0.6989315519894297
test_unseen_init,libero_goal,q25,clock_cap_global,27,0,0.0,0.0066747236338674165,0.08523003562002088,,0.08169898184106958
test_unseen_init,libero_goal,q25,clock_cap_global_raw,27,0,0.0,0.0006712251435580443,0.02624953741176209,,0.02590801311482693
test_unseen_init,libero_goal,q25,moe_local_global,27,0,0.0,0.24115618473663417,0.6736431233140868,,0.44178197865297864
test_unseen_init,libero_goal,q25,moe_local_global_raw,27,0,0.0,0.11824888963470487,0.3838544008230905,,0.2872159100297369
test_unseen_init,libero_goal,q25,moe_local_clock_global,27,0,0.0,0.14169586264347492,0.44710290089427823,,0.3395077893121468
test_unseen_init,libero_goal,q25,moe_local_clock_global_raw,27,0,0.0,0.05532579079394503,0.23998205710995216,,0.2044426643294917
test_unseen_init,libero_goal,q25,moe_local_clock_cap_global,27,0,0.0,0.0019151057423673343,0.04398055742129889,,0.04299236851522021
test_unseen_init,libero_goal,q25,moe_local_clock_cap_global_raw,27,0,0.0,0.00032837292434662854,0.017928949908543015,,0.017762619662614446
test_unseen_init,libero_goal,q25,prior_suite,27,0,0.0,0.7102435376519814,1.8499786582648623,,0.8427594779366065
