family,level,scope,outcome,method,episodes,alarms,no_alarm,alarm_rate,p25_pct,median_pct,p75_pct,median_query,at_or_after_75pct
frozen,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,failure,v82,1,1,0,1.0,55.76923076923077,55.76923076923077,55.76923076923077,29.0,0
frozen,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,success,v7,399,3,396,0.007518796992481203,38.46153846153846,38.46153846153846,41.34615384615385,20.0,0
frozen,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,success,v8,399,3,396,0.007518796992481203,38.46153846153846,38.46153846153846,41.34615384615385,20.0,0
frozen,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,success,v82,399,3,396,0.007518796992481203,38.46153846153846,38.46153846153846,41.34615384615385,20.0,0
frozen,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,failure,v7,1,1,0,1.0,78.84615384615384,78.84615384615384,78.84615384615384,41.0,1
frozen,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,failure,v8,1,1,0,1.0,78.84615384615384,78.84615384615384,78.84615384615384,41.0,1
frozen,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,failure,v82,1,1,0,1.0,78.84615384615384,78.84615384615384,78.84615384615384,41.0,1
frozen,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,success,v7,399,8,391,0.020050125313283207,40.38461538461539,41.34615384615385,42.78846153846154,21.5,1
frozen,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,success,v8,399,10,389,0.02506265664160401,40.38461538461539,40.38461538461539,41.82692307692308,21.0,1
frozen,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,success,v82,399,15,384,0.03759398496240601,40.38461538461539,40.38461538461539,40.38461538461539,21.0,1
frozen,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,failure,v7,151,123,28,0.8145695364238411,61.53846153846154,63.46153846153846,73.07692307692308,33.0,30
frozen,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,failure,v8,151,123,28,0.8145695364238411,61.53846153846154,63.46153846153846,73.07692307692308,33.0,30
frozen,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,failure,v82,151,123,28,0.8145695364238411,61.53846153846154,63.46153846153846,73.07692307692308,33.0,30
frozen,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,success,v7,249,14,235,0.05622489959839357,59.61538461538461,61.53846153846154,68.75,32.0,1
frozen,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,success,v8,249,14,235,0.05622489959839357,59.61538461538461,61.53846153846154,68.75,32.0,1
frozen,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,success,v82,249,14,235,0.05622489959839357,59.61538461538461,61.53846153846154,68.75,32.0,1
frozen,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,failure,v7,30,27,3,0.9,18.26923076923077,28.846153846153847,68.26923076923077,15.0,5
frozen,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,failure,v8,30,27,3,0.9,18.26923076923077,28.846153846153847,68.26923076923077,15.0,5
frozen,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,failure,v82,30,29,1,0.9666666666666667,21.153846153846153,26.923076923076923,63.46153846153846,14.0,5
frozen,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,success,v7,370,4,366,0.010810810810810811,23.557692307692307,31.730769230769234,36.53846153846154,16.5,0
frozen,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,success,v8,370,4,366,0.010810810810810811,23.557692307692307,31.730769230769234,36.53846153846154,16.5,0
frozen,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,success,v82,370,5,365,0.013513513513513514,26.923076923076923,36.53846153846154,36.53846153846154,19.0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,failure,v7,10,8,2,0.8,17.307692307692307,19.23076923076923,19.23076923076923,10.0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,failure,v8,10,8,2,0.8,17.307692307692307,19.23076923076923,19.23076923076923,10.0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,failure,v82,10,8,2,0.8,17.307692307692307,19.23076923076923,19.23076923076923,10.0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,success,v7,390,1,389,0.002564102564102564,57.69230769230769,57.69230769230769,57.69230769230769,30.0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,success,v8,390,1,389,0.002564102564102564,57.69230769230769,57.69230769230769,57.69230769230769,30.0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,success,v82,390,1,389,0.002564102564102564,57.69230769230769,57.69230769230769,57.69230769230769,30.0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,failure,v7,4,3,1,0.75,51.92307692307692,59.61538461538461,60.57692307692308,31.0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,failure,v8,4,3,1,0.75,51.92307692307692,59.61538461538461,60.57692307692308,31.0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,failure,v82,4,3,1,0.75,51.92307692307692,59.61538461538461,60.57692307692308,31.0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,success,v7,396,6,390,0.015151515151515152,39.90384615384615,50.96153846153846,53.36538461538461,26.5,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,success,v8,396,6,390,0.015151515151515152,39.90384615384615,50.96153846153846,53.36538461538461,26.5,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,success,v82,396,6,390,0.015151515151515152,39.90384615384615,50.96153846153846,53.36538461538461,26.5,0
frozen,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,failure,v7,20,17,3,0.85,55.76923076923077,57.69230769230769,59.61538461538461,30.0,1
