family,level,scope,outcome,method,cutoff_pct,episodes,alarms
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,75,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,80,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,90,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,100,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,25,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,50,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,60,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,70,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,75,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,80,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,90,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,100,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,25,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,50,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,60,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,70,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,75,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,80,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,90,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,100,400,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,25,51,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,50,51,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,60,51,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,70,51,2
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,75,51,2
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,80,51,17
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,90,51,30
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,100,51,39
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,25,51,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,50,51,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,60,51,3
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,70,51,4
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,75,51,4
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,80,51,19
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,90,51,30
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,100,51,39
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,25,51,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,50,51,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,60,51,3
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,70,51,4
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,75,51,4
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,80,51,19
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,90,51,30
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,100,51,39
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,25,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,50,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,60,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,70,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,75,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,80,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,90,349,1
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,100,349,1
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v8,25,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v8,50,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v8,60,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v8,70,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v8,75,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v8,80,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v8,90,349,1
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v8,100,349,1
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v82,25,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v82,50,349,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v82,60,349,1
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v82,70,349,1
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v82,75,349,1
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v82,80,349,1
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v82,90,349,1
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v82,100,349,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v7,25,1,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v7,50,1,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v7,60,1,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v7,70,1,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v7,75,1,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v7,80,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v7,90,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v7,100,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v8,25,1,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v8,50,1,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v8,60,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v8,70,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v8,75,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v8,80,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v8,90,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v8,100,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v82,25,1,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v82,50,1,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v82,60,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v82,70,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v82,75,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v82,80,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v82,90,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v82,100,1,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v7,25,399,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v7,50,399,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v7,60,399,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v7,70,399,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v7,75,399,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v7,80,399,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v7,90,399,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v7,100,399,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v8,25,399,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v8,50,399,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v8,60,399,3
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v8,70,399,3
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v8,75,399,3
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v8,80,399,3
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v8,90,399,3
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v8,100,399,3
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v82,25,399,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v82,50,399,2
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v82,60,399,4
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v82,70,399,4
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v82,75,399,4
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v82,80,399,4
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v82,90,399,4
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v82,100,399,4
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v7,25,18,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v7,50,18,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v7,60,18,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v7,70,18,1
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v7,75,18,2
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v7,80,18,4
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v7,90,18,4
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v7,100,18,4
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v8,25,18,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v8,50,18,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v8,60,18,3
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v8,70,18,4
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v8,75,18,5
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v8,80,18,7
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v8,90,18,7
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v8,100,18,7
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v82,25,18,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v82,50,18,2
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v82,60,18,6
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v82,70,18,7
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v82,75,18,7
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v82,80,18,9
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v82,90,18,9
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v82,100,18,11
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v7,25,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v7,50,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v7,60,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v7,70,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v7,75,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v7,80,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v7,90,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v7,100,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v8,25,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v8,50,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v8,60,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v8,70,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v8,75,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v8,80,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v8,90,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v8,100,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v82,25,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v82,50,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v82,60,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v82,70,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v82,75,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v82,80,382,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v82,90,382,0
