family,level,scope,outcome,method,bin,count,episodes
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,70-080%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,80-090%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,90-100%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,no_alarm,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,00-010%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,10-020%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,20-030%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,30-040%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,40-050%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,50-060%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,60-070%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,70-080%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,80-090%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,90-100%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,no_alarm,400,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,00-010%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,10-020%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,20-030%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,30-040%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,40-050%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,50-060%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,60-070%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,70-080%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,80-090%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,90-100%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,no_alarm,400,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,00-010%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,10-020%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,20-030%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,30-040%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,40-050%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,50-060%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,60-070%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,70-080%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,80-090%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,90-100%,0,400
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,no_alarm,400,400
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,00-010%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,10-020%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,20-030%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,30-040%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,40-050%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,50-060%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,60-070%,1,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,70-080%,3,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,80-090%,26,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,90-100%,9,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,no_alarm,12,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,00-010%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,10-020%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,20-030%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,30-040%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,40-050%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,50-060%,1,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,60-070%,2,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,70-080%,3,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,80-090%,24,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,90-100%,9,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,no_alarm,12,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,00-010%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,10-020%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,20-030%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,30-040%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,40-050%,0,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,50-060%,1,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,60-070%,2,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,70-080%,3,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,80-090%,24,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,90-100%,9,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,no_alarm,12,51
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,00-010%,0,349
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,10-020%,0,349
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,20-030%,0,349
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,30-040%,0,349
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,40-050%,0,349
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,50-060%,0,349
