family,level,scope,outcome,baseline,both,v82_earlier,same,v82_later,only_v82,only_baseline
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,failure,v8,3,0,3,0,0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,success,v7,6,0,6,0,0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,success,v8,6,0,6,0,0,0
frozen,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,failure,v7,17,0,17,0,0,0
frozen,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,failure,v8,17,0,17,0,0,0
frozen,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,success,v7,5,1,4,0,0,0
frozen,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,success,v8,5,1,4,0,0,0
frozen,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,failure,v7,46,3,43,0,1,0
frozen,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,failure,v8,46,3,43,0,1,0
frozen,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,success,v7,8,0,8,0,0,0
frozen,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,success,v8,8,0,8,0,0,0
frozen,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,failure,v7,6,0,6,0,0,0
frozen,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,failure,v8,6,0,6,0,0,0
frozen,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,success,v7,20,0,20,0,0,0
frozen,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,success,v8,20,0,20,0,0,0
frozen,task,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,failure,v7,2,0,2,0,0,0
frozen,task,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,failure,v8,2,0,2,0,0,0
frozen,task,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,success,v7,1,0,1,0,0,0
frozen,task,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,success,v8,1,0,1,0,0,0
frozen,task,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,failure,v7,7,3,4,0,2,0
frozen,task,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,failure,v8,7,3,4,0,2,0
frozen,task,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,success,v7,0,0,0,0,0,0
frozen,task,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,success,v8,0,0,0,0,0,0
frozen,task,libero_object/pick_up_the_butter_and_place_it_in_the_basket,failure,v7,0,0,0,0,0,0
frozen,task,libero_object/pick_up_the_butter_and_place_it_in_the_basket,failure,v8,0,0,0,0,0,0
frozen,task,libero_object/pick_up_the_butter_and_place_it_in_the_basket,success,v7,2,0,2,0,0,0
frozen,task,libero_object/pick_up_the_butter_and_place_it_in_the_basket,success,v8,2,0,2,0,0,0
frozen,task,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,failure,v7,0,0,0,0,0,0
frozen,task,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,failure,v8,0,0,0,0,0,0
frozen,task,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,success,v7,1,0,1,0,0,0
frozen,task,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,success,v8,1,0,1,0,0,0
frozen,task,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,failure,v7,0,0,0,0,5,0
frozen,task,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,failure,v8,0,0,0,0,5,0
frozen,task,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,success,v7,1,0,1,0,0,0
frozen,task,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,success,v8,1,0,1,0,0,0
frozen,task,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,failure,v7,1,0,1,0,0,0
frozen,task,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,failure,v8,1,0,1,0,0,0
frozen,task,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,success,v7,0,0,0,0,0,0
frozen,task,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,success,v8,0,0,0,0,0,0
frozen,task,libero_object/pick_up_the_milk_and_place_it_in_the_basket,failure,v7,6,1,5,0,0,0
frozen,task,libero_object/pick_up_the_milk_and_place_it_in_the_basket,failure,v8,6,1,5,0,0,0
frozen,task,libero_object/pick_up_the_milk_and_place_it_in_the_basket,success,v7,1,0,1,0,0,0
frozen,task,libero_object/pick_up_the_milk_and_place_it_in_the_basket,success,v8,1,0,1,0,0,0
frozen,task,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,failure,v7,1,0,1,0,0,0
frozen,task,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,failure,v8,1,0,1,0,0,0
frozen,task,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,success,v7,2,0,2,0,0,0
frozen,task,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,success,v8,2,0,2,0,0,0
frozen,task,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,failure,v7,3,0,3,0,0,0
frozen,task,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,failure,v8,3,0,3,0,0,0
frozen,task,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,success,v7,0,0,0,0,0,0
frozen,task,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,success,v8,0,0,0,0,0,0
frozen,task,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,failure,v7,2,0,2,0,1,0
frozen,task,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,failure,v8,3,0,3,0,0,0
frozen,task,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,success,v7,0,0,0,0,0,0
frozen,task,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,success,v8,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,failure,v7,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,failure,v8,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,success,v7,1,0,1,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,success,v8,1,0,1,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,failure,v7,2,0,2,0,1,0
frozen,task,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,failure,v8,3,1,2,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,success,v7,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,success,v8,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,failure,v7,8,0,8,0,2,0
frozen,task,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,failure,v8,9,0,9,0,1,0
frozen,task,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,success,v7,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,success,v8,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,failure,v7,1,1,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,failure,v8,1,0,1,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,success,v7,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,success,v8,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,failure,v7,17,2,15,0,1,0
frozen,task,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,failure,v8,18,2,16,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,success,v7,1,0,1,0,1,0
frozen,task,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,success,v8,1,0,1,0,1,0
frozen,task,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,failure,v7,4,0,4,0,3,0
frozen,task,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,failure,v8,7,2,5,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,success,v7,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,success,v8,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,failure,v7,13,0,13,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,failure,v8,13,0,13,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,success,v7,1,0,1,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,success,v8,1,0,1,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,failure,v7,9,1,8,0,1,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,failure,v8,10,0,10,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,success,v7,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,success,v8,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,failure,v7,36,6,30,0,2,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,failure,v8,38,4,34,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,success,v7,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,success,v8,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,failure,v7,18,10,8,0,1,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,failure,v8,19,7,12,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,success,v7,0,0,0,0,0,0
frozen,task,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,success,v8,0,0,0,0,0,0
standardized_task_init_1pct,all,all,failure,v7,263,1,262,0,11,0
standardized_task_init_1pct,all,all,failure,v8,272,4,268,0,2,0
standardized_task_init_1pct,all,all,success,v7,27,0,27,0,0,0
standardized_task_init_1pct,all,all,success,v8,27,0,27,0,0,0
standardized_task_init_1pct,suite,libero_goal,failure,v7,40,1,39,0,8,0
standardized_task_init_1pct,suite,libero_goal,failure,v8,48,4,44,0,0,0
standardized_task_init_1pct,suite,libero_goal,success,v7,0,0,0,0,0,0
standardized_task_init_1pct,suite,libero_goal,success,v8,0,0,0,0,0,0
standardized_task_init_1pct,suite,libero_long,failure,v7,159,0,159,0,2,0
standardized_task_init_1pct,suite,libero_long,failure,v8,160,0,160,0,1,0
standardized_task_init_1pct,suite,libero_long,success,v7,24,0,24,0,0,0
standardized_task_init_1pct,suite,libero_long,success,v8,24,0,24,0,0,0
standardized_task_init_1pct,suite,libero_object,failure,v7,14,0,14,0,0,0
standardized_task_init_1pct,suite,libero_object,failure,v8,14,0,14,0,0,0
standardized_task_init_1pct,suite,libero_object,success,v7,1,0,1,0,0,0
standardized_task_init_1pct,suite,libero_object,success,v8,1,0,1,0,0,0
standardized_task_init_1pct,suite,libero_spatial,failure,v7,50,0,50,0,1,0
standardized_task_init_1pct,suite,libero_spatial,failure,v8,50,0,50,0,1,0
standardized_task_init_1pct,suite,libero_spatial,success,v7,2,0,2,0,0,0
standardized_task_init_1pct,suite,libero_spatial,success,v8,2,0,2,0,0,0
standardized_task_init_1pct,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,20,0,20,0,1,0
standardized_task_init_1pct,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,21,1,20,0,0,0
standardized_task_init_1pct,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v8,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v7,1,1,0,0,0,0
standardized_task_init_1pct,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v8,1,1,0,0,0,0
standardized_task_init_1pct,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v7,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v8,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_bowl_on_the_plate,failure,v7,0,0,0,0,1,0
standardized_task_init_1pct,task,libero_goal/put_the_bowl_on_the_plate,failure,v8,1,0,1,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_bowl_on_the_plate,success,v7,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_bowl_on_the_plate,success,v8,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_bowl_on_the_stove,failure,v7,0,0,0,0,4,0
standardized_task_init_1pct,task,libero_goal/put_the_bowl_on_the_stove,failure,v8,4,2,2,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_bowl_on_the_stove,success,v7,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_bowl_on_the_stove,success,v8,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,failure,v7,16,0,16,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,failure,v8,16,0,16,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,success,v7,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,success,v8,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_cream_cheese_in_the_bowl,failure,v7,1,0,1,0,2,0
standardized_task_init_1pct,task,libero_goal/put_the_cream_cheese_in_the_bowl,failure,v8,3,0,3,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_cream_cheese_in_the_bowl,success,v7,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_cream_cheese_in_the_bowl,success,v8,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_wine_bottle_on_the_rack,failure,v7,1,0,1,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_wine_bottle_on_the_rack,failure,v8,1,0,1,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_wine_bottle_on_the_rack,success,v7,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_wine_bottle_on_the_rack,success,v8,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,failure,v7,1,0,1,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,failure,v8,1,0,1,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,success,v7,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,success,v8,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/turn_on_the_stove,failure,v7,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/turn_on_the_stove,failure,v8,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/turn_on_the_stove,success,v7,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_goal/turn_on_the_stove,success,v8,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,failure,v7,4,0,4,0,0,0
standardized_task_init_1pct,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,failure,v8,4,0,4,0,0,0
standardized_task_init_1pct,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,success,v7,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,success,v8,0,0,0,0,0,0
standardized_task_init_1pct,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,failure,v7,1,0,1,0,0,0
standardized_task_init_1pct,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,failure,v8,1,0,1,0,0,0
