level,cohort,suite,task,method,clusters,variant,alpha,event_episodes,before,at,after,missed
all,all,all,all,c4_union_radius,4,union_radius,0.03,216,7,7,159,43
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.03,216,10,3,160,43
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.03,216,11,5,153,47
all,all,all,all,c8_union_radius,8,union_radius,0.03,216,10,2,153,51
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.03,216,13,9,144,50
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.03,216,12,7,139,58
all,all,all,all,c16_union_radius,16,union_radius,0.03,216,12,3,155,46
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.03,216,16,5,142,53
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.03,216,13,4,139,60
all,all,all,all,c32_union_radius,32,union_radius,0.03,216,14,6,148,48
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.03,216,19,5,150,42
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.03,216,15,8,149,44
all,all,all,all,c64_union_radius,64,union_radius,0.03,216,13,6,151,46
all,all,all,all,knn20,0,knn20,0.05,216,23,6,162,25
all,all,all,all,norm_only,0,norm_only,0.05,216,8,1,159,48
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.05,216,9,0,161,46
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.05,216,9,0,161,46
all,all,all,all,c1_union_radius,1,union_radius,0.05,216,9,0,161,46
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.05,216,11,6,169,30
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.05,216,12,9,161,34
all,all,all,all,c2_union_radius,2,union_radius,0.05,216,12,9,161,34
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.05,216,11,6,176,23
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.05,216,10,10,166,30
all,all,all,all,c4_union_radius,4,union_radius,0.05,216,8,10,163,35
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.05,216,15,7,160,34
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.05,216,14,10,157,35
all,all,all,all,c8_union_radius,8,union_radius,0.05,216,12,6,156,42
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.05,216,18,6,159,33
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.05,216,24,15,133,44
all,all,all,all,c16_union_radius,16,union_radius,0.05,216,14,8,151,43
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.05,216,22,6,160,28
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.05,216,26,14,145,31
all,all,all,all,c32_union_radius,32,union_radius,0.05,216,21,11,149,35
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.05,216,24,7,159,26
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.05,216,20,10,162,24
all,all,all,all,c64_union_radius,64,union_radius,0.05,216,21,4,164,27
all,all,all,all,knn20,0,knn20,0.1,216,44,20,148,4
all,all,all,all,norm_only,0,norm_only,0.1,216,20,1,168,27
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.1,216,19,4,165,28
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.1,216,19,4,165,28
all,all,all,all,c1_union_radius,1,union_radius,0.1,216,19,4,165,28
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.1,216,22,11,164,19
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.1,216,25,9,160,22
all,all,all,all,c2_union_radius,2,union_radius,0.1,216,27,8,159,22
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.1,216,21,12,166,17
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.1,216,22,14,165,15
all,all,all,all,c4_union_radius,4,union_radius,0.1,216,23,13,158,22
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.1,216,32,16,159,9
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.1,216,31,16,150,19
all,all,all,all,c8_union_radius,8,union_radius,0.1,216,24,15,160,17
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.1,216,44,14,149,9
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.1,216,45,19,133,19
all,all,all,all,c16_union_radius,16,union_radius,0.1,216,41,20,126,29
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.1,216,40,14,149,13
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.1,216,48,17,133,18
all,all,all,all,c32_union_radius,32,union_radius,0.1,216,48,17,133,18
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.1,216,45,20,141,10
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.1,216,49,15,149,3
all,all,all,all,c64_union_radius,64,union_radius,0.1,216,48,12,146,10
cohort,A,all,all,knn20,0,knn20,0.02,0,0,0,0,0
cohort,A,all,all,norm_only,0,norm_only,0.02,0,0,0,0,0
cohort,A,all,all,c1_centroid_distance,1,centroid_distance,0.02,0,0,0,0,0
cohort,A,all,all,c1_assigned_radius,1,assigned_radius,0.02,0,0,0,0,0
cohort,A,all,all,c1_union_radius,1,union_radius,0.02,0,0,0,0,0
cohort,A,all,all,c2_centroid_distance,2,centroid_distance,0.02,0,0,0,0,0
cohort,A,all,all,c2_assigned_radius,2,assigned_radius,0.02,0,0,0,0,0
cohort,A,all,all,c2_union_radius,2,union_radius,0.02,0,0,0,0,0
cohort,A,all,all,c4_centroid_distance,4,centroid_distance,0.02,0,0,0,0,0
cohort,A,all,all,c4_assigned_radius,4,assigned_radius,0.02,0,0,0,0,0
cohort,A,all,all,c4_union_radius,4,union_radius,0.02,0,0,0,0,0
cohort,A,all,all,c8_centroid_distance,8,centroid_distance,0.02,0,0,0,0,0
cohort,A,all,all,c8_assigned_radius,8,assigned_radius,0.02,0,0,0,0,0
cohort,A,all,all,c8_union_radius,8,union_radius,0.02,0,0,0,0,0
cohort,A,all,all,c16_centroid_distance,16,centroid_distance,0.02,0,0,0,0,0
cohort,A,all,all,c16_assigned_radius,16,assigned_radius,0.02,0,0,0,0,0
cohort,A,all,all,c16_union_radius,16,union_radius,0.02,0,0,0,0,0
cohort,A,all,all,c32_centroid_distance,32,centroid_distance,0.02,0,0,0,0,0
cohort,A,all,all,c32_assigned_radius,32,assigned_radius,0.02,0,0,0,0,0
cohort,A,all,all,c32_union_radius,32,union_radius,0.02,0,0,0,0,0
cohort,A,all,all,c64_centroid_distance,64,centroid_distance,0.02,0,0,0,0,0
cohort,A,all,all,c64_assigned_radius,64,assigned_radius,0.02,0,0,0,0,0
cohort,A,all,all,c64_union_radius,64,union_radius,0.02,0,0,0,0,0
cohort,A,all,all,knn20,0,knn20,0.03,0,0,0,0,0
cohort,A,all,all,norm_only,0,norm_only,0.03,0,0,0,0,0
cohort,A,all,all,c1_centroid_distance,1,centroid_distance,0.03,0,0,0,0,0
cohort,A,all,all,c1_assigned_radius,1,assigned_radius,0.03,0,0,0,0,0
cohort,A,all,all,c1_union_radius,1,union_radius,0.03,0,0,0,0,0
cohort,A,all,all,c2_centroid_distance,2,centroid_distance,0.03,0,0,0,0,0
cohort,A,all,all,c2_assigned_radius,2,assigned_radius,0.03,0,0,0,0,0
cohort,A,all,all,c2_union_radius,2,union_radius,0.03,0,0,0,0,0
cohort,A,all,all,c4_centroid_distance,4,centroid_distance,0.03,0,0,0,0,0
cohort,A,all,all,c4_assigned_radius,4,assigned_radius,0.03,0,0,0,0,0
cohort,A,all,all,c4_union_radius,4,union_radius,0.03,0,0,0,0,0
cohort,A,all,all,c8_centroid_distance,8,centroid_distance,0.03,0,0,0,0,0
cohort,A,all,all,c8_assigned_radius,8,assigned_radius,0.03,0,0,0,0,0
cohort,A,all,all,c8_union_radius,8,union_radius,0.03,0,0,0,0,0
cohort,A,all,all,c16_centroid_distance,16,centroid_distance,0.03,0,0,0,0,0
cohort,A,all,all,c16_assigned_radius,16,assigned_radius,0.03,0,0,0,0,0
cohort,A,all,all,c16_union_radius,16,union_radius,0.03,0,0,0,0,0
cohort,A,all,all,c32_centroid_distance,32,centroid_distance,0.03,0,0,0,0,0
cohort,A,all,all,c32_assigned_radius,32,assigned_radius,0.03,0,0,0,0,0
cohort,A,all,all,c32_union_radius,32,union_radius,0.03,0,0,0,0,0
cohort,A,all,all,c64_centroid_distance,64,centroid_distance,0.03,0,0,0,0,0
cohort,A,all,all,c64_assigned_radius,64,assigned_radius,0.03,0,0,0,0,0
cohort,A,all,all,c64_union_radius,64,union_radius,0.03,0,0,0,0,0
cohort,A,all,all,knn20,0,knn20,0.05,0,0,0,0,0
cohort,A,all,all,norm_only,0,norm_only,0.05,0,0,0,0,0
cohort,A,all,all,c1_centroid_distance,1,centroid_distance,0.05,0,0,0,0,0
cohort,A,all,all,c1_assigned_radius,1,assigned_radius,0.05,0,0,0,0,0
cohort,A,all,all,c1_union_radius,1,union_radius,0.05,0,0,0,0,0
cohort,A,all,all,c2_centroid_distance,2,centroid_distance,0.05,0,0,0,0,0
cohort,A,all,all,c2_assigned_radius,2,assigned_radius,0.05,0,0,0,0,0
cohort,A,all,all,c2_union_radius,2,union_radius,0.05,0,0,0,0,0
cohort,A,all,all,c4_centroid_distance,4,centroid_distance,0.05,0,0,0,0,0
cohort,A,all,all,c4_assigned_radius,4,assigned_radius,0.05,0,0,0,0,0
cohort,A,all,all,c4_union_radius,4,union_radius,0.05,0,0,0,0,0
cohort,A,all,all,c8_centroid_distance,8,centroid_distance,0.05,0,0,0,0,0
cohort,A,all,all,c8_assigned_radius,8,assigned_radius,0.05,0,0,0,0,0
cohort,A,all,all,c8_union_radius,8,union_radius,0.05,0,0,0,0,0
cohort,A,all,all,c16_centroid_distance,16,centroid_distance,0.05,0,0,0,0,0
cohort,A,all,all,c16_assigned_radius,16,assigned_radius,0.05,0,0,0,0,0
cohort,A,all,all,c16_union_radius,16,union_radius,0.05,0,0,0,0,0
cohort,A,all,all,c32_centroid_distance,32,centroid_distance,0.05,0,0,0,0,0
cohort,A,all,all,c32_assigned_radius,32,assigned_radius,0.05,0,0,0,0,0
cohort,A,all,all,c32_union_radius,32,union_radius,0.05,0,0,0,0,0
cohort,A,all,all,c64_centroid_distance,64,centroid_distance,0.05,0,0,0,0,0
cohort,A,all,all,c64_assigned_radius,64,assigned_radius,0.05,0,0,0,0,0
cohort,A,all,all,c64_union_radius,64,union_radius,0.05,0,0,0,0,0
cohort,A,all,all,knn20,0,knn20,0.1,0,0,0,0,0
cohort,A,all,all,norm_only,0,norm_only,0.1,0,0,0,0,0
cohort,A,all,all,c1_centroid_distance,1,centroid_distance,0.1,0,0,0,0,0
cohort,A,all,all,c1_assigned_radius,1,assigned_radius,0.1,0,0,0,0,0
cohort,A,all,all,c1_union_radius,1,union_radius,0.1,0,0,0,0,0
cohort,A,all,all,c2_centroid_distance,2,centroid_distance,0.1,0,0,0,0,0
cohort,A,all,all,c2_assigned_radius,2,assigned_radius,0.1,0,0,0,0,0
cohort,A,all,all,c2_union_radius,2,union_radius,0.1,0,0,0,0,0
cohort,A,all,all,c4_centroid_distance,4,centroid_distance,0.1,0,0,0,0,0
cohort,A,all,all,c4_assigned_radius,4,assigned_radius,0.1,0,0,0,0,0
cohort,A,all,all,c4_union_radius,4,union_radius,0.1,0,0,0,0,0
cohort,A,all,all,c8_centroid_distance,8,centroid_distance,0.1,0,0,0,0,0
cohort,A,all,all,c8_assigned_radius,8,assigned_radius,0.1,0,0,0,0,0
cohort,A,all,all,c8_union_radius,8,union_radius,0.1,0,0,0,0,0
cohort,A,all,all,c16_centroid_distance,16,centroid_distance,0.1,0,0,0,0,0
cohort,A,all,all,c16_assigned_radius,16,assigned_radius,0.1,0,0,0,0,0
cohort,A,all,all,c16_union_radius,16,union_radius,0.1,0,0,0,0,0
cohort,A,all,all,c32_centroid_distance,32,centroid_distance,0.1,0,0,0,0,0
cohort,A,all,all,c32_assigned_radius,32,assigned_radius,0.1,0,0,0,0,0
cohort,A,all,all,c32_union_radius,32,union_radius,0.1,0,0,0,0,0
cohort,A,all,all,c64_centroid_distance,64,centroid_distance,0.1,0,0,0,0,0
cohort,A,all,all,c64_assigned_radius,64,assigned_radius,0.1,0,0,0,0,0
cohort,A,all,all,c64_union_radius,64,union_radius,0.1,0,0,0,0,0
cohort,B,all,all,knn20,0,knn20,0.02,216,7,1,143,65
cohort,B,all,all,norm_only,0,norm_only,0.02,216,5,0,137,74
cohort,B,all,all,c1_centroid_distance,1,centroid_distance,0.02,216,5,0,137,74
cohort,B,all,all,c1_assigned_radius,1,assigned_radius,0.02,216,5,0,137,74
cohort,B,all,all,c1_union_radius,1,union_radius,0.02,216,5,0,137,74
cohort,B,all,all,c2_centroid_distance,2,centroid_distance,0.02,216,6,2,143,65
cohort,B,all,all,c2_assigned_radius,2,assigned_radius,0.02,216,7,3,142,64
cohort,B,all,all,c2_union_radius,2,union_radius,0.02,216,7,3,142,64
cohort,B,all,all,c4_centroid_distance,4,centroid_distance,0.02,216,3,2,139,72
cohort,B,all,all,c4_assigned_radius,4,assigned_radius,0.02,216,3,4,133,76
cohort,B,all,all,c4_union_radius,4,union_radius,0.02,216,2,4,136,74
cohort,B,all,all,c8_centroid_distance,8,centroid_distance,0.02,216,3,3,138,72
cohort,B,all,all,c8_assigned_radius,8,assigned_radius,0.02,216,4,4,131,77
cohort,B,all,all,c8_union_radius,8,union_radius,0.02,216,2,2,139,73
cohort,B,all,all,c16_centroid_distance,16,centroid_distance,0.02,216,4,4,138,70
cohort,B,all,all,c16_assigned_radius,16,assigned_radius,0.02,216,5,5,129,77
cohort,B,all,all,c16_union_radius,16,union_radius,0.02,216,2,1,136,77
cohort,B,all,all,c32_centroid_distance,32,centroid_distance,0.02,216,9,2,137,68
cohort,B,all,all,c32_assigned_radius,32,assigned_radius,0.02,216,6,4,130,76
cohort,B,all,all,c32_union_radius,32,union_radius,0.02,216,4,4,138,70
cohort,B,all,all,c64_centroid_distance,64,centroid_distance,0.02,216,9,3,133,71
cohort,B,all,all,c64_assigned_radius,64,assigned_radius,0.02,216,9,3,137,67
cohort,B,all,all,c64_union_radius,64,union_radius,0.02,216,6,4,143,63
cohort,B,all,all,knn20,0,knn20,0.03,216,14,5,155,42
cohort,B,all,all,norm_only,0,norm_only,0.03,216,8,0,148,60
cohort,B,all,all,c1_centroid_distance,1,centroid_distance,0.03,216,8,0,149,59
cohort,B,all,all,c1_assigned_radius,1,assigned_radius,0.03,216,8,0,149,59
cohort,B,all,all,c1_union_radius,1,union_radius,0.03,216,8,0,149,59
cohort,B,all,all,c2_centroid_distance,2,centroid_distance,0.03,216,10,4,156,46
cohort,B,all,all,c2_assigned_radius,2,assigned_radius,0.03,216,11,7,153,45
cohort,B,all,all,c2_union_radius,2,union_radius,0.03,216,11,7,153,45
cohort,B,all,all,c4_centroid_distance,4,centroid_distance,0.03,216,8,3,162,43
cohort,B,all,all,c4_assigned_radius,4,assigned_radius,0.03,216,8,6,159,43
cohort,B,all,all,c4_union_radius,4,union_radius,0.03,216,7,7,159,43
cohort,B,all,all,c8_centroid_distance,8,centroid_distance,0.03,216,10,3,160,43
cohort,B,all,all,c8_assigned_radius,8,assigned_radius,0.03,216,11,5,153,47
cohort,B,all,all,c8_union_radius,8,union_radius,0.03,216,10,2,153,51
cohort,B,all,all,c16_centroid_distance,16,centroid_distance,0.03,216,13,9,144,50
cohort,B,all,all,c16_assigned_radius,16,assigned_radius,0.03,216,12,7,139,58
cohort,B,all,all,c16_union_radius,16,union_radius,0.03,216,12,3,155,46
cohort,B,all,all,c32_centroid_distance,32,centroid_distance,0.03,216,16,5,142,53
cohort,B,all,all,c32_assigned_radius,32,assigned_radius,0.03,216,13,4,139,60
cohort,B,all,all,c32_union_radius,32,union_radius,0.03,216,14,6,148,48
cohort,B,all,all,c64_centroid_distance,64,centroid_distance,0.03,216,19,5,150,42
cohort,B,all,all,c64_assigned_radius,64,assigned_radius,0.03,216,15,8,149,44
cohort,B,all,all,c64_union_radius,64,union_radius,0.03,216,13,6,151,46
cohort,B,all,all,knn20,0,knn20,0.05,216,23,6,162,25
cohort,B,all,all,norm_only,0,norm_only,0.05,216,8,1,159,48
cohort,B,all,all,c1_centroid_distance,1,centroid_distance,0.05,216,9,0,161,46
cohort,B,all,all,c1_assigned_radius,1,assigned_radius,0.05,216,9,0,161,46
cohort,B,all,all,c1_union_radius,1,union_radius,0.05,216,9,0,161,46
cohort,B,all,all,c2_centroid_distance,2,centroid_distance,0.05,216,11,6,169,30
cohort,B,all,all,c2_assigned_radius,2,assigned_radius,0.05,216,12,9,161,34
cohort,B,all,all,c2_union_radius,2,union_radius,0.05,216,12,9,161,34
cohort,B,all,all,c4_centroid_distance,4,centroid_distance,0.05,216,11,6,176,23
cohort,B,all,all,c4_assigned_radius,4,assigned_radius,0.05,216,10,10,166,30
cohort,B,all,all,c4_union_radius,4,union_radius,0.05,216,8,10,163,35
cohort,B,all,all,c8_centroid_distance,8,centroid_distance,0.05,216,15,7,160,34
cohort,B,all,all,c8_assigned_radius,8,assigned_radius,0.05,216,14,10,157,35
cohort,B,all,all,c8_union_radius,8,union_radius,0.05,216,12,6,156,42
cohort,B,all,all,c16_centroid_distance,16,centroid_distance,0.05,216,18,6,159,33
cohort,B,all,all,c16_assigned_radius,16,assigned_radius,0.05,216,24,15,133,44
cohort,B,all,all,c16_union_radius,16,union_radius,0.05,216,14,8,151,43
cohort,B,all,all,c32_centroid_distance,32,centroid_distance,0.05,216,22,6,160,28
cohort,B,all,all,c32_assigned_radius,32,assigned_radius,0.05,216,26,14,145,31
cohort,B,all,all,c32_union_radius,32,union_radius,0.05,216,21,11,149,35
cohort,B,all,all,c64_centroid_distance,64,centroid_distance,0.05,216,24,7,159,26
cohort,B,all,all,c64_assigned_radius,64,assigned_radius,0.05,216,20,10,162,24
cohort,B,all,all,c64_union_radius,64,union_radius,0.05,216,21,4,164,27
cohort,B,all,all,knn20,0,knn20,0.1,216,44,20,148,4
cohort,B,all,all,norm_only,0,norm_only,0.1,216,20,1,168,27
cohort,B,all,all,c1_centroid_distance,1,centroid_distance,0.1,216,19,4,165,28
cohort,B,all,all,c1_assigned_radius,1,assigned_radius,0.1,216,19,4,165,28
cohort,B,all,all,c1_union_radius,1,union_radius,0.1,216,19,4,165,28
cohort,B,all,all,c2_centroid_distance,2,centroid_distance,0.1,216,22,11,164,19
cohort,B,all,all,c2_assigned_radius,2,assigned_radius,0.1,216,25,9,160,22
cohort,B,all,all,c2_union_radius,2,union_radius,0.1,216,27,8,159,22
cohort,B,all,all,c4_centroid_distance,4,centroid_distance,0.1,216,21,12,166,17
cohort,B,all,all,c4_assigned_radius,4,assigned_radius,0.1,216,22,14,165,15
cohort,B,all,all,c4_union_radius,4,union_radius,0.1,216,23,13,158,22
cohort,B,all,all,c8_centroid_distance,8,centroid_distance,0.1,216,32,16,159,9
cohort,B,all,all,c8_assigned_radius,8,assigned_radius,0.1,216,31,16,150,19
cohort,B,all,all,c8_union_radius,8,union_radius,0.1,216,24,15,160,17
cohort,B,all,all,c16_centroid_distance,16,centroid_distance,0.1,216,44,14,149,9
cohort,B,all,all,c16_assigned_radius,16,assigned_radius,0.1,216,45,19,133,19
cohort,B,all,all,c16_union_radius,16,union_radius,0.1,216,41,20,126,29
cohort,B,all,all,c32_centroid_distance,32,centroid_distance,0.1,216,40,14,149,13
cohort,B,all,all,c32_assigned_radius,32,assigned_radius,0.1,216,48,17,133,18
cohort,B,all,all,c32_union_radius,32,union_radius,0.1,216,48,17,133,18
cohort,B,all,all,c64_centroid_distance,64,centroid_distance,0.1,216,45,20,141,10
cohort,B,all,all,c64_assigned_radius,64,assigned_radius,0.1,216,49,15,149,3
cohort,B,all,all,c64_union_radius,64,union_radius,0.1,216,48,12,146,10
suite,all,libero_goal,all,knn20,0,knn20,0.02,53,2,0,39,12
suite,all,libero_goal,all,norm_only,0,norm_only,0.02,53,1,0,41,11
suite,all,libero_goal,all,c1_centroid_distance,1,centroid_distance,0.02,53,1,0,40,12
suite,all,libero_goal,all,c1_assigned_radius,1,assigned_radius,0.02,53,1,0,40,12
suite,all,libero_goal,all,c1_union_radius,1,union_radius,0.02,53,1,0,40,12
suite,all,libero_goal,all,c2_centroid_distance,2,centroid_distance,0.02,53,2,2,37,12
suite,all,libero_goal,all,c2_assigned_radius,2,assigned_radius,0.02,53,2,2,36,13
suite,all,libero_goal,all,c2_union_radius,2,union_radius,0.02,53,2,2,36,13
suite,all,libero_goal,all,c4_centroid_distance,4,centroid_distance,0.02,53,1,1,36,15
suite,all,libero_goal,all,c4_assigned_radius,4,assigned_radius,0.02,53,1,1,32,19
suite,all,libero_goal,all,c4_union_radius,4,union_radius,0.02,53,1,1,34,17
suite,all,libero_goal,all,c8_centroid_distance,8,centroid_distance,0.02,53,1,1,36,15
suite,all,libero_goal,all,c8_assigned_radius,8,assigned_radius,0.02,53,1,0,33,19
suite,all,libero_goal,all,c8_union_radius,8,union_radius,0.02,53,1,0,38,14
suite,all,libero_goal,all,c16_centroid_distance,16,centroid_distance,0.02,53,1,0,38,14
suite,all,libero_goal,all,c16_assigned_radius,16,assigned_radius,0.02,53,0,0,37,16
suite,all,libero_goal,all,c16_union_radius,16,union_radius,0.02,53,1,0,39,13
suite,all,libero_goal,all,c32_centroid_distance,32,centroid_distance,0.02,53,2,0,37,14
suite,all,libero_goal,all,c32_assigned_radius,32,assigned_radius,0.02,53,1,0,36,16
suite,all,libero_goal,all,c32_union_radius,32,union_radius,0.02,53,1,0,39,13
suite,all,libero_goal,all,c64_centroid_distance,64,centroid_distance,0.02,53,2,1,37,13
suite,all,libero_goal,all,c64_assigned_radius,64,assigned_radius,0.02,53,2,0,38,13
suite,all,libero_goal,all,c64_union_radius,64,union_radius,0.02,53,1,1,43,8
suite,all,libero_goal,all,knn20,0,knn20,0.03,53,3,1,44,5
suite,all,libero_goal,all,norm_only,0,norm_only,0.03,53,1,0,41,11
suite,all,libero_goal,all,c1_centroid_distance,1,centroid_distance,0.03,53,1,0,41,11
suite,all,libero_goal,all,c1_assigned_radius,1,assigned_radius,0.03,53,1,0,41,11
suite,all,libero_goal,all,c1_union_radius,1,union_radius,0.03,53,1,0,41,11
suite,all,libero_goal,all,c2_centroid_distance,2,centroid_distance,0.03,53,3,2,42,6
suite,all,libero_goal,all,c2_assigned_radius,2,assigned_radius,0.03,53,3,2,42,6
suite,all,libero_goal,all,c2_union_radius,2,union_radius,0.03,53,3,2,42,6
suite,all,libero_goal,all,c4_centroid_distance,4,centroid_distance,0.03,53,2,1,46,4
suite,all,libero_goal,all,c4_assigned_radius,4,assigned_radius,0.03,53,2,0,43,8
suite,all,libero_goal,all,c4_union_radius,4,union_radius,0.03,53,2,1,44,6
suite,all,libero_goal,all,c8_centroid_distance,8,centroid_distance,0.03,53,3,0,46,4
suite,all,libero_goal,all,c8_assigned_radius,8,assigned_radius,0.03,53,2,0,47,4
suite,all,libero_goal,all,c8_union_radius,8,union_radius,0.03,53,2,1,45,5
suite,all,libero_goal,all,c16_centroid_distance,16,centroid_distance,0.03,53,2,2,45,4
suite,all,libero_goal,all,c16_assigned_radius,16,assigned_radius,0.03,53,2,0,46,5
suite,all,libero_goal,all,c16_union_radius,16,union_radius,0.03,53,2,1,48,2
suite,all,libero_goal,all,c32_centroid_distance,32,centroid_distance,0.03,53,3,1,43,6
suite,all,libero_goal,all,c32_assigned_radius,32,assigned_radius,0.03,53,4,0,43,6
suite,all,libero_goal,all,c32_union_radius,32,union_radius,0.03,53,3,1,44,5
suite,all,libero_goal,all,c64_centroid_distance,64,centroid_distance,0.03,53,2,1,44,6
suite,all,libero_goal,all,c64_assigned_radius,64,assigned_radius,0.03,53,2,1,45,5
suite,all,libero_goal,all,c64_union_radius,64,union_radius,0.03,53,3,2,46,2
suite,all,libero_goal,all,knn20,0,knn20,0.05,53,4,3,44,2
suite,all,libero_goal,all,norm_only,0,norm_only,0.05,53,1,0,42,10
suite,all,libero_goal,all,c1_centroid_distance,1,centroid_distance,0.05,53,2,0,41,10
suite,all,libero_goal,all,c1_assigned_radius,1,assigned_radius,0.05,53,2,0,41,10
suite,all,libero_goal,all,c1_union_radius,1,union_radius,0.05,53,2,0,41,10
suite,all,libero_goal,all,c2_centroid_distance,2,centroid_distance,0.05,53,4,2,43,4
suite,all,libero_goal,all,c2_assigned_radius,2,assigned_radius,0.05,53,4,1,44,4
suite,all,libero_goal,all,c2_union_radius,2,union_radius,0.05,53,4,1,44,4
suite,all,libero_goal,all,c4_centroid_distance,4,centroid_distance,0.05,53,3,1,45,4
suite,all,libero_goal,all,c4_assigned_radius,4,assigned_radius,0.05,53,2,2,47,2
suite,all,libero_goal,all,c4_union_radius,4,union_radius,0.05,53,2,2,46,3
suite,all,libero_goal,all,c8_centroid_distance,8,centroid_distance,0.05,53,3,2,45,3
suite,all,libero_goal,all,c8_assigned_radius,8,assigned_radius,0.05,53,2,2,47,2
suite,all,libero_goal,all,c8_union_radius,8,union_radius,0.05,53,3,1,47,2
suite,all,libero_goal,all,c16_centroid_distance,16,centroid_distance,0.05,53,3,1,48,1
suite,all,libero_goal,all,c16_assigned_radius,16,assigned_radius,0.05,53,11,4,37,1
