level,cohort,suite,task,method,clusters,variant,alpha,failure,episodes,progress_bin,alarms,count
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,"[0,25%)",959,0
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,"[25,50%)",959,7
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,"[50,75%)",959,258
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,"[75,100%)",959,694
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,"[0,25%)",738,5
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,"[25,50%)",738,72
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,"[50,75%)",738,419
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,"[75,100%)",738,242
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,"[0,25%)",820,0
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,"[25,50%)",820,8
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,"[50,75%)",820,238
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,"[75,100%)",820,574
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,"[0,25%)",543,7
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,"[25,50%)",543,73
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,"[50,75%)",543,234
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,"[75,100%)",543,229
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,"[0,25%)",556,0
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,"[25,50%)",556,6
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,"[50,75%)",556,130
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,"[75,100%)",556,420
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,"[0,25%)",659,3
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,"[25,50%)",659,69
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,"[50,75%)",659,269
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,"[75,100%)",659,318
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,"[0,25%)",1249,0
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,"[25,50%)",1249,11
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,"[50,75%)",1249,395
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,"[75,100%)",1249,843
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,"[0,25%)",775,4
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,"[25,50%)",775,80
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,"[50,75%)",775,436
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,"[75,100%)",775,255
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,"[0,25%)",995,0
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,"[25,50%)",995,10
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,"[50,75%)",995,379
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,"[75,100%)",995,606
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,True,1096,"[0,25%)",711,5
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,True,1096,"[25,50%)",711,82
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,True,1096,"[50,75%)",711,434
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,True,1096,"[75,100%)",711,190
all,all,all,all,c32_union_radius,32,union_radius,0.02,False,30904,"[0,25%)",686,0
all,all,all,all,c32_union_radius,32,union_radius,0.02,False,30904,"[25,50%)",686,7
all,all,all,all,c32_union_radius,32,union_radius,0.02,False,30904,"[50,75%)",686,163
all,all,all,all,c32_union_radius,32,union_radius,0.02,False,30904,"[75,100%)",686,516
all,all,all,all,c32_union_radius,32,union_radius,0.02,True,1096,"[0,25%)",753,7
all,all,all,all,c32_union_radius,32,union_radius,0.02,True,1096,"[25,50%)",753,82
all,all,all,all,c32_union_radius,32,union_radius,0.02,True,1096,"[50,75%)",753,430
all,all,all,all,c32_union_radius,32,union_radius,0.02,True,1096,"[75,100%)",753,234
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.02,False,30904,"[0,25%)",935,0
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.02,False,30904,"[25,50%)",935,5
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.02,False,30904,"[50,75%)",935,245
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.02,False,30904,"[75,100%)",935,685
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.02,True,1096,"[0,25%)",657,0
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.02,True,1096,"[25,50%)",657,67
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.02,True,1096,"[50,75%)",657,331
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.02,True,1096,"[75,100%)",657,259
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.02,False,30904,"[0,25%)",1113,0
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.02,False,30904,"[25,50%)",1113,19
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.02,False,30904,"[50,75%)",1113,289
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.02,False,30904,"[75,100%)",1113,805
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.02,True,1096,"[0,25%)",660,0
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.02,True,1096,"[25,50%)",660,77
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.02,True,1096,"[50,75%)",660,328
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.02,True,1096,"[75,100%)",660,255
all,all,all,all,c64_union_radius,64,union_radius,0.02,False,30904,"[0,25%)",798,0
all,all,all,all,c64_union_radius,64,union_radius,0.02,False,30904,"[25,50%)",798,6
all,all,all,all,c64_union_radius,64,union_radius,0.02,False,30904,"[50,75%)",798,166
all,all,all,all,c64_union_radius,64,union_radius,0.02,False,30904,"[75,100%)",798,626
all,all,all,all,c64_union_radius,64,union_radius,0.02,True,1096,"[0,25%)",730,0
all,all,all,all,c64_union_radius,64,union_radius,0.02,True,1096,"[25,50%)",730,68
all,all,all,all,c64_union_radius,64,union_radius,0.02,True,1096,"[50,75%)",730,380
all,all,all,all,c64_union_radius,64,union_radius,0.02,True,1096,"[75,100%)",730,282
all,all,all,all,knn20,0,knn20,0.03,False,30904,"[0,25%)",2190,0
all,all,all,all,knn20,0,knn20,0.03,False,30904,"[25,50%)",2190,33
all,all,all,all,knn20,0,knn20,0.03,False,30904,"[50,75%)",2190,974
all,all,all,all,knn20,0,knn20,0.03,False,30904,"[75,100%)",2190,1183
all,all,all,all,knn20,0,knn20,0.03,True,1096,"[0,25%)",871,9
all,all,all,all,knn20,0,knn20,0.03,True,1096,"[25,50%)",871,137
all,all,all,all,knn20,0,knn20,0.03,True,1096,"[50,75%)",871,532
all,all,all,all,knn20,0,knn20,0.03,True,1096,"[75,100%)",871,193
all,all,all,all,norm_only,0,norm_only,0.03,False,30904,"[0,25%)",1313,1
all,all,all,all,norm_only,0,norm_only,0.03,False,30904,"[25,50%)",1313,41
all,all,all,all,norm_only,0,norm_only,0.03,False,30904,"[50,75%)",1313,343
all,all,all,all,norm_only,0,norm_only,0.03,False,30904,"[75,100%)",1313,928
all,all,all,all,norm_only,0,norm_only,0.03,True,1096,"[0,25%)",786,20
all,all,all,all,norm_only,0,norm_only,0.03,True,1096,"[25,50%)",786,87
all,all,all,all,norm_only,0,norm_only,0.03,True,1096,"[50,75%)",786,389
all,all,all,all,norm_only,0,norm_only,0.03,True,1096,"[75,100%)",786,290
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.03,False,30904,"[0,25%)",1405,1
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.03,False,30904,"[25,50%)",1405,58
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.03,False,30904,"[50,75%)",1405,473
