level,cohort,suite,task,method,clusters,variant,calibration,alpha,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_union_radius,32,union_radius,episode,0.1,800,0,800,0,0,557,243,,0.69625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_centroid_distance,64,centroid_distance,episode,0.1,800,0,800,0,0,698,102,,0.8725,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_assigned_radius,64,assigned_radius,episode,0.1,800,0,800,0,0,672,128,,0.84,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_union_radius,64,union_radius,episode,0.1,800,0,800,0,0,621,179,,0.77625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,knn20,0,knn20,task_init,0.02,800,0,800,0,0,159,641,,0.19875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,norm_only,0,norm_only,task_init,0.02,800,0,800,0,0,11,789,,0.01375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_centroid_distance,1,centroid_distance,task_init,0.02,800,0,800,0,0,25,775,,0.03125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_assigned_radius,1,assigned_radius,task_init,0.02,800,0,800,0,0,25,775,,0.03125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_union_radius,1,union_radius,task_init,0.02,800,0,800,0,0,25,775,,0.03125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_centroid_distance,2,centroid_distance,task_init,0.02,800,0,800,0,0,28,772,,0.035,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_assigned_radius,2,assigned_radius,task_init,0.02,800,0,800,0,0,28,772,,0.035,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_union_radius,2,union_radius,task_init,0.02,800,0,800,0,0,28,772,,0.035,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_centroid_distance,4,centroid_distance,task_init,0.02,800,0,800,0,0,2,798,,0.0025,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_assigned_radius,4,assigned_radius,task_init,0.02,800,0,800,0,0,1,799,,0.00125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_union_radius,4,union_radius,task_init,0.02,800,0,800,0,0,2,798,,0.0025,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_centroid_distance,8,centroid_distance,task_init,0.02,800,0,800,0,0,52,748,,0.065,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_assigned_radius,8,assigned_radius,task_init,0.02,800,0,800,0,0,18,782,,0.0225,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_union_radius,8,union_radius,task_init,0.02,800,0,800,0,0,36,764,,0.045,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_centroid_distance,16,centroid_distance,task_init,0.02,800,0,800,0,0,74,726,,0.0925,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_assigned_radius,16,assigned_radius,task_init,0.02,800,0,800,0,0,27,773,,0.03375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_union_radius,16,union_radius,task_init,0.02,800,0,800,0,0,27,773,,0.03375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_centroid_distance,32,centroid_distance,task_init,0.02,800,0,800,0,0,116,684,,0.145,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_assigned_radius,32,assigned_radius,task_init,0.02,800,0,800,0,0,39,761,,0.04875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_union_radius,32,union_radius,task_init,0.02,800,0,800,0,0,25,775,,0.03125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_centroid_distance,64,centroid_distance,task_init,0.02,800,0,800,0,0,79,721,,0.09875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_assigned_radius,64,assigned_radius,task_init,0.02,800,0,800,0,0,75,725,,0.09375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_union_radius,64,union_radius,task_init,0.02,800,0,800,0,0,42,758,,0.0525,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,knn20,0,knn20,task_init,0.03,800,0,800,0,0,200,600,,0.25,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,norm_only,0,norm_only,task_init,0.03,800,0,800,0,0,25,775,,0.03125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_centroid_distance,1,centroid_distance,task_init,0.03,800,0,800,0,0,29,771,,0.03625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_assigned_radius,1,assigned_radius,task_init,0.03,800,0,800,0,0,29,771,,0.03625,0.0
