level,cohort,suite,task,method,clusters,variant,alpha,failure,episodes,query_bin,count
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,True,1096,q0-6,0
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,True,1096,q7,0
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,True,1096,q8-10,17
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,True,1096,q11-14,73
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,True,1096,q15-19,250
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,True,1096,q20-29,162
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,True,1096,q30-39,189
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,True,1096,q40-51,36
all,all,all,all,c1_union_radius,1,union_radius,0.02,False,30904,no_alarm,29822
all,all,all,all,c1_union_radius,1,union_radius,0.02,False,30904,q0-6,0
all,all,all,all,c1_union_radius,1,union_radius,0.02,False,30904,q7,0
all,all,all,all,c1_union_radius,1,union_radius,0.02,False,30904,q8-10,667
all,all,all,all,c1_union_radius,1,union_radius,0.02,False,30904,q11-14,387
all,all,all,all,c1_union_radius,1,union_radius,0.02,False,30904,q15-19,16
all,all,all,all,c1_union_radius,1,union_radius,0.02,False,30904,q20-29,1
all,all,all,all,c1_union_radius,1,union_radius,0.02,False,30904,q30-39,11
all,all,all,all,c1_union_radius,1,union_radius,0.02,False,30904,q40-51,0
all,all,all,all,c1_union_radius,1,union_radius,0.02,True,1096,no_alarm,369
all,all,all,all,c1_union_radius,1,union_radius,0.02,True,1096,q0-6,0
all,all,all,all,c1_union_radius,1,union_radius,0.02,True,1096,q7,0
all,all,all,all,c1_union_radius,1,union_radius,0.02,True,1096,q8-10,17
all,all,all,all,c1_union_radius,1,union_radius,0.02,True,1096,q11-14,73
all,all,all,all,c1_union_radius,1,union_radius,0.02,True,1096,q15-19,250
all,all,all,all,c1_union_radius,1,union_radius,0.02,True,1096,q20-29,162
all,all,all,all,c1_union_radius,1,union_radius,0.02,True,1096,q30-39,189
all,all,all,all,c1_union_radius,1,union_radius,0.02,True,1096,q40-51,36
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,False,30904,no_alarm,29933
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,False,30904,q0-6,0
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,False,30904,q7,0
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,False,30904,q8-10,491
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,False,30904,q11-14,449
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,False,30904,q15-19,15
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,False,30904,q20-29,2
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,False,30904,q30-39,12
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,False,30904,q40-51,2
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,True,1096,no_alarm,331
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,True,1096,q0-6,0
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,True,1096,q7,0
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,True,1096,q8-10,30
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,True,1096,q11-14,107
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,True,1096,q15-19,250
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,True,1096,q20-29,150
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,True,1096,q30-39,192
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,True,1096,q40-51,36
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,False,30904,no_alarm,29933
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,False,30904,q0-6,0
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,False,30904,q7,0
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,False,30904,q8-10,510
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,False,30904,q11-14,432
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,False,30904,q15-19,13
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,False,30904,q20-29,2
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,False,30904,q30-39,12
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,False,30904,q40-51,2
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,True,1096,no_alarm,338
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,True,1096,q0-6,0
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,True,1096,q7,0
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,True,1096,q8-10,35
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,True,1096,q11-14,106
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,True,1096,q15-19,245
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,True,1096,q20-29,141
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,True,1096,q30-39,193
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,True,1096,q40-51,38
all,all,all,all,c2_union_radius,2,union_radius,0.02,False,30904,no_alarm,29935
all,all,all,all,c2_union_radius,2,union_radius,0.02,False,30904,q0-6,0
all,all,all,all,c2_union_radius,2,union_radius,0.02,False,30904,q7,0
all,all,all,all,c2_union_radius,2,union_radius,0.02,False,30904,q8-10,510
all,all,all,all,c2_union_radius,2,union_radius,0.02,False,30904,q11-14,430
all,all,all,all,c2_union_radius,2,union_radius,0.02,False,30904,q15-19,13
all,all,all,all,c2_union_radius,2,union_radius,0.02,False,30904,q20-29,2
all,all,all,all,c2_union_radius,2,union_radius,0.02,False,30904,q30-39,12
all,all,all,all,c2_union_radius,2,union_radius,0.02,False,30904,q40-51,2
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,no_alarm,338
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,q0-6,0
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,q7,0
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,q8-10,34
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,q11-14,104
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,q15-19,246
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,q20-29,143
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,q30-39,193
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,q40-51,38
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,no_alarm,30472
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,q0-6,0
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,q7,0
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,q8-10,120
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,q11-14,269
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,q15-19,25
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,q20-29,4
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,q30-39,13
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,q40-51,1
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,no_alarm,355
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,q0-6,0
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,q7,0
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,q8-10,14
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,q11-14,132
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,q15-19,238
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,q20-29,133
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,q30-39,189
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,q40-51,35
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,no_alarm,30503
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,q0-6,0
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,q7,0
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,q8-10,132
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,q11-14,228
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,q15-19,22
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,q20-29,5
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,q30-39,14
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,q40-51,0
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,no_alarm,375
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,q0-6,0
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,q7,0
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,q8-10,17
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,q11-14,139
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,q15-19,211
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,q20-29,115
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,q30-39,192
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,q40-51,47
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,no_alarm,30487
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,q0-6,0
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,q7,0
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,q8-10,132
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,q11-14,242
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,q15-19,25
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,q20-29,4
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,q30-39,13
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,q40-51,1
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,no_alarm,365
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,q0-6,0
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,q7,0
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,q8-10,17
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,q11-14,132
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,q15-19,222
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,q20-29,124
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,q30-39,190
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,q40-51,46
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,no_alarm,30021
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,q0-6,0
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,q7,0
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,q8-10,318
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,q11-14,529
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,q15-19,20
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,q20-29,2
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,q30-39,13
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,q40-51,1
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,no_alarm,369
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,q0-6,0
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,q7,0
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,q8-10,20
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,q11-14,141
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,q15-19,219
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,q20-29,130
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,q30-39,183
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,q40-51,34
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,no_alarm,30285
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,q0-6,0
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,q7,0
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,q8-10,178
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,q11-14,345
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,q15-19,27
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,q20-29,60
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,q30-39,9
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,q40-51,0
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,no_alarm,461
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,q0-6,0
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,q7,0
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,q8-10,13
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,q11-14,127
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,q15-19,205
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,q20-29,122
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,q30-39,101
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,q40-51,67
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,no_alarm,30150
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,q0-6,0
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,q7,1
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,q8-10,272
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,q11-14,368
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,q15-19,17
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,q20-29,76
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,q30-39,19
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,q40-51,1
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,no_alarm,353
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,q0-6,0
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,q7,0
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,q8-10,17
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,q11-14,109
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,q15-19,229
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,q20-29,145
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,q30-39,187
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,q40-51,56
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,no_alarm,29945
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,q0-6,0
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,q7,0
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,q8-10,396
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,q11-14,528
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,q15-19,19
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,q20-29,3
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,q30-39,12
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,q40-51,1
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,no_alarm,358
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,q0-6,0
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,q7,0
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,q8-10,14
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,q11-14,140
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,q15-19,219
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,q20-29,139
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,q30-39,181
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,q40-51,45
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,no_alarm,30084
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,q0-6,0
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,q7,0
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,q8-10,302
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,q11-14,426
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,q15-19,51
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,q20-29,35
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,q30-39,6
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,q40-51,0
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,no_alarm,553
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,q0-6,0
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,q7,0
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,q8-10,14
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,q11-14,144
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,q15-19,195
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,q20-29,122
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,q30-39,26
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,q40-51,42
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,no_alarm,30348
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,q0-6,0
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,q7,1
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,q8-10,229
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,q11-14,249
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,q15-19,17
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,q20-29,49
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,q30-39,11
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,q40-51,0
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,no_alarm,437
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,q0-6,0
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,q7,0
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,q8-10,10
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,q11-14,104
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,q15-19,223
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,q20-29,154
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,q30-39,81
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,q40-51,87
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,no_alarm,29655
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,q0-6,0
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,q7,0
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,q8-10,675
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,q11-14,521
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,q15-19,28
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,q20-29,4
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,q30-39,20
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,q40-51,1
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,no_alarm,321
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,q0-6,0
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,q7,0
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,q8-10,13
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,q11-14,151
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,q15-19,212
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,q20-29,139
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,q30-39,200
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,q40-51,60
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,no_alarm,29909
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,q0-6,0
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,q7,1
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,q8-10,672
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,q11-14,272
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,q15-19,25
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,q20-29,9
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,q30-39,15
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,q40-51,1
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,True,1096,no_alarm,385
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,True,1096,q0-6,0
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,True,1096,q7,0
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,True,1096,q8-10,25
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,True,1096,q11-14,181
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,True,1096,q15-19,168
