level,cohort,suite,task,method,clusters,variant,alpha,failure,episodes,both,removed_from_knn20,new_vs_knn20,neither,earlier,later,same_query
cohort,A,all,all,c32_centroid_distance,32,centroid_distance,0.03,False,15468,921,150,98,14299,85,147,689
cohort,A,all,all,c32_centroid_distance,32,centroid_distance,0.03,True,532,404,16,25,87,69,109,226
cohort,A,all,all,c32_assigned_radius,32,assigned_radius,0.03,False,15468,704,367,124,14273,66,225,413
cohort,A,all,all,c32_assigned_radius,32,assigned_radius,0.03,True,532,375,45,20,92,64,189,122
cohort,A,all,all,c32_union_radius,32,union_radius,0.03,False,15468,510,561,140,14257,17,261,232
cohort,A,all,all,c32_union_radius,32,union_radius,0.03,True,532,392,28,18,94,65,123,204
cohort,A,all,all,c64_centroid_distance,64,centroid_distance,0.03,False,15468,975,96,146,14251,66,215,694
cohort,A,all,all,c64_centroid_distance,64,centroid_distance,0.03,True,532,379,41,34,78,72,85,222
cohort,A,all,all,c64_assigned_radius,64,assigned_radius,0.03,False,15468,718,353,175,14222,78,279,361
cohort,A,all,all,c64_assigned_radius,64,assigned_radius,0.03,True,532,376,44,35,77,96,150,130
cohort,A,all,all,c64_union_radius,64,union_radius,0.03,False,15468,726,345,178,14219,33,396,297
cohort,A,all,all,c64_union_radius,64,union_radius,0.03,True,532,380,40,22,90,80,133,167
cohort,A,all,all,knn20,0,knn20,0.05,False,15468,1349,0,0,14119,0,0,1349
cohort,A,all,all,knn20,0,knn20,0.05,True,532,478,0,0,54,0,0,478
