method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances,fold,suite
c1_assigned_radius,1,assigned_radius,episode,0.03,1.1025453805923462,540,525,15,libero_goal_full_0,libero_goal
c1_assigned_radius,1,assigned_radius,episode,0.05,1.0470657348632812,540,514,26,libero_goal_full_0,libero_goal
c1_assigned_radius,1,assigned_radius,episode,0.1,0.9325897693634032,540,487,53,libero_goal_full_0,libero_goal
c1_assigned_radius,1,assigned_radius,task_init,0.02,1.3148576021194458,70,70,0,libero_goal_full_0,libero_goal
c1_assigned_radius,1,assigned_radius,task_init,0.03,1.2875919342041016,70,69,1,libero_goal_full_0,libero_goal
c1_assigned_radius,1,assigned_radius,task_init,0.05,1.2135248184204102,70,68,2,libero_goal_full_0,libero_goal
c1_assigned_radius,1,assigned_radius,task_init,0.1,1.0630263090133667,70,64,6,libero_goal_full_0,libero_goal
c1_union_radius,1,union_radius,episode,0.02,1.1575942039489746,540,531,9,libero_goal_full_0,libero_goal
c1_union_radius,1,union_radius,episode,0.03,1.1025453805923462,540,525,15,libero_goal_full_0,libero_goal
c1_union_radius,1,union_radius,episode,0.05,1.0470657348632812,540,514,26,libero_goal_full_0,libero_goal
c1_union_radius,1,union_radius,episode,0.1,0.9325897693634032,540,487,53,libero_goal_full_0,libero_goal
c1_union_radius,1,union_radius,task_init,0.02,1.3148576021194458,70,70,0,libero_goal_full_0,libero_goal
c1_union_radius,1,union_radius,task_init,0.03,1.2875919342041016,70,69,1,libero_goal_full_0,libero_goal
c1_union_radius,1,union_radius,task_init,0.05,1.2135248184204102,70,68,2,libero_goal_full_0,libero_goal
c1_union_radius,1,union_radius,task_init,0.1,1.0630263090133667,70,64,6,libero_goal_full_0,libero_goal
c2_centroid_distance,2,centroid_distance,episode,0.02,4.322200298309326,540,531,9,libero_goal_full_0,libero_goal
c2_centroid_distance,2,centroid_distance,episode,0.03,4.137221813201904,540,525,15,libero_goal_full_0,libero_goal
c2_centroid_distance,2,centroid_distance,episode,0.05,3.6833770275115967,540,514,26,libero_goal_full_0,libero_goal
c2_centroid_distance,2,centroid_distance,episode,0.1,3.3912835121154785,540,487,53,libero_goal_full_0,libero_goal
c2_centroid_distance,2,centroid_distance,task_init,0.02,5.772807598114014,70,70,0,libero_goal_full_0,libero_goal
c2_centroid_distance,2,centroid_distance,task_init,0.03,5.417797565460205,70,69,1,libero_goal_full_0,libero_goal
c2_centroid_distance,2,centroid_distance,task_init,0.05,4.738711833953857,70,68,2,libero_goal_full_0,libero_goal
c2_centroid_distance,2,centroid_distance,task_init,0.1,4.15349817276001,70,64,6,libero_goal_full_0,libero_goal
c2_assigned_radius,2,assigned_radius,episode,0.02,1.2591700553894043,540,531,9,libero_goal_full_0,libero_goal
c2_assigned_radius,2,assigned_radius,episode,0.03,1.205280900001526,540,525,15,libero_goal_full_0,libero_goal
c2_assigned_radius,2,assigned_radius,episode,0.05,1.0777753591537476,540,514,26,libero_goal_full_0,libero_goal
c2_assigned_radius,2,assigned_radius,episode,0.1,0.9911865592002868,540,487,53,libero_goal_full_0,libero_goal
c2_assigned_radius,2,assigned_radius,task_init,0.02,1.681769847869873,70,70,0,libero_goal_full_0,libero_goal
c2_assigned_radius,2,assigned_radius,task_init,0.03,1.5867791175842283,70,69,1,libero_goal_full_0,libero_goal
c2_assigned_radius,2,assigned_radius,task_init,0.05,1.3805108070373535,70,68,2,libero_goal_full_0,libero_goal
c2_assigned_radius,2,assigned_radius,task_init,0.1,1.2100226879119873,70,64,6,libero_goal_full_0,libero_goal
c2_union_radius,2,union_radius,episode,0.02,1.2591700553894043,540,531,9,libero_goal_full_0,libero_goal
c2_union_radius,2,union_radius,episode,0.03,1.205280900001526,540,525,15,libero_goal_full_0,libero_goal
c2_union_radius,2,union_radius,episode,0.05,1.0777753591537476,540,514,26,libero_goal_full_0,libero_goal
c2_union_radius,2,union_radius,episode,0.1,0.9911865592002868,540,487,53,libero_goal_full_0,libero_goal
c2_union_radius,2,union_radius,task_init,0.02,1.681769847869873,70,70,0,libero_goal_full_0,libero_goal
c2_union_radius,2,union_radius,task_init,0.03,1.5867791175842283,70,69,1,libero_goal_full_0,libero_goal
c2_union_radius,2,union_radius,task_init,0.05,1.3805108070373535,70,68,2,libero_goal_full_0,libero_goal
c2_union_radius,2,union_radius,task_init,0.1,1.2100226879119873,70,64,6,libero_goal_full_0,libero_goal
c4_centroid_distance,4,centroid_distance,episode,0.02,3.592392444610596,540,531,9,libero_goal_full_0,libero_goal
c4_centroid_distance,4,centroid_distance,episode,0.03,3.368473052978516,540,525,15,libero_goal_full_0,libero_goal
c4_centroid_distance,4,centroid_distance,episode,0.05,3.155639410018921,540,514,26,libero_goal_full_0,libero_goal
c4_centroid_distance,4,centroid_distance,episode,0.1,2.881760358810425,540,487,53,libero_goal_full_0,libero_goal
c4_centroid_distance,4,centroid_distance,task_init,0.02,5.4769697189331055,70,70,0,libero_goal_full_0,libero_goal
c4_centroid_distance,4,centroid_distance,task_init,0.03,4.243650436401367,70,69,1,libero_goal_full_0,libero_goal
c4_centroid_distance,4,centroid_distance,task_init,0.05,3.9941964149475098,70,68,2,libero_goal_full_0,libero_goal
c4_centroid_distance,4,centroid_distance,task_init,0.1,3.592392444610596,70,64,6,libero_goal_full_0,libero_goal
c4_assigned_radius,4,assigned_radius,episode,0.02,1.4228360652923584,540,531,9,libero_goal_full_0,libero_goal
c4_assigned_radius,4,assigned_radius,episode,0.03,1.3898491859436035,540,525,15,libero_goal_full_0,libero_goal
c4_assigned_radius,4,assigned_radius,episode,0.05,1.2825069427490234,540,514,26,libero_goal_full_0,libero_goal
c4_assigned_radius,4,assigned_radius,episode,0.1,1.126394510269165,540,487,53,libero_goal_full_0,libero_goal
c4_assigned_radius,4,assigned_radius,task_init,0.02,2.2266225814819336,70,70,0,libero_goal_full_0,libero_goal
c4_assigned_radius,4,assigned_radius,task_init,0.03,1.7879477739334106,70,69,1,libero_goal_full_0,libero_goal
c4_assigned_radius,4,assigned_radius,task_init,0.05,1.579031467437744,70,68,2,libero_goal_full_0,libero_goal
c4_assigned_radius,4,assigned_radius,task_init,0.1,1.393744707107544,70,64,6,libero_goal_full_0,libero_goal
c4_union_radius,4,union_radius,episode,0.02,1.4064207077026367,540,531,9,libero_goal_full_0,libero_goal
c4_union_radius,4,union_radius,episode,0.03,1.3646423816680908,540,525,15,libero_goal_full_0,libero_goal
c4_union_radius,4,union_radius,episode,0.05,1.258946657180786,540,514,26,libero_goal_full_0,libero_goal
c4_union_radius,4,union_radius,episode,0.1,1.1191298961639404,540,487,53,libero_goal_full_0,libero_goal
c4_union_radius,4,union_radius,task_init,0.02,1.9854482412338257,70,70,0,libero_goal_full_0,libero_goal
c4_union_radius,4,union_radius,task_init,0.03,1.5776783227920532,70,69,1,libero_goal_full_0,libero_goal
c4_union_radius,4,union_radius,task_init,0.05,1.5597703456878662,70,68,2,libero_goal_full_0,libero_goal
c4_union_radius,4,union_radius,task_init,0.1,1.393744707107544,70,64,6,libero_goal_full_0,libero_goal
c8_centroid_distance,8,centroid_distance,episode,0.02,3.0370020866394043,540,531,9,libero_goal_full_0,libero_goal
c8_centroid_distance,8,centroid_distance,episode,0.03,2.849174737930298,540,525,15,libero_goal_full_0,libero_goal
c8_centroid_distance,8,centroid_distance,episode,0.05,2.652169704437256,540,514,26,libero_goal_full_0,libero_goal
c8_centroid_distance,8,centroid_distance,episode,0.1,2.363506555557251,540,487,53,libero_goal_full_0,libero_goal
c8_centroid_distance,8,centroid_distance,task_init,0.02,3.381636142730713,70,70,0,libero_goal_full_0,libero_goal
c8_centroid_distance,8,centroid_distance,task_init,0.03,3.323284149169922,70,69,1,libero_goal_full_0,libero_goal
c8_centroid_distance,8,centroid_distance,task_init,0.05,3.303647041320801,70,68,2,libero_goal_full_0,libero_goal
c8_centroid_distance,8,centroid_distance,task_init,0.1,2.961409091949463,70,64,6,libero_goal_full_0,libero_goal
c8_assigned_radius,8,assigned_radius,episode,0.02,1.342895269393921,540,531,9,libero_goal_full_0,libero_goal
c8_assigned_radius,8,assigned_radius,episode,0.03,1.3176162242889404,540,525,15,libero_goal_full_0,libero_goal
c8_assigned_radius,8,assigned_radius,episode,0.05,1.245738506317139,540,514,26,libero_goal_full_0,libero_goal
c8_assigned_radius,8,assigned_radius,episode,0.1,1.101576328277588,540,487,53,libero_goal_full_0,libero_goal
c8_assigned_radius,8,assigned_radius,task_init,0.02,1.6758787631988523,70,70,0,libero_goal_full_0,libero_goal
c8_assigned_radius,8,assigned_radius,task_init,0.03,1.5721160173416138,70,69,1,libero_goal_full_0,libero_goal
c8_assigned_radius,8,assigned_radius,task_init,0.05,1.5009567737579346,70,68,2,libero_goal_full_0,libero_goal
c8_assigned_radius,8,assigned_radius,task_init,0.1,1.3185830116271973,70,64,6,libero_goal_full_0,libero_goal
c8_union_radius,8,union_radius,episode,0.02,1.2707374095916748,540,531,9,libero_goal_full_0,libero_goal
c8_union_radius,8,union_radius,episode,0.03,1.2275196313858032,540,525,15,libero_goal_full_0,libero_goal
c8_union_radius,8,union_radius,episode,0.05,1.1679632663726809,540,514,26,libero_goal_full_0,libero_goal
c8_union_radius,8,union_radius,episode,0.1,1.0519788265228271,540,487,53,libero_goal_full_0,libero_goal
c8_union_radius,8,union_radius,task_init,0.02,1.5009567737579346,70,70,0,libero_goal_full_0,libero_goal
c8_union_radius,8,union_radius,task_init,0.03,1.417863130569458,70,69,1,libero_goal_full_0,libero_goal
c8_union_radius,8,union_radius,task_init,0.05,1.355044960975647,70,68,2,libero_goal_full_0,libero_goal
c8_union_radius,8,union_radius,task_init,0.1,1.2676961421966553,70,64,6,libero_goal_full_0,libero_goal
c16_centroid_distance,16,centroid_distance,episode,0.02,2.534630298614502,540,531,9,libero_goal_full_0,libero_goal
c16_centroid_distance,16,centroid_distance,episode,0.03,2.448649644851685,540,525,15,libero_goal_full_0,libero_goal
c16_centroid_distance,16,centroid_distance,episode,0.05,2.262962818145752,540,514,26,libero_goal_full_0,libero_goal
c16_centroid_distance,16,centroid_distance,episode,0.1,1.9834951162338257,540,487,53,libero_goal_full_0,libero_goal
c16_centroid_distance,16,centroid_distance,task_init,0.02,2.9843780994415283,70,70,0,libero_goal_full_0,libero_goal
c16_centroid_distance,16,centroid_distance,task_init,0.03,2.979811191558838,70,69,1,libero_goal_full_0,libero_goal
c16_centroid_distance,16,centroid_distance,task_init,0.05,2.716496229171753,70,68,2,libero_goal_full_0,libero_goal
c16_centroid_distance,16,centroid_distance,task_init,0.1,2.534630298614502,70,64,6,libero_goal_full_0,libero_goal
c16_assigned_radius,16,assigned_radius,episode,0.02,1.5200371742248535,540,531,9,libero_goal_full_0,libero_goal
c16_assigned_radius,16,assigned_radius,episode,0.03,1.4303478002548218,540,525,15,libero_goal_full_0,libero_goal
c16_assigned_radius,16,assigned_radius,episode,0.05,1.3123236894607544,540,514,26,libero_goal_full_0,libero_goal
c16_assigned_radius,16,assigned_radius,episode,0.1,1.1854556798934937,540,487,53,libero_goal_full_0,libero_goal
c16_assigned_radius,16,assigned_radius,task_init,0.02,1.8620043992996216,70,70,0,libero_goal_full_0,libero_goal
c16_assigned_radius,16,assigned_radius,task_init,0.03,1.6309412717819214,70,69,1,libero_goal_full_0,libero_goal
c16_assigned_radius,16,assigned_radius,task_init,0.05,1.6282414197921753,70,68,2,libero_goal_full_0,libero_goal
c16_assigned_radius,16,assigned_radius,task_init,0.1,1.3238017559051514,70,64,6,libero_goal_full_0,libero_goal
c16_union_radius,16,union_radius,episode,0.02,1.4853358268737793,540,531,9,libero_goal_full_0,libero_goal
c16_union_radius,16,union_radius,episode,0.03,1.353631615638733,540,525,15,libero_goal_full_0,libero_goal
c16_union_radius,16,union_radius,episode,0.05,1.2855404615402222,540,514,26,libero_goal_full_0,libero_goal
c16_union_radius,16,union_radius,episode,0.1,1.14051616191864,540,487,53,libero_goal_full_0,libero_goal
c16_union_radius,16,union_radius,task_init,0.02,1.720462203025818,70,70,0,libero_goal_full_0,libero_goal
c16_union_radius,16,union_radius,task_init,0.03,1.60642671585083,70,69,1,libero_goal_full_0,libero_goal
c16_union_radius,16,union_radius,task_init,0.05,1.605966329574585,70,68,2,libero_goal_full_0,libero_goal
c16_union_radius,16,union_radius,task_init,0.1,1.2855404615402222,70,64,6,libero_goal_full_0,libero_goal
c32_centroid_distance,32,centroid_distance,episode,0.02,2.275559425354004,540,531,9,libero_goal_full_0,libero_goal
c32_centroid_distance,32,centroid_distance,episode,0.03,2.1416375637054443,540,525,15,libero_goal_full_0,libero_goal
c32_centroid_distance,32,centroid_distance,episode,0.05,1.9919613599777224,540,514,26,libero_goal_full_0,libero_goal
c32_centroid_distance,32,centroid_distance,episode,0.1,1.806460976600647,540,487,53,libero_goal_full_0,libero_goal
c32_centroid_distance,32,centroid_distance,task_init,0.02,2.703861713409424,70,70,0,libero_goal_full_0,libero_goal
c32_centroid_distance,32,centroid_distance,task_init,0.03,2.59146785736084,70,69,1,libero_goal_full_0,libero_goal
c32_centroid_distance,32,centroid_distance,task_init,0.05,2.428250551223755,70,68,2,libero_goal_full_0,libero_goal
c32_centroid_distance,32,centroid_distance,task_init,0.1,2.286542654037476,70,64,6,libero_goal_full_0,libero_goal
c32_assigned_radius,32,assigned_radius,episode,0.02,1.5309113264083862,540,531,9,libero_goal_full_0,libero_goal
c32_assigned_radius,32,assigned_radius,episode,0.03,1.4627315998077393,540,525,15,libero_goal_full_0,libero_goal
c32_assigned_radius,32,assigned_radius,episode,0.05,1.3688480854034424,540,514,26,libero_goal_full_0,libero_goal
c32_assigned_radius,32,assigned_radius,episode,0.1,1.2426551580429075,540,487,53,libero_goal_full_0,libero_goal
c32_assigned_radius,32,assigned_radius,task_init,0.02,2.0229387283325195,70,70,0,libero_goal_full_0,libero_goal
c32_assigned_radius,32,assigned_radius,task_init,0.03,1.7833268642425537,70,69,1,libero_goal_full_0,libero_goal
c32_assigned_radius,32,assigned_radius,task_init,0.05,1.614966869354248,70,68,2,libero_goal_full_0,libero_goal
c32_assigned_radius,32,assigned_radius,task_init,0.1,1.504846692085266,70,64,6,libero_goal_full_0,libero_goal
c32_union_radius,32,union_radius,episode,0.02,1.4498395919799805,540,531,9,libero_goal_full_0,libero_goal
c32_union_radius,32,union_radius,episode,0.03,1.3995667695999146,540,525,15,libero_goal_full_0,libero_goal
c32_union_radius,32,union_radius,episode,0.05,1.2648084163665771,540,514,26,libero_goal_full_0,libero_goal
c32_union_radius,32,union_radius,episode,0.1,1.1312432289123535,540,487,53,libero_goal_full_0,libero_goal
c32_union_radius,32,union_radius,task_init,0.02,1.7954775094985962,70,70,0,libero_goal_full_0,libero_goal
c32_union_radius,32,union_radius,task_init,0.03,1.599932074546814,70,69,1,libero_goal_full_0,libero_goal
c32_union_radius,32,union_radius,task_init,0.05,1.5852025747299194,70,68,2,libero_goal_full_0,libero_goal
c32_union_radius,32,union_radius,task_init,0.1,1.2513757944107056,70,64,6,libero_goal_full_0,libero_goal
c64_centroid_distance,64,centroid_distance,episode,0.02,1.9503029584884644,540,531,9,libero_goal_full_0,libero_goal
c64_centroid_distance,64,centroid_distance,episode,0.03,1.8978108167648315,540,525,15,libero_goal_full_0,libero_goal
c64_centroid_distance,64,centroid_distance,episode,0.05,1.7581963539123535,540,514,26,libero_goal_full_0,libero_goal
c64_centroid_distance,64,centroid_distance,episode,0.1,1.5659807920455933,540,487,53,libero_goal_full_0,libero_goal
c64_centroid_distance,64,centroid_distance,task_init,0.02,2.583082914352417,70,70,0,libero_goal_full_0,libero_goal
c64_centroid_distance,64,centroid_distance,task_init,0.03,2.239197015762329,70,69,1,libero_goal_full_0,libero_goal
c64_centroid_distance,64,centroid_distance,task_init,0.05,2.175771713256836,70,68,2,libero_goal_full_0,libero_goal
c64_centroid_distance,64,centroid_distance,task_init,0.1,1.9503029584884644,70,64,6,libero_goal_full_0,libero_goal
c64_assigned_radius,64,assigned_radius,episode,0.02,1.5186158418655396,540,531,9,libero_goal_full_0,libero_goal
c64_assigned_radius,64,assigned_radius,episode,0.03,1.4703449010849,540,525,15,libero_goal_full_0,libero_goal
c64_assigned_radius,64,assigned_radius,episode,0.05,1.380449891090393,540,514,26,libero_goal_full_0,libero_goal
c64_assigned_radius,64,assigned_radius,episode,0.1,1.239296793937683,540,487,53,libero_goal_full_0,libero_goal
c64_assigned_radius,64,assigned_radius,task_init,0.02,2.065814018249512,70,70,0,libero_goal_full_0,libero_goal
c64_assigned_radius,64,assigned_radius,task_init,0.03,1.8616628646850584,70,69,1,libero_goal_full_0,libero_goal
c64_assigned_radius,64,assigned_radius,task_init,0.05,1.7659355401992798,70,68,2,libero_goal_full_0,libero_goal
c64_assigned_radius,64,assigned_radius,task_init,0.1,1.465752363204956,70,64,6,libero_goal_full_0,libero_goal
c64_union_radius,64,union_radius,episode,0.02,1.4285283088684082,540,531,9,libero_goal_full_0,libero_goal
c64_union_radius,64,union_radius,episode,0.03,1.37227463722229,540,525,15,libero_goal_full_0,libero_goal
c64_union_radius,64,union_radius,episode,0.05,1.3013782501220703,540,514,26,libero_goal_full_0,libero_goal
c64_union_radius,64,union_radius,episode,0.1,1.163465142250061,540,487,53,libero_goal_full_0,libero_goal
c64_union_radius,64,union_radius,task_init,0.02,1.9523550271987915,70,70,0,libero_goal_full_0,libero_goal
c64_union_radius,64,union_radius,task_init,0.03,1.582711935043335,70,69,1,libero_goal_full_0,libero_goal
c64_union_radius,64,union_radius,task_init,0.05,1.5092012882232666,70,68,2,libero_goal_full_0,libero_goal
c64_union_radius,64,union_radius,task_init,0.1,1.37227463722229,70,64,6,libero_goal_full_0,libero_goal
knn20,0,knn20,episode,0.02,2.0765717029571533,547,538,9,libero_goal_full_1,libero_goal
knn20,0,knn20,episode,0.03,1.8735313415527344,547,532,15,libero_goal_full_1,libero_goal
knn20,0,knn20,episode,0.05,1.7048996686935425,547,521,26,libero_goal_full_1,libero_goal
knn20,0,knn20,episode,0.1,1.5384868383407593,547,494,53,libero_goal_full_1,libero_goal
knn20,0,knn20,task_init,0.02,2.8088362216949463,70,70,0,libero_goal_full_1,libero_goal
knn20,0,knn20,task_init,0.03,2.6236047744750977,70,69,1,libero_goal_full_1,libero_goal
knn20,0,knn20,task_init,0.05,2.4561617374420166,70,68,2,libero_goal_full_1,libero_goal
knn20,0,knn20,task_init,0.1,1.816449761390686,70,64,6,libero_goal_full_1,libero_goal
norm_only,0,norm_only,episode,0.02,8.24573802947998,547,538,9,libero_goal_full_1,libero_goal
norm_only,0,norm_only,episode,0.03,8.029756546020508,547,532,15,libero_goal_full_1,libero_goal
norm_only,0,norm_only,episode,0.05,7.524178981781006,547,521,26,libero_goal_full_1,libero_goal
norm_only,0,norm_only,episode,0.1,6.319520950317383,547,494,53,libero_goal_full_1,libero_goal
norm_only,0,norm_only,task_init,0.02,9.165897369384766,70,70,0,libero_goal_full_1,libero_goal
norm_only,0,norm_only,task_init,0.03,9.068696975708008,70,69,1,libero_goal_full_1,libero_goal
norm_only,0,norm_only,task_init,0.05,8.506902694702148,70,68,2,libero_goal_full_1,libero_goal
norm_only,0,norm_only,task_init,0.1,7.971059799194336,70,64,6,libero_goal_full_1,libero_goal
c1_centroid_distance,1,centroid_distance,episode,0.02,8.018633842468262,547,538,9,libero_goal_full_1,libero_goal
c1_centroid_distance,1,centroid_distance,episode,0.03,7.855122089385986,547,532,15,libero_goal_full_1,libero_goal
c1_centroid_distance,1,centroid_distance,episode,0.05,7.335324764251709,547,521,26,libero_goal_full_1,libero_goal
c1_centroid_distance,1,centroid_distance,episode,0.1,6.285082340240479,547,494,53,libero_goal_full_1,libero_goal
c1_centroid_distance,1,centroid_distance,task_init,0.02,8.980452537536621,70,70,0,libero_goal_full_1,libero_goal
c1_centroid_distance,1,centroid_distance,task_init,0.03,8.863945007324219,70,69,1,libero_goal_full_1,libero_goal
c1_centroid_distance,1,centroid_distance,task_init,0.05,8.33514404296875,70,68,2,libero_goal_full_1,libero_goal
c1_centroid_distance,1,centroid_distance,task_init,0.1,7.7571611404418945,70,64,6,libero_goal_full_1,libero_goal
c1_assigned_radius,1,assigned_radius,episode,0.02,1.5277999639511108,547,538,9,libero_goal_full_1,libero_goal
c1_assigned_radius,1,assigned_radius,episode,0.03,1.49664568901062,547,532,15,libero_goal_full_1,libero_goal
c1_assigned_radius,1,assigned_radius,episode,0.05,1.3976081609725952,547,521,26,libero_goal_full_1,libero_goal
c1_assigned_radius,1,assigned_radius,episode,0.1,1.1975041627883911,547,494,53,libero_goal_full_1,libero_goal
c1_assigned_radius,1,assigned_radius,task_init,0.02,1.7110562324523926,70,70,0,libero_goal_full_1,libero_goal
c1_assigned_radius,1,assigned_radius,task_init,0.03,1.688857913017273,70,69,1,libero_goal_full_1,libero_goal
c1_assigned_radius,1,assigned_radius,task_init,0.05,1.5881048440933228,70,68,2,libero_goal_full_1,libero_goal
c1_assigned_radius,1,assigned_radius,task_init,0.1,1.4779812097549438,70,64,6,libero_goal_full_1,libero_goal
c1_union_radius,1,union_radius,episode,0.02,1.5277999639511108,547,538,9,libero_goal_full_1,libero_goal
c1_union_radius,1,union_radius,episode,0.03,1.49664568901062,547,532,15,libero_goal_full_1,libero_goal
c1_union_radius,1,union_radius,episode,0.05,1.3976081609725952,547,521,26,libero_goal_full_1,libero_goal
c1_union_radius,1,union_radius,episode,0.1,1.1975041627883911,547,494,53,libero_goal_full_1,libero_goal
c1_union_radius,1,union_radius,task_init,0.02,1.7110562324523926,70,70,0,libero_goal_full_1,libero_goal
c1_union_radius,1,union_radius,task_init,0.03,1.688857913017273,70,69,1,libero_goal_full_1,libero_goal
c1_union_radius,1,union_radius,task_init,0.05,1.5881048440933228,70,68,2,libero_goal_full_1,libero_goal
c1_union_radius,1,union_radius,task_init,0.1,1.4779812097549438,70,64,6,libero_goal_full_1,libero_goal
c2_centroid_distance,2,centroid_distance,episode,0.02,4.897886753082275,547,538,9,libero_goal_full_1,libero_goal
c2_centroid_distance,2,centroid_distance,episode,0.03,4.707065105438232,547,532,15,libero_goal_full_1,libero_goal
c2_centroid_distance,2,centroid_distance,episode,0.05,4.246049880981445,547,521,26,libero_goal_full_1,libero_goal
c2_centroid_distance,2,centroid_distance,episode,0.1,3.8253092765808105,547,494,53,libero_goal_full_1,libero_goal
c2_centroid_distance,2,centroid_distance,task_init,0.02,5.455022811889648,70,70,0,libero_goal_full_1,libero_goal
c2_centroid_distance,2,centroid_distance,task_init,0.03,5.418675899505615,70,69,1,libero_goal_full_1,libero_goal
c2_centroid_distance,2,centroid_distance,task_init,0.05,5.362444877624512,70,68,2,libero_goal_full_1,libero_goal
c2_centroid_distance,2,centroid_distance,task_init,0.1,4.578054428100586,70,64,6,libero_goal_full_1,libero_goal
c2_assigned_radius,2,assigned_radius,episode,0.02,1.4648077487945557,547,538,9,libero_goal_full_1,libero_goal
c2_assigned_radius,2,assigned_radius,episode,0.03,1.4156566858291626,547,532,15,libero_goal_full_1,libero_goal
c2_assigned_radius,2,assigned_radius,episode,0.05,1.2737716436386108,547,521,26,libero_goal_full_1,libero_goal
c2_assigned_radius,2,assigned_radius,episode,0.1,1.1440327167510986,547,494,53,libero_goal_full_1,libero_goal
c2_assigned_radius,2,assigned_radius,task_init,0.02,1.631518840789795,70,70,0,libero_goal_full_1,libero_goal
c2_assigned_radius,2,assigned_radius,task_init,0.03,1.63142991065979,70,69,1,libero_goal_full_1,libero_goal
c2_assigned_radius,2,assigned_radius,task_init,0.05,1.6145881414413452,70,68,2,libero_goal_full_1,libero_goal
c2_assigned_radius,2,assigned_radius,task_init,0.1,1.3784146308898926,70,64,6,libero_goal_full_1,libero_goal
c2_union_radius,2,union_radius,episode,0.02,1.4648077487945557,547,538,9,libero_goal_full_1,libero_goal
c2_union_radius,2,union_radius,episode,0.03,1.4156566858291626,547,532,15,libero_goal_full_1,libero_goal
c2_union_radius,2,union_radius,episode,0.05,1.2737716436386108,547,521,26,libero_goal_full_1,libero_goal
c2_union_radius,2,union_radius,episode,0.1,1.1440327167510986,547,494,53,libero_goal_full_1,libero_goal
c2_union_radius,2,union_radius,task_init,0.02,1.631518840789795,70,70,0,libero_goal_full_1,libero_goal
c2_union_radius,2,union_radius,task_init,0.03,1.63142991065979,70,69,1,libero_goal_full_1,libero_goal
c2_union_radius,2,union_radius,task_init,0.05,1.6145881414413452,70,68,2,libero_goal_full_1,libero_goal
c2_union_radius,2,union_radius,task_init,0.1,1.3784146308898926,70,64,6,libero_goal_full_1,libero_goal
c4_centroid_distance,4,centroid_distance,episode,0.02,3.967801570892334,547,538,9,libero_goal_full_1,libero_goal
c4_centroid_distance,4,centroid_distance,episode,0.03,3.7579147815704346,547,532,15,libero_goal_full_1,libero_goal
c4_centroid_distance,4,centroid_distance,episode,0.05,3.142024517059326,547,521,26,libero_goal_full_1,libero_goal
c4_centroid_distance,4,centroid_distance,episode,0.1,2.882124423980713,547,494,53,libero_goal_full_1,libero_goal
c4_centroid_distance,4,centroid_distance,task_init,0.02,4.83763313293457,70,70,0,libero_goal_full_1,libero_goal
