cohort,subset,base,candidate,structurally_nested,subset_episodes,base_detects,base_misses,candidate_detects,both_detect,candidate_only,candidate_only_frac_of_base_misses,candidate_only_ci_low,candidate_only_ci_high,earlier,earlier_frac_of_base_detects,redundant,redundant_frac_of_base_detects,later,later_frac_of_base_detects,base_only,base_only_frac_of_base_detects,redundant_frac_of_both_detect,median_lead_gain_chunks,median_lead_gain_steps,timely_episodes,base_timely_alarms,candidate_timely_alarms,added_false_alarms,added_false_alarms_frac_timely,added_false_alarms_frac_base_silent_timely,added_false_alarms_ci_low,added_false_alarms_ci_high
development_main,static,v7_freeze,v7_guard_or_progress_ratio,True,135,130,5,133,130,3,0.6,0.0,1.0,8,0.06153846153846154,122,0.9384615384615385,0,0.0,0,0.0,0.9384615384615385,0.0,0.0,,,,,,,,
development_main,pure_phantom,v7_freeze,v7_guard_or_progress_ratio,True,22,15,7,18,15,3,0.42857142857142855,0.0,1.0,0,0.0,15,1.0,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,,
development_main,all_risk,v7_turbulence,v4,False,487,138,349,372,85,287,0.8223495702005731,0.7547152276074911,0.9213839911015902,37,0.26811594202898553,23,0.16666666666666666,25,0.18115942028985507,53,0.38405797101449274,0.27058823529411763,0.0,0.0,14313.0,24.0,67.0,57.0,0.0039823936281701946,0.0039890825110224645,0.001516925212097684,0.00722632655136614
development_main,loop,v7_turbulence,v4,False,256,79,177,171,39,132,0.7457627118644068,0.5438434048083172,0.9369400869400869,15,0.189873417721519,13,0.16455696202531644,11,0.13924050632911392,40,0.5063291139240507,0.3333333333333333,0.0,0.0,,,,,,,,
development_main,static,v7_turbulence,v4,False,135,30,105,132,29,103,0.9809523809523809,0.8946898496240602,1.0,14,0.4666666666666667,6,0.2,9,0.3,1,0.03333333333333333,0.20689655172413793,0.0,0.0,,,,,,,,
development_main,pure_phantom,v7_turbulence,v4,False,22,3,19,12,0,12,0.631578947368421,0.2,1.0,0,0.0,0,0.0,0,0.0,3,1.0,,,,,,,,,,,
development_main,all_risk,v7_turbulence,v7_freeze,False,487,138,349,309,65,244,0.6991404011461319,0.565499680715198,0.7689057971014491,31,0.2246376811594203,17,0.12318840579710146,17,0.12318840579710146,73,0.5289855072463768,0.26153846153846155,1.0,10.0,14313.0,24.0,52.0,43.0,0.0030042618598476907,0.0030093078591923858,0.0006924692247992102,0.006141038045620679
development_main,loop,v7_turbulence,v7_freeze,False,256,79,177,113,21,92,0.519774011299435,0.3404124305628341,0.6950030848226724,8,0.10126582278481013,8,0.10126582278481013,5,0.06329113924050633,58,0.7341772151898734,0.38095238095238093,1.0,10.0,,,,,,,,
development_main,static,v7_turbulence,v7_freeze,False,135,30,105,130,28,102,0.9714285714285714,0.84375,1.0,17,0.5666666666666667,4,0.13333333333333333,7,0.23333333333333334,2,0.06666666666666667,0.14285714285714285,3.0,30.0,,,,,,,,
development_main,pure_phantom,v7_turbulence,v7_freeze,False,22,3,19,15,0,15,0.7894736842105263,0.3333333333333333,1.0,0,0.0,0,0.0,0,0.0,3,1.0,,,,,,,,,,,
development_main,all_risk,v7_turbulence,v7_guard,True,487,138,349,382,138,244,0.6991404011461319,0.565499680715198,0.7689057971014491,31,0.2246376811594203,107,0.7753623188405797,0,0.0,0,0.0,0.7753623188405797,0.0,0.0,14313.0,24.0,67.0,43.0,0.0030042618598476907,0.0030093078591923858,0.0006924692247992102,0.006141038045620679
development_main,loop,v7_turbulence,v7_guard,True,256,79,177,171,79,92,0.519774011299435,0.3404124305628341,0.6950030848226724,8,0.10126582278481013,71,0.8987341772151899,0,0.0,0,0.0,0.8987341772151899,0.0,0.0,,,,,,,,
development_main,static,v7_turbulence,v7_guard,True,135,30,105,132,30,102,0.9714285714285714,0.84375,1.0,17,0.5666666666666667,13,0.43333333333333335,0,0.0,0,0.0,0.43333333333333335,2.5,25.0,,,,,,,,
development_main,pure_phantom,v7_turbulence,v7_guard,True,22,3,19,18,3,15,0.7894736842105263,0.3333333333333333,1.0,0,0.0,3,1.0,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,,
development_main,all_risk,v7_turbulence,progress_ratio,False,487,138,349,36,7,29,0.0830945558739255,0.031999289520426286,0.2044375973933984,2,0.014492753623188406,3,0.021739130434782608,2,0.014492753623188406,131,0.9492753623188406,0.42857142857142855,0.0,0.0,14313.0,24.0,58.0,58.0,0.004052260183050374,0.004059066414724613,0.001607792934629743,0.0069326159145171274
development_main,loop,v7_turbulence,progress_ratio,False,256,79,177,35,7,28,0.15819209039548024,0.06578408110440034,0.3426729986431478,2,0.02531645569620253,3,0.0379746835443038,2,0.02531645569620253,72,0.9113924050632911,0.42857142857142855,0.0,0.0,,,,,,,,
development_main,static,v7_turbulence,progress_ratio,False,135,30,105,2,0,2,0.01904761904761905,0.0,0.125,0,0.0,0,0.0,0,0.0,30,1.0,,,,,,,,,,,
development_main,pure_phantom,v7_turbulence,progress_ratio,False,22,3,19,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,,,,,,,,,,,
