calibrator,query,surviving_episodes,surviving_successes,surviving_failures,pooled_roc_auc,pooled_average_precision,eligible_tasks,macro_task_roc_auc,pair_weighted_within_task_roc_auc
A_dense,32,572,305,267,0.42503837416344326,0.42344809410333034,9,0.536297713084188,0.39015017787795675
A_dense,33,565,298,267,0.5710605032300229,0.5509364955178468,8,0.6068346443657744,0.5827821779483411
A_dense,34,562,295,267,0.6947692503015299,0.6847622436610177,8,0.6796399801463642,0.7410211027910143
A_dense,35,553,286,267,0.747243393310809,0.734135862978858,8,0.6183079676965546,0.8150309044042241
A_dense,36,536,269,267,0.7349317071133202,0.7029357868735426,7,0.6811507205886888,0.8032142545200455
A_dense,37,509,242,267,0.7073699198316155,0.6781267006442445,7,0.702950049854231,0.7801149388176799
A_dense,38,465,198,267,0.63585291113381,0.6618521022145029,7,0.7168774730428711,0.7023903751780909
A_dense,39,372,105,267,0.5507579810950598,0.7165590220508249,6,0.6883059076280253,0.6034116755117513
A_dense,40,324,57,267,0.6021092055982653,0.8514645814683005,6,0.6583381854962997,0.6818449749484232
A_dense,41,297,30,267,0.6511235955056179,0.9358604757379458,6,0.6713786660386761,0.7694984053348797
A_dense,42,287,20,267,0.6391385767790262,0.9381309635889228,6,0.5768858079904592,0.7757370710488158
A_dense,43,282,15,267,0.6575530586766541,0.9590844318506199,6,0.6635043887318912,0.7498187092095722
A_dense,44,278,11,267,0.6406196799455226,0.9727583947740557,5,0.5555261725130278,0.7554744525547445
A_dense,45,277,10,267,0.6174157303370786,0.9752576198375918,5,0.51917502787068,0.7356881851400731
A_dense,46,275,8,267,0.6544943820224719,0.9836825982474656,5,0.5053356148401649,0.7944954128440367
A_dense,47,274,7,267,0.5575173889780631,0.9787384489164496,5,0.48874802312618293,0.5700245700245701
A_dense,48,273,6,267,0.5895755305867666,0.9844088812962521,5,0.5141894169194472,0.6840148698884758
A_dense,49,271,4,267,0.8155430711610487,0.9974515635495133,4,0.7847848772393766,0.8022727272727272
A_dense,50,269,2,267,0.8473782771535581,0.9992571660554522,2,0.8573345259391771,0.8695652173913043
A_dense,51,268,1,267,0.9176029962546817,0.9998867115478955,1,0.8461538461538461,0.8461538461538461
B_proxy,12,9542,9010,532,0.6851106331311074,0.16988180068798672,30,0.602234948748793,0.561412503107134
B_proxy,13,7223,6691,532,0.7132628499960108,0.20590806056356645,29,0.6333121753619324,0.5593848326659039
B_proxy,14,6008,5476,532,0.7248018695387116,0.22873131114642822,28,0.6694451201717995,0.5746727198935336
B_proxy,15,5112,4580,532,0.6893300390714778,0.2502256588043101,25,0.6609381912916891,0.6091332158725294
B_proxy,16,4754,4222,532,0.6480252027510748,0.22788900251214741,24,0.6731095562136237,0.6355764017967782
B_proxy,17,4527,3995,532,0.6089719762485061,0.17420735027144688,22,0.6723302090930129,0.6352665885018183
B_proxy,18,4259,3727,532,0.580351216786264,0.1709004559445093,22,0.6558641637572451,0.5759533701922552
B_proxy,19,4059,3527,532,0.5829628472940218,0.19362488717786944,22,0.6239291851630666,0.5291728648674175
B_proxy,20,3976,3444,532,0.6063031599032425,0.21138743649199984,22,0.6154831969318304,0.5329767402190733
B_proxy,21,3767,3235,532,0.6375280356997595,0.24114643752547787,21,0.6337057242838606,0.544410918265147
B_proxy,22,3212,2806,406,0.6210302342973713,0.2164155243299691,19,0.6126677341185204,0.568051033011453
B_proxy,23,2758,2352,406,0.5863247084548106,0.2395668783642153,16,0.6121503283807628,0.5709186252211271
B_proxy,24,2194,1788,406,0.5812456607266836,0.29832577615156486,16,0.6061607993804212,0.5784900234325073
B_proxy,25,1549,1143,406,0.5770130026850092,0.3675592307272393,14,0.5398680148334696,0.5420447733427042
B_proxy,26,1144,738,406,0.5696430240164471,0.45695980110439083,12,0.5100996110859202,0.48292978490363775
B_proxy,27,892,486,406,0.5679468466824789,0.5455593999272259,10,0.49636324900221795,0.47610321993630894
B_proxy,28,761,392,369,0.5001209833526906,0.528969899914095,10,0.4640500820039934,0.3836655679380526
B_proxy,29,726,357,369,0.4623480828645821,0.5440463675037461,10,0.45563320616236264,0.32902917264466763
B_proxy,30,602,335,267,0.38562803957739394,0.4142067325438568,9,0.4133192662279172,0.27470567727748124
B_proxy,31,585,318,267,0.3961851930370056,0.44233336231311404,9,0.4757179090473358,0.28824720010794763
B_proxy,32,572,305,267,0.44537975072143426,0.47609769691978093,9,0.5364297236450003,0.3789615186160823
B_proxy,33,565,298,267,0.541789206444964,0.5465594070914657,8,0.5745413739184406,0.5056748591491794
B_proxy,34,562,295,267,0.6533295245350093,0.6491274799213782,8,0.6395843077128088,0.670211027910143
B_proxy,35,553,286,267,0.7027579162410623,0.7048736205800392,8,0.5981359993959992,0.7492585714681671
B_proxy,36,536,269,267,0.7114851788424321,0.7214687766260482,7,0.6542406998723104,0.7519725157946837
B_proxy,37,509,242,267,0.6737394372736558,0.7122806825818649,7,0.6486394280511928,0.7217415168049591
B_proxy,38,465,198,267,0.611177316233496,0.7161709744942112,7,0.6926155589670371,0.6290565141681178
B_proxy,39,372,105,267,0.5788478687355092,0.786174229387129,6,0.6256289826694598,0.606937073540561
B_proxy,40,324,57,267,0.5946842762336553,0.8565233798538536,6,0.6514913019352478,0.6305629236663719
B_proxy,41,297,30,267,0.6292759051186018,0.930016926424032,6,0.6792614953952163,0.7020875616120614
B_proxy,42,287,20,267,0.6908239700374532,0.9661255935396764,6,0.6956294113144468,0.7933784436926051
B_proxy,43,282,15,267,0.699250936329588,0.9710257549591688,6,0.6713168212157091,0.793691080493111
B_proxy,44,278,11,267,0.6630915900578822,0.9739738888291283,5,0.5418902802623732,0.8034410844629822
B_proxy,45,277,10,267,0.5861423220973783,0.9734919136156169,5,0.46679759404734134,0.7143727161997564
B_proxy,46,275,8,267,0.6257022471910112,0.9781741065877481,5,0.5638731171087087,0.7697247706422018
B_proxy,47,274,7,267,0.5727661851257357,0.9782205665921124,5,0.4879391252495398,0.6265356265356266
B_proxy,48,273,6,267,0.5811485642946317,0.97958580154459,5,0.5421884317233154,0.7286245353159851
B_proxy,49,271,4,267,0.8295880149812734,0.9977957184678108,4,0.811091882502398,0.7886363636363637
B_proxy,50,269,2,267,0.7097378277153558,0.9980978471715507,2,0.7316636851520573,0.7318840579710145
B_proxy,51,268,1,267,0.8913857677902621,0.999843329050894,1,0.7884615384615384,0.7884615384615384
